"","mz","rt","intensity","metabolite_name","HMDB","Adduct"
"M766.573T8.6",766.573,8.64,40.90021544,"C36:5 PC plasmalogen-B","HMDB11220","[M+H]+"
"M665.5123T8.9",665.5123,8.94,151.4995578,"C38:5 DAG","HMDB07199*","[M+Na]+"
"M740.6781T10.8",740.6781,10.82,642.2887785,"C42:0 TAG",NA,"[M+NH4]+"
"M773.6615T11.2",773.6615,11.19,266.5797536,"C44:0 TAG","HMDB42063","[M+Na]+"
"M771.6476T10.9",771.6476,10.93,119.6371734,"C44:1 TAG",NA,"[M+Na]+"
"M796.7396T11.5",796.7396,11.53,221.4166716,"C46:0 TAG","HMDB10411*","[M+NH4]+"
"M799.6787T11.3",799.6787,11.28,131.7221671,"C46:1 TAG","HMDB10412","[M+Na]+"
"M797.6618T11",797.6618,11.02,64.66897291,"C46:2 TAG","HMDB10419","[M+Na]+"
"M824.77T11.9",824.77,11.86,936.9922264,"C48:0 TAG","HMDB05356*","[M+NH4]+"
"M827.7109T11.6",827.7109,11.61,150.7553578,"C48:1 TAG","HMDB05359","[M+Na]+"
"M825.6943T11.4",825.6943,11.36,182.6898807,"C48:2 TAG","HMDB05376","[M+Na]+"
"M823.6795T11.1",823.6795,11.12,127.9073217,"C48:3 TAG","HMDB05432","[M+Na]+"
"M821.6641T10.9",821.6641,10.86,28.67521392,"C48:4 TAG",NA,"[M+Na]+"
"M836.7706T11.8",836.7706,11.76,13.42766769,"C49:1 TAG","HMDB11705","[M+NH4]+"
"M857.7569T12.2",857.7569,12.23,600.383635,"C50:0 TAG","HMDB05357","[M+Na]+"
"M855.7414T11.9",855.7414,11.95,1211.218003,"C50:1 TAG","HMDB05360","[M+Na]+"
"M853.726T11.7",853.726,11.7,1809.131827,"C50:2 TAG","HMDB05377","[M+Na]+"
"M851.7098T11.5",851.7098,11.46,577.5976286,"C50:3 TAG","HMDB05433","[M+Na]+"
"M849.6932T11.2",849.6932,11.22,173.7088958,"C50:4 TAG","HMDB05435","[M+Na]+"
"M847.6805T11",847.6805,10.96,14.08105416,"C50:5 TAG","HMDB10471","[M+Na]+"
