"","mz","rt","4","31","35","7","22","39","38","54","58","18","25","59","2","21","34","30","53","55","40","42","48","12","41","50","20","37","56","16","26","47","28","32","51","3","9","23","11","24","36","19","52","57","10","14","44","13","17","45","QC1_1","QC1_2","QC1_3","QC10_1","QC10_2","QC10_3","QC11","QC12","QC13","QC14","QC15","QC16","QC2_1","QC2_2","QC2_3","QC3","QC4","QC5","QC6","QC7","QC8","QC9_1","QC9_2","15","27","43","6","29","33","1","5","8","46","49"
"1","mz","rt","EGFP_IPTG","EGFP_IPTG","EGFP_IPTG","EGFP_IPTG+PPDA","EGFP_IPTG+PPDA","EGFP_IPTG+PPDA","EGFP_No inducer","EGFP_No inducer","EGFP_No inducer","EGFP_PPDA","EGFP_PPDA","EGFP_PPDA","iL3EGFP_IPTG","iL3EGFP_IPTG","iL3EGFP_IPTG","iL3EGFP_IPTG+PPDA","iL3EGFP_IPTG+PPDA","iL3EGFP_IPTG+PPDA","iL3EGFP_No inducer","iL3EGFP_No inducer","iL3EGFP_No inducer","iL3EGFP_PPDA","iL3EGFP_PPDA","iL3EGFP_PPDA","iL3PET_IPTG","iL3PET_IPTG","iL3PET_IPTG","iL3PET_IPTG+PPDA","iL3PET_IPTG+PPDA","iL3PET_IPTG+PPDA","iL3PET_No inducer","iL3PET_No inducer","iL3PET_No inducer","iL3PET_PPDA","iL3PET_PPDA","iL3PET_PPDA","PET_IPTG","PET_IPTG","PET_IPTG","PET_IPTG+PPDA","PET_IPTG+PPDA","PET_IPTG+PPDA","PET_No inducer","PET_No inducer","PET_No inducer","PET_PPDA","PET_PPDA","PET_PPDA","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","Wild_IPTG","Wild_IPTG","Wild_IPTG","Wild_IPTG+PPDA","Wild_IPTG+PPDA","Wild_IPTG+PPDA","Wild_No inducer","Wild_No inducer","Wild_No inducer","Wild_PPDA","Wild_PPDA"
"Nonadecane",NA,"27469.74","2060820","2082222","1984863","1988619","2065890","2062733","2064697","2154446","2249945","2206751","2253255","2184805","2047994","2239635","2142178","2114109","2416626","2192084","2229487","2226050","2170460","2168367","2323626","2344657","2159771","2143686","2131231","2027635","2136718","1964944","2258534","2058683","2147297","2300574","2273298","2170237","1928943","2127894","2046219","2162576","2131438","2127360","2342614","2416643","2138423","2184147","2339354","2078972","2482317","2332577","2337999","2094603","2193683","2247279","2271032","2251192","2289103","2277754","2344315","2294812","2092323","2125083","2126305","2346834","2174631","2393295","2138738","2465239","2214967","2328889","2373180","2323334","2420804","2200652","2115136","2049356","2167133","2040709","2023427","2173123","2173727","2238057"
"Heptadecane",NA,"27706.74","107127","108783","107488","106356","117041","112270","107132","119492","111783","105506","128773","106344","106910","128775","116934","116550","112063","108191","132729","121940","110815","111936","125840","128701","106905","110538","111791","105185","108508","109699","111618","106512","109847","112098","126735","112860","111524","110419","115020","108549","113110","115915","123678","133873","117163","127224","129863","108864","107075","110858","109252","101536","120414","108930","122775","113512","122553","125992","120876","120667","108379","111472","121915","119048","115339","122553","111966","123630","112551","117839","118173","120936","132671","122201","121823","106184","116482","100902","107061","111560","125919","109502"
"Isoleucine_1285_1TMS",NA,"27850.74","3666463","5028580","5106614","7107438","69509","4208782","8916517","10713618","73906","9056393","8147544","10767808","4659405","9192568","4009349","3882243","12693098","8388635","5515934","6560959","9528765","5374598","5408302","10833768","10304535","7564178","8229925","8971418","10488597","10494955","12190594","4499019","9527416","5359723","4220419","8402504","5393535","64689","9050198","13730798","11202272","9693029","4660591","7004393","3867271","6256932","7174829","5603311","7466494","7126993","10737970","6833629","7849144","10654230","9990981","13618731","9398957","13422367","12521799","10756536","8003033","10428989","11822701","11668189","10930440","13559901","12387149","11792315","12447844","9432706","6789646","4239454","15236907","7848034","4823932","5789075","6049007","53586","6024709","7125413","4147753","8804305"
"Unknown 13",NA,"27868.74","44383","51367",NA,"62838","9154784","56563",NA,NA,"11070581","65361","64404","70410","50955","69207",NA,"51312","81788","63581","58048","62503","60863","51580",NA,"71197",NA,NA,"65233","62006","77069","70270","73697","46501",NA,"55034","59692","64471","57036","8181374","65211","83943",NA,NA,"58651","62822","44538","64462","65607","53784","63200",NA,"69763","64149","62721","75245",NA,"79566","76114","88545",NA,NA,NA,NA,"73568","77731","71359","77218","74505","81305","73761",NA,NA,"53318","97494","57607","64865","59543","58663","4076087","54443","67985","51640",NA
"Unknown 14",NA,"28075.74",NA,"119885","145950","135939","175410","131902","695188","207039","182392","185762","168500","225358","133099","194777","133876","129801","203970","187991","167340","178289","190602","150959","149287","187528","149084","162051","166192","206251","209961","179134","214572","129643","153498","143830",NA,"152723","184489","201908","209949","254024","206406","199028","164318","163419","127785","165389","197192","135965","174554","145418","220445","149703","157139","201809","188151","235937","165856","220341","223102","210479","155524","193542","205672","200137","183354","245339","205620","191893","177314","182978","148586","142353","276471","143398","147071","144997","147233","150453","137958","172585","128412","174135"
"Unknown 15",NA,"28099.74","863680","526263","514318","556731","679565","496984","179594","1251441","910700","755759","569613","934250","589856","507754","437989","483110","894233","563340","672175","683123","635185","705231","539231","620847","791506","633237","551306","698513","579008","677485","880313","585399","469999","748723","510633","585528","941178","719213","806994","1279505","929685","697347","634935","531416","410818","730405","707619","497623","500261","484977","912045","577897","517700","792790","586636","1056157","517422","895443","903536","594580","622145","637152","882819","901495","547413","976269","812083","794213","599624","569996","456681","498459","1271901","510290","595957","643203","575240","659961","579289","602473","438533","534069"
"Leucine_1306_2TMS",NA,"28252.74","65521881","47463708","48482843","37044820","40297035","39183378","66435322","77335907","67684095","60686021","48477901","49795498","43099657","38645743","47363958","49809401","31240594","41249461","64281707","58241584","44816723","68177848","49523360","39567426","45691785","58360617","43880487","49835078","45395993","42870942","48044448","64469176","49138123","66717845","53701412","46667882","79464050","58492371","61962602","65633919","66324061","63141775","50862305","50605787","45065165","58124349","45584490","50988089","48912822","52434749","47367629","53335586","51214902","44571598","44611968","42818702","46776941","43562924","43634342","45977966","46381569","41780838","41943728","49342529","44041315","47974414","41854377","48098527","41080971","46602181","51178830","53561036","54289812","37905267","57992750","54628564","49031225","55124884","49256817","50707154","42744986","33102473"
"Unknown 16",NA,"28420.74","41851","40751","48805","36402","44182","38898","52672","64520","63903","68521","40743","51708","36346","41795","46494","40605","29911","42353","63452","52863","61577","70738","53521","67205","41930","52559","51203","47232","48068","36415","44367","59586","56812","59965","53686","54461","53588","41535","20967","55088","52995","63728","59279","62546","63971","61770","50638","62588","58614","41604","60723","55157","47504","48098","52960","54738","47956","53814","49013","53634","41009","36576","55510","54761","47750","48483","48202","53602","47556","47026","52478","55882","68624","45877","58909","51853","48528","64206","58182","67105","47109","44086"
"Phosphoric acid, bis(trimethylsilyl)monomethyl ester",NA,"28855.74","3693826","4347924","4031685","3948933","4041153","3686318","7593456","6027513","7550345","5473573","6198891","4552251","4142187","4672193","4285321","4960957","4266593","4889943","5991617","6271196","5460173","8071939","6455186","6263274","6469339","7662671","6902908","3802423","4917322","3335356","12333694","10831717","7008231","10702541","7709851","9508683","6055210","5719637","4993171","5595011","5812245","5775010","7549050","8594268","7911886","9244326","7711035","8103828","8425778","6327277","6611329","6729745","7164645","7039701","6832520","6946614","6818262","7216833","7079680","7017642","6352246","6514583","6865728","7370464","6827229","7594518","7148115","7830346","7143417","6829007","6874195","8664641","9226411","8626373","8850201","9834144","9768453","6921155","8232221","8454973","7787750","7456875"
"2-Butanone, 3-methoxy-3-methyl-",NA,"28927.74",NA,"48440","48971","46627","46007",NA,NA,"70078",NA,NA,NA,NA,"54552","44894",NA,"56501","51687","48317",NA,"51221",NA,NA,"59805","57416","58398","60545",NA,NA,"56677","60350",NA,NA,NA,NA,NA,NA,NA,"59637",NA,NA,NA,NA,"51056","52425","64532",NA,"61527",NA,"35744","39990","44967","54400","66128","63532",NA,"65853","59450","62553","68354",NA,"46131","56711","46590",NA,"49416",NA,NA,"55802","58130","54933",NA,NA,"73701","63552",NA,NA,NA,NA,"58103","48592","56235","62026"
"L-Isoleucine, N-(trimethylsilyl)-, trimethylsilyl ester",NA,"29014.74","42284555","32320154","32300938","25775335","26682030","27326340","47435846","53126501","45742266","39762124","34730095","32133563","29746972","27329305","33565503","35883177","17932569","30869409","45219319","42163267","32529317","48687814","33934550","26275804","30619399","38515237","30183205","32037892","30657756","27333853","31396741","43341956","35796159","43268607","36734051","32697042","51557848","39274465","38908629","39300788","44159324","41867167","35691734","34532268","30889733","37449058","31184448","35924612","35537043","38197642","31840088","36477112","36957463","30204884","31617989","22968947","31046249","24241324","26112888","30536371","33340692","28854023","27782435","32415078","31504850","28617008","25567193","34478475","25806178","31814182","38455040","36550244","31592059","25583477","38348565","37692362","32633491","36340423","32515848","33422906","30913905","22125270"
"Unknown 17",NA,"29182.74","26914964","24791994","24564222","25267786","24424321","24559501","25196235","25809246","25277825","25730812","25091704","24133539","26926235","25056275","25283429","25352045","23785434","24760469","25770115","25522418","24747394","26533303","25079615","24478406","24705650","25684122","24367728","25330735","25511779","24343549","25050632","25895817","24492072","27479566","26479009","25340665","26024867","25317526","24580131","24642384","24513051","24725880","26367387","26340455","24695621","24756441","25554170","24927516","29109305","28845032","27988304","25156568","25072010","24440747","24321074","23935587","24510872","24014683","24025936","24562593","27526395","26663447","25990930","26262802","25267960","25426929","24341117","25354725","23927619","24959546","25631675","25650106","24961224","24064491","26497447","25054109","25166839","26766639","25851739","25916584","24750816","23820880"
"Glycine d5_1343_3TMS",NA,"29218.74","88594616","83155058","80786806","82826650","80250976","81070505","80578993","84498360","81782756","83271947","82527337","79572514","84272243","80597426","81366032","83526877","73081865","80373425","82073105","80844015","78795906","83251177","80667270","76139742","82149573","85598849","80602322","82974954","84508526","79890169","79429007","83658008","75487364","87867289","85144969","80995577","87553678","85307004","82165419","83869431","82036198","82840365","84527511","83730493","79363883","83245276","81118739","79552599","91049626","92418520","88713165","81625584","80668590","78022405","78062353","76202848","79118041","76215251","76482077","79461268","86792213","83353747","82042215","84372600","79735852","81225672","77968069","81531812","76590250","79187002","82052372","83512230","77994883","75294440","83079940","78925792","79375753","83863539","80780892","81454672","79497727","74684716"
"Glycine_1344_3TMS",NA,"29272.74","31142260","29286646","28605448","29112384","28397030","28008110","29412897","30880890","29767034","29185001","28574218","28080243","26836370","26354214","26254512","28683046","26342323","28204750","25725279","25639743","24444519","26989007","25294554","24083928","29222890","30492490","28561832","29924486","30786563","29379144","25566216","26656410","24712890","27942551","26863542","26052510","33395999","32118919","31133959","32430338","31586593","31466085","25224404","25313250","23818622","25139230","24431266","23879026","30851326","30959915","30407056","27499570","27180951","26735046","26426007","26293336","26688279","26312712","26164836","26909722","29567373","28369420","28044040","28789640","27115600","27512190","26613335","27538585","26330877","26976158","27589529","24556460","23227602","22512511","24531046","23428586","23612950","24488329","23831647","24053535","22699186","21942556"
"Unknown 18",NA,"29299.74","7300619","8199882","7909316","9217287","8174005","8407663","8325307","10183558","8363941","8565848","8854160","8012243","7052862","8038379","7759013","8257088","8824886","8764973","8212881","7109901","7447800","7822127","8352453","7178698","12595114","10708275","10788702","12331609","11779674","10746606","9515513","8316237","9172728","8740585","8449099","8334663","14029580","13089810","12959659","13587290","11058777","12248055","8652847","7756955","7535138","9359852","8264406","7266045","10989468","9192061","11225504","9715605",NA,"10144852","9747751","10257803","9712383","10369516","9710224","8790889",NA,"10183707","10443125","9918690","9419550","9633682","10626840","11203832","10605016","9609060","8659488","8884364","9004554","8640552","8413157","7086564","7246227","9882473","9671695","9730920","5753952","6953916"
"Unknown 19",NA,"29452.74","252443","263647",NA,NA,"266871",NA,NA,"241633",NA,NA,"243036",NA,"319408",NA,"258121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"242584",NA,"235117",NA,"229057",NA,NA,NA,"142570",NA,NA,NA,NA,"240352",NA,NA,NA,NA,"249326","268690",NA,"225271",NA,"325131","265924",NA,NA,NA,"272174",NA,NA,NA,NA,NA,"134497",NA,"233526",NA,NA,NA,NA,NA,"233742",NA,NA,"281377",NA,"247054",NA,"238548","256821",NA,"129466",NA,"261073","261336"
"Phosphate_1372_4TMS",NA,"29971.74","8278329","17303686","8525993","16683806","8827032","8019193","8981278","9580337","9856747","8382262","8598367","8677299","15982790","8109007","16408855","8165792","8347765","8494753","9042173","9708138","9309112","8833442","8720438","9201027","9054302","9378367","8970258","8607558","9510279","8663217","9305514","8850796","9607474","8912646","8224114","8891668","10268745","8486465","9709398","9802740","9492153","9759461","8842407","9099134","8904226","9020911","9224275","8309739","17665766","18392039","9225383","9299408","9506339","8717646","9067379","8435550","8963424","8620534","8947576","9175095","9134823","9055138","9001363","9644484","9033184","9231389","9180774","9278169","9323780","9439912","9275657","8758505","8836029","8962258","8798215","8462030","8309094","8616240","8557180","9167631","8454983","8240099"
"Unknown 20",NA,"30022.74","33158630","32680340","31721698","30924699","33674954","32041228","39751736","42498862","41241019","36307085","35868988","37220501","28340674","31804919","31372629","33043534","32643096","33915395","37450249","37247461","37307098","35665401","34639064","34681472","36353724","38683669","36285466","34940719","37732187","35419181","39586269","37120316","37601870","34677804","32586384","35718909","43579607","39838241","42264730","41202912","40839342","42933767","34885262","37114828","35730462","36838747","36564165","37143450","31606625","35087778","36256937","36841181","37141902","36824153","36930156","37850559","37583730","38105974","38316385","38323867","35827594","36434752","36317131","37308248","36651724","37533037","37297925","37977913","37581425","36673273","37029126","35113120","40698852","36410009","34446255","35773178","34958845","37746029","34381375","38112346","33665027","34984056"
"Proline_1381_2TMS",NA,"30307.74","2067913","1423448","1532974","978742","911881","914936","2163865","2738927","2222928","1688169","1410227","1225118","1629401","1195755","1801770","1914337","764946","1487895","2128644","1997967","1169645","2766096","1859002","1035904","1324406","1832843","1326652","902134","937782","807197","1645687","2616573","1941410","2721986","2557369","1775718","1505202","1117908","1105702","1133708","1225730","1188573","1125470","1224005","1101595","1295277","1033507","1152489","1254994","1478772","1135792","1447277","1363756","1182729","1089343","936350","1106266","891989","965813","1153141","1332812","1073513","888314","1278828","1127811","1149706","1003472","1208818","957500","1132588","1456044","1045828","779844","632481","968869","928856","856489","974381","904658","924352","702238","566374"
"Threonine_1384_2TMS",NA,"30499.74","3961697","3617799","2804407","3420475","3536359","2510050","3234751","4210755","3247303","2677038","1440227","1225387","1526879","1558468","2134258","1396338","4984111","1841662","379827","685532","1194897","1386836","737343","1771875","1042382","1976691","813748","2242356","2804032","1627805","1777921","648556","1492923","1361004","746170","1357795","2794625","2688907","2669729","2983283","2070234","2895691","241524","1233971","529518","696797","823158","467924","1629248","1317156","1718658","1251956","1033820","3034001","1834062","953307","1527329","1877334","1433102","1151559","1216371","1840871","3261740","1934614","1749883","1432507","1644515","1788063","2039792","1236254","1349244","321896","61532","140687",NA,"398304","374790","132805","209765",NA,NA,"147083"
"Unknown 21",NA,"30634.74","232147","125057","183296","234659","588836","189938","239008","575812","577151","405479","442214","498329","71965","375049","81397","107808","619603","541219","42676","48838","58520","66849","48213","80642","403731","152607","400351","411852","629926","361675","257933","38100","125993","58981","46671","153555","348161","636480","236480","726011","679464","639349","37817","46161","45701","73579","90809","49819","114388","105511","124857","79369","81549","84577","126698","167934","231790","283137","308459","386562","136535","143923","183800","208745","266036","295596","362251","453792","506230","55932","69768","24490","85052","36006","29746","114261","15468","16730","21257","21134","31406","31886"
"Serine_1408_3TMS",NA,"30808.74","973069","747244","574374","485430","534941","546782","654909","746912","689391","723774","559683","902396","405630","302118","373946","590950","285898","390996","479773","318632","379373","374899","370004","225078","689123","879021","566005","744096","621665","752266","417370","617924","309874","547504","338041","409021","1217110","918764","999252","1107032","1075217","1030301","468589","444163","435770","533335","484173","430172","344894","489062","416324","488038","519424","456919","375920","500102","434437","384148","423649","484698","461417","323888","267623","472988","358914","514064","380463","405645","301089","452417","480832","325178","275340","215039","333120","316107","303699","248486","159235","218173","267617","235152"
"Urea, N,N'-bis(trimethylsilyl)-",NA,"31018.74","1647541","1161135","1371439","1122288","1504436","1165168","2444142","2774683","2465748","1762265","1418652","1795029","971383","1368321","1320316","1524483","1565901","1644141","2120085","2220245","1968826","3113892","1667397","1791130","3165032","3381473","3222896","3107447","3463242","2914856","1878117","1731372","1870579","1606418","1431369","1657281","3425572","2749904","3206899","4355392","4432611","4027761","1548332","1881895","1290080","1762541","2023610","1980188","993885","1362388","1558689","1781195","1843631","1860353","1890090","2030295","1981733","2117949","2075973","2160843","1529756","1523388","1639808","2158263","1882273","2251690","2111334","2484496","2206774","1609276","1741877","1540109","2600646","1465010","1852082","1986104","1685196","1558538","1602677","1907552","1654684","1443717"
"Threonine_1411_3TMS",NA,"31174.74","19880534","16138273","14528182","12538904","17291578","13242144","15074145","20047338","15331681","11646379","9641277","11869409","7107407","8407029","7414591","11667863","5936631","11262787","4894411","4540680","3467142","5569849","3934408","3302128","10616341","12892202","8601178","12585461","12829800","13557696","4678202","5256056","4549981","4849457","4423619","4430426","24648841","19814336","23148888","23687698","22917973","21761962","3170271","3514448","2814367","3053639","3267435","3060862","7516460","8076958","7484945","8224082","8740620","8179805","7747333","9094673","7810756","7674080","8336405","8869110","7695334","7209038","4806685","8752622","7653049","9269768","7859585","8544065","7248873","8433379","8611083","2078964","2425434","1645466","2322668","2162938","2209528","1632403","1946328","1777286","1675442","1921862"
"Unknown 22",NA,"31588.74","38701275","37074533","35375726","36910576","37430181","36142280","36357926","38264780","37104844","38152361","37596548","37295408","37762809","37865355","36173981","37519001","37590540","36728113","37881935","36828931","38303276","38059236","37837294","37307266","37916942","37629266","36499231","37975261","39011012","37456213","39019889","37841912","36202066","39411204","38170235","38082231","38700029","38152221","36037011","38463658","36460818","37200408","39065100","39692384","36799163","38484799","39113601","37685045","39999088","40431077","40001399","37292044","37814894","36783136","37095303","37576286","37146097","37755711","37757756","37442723","38549708","38653960","38878405","38906204","38111862","38894029","37363441","39098000","37611600","37850043","38195055","39276662","38898814","12296526","38216352","36995128","37714219","38155293","36853208","38928957","37602618","37148478"
"Unknown 23",NA,"31612.74","13268422","12527948","12102105","12969800","12656011","12154794","12225383","12563071","12190121","13031312","12540640","12370870","13236495","12758081","12269938","12691246","12502446","12188413","12466551","12235497","12708301","12989774","12650898","12443642","12775223","12694490","12163947","12997487","12955028","12588235","12812405","12535424","12293614","13605712","13069201","12906515","13127657","12742926","12267044","12854493","12192937","12325694","13361670","13422117","12464283","13131883","13219161","12619019","13924891","14127235","13801679","12626103","12685679","12486024","12600002","12605513","12504776","12477895","12608836","12433046","13440939","13572751","13613650","13361024","13019610","13254599","12670140","12924620","12562167","12943280","12916966","13208362","12866009","36603718","13174371","12244669","12691670","13437503","12861631","13289895","12587127","12392892"
"di-n-Undecylamine",NA,"31654.74",NA,"28262",NA,NA,NA,NA,NA,"9813.3",NA,"22377",NA,NA,NA,NA,NA,NA,NA,NA,"24567","11388","27720",NA,NA,"15380",NA,"11123",NA,NA,NA,NA,NA,"23272",NA,NA,"30611","24356",NA,"10561",NA,NA,NA,"10597",NA,NA,"39483",NA,NA,NA,NA,NA,"33195",NA,NA,"10230",NA,"25060","16019",NA,NA,NA,"11851",NA,"36869",NA,NA,NA,NA,NA,NA,NA,"17496",NA,NA,NA,NA,NA,"25448","51530",NA,"23791",NA,NA
"Unknown 24",NA,"31741.74","73811829","71113219","66828985","68770872","70132252","68449994","70649545","75358157","71278801","70824029","72148215","69320437","69946615","70009108","68091778","69262251","70192865","69261087","71949926","71819775","71423772","72928060","69350095","70028314","70280169","70957978","69123544","71035698","72253907","68813165","74352552","71711276","69090513","73003184","71427960","71460189","74180717","72388465","71638647","72401343","71372157","71029012","72598257","73544041","71556683","74176857","72826342","70773706","28909057","75151734","74499091","69854302","70002154","69427237","70267177","69832518","69930246","70369795","71018332","71766938","72956886","71251997","71770400","73368316","70710323","72939970","69345941","73183661","70138055","69674260","70754966","73008851","73230378","70770198","71895786","71553047","71711269","72125243","70140665","72232748","72019048","71595989"
"Unknown 25",NA,"31774.74","14136082","13603256","13220490","25105099","14470734","24429287","14697582","16460609","15590439","15270053","13403178","13761768","14305074","13647703","13627068","13390011","13639940","13369907","15029716","14513240","13742767","15284614","13966796","13733435","13249627","14269216","13986078","13489411","13374512","13703128","15535535","14355143","14778129","14288288","14386919","14207731","16137854","15916647","15499834","15494200","15078638","15567099","13582811","26717569","14082916","16080420","14749715","14444695","75484486","16059131","15164693","14295721","13587805","14347659","14366693","13454993","13956977","13731620","14039000","13933092","16134837","14677516","15234471","14466837",NA,"14452766","14656179","13507182",NA,"14835752","13990222","14041456","15239537","14606210","15147561","15354666","14635282","14711493","14946366","14880156","14531868","14946778"
"Benzene, 1,1'-(1,1,10,10-tetramethyl-1,10-decanediyl)bis[3,4-dimethyl-",NA,"31792.74","57237","53406","46587",NA,"52376","45128",NA,"82296","67691","61933","55835",NA,"44331","48544","41538","49471","48120","49886","60885","59385","54136","63966","46280","50597",NA,"58343","51368","53035","52609","51093","67209","56708","58403","55849","52180","50495","73436","64895","72323","72457","66310","68350","50932","55208","56812",NA,NA,NA,"55864","58039","57217","54165","59476","52130","57043","55220","57460","57294","53920","56090","58472",NA,"56940","61540","55633","61525","53577","57481","54277",NA,"52695","58528","64326","56458","57786",NA,"62560","57377","55136","54102","54603","58106"
"Unknown 26",NA,"31825.74","6282015","5352031","5501694","5100481","5763077","5062118","7102170","8625607","7192518","6130924","5823835","5869689","4768669","5262757","4813742","5054724","5338020","5167999","6415406","6576609","5532855","6775246","4854438","5382455","5291443","5876652","5506281","5462038","5614264","5421629","7365789","6097466","6340547","5627499","4937444","5692549","7954425","6960862","7507673","7090897","7118453","7038475","5446610","5989550","5816342","7150029","6198883","5890476","6102734","6350777","6049391","5901993","5952389","5660984","6053893","5783047","6038995","5812331","5911858","5992596","5947798","5632322","5964702","6223536","6069835","6379239","5770312","6061301","6231503","5649697","5851888","5903900","6793613","6101409","6111897","6902320","6506686","5843336","5803295","5558374","5708588","6153575"
"Unknown 27",NA,"31945.74","88367","71435","63342","65512","75470","57396","133162","152305","138168","112488","102642","94603","75792","73965","104493","93772","63140","78552","181443","136974","173657",NA,"126163","119311","84629","142374","108308","85641","107253","95964","179142","171891","168066","138127","137144","120164","169518","107082","149159","114047","113412","193529","122368","164798","146258","193297","137566","163714","136479","135653","133357","134559","173725","130526","155733","121463","155811","135467","125103","135095","159365","109656","197678","136038","160458","127176","100787","113108","107566","118705","133143","158770","163040","133797","132079","138116","162321","200841","174100","170627","153739","162968"
"Unknown 28",NA,"32005.74",NA,NA,NA,"98387","113824",NA,NA,NA,"187501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154945",NA,NA,"128302",NA,NA,NA,"72917","129362",NA,NA,NA,NA,"154064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"143087",NA,"140194",NA,"137674",NA,"139757",NA,NA,NA,NA,"144215",NA,NA,"127760","141949","142016",NA,NA,NA,NA,"123758","122681","142569",NA,"178099",NA,NA,"166266",NA,NA,"149997","143466",NA,NA
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",NA,"32353.74","97280","71015","71815","71022","84833","69380","140535","169714","142667","130612","92841","112327","64756","88340","77108","77045","71445","91390","121184","119718","97738","129641","101688","87498","94500","100611","82253","105397","102524","95017","139092","110945","107668","126713","80130","98871","150782","116246","123197","135799","136278","124315","99103","104389","88277","99464","108544","93497","90643","86622","93854","93443","90307","105005","90297","119658","110301","113859","111935","112380","87099","96056","88721","103487","92726","102903","111408","118484","110787","100237","104332","86841","144795","101039","109715","121942","89497","78118","92362","102935","72567","71514"
"beta-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester",NA,"32608.74","640845","1138967","928063","679226","626895","620189","895568","777181","733772","1025841","720410","1132534","252587","233749","253149","311004","209332","263103","143792","157803","135618","203916","206017",NA,"158207","200670","200006","93190","157859","123187","250579","336181","236584","318292","316100","350761","148350","195762","163393","200596","195422","193477","187011","209290","186652","199805","215289","202134","299868","251468","325491","283099","289176","293471","297067","281054","288158","283519","289424","279272","308679","278050","278814","321747","297163","327863","270264","327927","280426","256813","286203","118743","155815","117662","119222","118231","127625","95117","102502","124755","95081","100796"
"Octane, 3-ethyl-2,7-dimethyl-",NA,"32905.74","101181","99385","97849","112814","120104","117915","108344","100196","95039","112241","126389","95760","109527","121444","119889","108253","130779","120139","112628","122003","112168","111596","135797","121978","138504","114548","116800","114636","114470","120235","114874","113577","124806","127876","108793","116397","124235","129001","121857","115927","118017","110653","128607","137510","115573","140601","128763","108690","108104","116485","122337","115674","125731","128939","133611","114430","118659","115033","116453","111275","120785","114696","122692","133163","111998","128210","127363","123125","131692","131486","141782","116468","114812","114578","136868","111784","118754","110261","119879","116196","112740","129840"
"Uracil_1481_2TMS",NA,"33340.74","8716181","8972076","9265726","7043984","9236441","7440991","16210441","20745876","17365260","10618335","9419803","11867689","7241228","8799835","8517939","9368140","7965650","9843069","12419243","12040733","9570843","13475876","10277634","9957902","8001895","11010723","9400978","7053948","9226358","8268396","13665936","10824683","13089080","9922731","7836679","9544071","12003961","10800478","13111773","11512072","12699717","12103421","8242981","8610519","8319548","8347206","9244326","10116949","7498921","7605931","8540062","9716103","10551628","9675247","10473930","9836444","10655620","9976928","10441181","10130904","7762548","7831830","8546096","9108741","9017014","10484235","9314482","10677020","9222659","9156949","10305868","8389732","11162890","8658004","7888513","9764713","9071860","6202530","7583559","7421153","7316157","7754929"
"Nonadecane:2",NA,"33388.74","1181519","1160880","1144846","1154089","1176987","1179664","1676793","1956941","1670593","1326557","1300546","1473087","1156515","1192840","1297148","1363596","1310451","1313251","1461090","1471845","1433558","1453277","1335858","1238477","1181341","1376368","1217954","1136265","1272286","1185814","1433566","1335734","1313525","1228112","1170341","1230722","1442723","1277449","1600143","1346311","1473039","1493158","1223487","1269126","1186956","1233029","1359033","1242263","1123508","1112608","1225314","1349041","1255808","1233308","1259260","1254613","1304986","1345152","1370200","1320498","1145821","1242084","1261355","1335120","1176395","1332378","1190627","1338855","1214345","1314436","1385351","1168529","1306997","1313762","1129467","1181339","1248325","1124314","1086728","1330047","1332662","1260783"
"Nicotinic acid_1493_1TMS",NA,"33580.74","548463","491482","494574","425261","466793","360049","791435","942886","795613","684476","538849","669322","296122","495436","433237","485970","460334","448492","620598","692879","546119","723140","518144","566478","537470","569625","562849","476886","523178","545114","701054","628397","668394","700078","552408","669591","717594","568876","686644","728200","729684","654206","498691","602759","504607","577368","505014","618097","426854","470418","472032","556068","558273","536603","603948","599911","632030","590331","570305","676448","567997","551625","494901","620191","557473","630131","562288","660533","624218","523450","546684","484568","698212","490114","597754","541758","528735","539370","464735","621137","452761","433961"
"Pentadecane",NA,"34408.74","12719829","11827876","11722932","12371102","12143181","12106423","11177032","12527233","12048685","12912763","12675079","11946637","11953638","12286825","11909942","12184728","12882116","11842420","12065220","11488750","11643452","12265888","11756198","12310396","12267225","12776163","12478845","12388861","12845769","12327554","12609385","10899154","11889380","12631118","12741962","12654678","12408056","12986520","11898835","12122235","11182936","12079424","13245117","12740775","12336024","12574536","12372516","12235173","11336982","11453346","11471157","11482791","11573814","11132258","11703875","11627447","11867866","11809812","12406664","12243440","11966667","12070451","12159390","12089968","12826588","12194593","12176362","12154003","12671346","11661370","11936583","12899080","12663806","11511694","11556700","11697467","12063894","12049021","11964740","12214855","11409208","11532997"
