"","GD_012_matrix_RPN_RRHD_B1.mzML","GD_014_matrix_RPN_RRHD_B1.mzML","GD_015_matrix_RPN_RRHD_B1.mzML","GD_017_matrix_RPN_RRHD_B1.mzML","GD_018_matrix_RPN_RRHD_B1.mzML","GD_020_matrix_RPN_RRHD_B1.mzML","GD_010_NIST_RPN_RRHD_B1.mzML","GD_011_NIST_RPN_RRHD_B1.mzML","GD_013_NIST_RPN_RRHD_B1.mzML","GD_016_NIST_RPN_RRHD_B1.mzML","GD_019_NIST_RPN_RRHD_B1.mzML"
"group","MN","MN","MN","MN","MN","MN","SN","SN","SN","SN","SN"
"M80.9488T25.5182","0","0","0","0","0","0","8504.40118169684","8495.13310993195","6146.83405079481","5415.00835116478","5476.89614679337"
"M86.95T947.95","3767.56786080303","2582.79816057477","2962.01149874602","3144.06954518039","3129.4777480808","3127.94067390487","4099.23346450628","4675.16424959482","3673.29607545922","3656.478861668","2827.30768441164"
"M87.009T27.3246","235.425678547407","378.122245951219","177.33611298573","74.0705604430049","0","190.235543249485","25876.4231360808","20521.6175247091","16172.8805425644","13854.1664134434","12994.4243286896"
"M89.0246T32.15","3789.49324275156","2355.28037247286","830.400738326973","3418.07545155153","960.007973328752","2642.99397315682","379405.753423804","356126.00470087","375062.278025296","274253.174228132","255473.288202536"
"M89.9257T947.9249","79049.1671311655","53640.5457458022","49311.7514087379","48194.6747367114","45815.8465899789","51571.1235888881","70925.3043936255","68501.4013233006","52887.2587116345","64941.2362470245","41278.7386723191"
"M90.028T31.5412","345.70413552742","198.421747485488","283.962492444868","249.582871241072","370.922068177014","0","35410.1571492032","37877.8870335737","31776.360062965","30963.0728991063","19302.8397936622"
"M90.9336T947.9501","408360.085563812","237511.904669745","364073.625057497","228683.50521724","223976.141015923","222376.272647847","303267.131867053","296182.44306347","239822.769945467","224933.640744256","213851.7081865"
"M90.9336T21.0372","25828.9424025136","24460.8323105296","17075.6045499426","20352.3937770081","15535.4889600543","19202.3235533164","8685.02943707275","7778.64817576066","5322.27943820338","4047.60693387015","4143.22547512559"
"M91.022T418.0248","4177.44816648961","7053.98679350853","12651.9774916203","26322.3993060493","34360.5473818603","49988.4704224196","3979.79401313783","5441.60138775411","16006.9753516406","33311.8546380859","51770.2628771876"
"M91.9213T947.95","42110.944953956","25058.9202884775","35403.1522974165","34188.6540060116","34543.4345135682","30040.4039522031","50421.6939967436","34691.5878933511","42879.3183493013","22161.4720116773","28770.4671881859"
"M92.9046T949.1615","6321.34960930157","5477.69894923213","6510.01443955659","5867.44436584007","4963.32156844626","4883.93203207518","7883.77635206222","7199.28307367029","6843.14188670155","3505.67008890939","3204.27446160786"
"M92.9287T947.3451","246718.040226116","251023.826555504","301734.107673994","298854.971236557","221596.975550665","271230.607179492","437994.886333605","460500.331608352","258433.683226444","310086.906386748","214648.024910628"
"M92.9286T25.5206","7469.10301728919","0","0","609.080201012859","209.756392723725","404.857740511031","6313647.51646099","5767780.55103012","4828434.08729283","4120516.57387769","3748459.25855553"
"M93.0346T233.8952","1746.08419794611","825.740942308064","505.513471392715","263.833790099481","208.659900887645","490.826026081823","473494.822165993","403963.823845339","303617.776330729","230388.612459851","202542.02143177"
"M93.0345T51.4128","0","101.280551590337","0","80.1082788466114","0","85.3308720881614","34372.2320645472","31440.0821796509","19717.7134719205","14315.6379693643","13914.8417930597"
"M94.0378T233.9142","0","0","0","0","0","0","31718.1922437462","29351.992408927","20809.1824873066","17959.1311099487","11896.634491963"
"M94.9008T949.1509","1631.83528053388","3779.29978722384","4104.49757366183","4096.74741131703","2771.65141809084","2654.35521795274","3439.14588374021","5344.92907141112","4479.89330632327","4384.27296978481","4119.13256161066"
"M94.9256T25.5182","13836.5169357239","23450.5655713718","8573.6909527323","22103.6133638799","7431.92388084289","15978.2332236082","4733897.84059992","4369495.39724147","3646746.40595409","3221460.79302834","2931527.91133687"
"M94.9811T950.8572","496354.639323568","453018.537971333","663399.495007549","638074.888848396","405860.265231067","83536.6184630125","627621.26823973","573608.659198053","470604.584161668","416304.191188098","393320.761098162"
"M96.9225T25.5194","4624.81519533268","1604.26384094308","1186.21136562333","4475.78154050903","714.010712992139","1406.78321461938","1043131.2127788","859579.765451303","722684.842840488","620130.330090039","559379.743611174"
"M96.9602T950.9647","1521503.87351807","1214711.38593227","1187560.94703439","1339032.93955024","859285.389616595","467873.931539098","2073644.39945241","2215502.84086136","1644753.50370073","1128127.92143555","1104740.26827049"
"M96.9603T40.5563","54542.3176013576","180938.963576892","24609.8306947157","134427.205790279","112589.791037067","26488.1331398796","9514546.69612593","8719120.84098998","6589586.60629682","5376505.67049126","4768763.66555269"
"M97.9315T949.1616","373198.747790612","307227.233935572","282675.609325676","253717.999872685","240480.937069477","236777.855787348","402371.998420181","343312.476184068","323360.358054935","274979.424516469","168915.956677295"
"M98.9066T957.0351","25337.2821249536","19032.6823066045","22887.2139656483","20125.7317730999","16671.4177473196","14911.6286413792","29602.0948255609","27293.3726883888","23326.2561452834","23405.967221928","18291.6643143966"
"M98.9393T949.1612","832368.946114781","677433.726069767","584335.133133902","749037.842396278","765826.092102888","679409.187354873","865800.235635064","836181.65749291","785591.417220507","649105.447848965","781997.731388164"
"M100.9341T949.1506","15356182.9156514","14622490.5324597","12822390.2729876","13844362.9843832","14766258.2182309","12182438.5887331","17905465.4029266","16617128.5481761","15365192.2169967","14338775.1031402","14756780.5992014"
"M100.9337T680.8679","1070710.70160262","931895.434678179","863505.756190849","746732.042232846","675569.822641351","493199.424882448","1202227.36365199","1078847.07870241","872048.435526123","731480.489687145","668311.692104779"
"M100.934T844.995","83243632.1505862","104923199.81532","50852617.7961389","25171180.5882091","47138984.747863","30527881.9393432","76100102.206184","33379896.8232592","23817131.5950262","68596194.8877913","66201160.3556451"
"M100.9337T720.8391","2921578.44674583","2395872.09174798","2370277.34529611","2125570.01652626","2138342.20789238","1493986.18778345","3147751.79444974","2941111.4732666","2385069.52694634","2188367.28177246","1958211.13041503"
"M100.9532T20.7347","8902.32490891708","11349.8211440072","7223.39994604974","9664.1592981387","10827.8218072257","8828.08902996216","4084.56634043158","1501.7464627603","1814.53931420584","2023.64278321881","2194.43791129682"
"M101.0251T24.3541","1888.2170713382","1627.31962382233","653.915996871125","1551.25223056561","705.87516344712","763.773633580847","35990.7459121552","30722.1646439251","31214.2008714378","29759.1716369781","23859.7780082417"
"M101.0607T86.2153","72.2717758071167","0","0","71.7565017747879","0","0","25456.4944821882","19675.6922421241","14628.9067240252","13888.0172431902","11363.7853898899"
"M101.9339T948.8479","2118274.29086059","2061060.98297716","1943404.65874696","1703406.79047114","1649961.87425082","1647462.50421747","2343205.96728971","2278649.76967021","2089084.7344375","1966907.75586722","1925324.32420497"
"M101.9339T846.205","4296443.69787828","3839284.45357528","3558509.19813089","3529900.42040506","3683553.85103027","3026361.57075475","5569814.71434103","2056669.45345013","6211880.4265728","3049547.98054279","5275794.77965215"
"M102.9107T957.6406","18925.0362017386","15804.6365763264","16123.3349524952","16222.2750705296","13330.228965826","8504.29951331541","18598.4846696944","17704.9034625386","16136.6442141724","10913.546883327","13403.6915547278"
"M102.9331T947.9501","814152.114896105","779521.570019478","777199.568640666","756547.856223616","534634.176589053","681315.977841411","665441.654478149","962599.802613573","842377.950920501","697229.105462589","774138.990371276"
"M102.9563T942.5","303053.162669644","274932.776366717","272648.599329529","278890.964848022","253355.423935169","232522.0133847","357086.401326396","335110.410500532","296956.566960915","265837.655643942","218770.375846365"
"M102.949T19.5238","127527.573787532","197026.334022859","162691.026760433","189287.324967998","155358.616834114","148236.242573033","79097.5121309925","61474.3188813313","43758.372195601","37467.5734884038","39270.578606829"
"M102.9489T971.6378","465149.669492846","347086.333069227","421615.447266304","355699.503912418","427790.89385123","395292.01171949","460932.827681464","510270.992181612","363810.537133504","323644.324735647","436148.004735457"
"M103.0403T38.1431","1496.5470100879","2253.16566032211","632.421112627747","1237.83400910004","1082.54896319849","2411.77691641781","613507.110405583","555739.226151776","484795.796765476","430362.308526927","391935.857322146"
"M103.9201T964.9072","895514.011066911","841976.974117054","742588.74208735","706324.729115524","707489.701334322","600174.30252938","980859.645797011","911047.768609826","789742.427681217","691014.381938216","606967.056424256"
"M103.9201T21.3403","257798.564990757","209241.263888454","213985.952001021","180482.186815974","169039.054636963","177038.186663818","94662.5349565089","88066.7292217645","58858.9544381195","48588.3299673496","38105.9210818229"
