"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M129.9685T903.3","129.968493143717","903.342989479811","631415.687026448","616689.113680185","537407.568898999","763180.278427466","368875.259470203"
"M129.9955T833.9","129.995526994978","833.915636929212","312356.440232193","312438.650934775","352085.53755992","222399.624175877","87930.1818617322"
"M130.0074T100.3","130.007434082031","100.335373350347","1234500.27840203","1140313.25739536","1199530.98826456","894696.877884301","825069.412599592"
"M130.0074T439.9","130.007407052176","439.865699461003","2216029.09636908","1982331.61191764","1412127.16849815","1137690.42759675","914288.855044516"
"M130.0075T1077.2","130.007513427734","1077.19212058115","2028739.59131528","1810082.33691096","1534740.3539226","1225364.89651532","1012509.15976136"
"M130.0418T931.6","130.041786193848","931.577960535126","22756.9191783393","22648.309028597","19303.3786838028","17328.0783798727","18479.5594505207"
"M130.0497T164.3","130.04968363444","164.343120060677","1207108.09603818","1305564.80003886","1101060.59086586","879068.965480641","734038.974853414"
"M130.0864T38.4","130.086448669434","38.4221110549578","368481.99838343","269654.790348468","363763.874705317","184626.983414787","168127.086621521"
"M130.0859T488.8","130.085917881557","488.789128755447","112196.453294373","46354.5870470837","24923.0251374096","189951.540566949","164488.729159974"
"M130.1221T886","130.122145080566","885.954349618287","126569.454687909","105680.698656765","68737.7836536866","58609.4718399313","61835.3763294549"
"M130.1583T337.6","130.158347720192","337.597886853582","483610.194863074","403417.978249148","377089.386185444","309008.967857374","248659.181742005"
"M130.1587T936.1","130.158748279918","936.093831915078","1443350.03463366","1368162.72576332","1115917.44602252","901153.622123862","786712.890976901"
"M130.5256T55","130.525582885742","55.025481466894","10063.4332884606","12799.4720426394","6208.64061161297","3200.35896267866","3294.56279596358"
"M130.9326T601.1","130.932592773438","601.060059354025","4694874.01996898","4281243.82058886","3576621.48365378","2797001.41558277","2297439.8884709"
"M130.9324T933.3","130.932369995117","933.342989159519","1033684.21173114","915406.961480049","854362.462109497","675944.687173874","607991.953872872"
"M130.9609T847.9","130.960872650146","847.898727445015","419677.308398462","447391.343807827","309818.231673312","277111.660867085","310027.674522594"
"M130.9781T438.1","130.978073120117","438.149233574646","2547556.88082936","2320190.34023745","2171614.44804577","1545906.21348774","1258466.44038916"
"M130.9786T943.1","130.978558349609","943.118048142158","3369523.45492063","3267343.77935428","2367101.24418982","2206816.68712171","1889467.86428985"
"M131.0849T471.1","131.084909439087","471.067971920235","270441.931544","309517.077227897","288655.858555934","80489.4346438033","47218.9438520208"
"M131.9298T40.7","131.929818725586","40.7233402889647","1209678.31097891","1009191.01116441","974481.398668132","613723.388941596","588972.121109879"
"M131.9295T416.7","131.929501342773","416.720452248708","26732105.885463","25072314.1526843","20667129.4779011","16154333.7946748","14034012.3467757"
"M131.9299T737.3","131.929949951172","737.262297663763","367937.666296132","362746.036100398","357809.861115345","360688.807664956","368182.965728373"
"M131.9297T1016.2","131.929689679827","1016.18623113962","7270917.68303327","6904096.18999682","5803451.59095216","4986618.66914764","4113493.23585933"
"M132.1018T39.2","132.10184173584","39.2176998920676","6746494.82870561","5945139.46285157","4902852.53796223","4274857.52196947","3718948.61456613"
"M132.1377T333.2","132.137660980225","333.19746100238","262965.268238047","262897.212567362","123601.125181789","220834.675948585","136360.304886855"
"M132.1382T971.5","132.138177659776","971.537992631892","963640.071097267","824100.733052472","758247.591422415","600876.999237815","538680.987206976"
"M132.9302T682.3","132.930181676691","682.282635917214","3397630.74893029","3080569.1171341","2601754.53230616","1997499.98506345","1840359.69811441"
"M132.9785T800.2","132.978475682876","800.196549012861","392432.442873427","287109.779143019","333178.160587339","245793.666150698","230883.704730786"
"M132.9871T31.7","132.987115478516","31.6761823289248","56861.1301771345","47003.2822994708","43358.77841329","32148.5647956529","33670.7598206809"
"M133.0071T57.1","133.007092793783","57.0847403551604","33505.6541119274","37155.182295631","28045.5799385455","10061.3259147366","9734.41202952354"
"M133.0315T35.2","133.031478881836","35.2408912899466","98621.9554280947","92648.7591093044","71917.8641064735","62083.3360140284","55764.4275344421"
"M133.101T522.2","133.100952148438","522.196259894141","413890.511427148","308241.372292617","123416.809339949","349535.985608494","182801.151530033"
"M133.9275T37.3","133.92745513916","37.2609860831542","473948.664510024","405492.299371515","358829.125715141","246339.88657601","234578.587180615"
"M133.9269T442.3","133.926928006686","442.341640792642","8660478.02650475","8043697.18611921","7281059.77042128","5465546.3763412","5292522.50319297"
"M133.9272T1012.1","133.927203369141","1012.12344397051","2651982.9276892","2521114.76498634","2162859.1913165","1717920.05145509","1638520.07995915"
"M133.9299T809.1","133.929943847656","809.133086055449","5470005.59289748","5652371.18230002","4642524.15540107","3046833.93912823","2433106.47244612"
"M133.968T352.5","133.96796475924","352.502893149653","1153672.06884574","1095094.87625941","792020.304596693","533231.471636263","684022.986178983"
"M134.019T28.4","134.018984985352","28.3603092024134","65941.6249692726","60264.6726552796","55744.238680012","46437.0046585542","42543.5271855069"
"M134.0604T55.3","134.060369873047","55.2641039570358","22336.0336594424","22019.3274813114","24142.3463577551","16180.3278997627","16481.7221829877"
"M134.0713T871","134.071306864421","871.048973910164","246562.444456971","240296.091392373","221650.776040296","145018.067559025","115534.9714039"
"M134.0844T431.1","134.08440726144","431.076167361945","311780.975303775","290924.858437078","294019.352467012","231032.73659513","151117.300358922"
"M134.9283T707.8","134.928336510291","707.834842510531","2527651.14922537","2050552.90537843","2044246.94828607","1491867.56844349","1036413.83678104"
"M134.9747T823.1","134.974669320243","823.081476202246","1351.18794573212","25504.9931207137","27972.1813676461","8848.60223871935","3900.37927970757"
"M134.9871T355.6","134.987100982666","355.569342237873","2559707.07347989","2430449.46007828","2095933.13069503","1856017.61657524","1733705.2243579"
"M134.9868T1084.7","134.98676554362","1084.73465225421","1255355.15619657","580697.922630327","525612.933056225","486489.353233318","438831.013480424"
"M134.996T761.8","134.99595489502","761.760738143711","217291.720262692","185756.679245285","161884.363471128","141993.071140032","96849.4743647973"
"M135.003T36.6","135.002990722656","36.5861002161068","927600.562132362","815777.25874538","735834.840162603","589842.680624026","527095.508107972"
"M135.0666T885.5","135.066613417405","885.481604936654","528276.553018176","887740.657315422","450277.081101865","294131.22005495","383788.702839032"
"M135.0835T863.7","135.083505249023","863.73970781334","830174.638926416","803995.876663403","661647.004447955","621857.276999287","515284.716623337"
"M135.1011T568.2","135.10111618042","568.164670916901","2350924.07565399","2195857.60600255","1937663.14812887","1755266.91017768","1609409.74177957"
"M135.1157T479.8","135.11570892334","479.820463298421","112301.185041088","195640.779789073","405232.664604013","67488.5022388003","34651.7970929183"
"M135.9259T164.6","135.92587890625","164.610047114778","407390.738666429","336284.746254024","278800.403175684","183619.861869644","157425.560647477"
"M135.9259T1017.9","135.925856908162","1017.91122049829","2000174.34426338","1924676.32242403","1673329.90073829","1330337.23289166","1152860.26346339"
"M135.9448T949.8","135.944763183594","949.765003060214","715604.016687981","777741.164727115","593617.931199012","485942.640352994","428404.484873898"
"M135.9696T830.3","135.969569614955","830.288201031898","250442.213900399","211554.896580181","94310.2504539953","213798.318775326","105189.265107938"
"M136.0483T28.3","136.048281860352","28.3425931019976","538649.345546869","470924.845885525","437271.202923926","351808.963711166","281995.35060455"
"M136.0618T932.8","136.061839512416","932.779544879588","8093638.48319028","9499358.43078408","7391719.19943119","6764604.55918603","4543686.22799414"
"M136.1111T884.4","136.111129760742","884.423354279266","247421.530491404","142237.862195057","207724.509833548","103991.267621759","156377.298591407"
"M136.9254T738.3","136.925435384115","738.284235040439","28495.6708644775","491704.261930958","672674.020696901","778798.647370399","241114.629081561"
"M136.9903T739.7","136.990259987967","739.710995994647","295918.394952368","271283.357734973","113052.818867673","240789.365996141","153396.825150796"
"M137.0263T811","137.026266915458","811.023142959387","143954.144630548","105652.83345512","76120.931921378","61265.4414542078","45483.0849689604"
"M137.0455T288.8","137.045468139648","288.779266009742","1676062.87879027","1248047.82677738","1088162.34892846","1020499.12124325","874137.220086182"
"M137.046T988.5","137.045952430138","988.500827088639","2317646.6978902","3107845.41342365","1865354.45273596","1608143.42665061","1353608.43130555"
"M137.096T485.5","137.095987319946","485.504400453876","179602.273887903","109629.212098863","224010.816258646","180473.620734047","69884.1625691486"
"M137.1322T602.8","137.132235717773","602.840882837793","197800.646540067","186132.055843539","192326.876517925","152211.407821876","126134.475646407"
"M137.8924T934.7","137.892387390137","934.682097782938","7701.00830053603","7726.51891483322","5392.55677791034","6159.02466719424","5250.55895815694"
"M137.9228T771.8","137.922789962203","771.820988706471","1530005.59745802","1585249.15764802","1396706.9483253","1156920.26196513","829326.261467684"
"M137.9639T693.8","137.963904531378","693.800165363387","6367497.8143644","6149243.51754434","5333864.84123902","4597124.3126456","3696072.28888904"
"M138.9064T30.2","138.906414794922","30.2084595227653","96396.6608224687","93944.8577984086","83849.8008292891","72418.87829966","63592.7580851969"
"M138.9235T822","138.923520769392","822.034634392745","119874.883953041","56400.345595487","48906.1754855363","64970.0328973694","16494.6789889733"
"M138.9517T608.6","138.951715087891","608.577044510535","73827.5899852943","93961.6949293587","79297.0211099556","79799.344079505","76116.4873561686"
"M138.9516T864.2","138.951593017578","864.181444094984","25915.652121412","19678.0714218736","253638.535943873","81020.0238008155","36682.6090310786"
"M138.9642T400.4","138.964192199707","400.379756570207","1925375.40124444","2672548.61988711","1764751.90809427","1587422.20188485","1675615.55740579"
"M138.9641T1023.2","138.964074707031","1023.23711516295","1697802.89896295","1695810.47891214","1482476.82360944","1132640.97424789","939638.090724764"
"M139.0038T794.8","139.003754933675","794.839190109067","14094.4879749306","19088.169911372","312479.068851404","252458.408714394","718.157713534405"
"M139.0552T371.8","139.055197975852","371.837228691996","471475.761525099","640533.533565495","562939.161517562","457787.534337958","420928.335192674"
"M139.0548T991.5","139.054779052734","991.539778592402","458390.739048588","241533.792975771","203482.041081781","335345.674120073","174247.53695575"
"M139.0574T492.7","139.057369232178","492.732320887907","329686.5669056","95852.4369761996","95803.7347996938","88158.324544218","83754.0335234144"
"M139.0617T897.2","139.061679295131","897.226300251007","653875.042109985","631349.245601818","497894.7376734","381525.248326973","319409.58663682"
"M139.0861T62.1","139.086090087891","62.1294250690504","8369.93337795668","8020.84758300847","29351.7550667184","20425.9673589275","3617.05216825885"
"M139.1296T323.5","139.129574424342","323.509061164411","690768.478839064","753473.584742956","591931.612669363","468648.814788763","178843.314899762"
"M139.8871T908.9","139.887052263532","908.872588971101","142570.524702839","246983.705861569","120706.160543677","187932.356566141","91002.8431803328"
"M139.9234T613.3","139.923408508301","613.329792785294","1142078.43123423","992921.036693393","941054.306692855","620682.386022599","637736.483537147"
"M139.9237T941.2","139.923734392439","941.177411374509","416477.195914956","483312.671938621","351114.947383882","371627.55632197","253458.542067987"
"M139.9629T103.7","139.96287689209","103.728996169638","2551075.33159966","2306979.85449112","1926792.36701286","1455406.48814841","785448.366566003"
"M139.9629T947.6","139.962925720215","947.5944904523","5447221.83669032","5023440.08530241","4250617.23872441","3487545.75872234","3035626.05659458"
"M139.9874T589.1","139.98740196228","589.05684989273","14388241.0065656","13038439.2317268","10957710.0797057","8512524.55256509","7165522.45923879"
"M140.0141T360.7","140.014111328125","360.721773573372","160989.920630536","217124.690833367","116945.578503131","215712.384136251","134326.228834735"
"M140.0686T28.5","140.068569946289","28.4942598153923","1781583.75407443","1577882.25786207","1417621.1839906","1154449.1909121","979223.336864721"
"M140.0682T651.9","140.068222045898","651.904348071893","672106.980845335","609327.106385635","248030.333753073","424390.37206673","149481.661980328"
"M140.1066T108.3","140.106626238142","108.320525647929","21700.6729502891","24109.1178260372","20776.0366996428","13171.1246580339","9918.94084617021"
"M140.5149T359.4","140.514903259277","359.413498665411","27360.4073842313","29013.3948721974","23559.0276354477","21553.485128077","19980.7140939211"
"M140.5433T478.6","140.543309020996","478.565637070668","37290.2918612108","27812.0120684726","27610.0687776856","26174.3667298029","23231.7634011372"
"M140.8945T887.3","140.894505092076","887.256657849859","448178.933201624","363623.873424765","345765.240911737","271848.100636156","282241.670571764"
"M140.9522T1086.9","140.952160644531","1086.92661505644","2830598.20410019","2684801.30236634","2225188.00805213","1742235.99743599","1507769.62231093"
"M140.959T654.9","140.958970811632","654.868678501735","9874973.2504514","8616479.95003362","7920821.29665105","6588032.25120039","5547303.63791675"
"M140.9953T724.8","140.995323181152","724.813095805796","8788350.51592053","8160808.79404078","7053220.02501164","6309797.8159408","4800092.01450926"
"M141.0892T565","141.089158630371","565.040988576111","1420354.67224157","1330643.86075374","1178817.60972449","1004226.52536859","874885.797122164"
"M141.1105T122.4","141.110453923543","122.439041012554","478319.236370364","363914.58730967","277823.5163053","59121.475349234","115533.004189894"
"M141.1114T848.3","141.111353737967","848.327070790632","706162.7103295","759981.257969414","583002.01610585","689113.865503774","239513.886135016"
"M141.1266T733.3","141.126624367454","733.281461236726","796182.351895645","1078760.07721735","900054.067297043","748720.051873671","618405.454571298"
"M141.8639T935.9","141.863862609863","935.859758352476","86924.9261810008","82780.0010204286","71222.3257613819","60455.3225001444","51782.2682027137"
"M141.9205T592.4","141.920538766044","592.422927609602","660879.323397667","1251350.01705586","1120804.47932449","492186.0564549","814128.462005172"
"M141.9345T711.8","141.934490550648","711.82256486476","3775131.10265141","3833699.35001307","3102398.93570451","2274614.79938006","2158900.93799859"
"M141.9583T80.8","141.958267211914","80.7951036405974","41287963.9281112","37284150.809023","30847376.7349557","23059949.4587433","20258575.6490451"
"M141.9583T947.7","141.958262634277","947.699974013954","88915436.1775903","81301781.690154","70185317.0429734","58437107.8834554","51267705.3310754"
"M141.9832T835.6","141.983160400391","835.646213267391","3565637.56476017","3736442.53771998","2813485.24372479","2468460.75290502","2040114.79397811"
"M142.0648T49.1","142.064813232422","49.146045475591","114487.523703954","106658.807666789","124436.137097669","76811.4254978621","25183.5666902166"
"M142.086T37.4","142.08603515625","37.3849499478757","38115.8182047174","34994.9103010781","22681.6302847039","18094.528849202","10818.3501142862"
"M142.9222T937.6","142.922192382813","937.581013553664","28342.9893274466","37588.3562516191","35909.7033313264","30726.0958628074","50231.292922594"
"M142.9389T876.4","142.938917977469","876.44058174948","1723433.83868424","1703030.91656279","1350823.3431226","1075965.32487261","1024731.50056802"
"M142.9606T128.3","142.960627746582","128.250916682017","2318001.68188043","2038124.44042105","1724066.25718253","1300295.34785966","775135.857971826"
"M142.9608T947.4","142.960800170898","947.35885490027","5180346.76558062","4750159.87652608","4015155.91544093","3335902.18054375","2897393.51859616"
"M143.0327T751","143.032720814581","750.978822055876","1151547.24318514","1040554.35405371","905867.405075905","788264.377367186","706670.572366721"
"M143.0363T299.2","143.036332130432","299.176118186173","666150.442284316","443595.461652875","158626.534751222","426925.926707058","247327.901476545"
"M143.8589T943.6","143.858924865723","943.569211163148","264358.516225299","264433.497646908","238161.885600608","230323.590706575","223250.170692537"
"M143.9191T546.1","143.919115066528","546.137435861327","357239.245758062","423749.751415772","414095.501128976","335966.585909289","239700.364762071"
"M143.919T937.3","143.919046020508","937.338709798665","248659.179248056","233553.626120978","205545.567659963","167755.965864562","129352.349154663"
"M143.9593T371.3","143.959317888532","371.349306252435","1511536.63545567","820564.831918687","949033.26717631","554736.321418696","402793.145912069"
"M143.9591T783.7","143.959053548177","783.675028153294","21694733.5229659","20452386.3825361","17721967.9145018","15628072.5740449","13824026.8194824"
"M143.9962T444","143.996183776855","444.028019554355","1790444.70304017","1606306.84721725","1401127.58514005","1164112.27528653","1029129.095499"
"M143.9959T988.5","143.995909796821","988.548851895699","1296065.83876853","1142261.23508216","979417.149811059","824844.121956771","713289.78958926"
"M144.0436T129","144.043609619141","129.018063044429","29433.0197130699","147132.616680473","22797.7679035969","15741.3691638052","12479.4210438505"
"M144.0648T110.6","144.064807891846","110.585700342165","233794.450737223","292845.806370867","188795.55576675","134701.028885404","145708.664726994"
"M144.1019T34.2","144.101852416992","34.1919250614054","354459.939489937","1749022.08705126","1617100.26897839","1191515.72649184","802809.991548622"
"M144.8664T951.2","144.866449991862","951.219342470484","301612.422241219","174998.250624823","248368.257454735","166425.718850702","130702.20514573"
"M144.9579T939.1","144.957891845703","939.083472678444","1347658.23306415","1243002.8362594","1072614.24658919","882985.997210275","767989.519101936"
"M145.0164T686.9","145.016373062134","686.866049280692","3058994.75697503","1757645.71790771","2360616.47509177","1921768.41334362","1695395.0232251"
"M145.0331T560.7","145.033066459324","560.679630971359","2468303.30449826","2240757.4145528","1972792.81710152","1639249.05376508","1365081.19796204"
"M145.0336T966.2","145.033633761936","966.172453118016","378631.304386175","342823.196645318","297113.575746451","220532.728696939","174586.864180225"
"M145.0837T54.8","145.083708190918","54.8098668583029","90843.844200261","85929.3499588994","60634.1260403111","50364.0705517676","48891.823337324"
"M145.1002T342.7","145.100201775046","342.682957767614","264022.44967708","161411.501524902","545816.221779913","224035.415486639","103490.22094933"
"M145.5381T241.5","145.538130623954","241.498870913608","14560.9961608769","11988.2066194768","9117.83707190623","6309.371556449","6218.29947273256"
"M145.9544T848.6","145.954352242606","848.550407568262","6410493.61597685","5586294.57798621","5368479.07468231","5416842.45537329","4795913.8365455"
"M145.998T805","145.997950553894","805.002842842145","331859.015813557","363772.159144398","270650.572791965","199960.010597011","149484.770089719"
"M146.0268T80.9","146.026782989502","80.9358337076509","127327.666324496","101841.769720813","87594.7197510543","75003.9138898203","53151.5975282385"
"M146.0346T689","146.034554568204","688.992853048427","195854.462249618","284637.163848772","320695.410081719","203009.551296553","113772.869290522"
"M146.0597T96.9","146.059657757099","96.9215291792387","1263175.73827417","1165249.80366428","1134620.31547042","804940.693073046","449674.784036541"
"M146.0778T492.2","146.077750466087","492.210447998563","354281.786681647","332222.72873689","288226.379678279","236834.426533505","182579.206798039"
"M146.1176T29.3","146.117561340332","29.3081956214858","208621.98045617","182416.807256729","160468.384579056","125015.850098181","126451.463578514"
"M146.9122T918.3","146.912178039551","918.349806623103","11643957.8264714","10996893.4171995","9274422.38805702","7753359.51605481","6730255.67419574"
"M146.9369T142.8","146.936866760254","142.778100084285","120891.633715807","110531.350169743","94636.8901973414","62983.9096387623","58842.742322949"
"M146.9373T1003","146.937342834473","1002.95806675992","405708.847630844","393419.174038081","330172.391220107","277051.809884194","240965.105742704"
"M146.9562T813.5","146.956163024902","813.462843930843","316910.804706798","341533.404370538","126939.87534294","399182.647301593","186022.504546983"
"M146.9793T964.8","146.979316711426","964.774347240736","298175.950455235","270025.568810683","204971.208830495","288003.197420389","158813.54863408"
"M147.0227T471.2","147.022709655762","471.177944714305","12893045.5102229","11774477.5684341","10444742.2514412","8476679.43418827","7161609.0188588"
"M147.0227T945.9","147.022738647461","945.904312500087","2527226.17197909","2325328.24901776","2025720.34833041","1623927.64015942","1373912.73701538"
"M147.0761T31.4","147.076089477539","31.4019776974054","547572.717536131","497726.453592389","449771.820726861","379702.95736489","328778.68420637"
"M147.0806T507.8","147.080613454183","507.753992681323","266589.113196206","249801.52697387","237850.449003414","18688.8352473038","297203.248068294"
"M147.9123T917.9","147.912252807617","917.901407525845","1349572.65276416","1254421.74832153","1084293.48522099","879010.491081624","769968.706269339"
"M147.946T360.3","147.946016311646","360.273569686276","399278.166212585","407679.000953374","167135.428851264","261857.923176705","73065.4904652753"
"M147.9518T854","147.951774597168","854.023429130094","1113620.28712264","1161405.19320131","926847.347486908","841196.833815354","715235.444597284"
"M148.0202T457.8","148.020239148821","457.759582221798","1537130.1312867","1357617.10807713","1183643.29002414","920766.302993647","666644.658393447"
"M148.0195T996.6","148.019485473633","996.637700987281","393976.89044095","407057.895043323","331539.482465843","159938.959523751","136188.934890657"
"M148.0959T327.7","148.095882292717","327.747514583734","517121.973320861","443642.557371288","322341.27881992","287040.490056044","227591.890006671"
"M148.5314T496.2","148.531438191732","496.223890399749","10225.8684985214","2021.1475499333","7672.30613715295","4698.3896541629","6207.20527668591"
"M148.9119T876.8","148.911931355794","876.800386361571","413481.111002129","405900.426443964","333415.09726598","272385.882798873","226896.091111295"
"M148.9445T920.7","148.944548470633","920.675628826757","651626.786215563","579364.171919521","523856.924601093","275136.727954553","300982.300509511"
"M149.0184T43.2","149.018426513672","43.2119508969685","163701.471141199","138993.958256474","132345.167179844","99438.638596834","87989.9952054503"
"M149.023T502.7","149.023005894252","502.67685672971","12221951.9893054","11338232.8985448","10173963.4940504","8202411.8164816","6847917.75587791"
"M149.0595T43.3","149.059524536133","43.3006226794922","77800.9376135894","68178.6625990622","55106.0900435624","47469.5769166132","40623.7180008429"
"M149.0591T313","149.059132385254","312.99666858614","764807.967368676","665963.969635459","584374.379057491","420932.247012853","310354.868493791"
"M149.0624T693.6","149.062386145959","693.612702355526","2820142.90733293","2649360.79818208","2294463.58216303","1910286.68621461","808444.3618874"
"M149.1318T586.2","149.131785801479","586.198464415365","345010.808299496","318548.293684882","263679.0634172","221332.721738459","159731.38591097"
"M149.9404T395.8","149.940361658732","395.79924875582","5407062.3237237","5423009.69398763","4694337.99614536","3272866.33607034","2949026.0937408"
"M149.9403T1034.7","149.940321350098","1034.74043012438","2546115.26276789","2450346.46232971","2099581.3971804","936591.902522892","1394540.28726641"
"M149.9518T800.7","149.951777140299","800.663661466424","1693868.44178026","714764.614322786","920158.305015149","1285739.01841642","556332.251974628"
"M150.0141T29.4","150.014135742188","29.359853859004","87759.1997021845","82499.9604770885","74039.916085748","56389.8120008462","51552.3521542821"
"M150.0263T466.1","150.026251140394","466.131717479613","1052748.9252732","805567.860707002","617394.461852209","649005.481872965","764722.123941441"
"M150.8629T931.9","150.86291809082","931.862219938464","15841.1635279332","15513.2843321718","13603.4095043859","11714.122844534","9997.89050640423"
"M150.9411T417.8","150.94114957537","417.833817032271","873555.092633389","889365.759271326","761309.042699841","537499.007675933","476715.598002921"
"M150.9412T928.1","150.941228693182","928.054337084005","303688.500877077","295808.04621394","240077.698390935","243554.284227014","170625.900747939"
"M150.983T320.9","150.982983237819","320.926497210417","881587.61122979","476880.988693188","634349.956219793","430161.171423146","393804.005182552"
"M151.0404T484.3","151.040418184721","484.291297535196","78882.9761228838","231155.1029192","33677.1535178656","290609.540140453","53058.8178380106"
"M151.0957T759.6","151.095712934222","759.619739763614","22525.1700575101","289241.933338684","251665.844166141","190547.982338162","322356.592957377"
"M151.11T457.7","151.110013689314","457.68097606491","223492.611106792","396426.686002349","83077.823627973","186196.408077128","21474.6900665853"
"M151.1475T600.3","151.147479130672","600.33390443614","180928.654229689","152779.361379847","119029.295141143","100626.692009328","93175.6123589539"
"M151.4347T954.5","151.434659322103","954.470934846562","8726.89292674373","10407.4581082636","11157.7944536338","7691.27069584353","5089.6832846011"
"M151.9377T370.3","151.937683105469","370.321876108458","1194914.64899004","1064666.36629764","1424707.32384796","1098548.30217203","683896.81494671"
"M151.9377T1050.8","151.937694549561","1050.77867834115","1008046.41109475","996591.993490694","844025.094183558","679442.312956658","547588.491868192"
"M151.9484T583.4","151.948365529378","583.442348658676","215286.727428959","1083543.17071753","844413.846047704","762954.60203419","635995.803431789"
"M152.03T30.5","152.029962158203","30.476725037467","42859.0359308823","53472.7718686674","44773.2741479951","42790.2052148531","34368.9906644862"
"M152.0703T47.9","152.070257568359","47.8806015131512","281467.159196112","760969.779089815","228312.124291194","312244.43092614","288159.94253852"
"M152.0958T451.3","152.095761299133","451.309850573265","96329.5628232373","275984.038622657","255324.595085258","234355.655277687","19961.6436802543"
"M152.9387T494.3","152.938706031212","494.282478048304","322160.185490617","250095.805308147","317888.724880249","187475.777322549","157894.075369544"
"M152.9803T295.7","152.980323791504","295.730115500731","219470.539262431","140062.109492639","180478.800029798","176360.131821872","103330.653581802"
"M153.0071T966.8","153.007134755452","966.776830006171","392009.782690948","409315.892560329","316967.532642616","270897.707140099","239840.831739037"
"M153.0207T829.5","153.020691871643","829.490173105198","404664.604250984","433661.984080491","304775.282133583","325198.206840833","328432.47792212"
"M153.0563T400.2","153.056326293945","400.228645727488","213070.911744666","193263.715258908","19715.1360782525","140891.560470131","113994.015237851"
"M153.0584T524.5","153.058420034555","524.466681148903","175557.318128256","477382.103384833","583976.92676332","188427.005464236","155755.403592131"
"M153.0583T937.2","153.058279418945","937.203669973585","25096.4061533717","22930.4903765313","20965.1041062167","17614.8852840686","14041.0727663007"
"M153.0661T43.5","153.066122436523","43.4833618509919","192177.758364029","169979.942500687","156111.77135291","133276.525263512","110335.722775343"
"M153.0883T598.1","153.088345695944","598.07811999328","915844.099298404","826613.524317276","723259.193337425","589106.066793583","510579.74717136"
"M153.127T590.2","153.127049037388","590.151142112855","488549.961936398","464322.05015375","387947.862022356","198868.671010714","266309.712897509"
"M153.937T824.9","153.936958312988","824.862798634394","135353.750591474","128761.017103342","103784.527133568","78524.3441596052","72521.091707785"
"M154.075T532.6","154.075030517578","532.572194761007","184573.823421693","326010.58174828","216054.470757013","149402.357943835","157579.026695963"
"M154.0839T43","154.083862304688","43.0074677123832","65157.0365378689","54752.1548713526","54287.6207153125","68636.1847215328","37981.5037358804"
"M154.8954T934.9","154.89538269043","934.940262743905","64483.9729387043","61355.0040108114","51391.3866928822","45754.7219053508","37536.9128275992"
"M154.9068T474.5","154.906789779663","474.470864242447","364933.464375281","345463.686918928","309461.147041795","288348.339038225","268619.392487872"
"M154.9791T717.1","154.979077657064","717.062057373472","6097706.7781188","5839583.85195722","4955251.86278953","3841641.97642113","3605068.43300865"
"M155.0021T123.7","155.002133178711","123.739697763134","4254217.3906702","4006757.34591898","3276671.69478363","3056257.40966408","2596241.83500802"
"M155.0025T943.4","155.002479553223","943.446138435859","6838483.21363261","6366988.89169465","5494004.09803402","4614232.26320476","4096247.82627888"
"M155.0539T809","155.053937276204","808.981290277637","1662996.27600468","1656165.93824572","1125852.48113934","891412.397459681","837798.261107973"
"M155.1042T773.8","155.104160308838","773.825137114133","12246046.549659","11379529.5574915","9938978.77198876","8736788.96371703","7729266.92554353"
"M155.5412T343","155.541236877441","343.042807972141","9933.19728791258","7756.23169859719","6740.41785208141","6307.6152267892","4559.32983350569"
"M155.9949T837.7","155.99485168457","837.699850539221","2900332.97865626","2360234.84516111","1956138.00602781","1476147.84525277","1335884.40299411"
"M156.0033T993.3","156.003346252441","993.251555284645","974490.798883638","346194.718156152","293227.162557944","378696.109921645","324070.7285615"
"M156.0423T28.4","156.042318725586","28.4136206514948","375318.061580317","356195.461730477","261176.614021945","260851.678110384","193736.361013377"
"M156.0764T43","156.076443263463","42.9811260468299","519852.348550724","356488.893837001","310453.362348517","261045.184921764","240891.089565681"
"M156.1073T590.5","156.107284545898","590.459379933517","1332081.05880718","1258635.99068804","1101669.56721101","891734.621632733","771408.915753883"
"M156.1374T752","156.13735516866","752.019299069805","210834.713707731","151925.825028246","172604.169502591","131745.052508276","17382.4451951846"
"M156.5181T494.2","156.518087768555","494.20621956471","29761.9914357544","21027.2453235351","33231.6199241685","25982.0525813596","19236.1123030001"
"M156.8897T706.9","156.88971786499","706.881423597711","1801363.05759238","1224768.64275366","1199160.2741625","1191264.58638716","1067045.12201931"
"M156.9617T716.8","156.961732046945","716.810110045002","4922823.59814144","5090871.95230941","4397587.40081848","4289116.42493841","3724812.48467097"
"M156.9737T338.8","156.973681586129","338.824814996841","1653069.84502251","1612628.02478649","1332395.95485835","1236465.07904214","1063137.10491306"
"M156.9743T1007.2","156.974295479911","1007.19528698116","1219300.73508992","1126418.23363139","937319.827389954","724489.483842584","610308.306687864"
"M157.083T238.4","157.083039855957","238.42607522478","4996711.77289001","4243688.53810716","3716766.64425729","2626964.81633158","2679596.93870195"
