Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	X1	X10	X11	X12	X13	X14	X15	X2	X3	X4	X5	X6	X7	X8	X9	GD_050_NIST_dda_targeted1_RPP_RRHD_B1.mzML	GD_051_NIST_dda_targeted2_RPP_RRHD_B1.mzML	GD_052_NIST_dda_targeted3_RPP_RRHD_B1.mzML	GD_053_NIST_dda_targeted4_RPP_RRHD_B1.mzML	GD_054_NIST_dda_targeted5_RPP_RRHD_B1.mzML	GD_055_NIST_dda_targeted6_RPP_RRHD_B1.mzML	GD_056_NIST_dda_targeted7_RPP_RRHD_B1.mzML	GD_057_NIST_dda_targeted8_RPP_RRHD_B1.mzML	GD_058_NIST_dda_targeted9_RPP_RRHD_B1.mzML	GD_059_NIST_dda_targeted10_RPP_RRHD_B1.mzML	GD_060_NIST_dda_targeted11_RPP_RRHD_B1.mzML	GD_061_NIST_dda_targeted12_RPP_RRHD_B1.mzML	GD_062_NIST_dda_targeted13_RPP_RRHD_B1.mzML	GD_063_NIST_dda_targeted14_RPP_RRHD_B1.mzML	GD_064_NIST_dda_targeted15_RPP_RRHD_B1.mzML
FT4060	443.317497691812	443.263965101111	443.346493769825	581.119002441406	439.627000099182	769.931990478516	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	470.824888641371	2025.39777002333	3777.9321530784	4773.97065603422	4865.81009543457	4409.7162438113	4535.84685528376	3676.28563732911	2536.7835781316	2941.62304158023	2179.41119990032	3035.23442922974	1912.55625490484	4250.59391436183	4052.38722082524
FT4061	443.804341542836	443.747593010349	443.848264900428	679.621995239258	607.526003540039	769.931990478516	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	866.976403747562	2224.11476242676	2338.16975961839	8245.04810631306	8802.83511067711	11889.4976143773	9520.54204331329	4283.28329692077	8425.21241823167	1346.01135330709	8300.10925696149	2324.38585057068	7145.1317536469	2149.76950980887	2261.20477914427
FT4062	443.868885031044	443.801228350182	443.87328080382	6.6943265542984	-59.6929999523163	26.2128524780273	6	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	258.487220672607	NA	171.72086327362	NA	NA	214.023395233154	NA	NA	NA	NA	NA	NA	280.61340593338	NA	NA
FT4063	443.885373371825	443.78968923759	443.981057506061	938.052999603271	934.809998657227	941.296000549316	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	771.597853201285	NA	NA	NA	NA	NA	357.748096950532	NA	NA	NA	NA
FT4064	444.239903029478	444.028224694368	444.241335517242	385.457002990723	329.862003540039	471.561990478516	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4788.78227772946	812.01468760899	6672.42345934041	5429.16130412709	984.986488586416	5861.40467124939	4352.62288074493	5048.92317443847	4479.2530546298	4800.66988996581	6222.49199468316	4344.97273867461	4641.28398384277	5322.575037606	822.156622059538
FT4065	444.198470441008	444.198470441008	444.198470441008	953.047000202179	953.047000202179	953.047000202179	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	476.22823120116	NA	NA	NA	NA	NA	NA
FT4066	444.304068097156	444.257176364562	444.329968492146	648.587995138168	537.678000137329	744.378990478516	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12113.8248826864	1521.49075380248	9501.53375424477	13879.0002785786	5319.34602316283	8573.93789616218	10758.3981492687	192.241679878231	5388.11389526368	8508.29835558919	9461.05221737749	7747.99668861548	397.460715496824	6635.53420330808	2113.26715357124
FT4067	444.30481411057	444.30481411057	444.30481411057	852.194000549316	852.194000549316	852.194000549316	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	122.973946037293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT4068	444.308666734321	444.280881133586	444.367862928925	447.234	407.569003540039	508.577990478516	17	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	3045.64950640164	NA	2514.62696810059	2088.35668743133	2282.69585246963	2922.00855429839	NA	2943.96029164314	2400.42868927801	NA	444.618401189628	2178.07926636252	3233.01601107307	2708.96742787001	2960.61019719586
FT4069	444.298812519605	444.298812519605	444.298812519605	965.777000202179	965.777000202179	965.777000202179	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	681.048252044676	NA	NA	NA	NA	NA	NA
