"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M77.9407T21.2565","24271.3715211263","25462.7793547231","24466.6889952393","19379.8633720551","18946.2776043602","17277.9805886911","7965.07717893106","6190.14196869856","4920.3969969001","4505.21593983028","3857.1625519306"
"M77.9988T20.7215","36963.9066985127","43358.6148276901","32456.1939988064","29339.2715031586","29134.9686200845","25303.4015908127","15912.1135292091","11890.4907543188","10449.5024751684","10892.5226699703","8978.29563166471"
"M78.9303T949.152","36988.6020334299","25545.5267249498","31334.0852605886","27554.6921795386","26769.8912839884","24967.2366858673","45815.6816120564","37336.1629058855","30140.5109644458","29544.6574077636","25658.7937520599"
"M79.0538T38.286","2025.39068920807","2274.4095936707","1557.04509045318","2265.6845830509","925.906533517389","1008.53417202208","29391.2800346457","27678.3210762645","22535.1568481774","18624.8078406143","15099.8471227088"
"M79.9379T948.547","17383.1240976194","17189.5067114204","22292.0623627333","13702.2159465088","15768.9172270442","9185.02615853396","20815.3857776072","18227.364644415","16308.9256386905","13295.2282527716","13402.9175132847"
"M79.9414T20.835","7797.31112960816","12184.9712523402","10846.4105157551","9636.35158932079","11497.8939590238","6719.92657277832","3577.61238070706","2889.77297781447","2167.67051965171","2291.97023337891","1857.27541442422"
"M80.9477T942.49","174532.919078398","147579.066790428","151194.541152222","130934.626684341","148036.120715956","132708.059438667","189046.412262726","178112.994127121","187294.026936264","160881.727799344","126577.650605779"
"M80.9478T24.959","14090.2739709091","13263.5804242953","11517.458723854","9472.34636264406","10349.5624136346","8990.44031547042","1209377.86226752","1140826.62719075","1038916.97442744","905008.30393134","814646.592205664"
"M81.9374T20.943","145091.268873417","194221.367601091","177084.314887113","147486.040628085","186774.264331532","114962.936352754","57161.3431310517","45220.9838777929","40661.0964084378","35229.3746602556","37549.2035387927"
"M82.9447T24.962","10710.9559321765","11432.0865858583","8678.61008467776","8254.42759651914","9636.43187665995","6268.97034125932","480071.237955963","432038.190959473","404065.43260067","349606.241230087","301098.81925597"
"M82.9968T20.943","14960.7547242453","17276.5978521559","15288.6330503547","12476.0870091289","16458.6179223211","11177.3772594116","8222.16861659348","7232.99728852106","8108.70309066318","5897.60319568322","7182.59322934381"
"M83.0585T37.07","16515.096324957","13702.9340561244","14753.7513792567","13321.0236296445","18005.9693368462","9811.86061840457","19329.5016172433","16484.8629521081","14793.300211055","11088.8667250649","10461.0439057202"
"M83.0601T23.2315","18030.3911217552","15235.9793508791","11655.2268292033","10113.0455284831","8474.0531971651","11364.7213074259","23376.5112439031","20152.3853630053","17032.379827044","13772.6365795998","12916.4637611732"
"M83.95T948.998","14801.108313797","11683.9344955975","18676.7729406046","91330.3320242981","15004.5903173724","12600.5813114588","18787.6290075822","19283.2531094483","19498.9720825589","12345.5986043904","13369.7330133247"
"M84.9451T948.545","459241.617634378","373725.49099844","363668.917506252","349723.794719503","362188.500443533","331781.177728512","469087.853856773","433302.715993927","438720.286698518","368575.959465627","341643.265643284"
"M84.9595T20.959","862866.661627745","709258.719720892","674608.679938729","528330.338725838","596909.124476311","540443.567558105","272677.420290261","240312.577670292","221172.577155463","167278.185902349","168678.386542065"
"M85.0284T24.355","48777.9133916061","48647.9300622677","43652.4717919434","38109.822308515","34576.7792308437","33237.5618707764","69570.0078159077","63785.3662027458","65182.7822510698","54347.2910121973","47008.7473912504"
"M85.0285T26.175","754460.864248843","633307.392888068","605204.854651978","477329.302584641","556965.936873416","465202.876031745","75854.0545006174","67863.5374254858","69580.9043996206","57012.7549392811","55140.9480325539"
