"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"M558.7582T689.6","558.758174273407","689.595","2392.42660522461","763229.054145097","2773300.29266215"
"M702.7992T476.5","702.799167824508","476.511","982801.578738514","1476244.81657344","1301109.13886824"
"M717.2023T304.1","717.202285196558","304.103","769299.962364081","1383820.84744166","913975.486474072"
"M704.7969T387.1","704.796912541559","387.056","1374394.58012901","1234966.42478335","878159.946905223"
"M792.5896T703.5","792.589633853614","703.453999999998","3614.53048420804","1508836.07348943","1146130.92690392"
"M460.1684T277","460.168411082578","277.0425","815955.553951028","2208634.52482567","982751.284409424"
"M539.7523T593.1","539.75227879652","593.113","982581.671525395","1653863.99636202","2076046.72361091"
"M706.7948T476.5","706.794793913452","476.511","931546.640510688","1380793.53847282","1212125.9242546"
"M686.8044T541.8","686.804364584419","541.783","685305.068612533","966016.05592835","1565072.74040894"
"M503.1759T314.6","503.175890814676","314.565","1404445.04681434","1430626.47038755","1718323.01786858"
"M641.1451T291.6","641.145113940872","291.602","1979.94860722679","1651153.76321552","1516696.72310721"
"M599.5064T743.6","599.506416763","743.621500000002","2533930.84394196","103378.062122803","125249.377755474"
"M363.9544T559.7","363.954445090817","559.718","1030964.1483907","1129361.27620923","1244631.06625306"
"M547.7436T593.4","547.743626636713","593.417","851775.982943273","1601864.41820316","1901742.24060226"
"M621.3679T754.5","621.367878810618","754.453000000002","930002.245905214","1097032.92647595","481183.136623852"
"M639.1506T296.2","639.150587572252","296.1685","27011.7881382872","894879.200438195","1632588.34927082"
"M690.8001T541.8","690.800054240683","541.783","647877.253091279","898941.530559196","1450544.92507316"
"M574.1612T291.5","574.161244968402","291.514","97036.1046226592","1539530.15338893","1431049.73386306"
"M909.8627T393.3","909.862689760387","393.291","753225.854812638","1112472.95834281","651408.658131332"
"M929.845T393.3","929.845030361005","393.291","762196.444836434","999777.630642123","622732.627962315"
"M917.8544T393.3","917.854351629438","393.291","607005.772723391","940669.307772947","598588.529592832"
"M790.5917T703.5","790.591720763651","703.453999999998","0","1208727.71562817","942978.589369625"
"M788.7996T462.2","788.799580961513","462.169","820211.354462963","1027503.51539079","932460.587534334"
"M1039.8537T380.6","1039.85365584653","380.558","683949.586667034","1116301.21322875","858735.283278352"
"M794.5875T703.5","794.587463140232","703.453999999998","0","1079636.15929156","852437.500472979"
"M792.7953T462.2","792.795327120777","462.169","764516.541821609","987399.315609018","883878.751943332"
"M816.5005T629","816.500543852461","629.01","871665.725035035","1379584.58561672","1422230.41671407"
"M936.855T427.9","936.854965535104","427.923","668367.010128676","898920.822300078","664164.77809205"
"M484.3504T760.1","484.350389709955","760.14","695299.527444598","1233594.85544815","477059.120960835"
"M746.8074T387","746.807417576799","387.042","598150.917747585","960477.585224983","693121.301558594"
"M368.9421T559.7","368.94206626726","559.718","839703.948446266","884417.598771818","986660.348216666"
"M162.8385T829.4","162.838526970042","829.396999999998","916132.898436667","901325.769139714","655474.555179888"
"M594.291T461.6","594.29100248745","461.6015","1719372.53815582","373130.558491341","561083.54813672"
"M429.1529T259.2","429.15292401387","259.1985","3518728.50259852","195065.769132969","49346.6026837373"
"M702.7992T387.1","702.79916786873","387.056","668005.964935097","944743.046792396","639251.452283557"
"M160.8415T826.4","160.841458846154","826.393999999998","1097072.89685896","1446309.89398794","533117.213481354"
"M922.8394T405.2","922.839364256338","405.222","814155.616114203","1255653.60755822","463039.687950314"
"M706.7948T387.1","706.794803289075","387.056","882242.142221539","775410.456921806","622245.886031321"
"M800.5749T707","800.574862723444","707.021500000002","998735.563007045","554652.20917535","556045.837166277"
"M461.1503T73.3","461.150268660905","73.2931000000002","366083.886269593","542654.158951367","610904.437910435"
"M719.1944T307.6","719.194415438368","307.597","590910.121646633","883908.189001551","356813.871938682"
"M423.2225T459.2","423.222549336509","459.218","632908.424968565","1096241.21213562","645469.09396589"
"M599.1738T81.6","599.173832674485","81.5563999999998","1164495.56233702","614753.083452698","516769.295174646"
"M931.843T393.3","931.842964631531","393.291","511568.482962884","650632.836787399","404164.547011433"
"M903.8299T393.3","903.82987509028","393.291","288663.447396143","825487.26452413","577012.269393697"
"M665.1386T348","665.138642035153","347.976","1214191.86068822","586494.093765245","108064.723488345"
"M596.2879T456.7","596.287915990248","456.6905","544997.048454711","801233.449194393","851874.538323729"
"M141.8676T65.6","141.867570317296","65.6175","73613.7451784546","68976.1598759331","1277.14219604797"
"M143.8646T64.1","143.864603864096","64.1440000000002","48837.0774176057","39980.7945386393","172.186037208283"
"M229.1018T107.6","229.101784162167","107.6175","11073.1577957427","36481.3627811279","20666.7564205901"
"M231.0981T109.9","231.098054939702","109.8855","4909.85053777087","55514.2832246745","46088.3971229721"
