"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"M586.2129T438.5","586.212933711749","438.543","39268.1348196413","182126.16543855","103246.355481608"
"M587.2162T438.6","587.216218367627","438.598","8227.32581829727","46625.6185399465","18065.2833017579"
"M589.2127T293.8","589.212703953294","293.83","65512.6877582474","71523.2046005994","56019.5783709089"
"M591.2047T438.5","591.204713850429","438.543","43731.7012749408","164578.461916992","96743.6666621487"
"M592.2083T438.5","592.208251817169","438.451","8261.68225668023","43707.232475396","21928.2759980794"
"M592.2833T396","592.283339384449","395.955","143732.590803307","126532.263766044","45455.2058079493"
"M593.14T300.3","593.140029898861","300.345","70677.9309430063","27506.3042132209","23586.9359408162"
"M593.2169T396.9","593.216903069779","396.852","666077.284723903","780125.290944868","875997.470828824"
"M594.2203T396.6","594.220260204975","396.554","270800.389978304","303515.807837996","366256.774545792"
"M595.2233T397.7","595.223294191871","397.679","43286.1664005402","66397.3139679283","59776.2615234373"
"M596.2184T411.8","596.218392045799","411.789","20426.2717979004","19467.9217265462","14801.5421201171"
"M597.1701T390.9","597.170105551164","390.8625","65872.8865090167","59814.594202071","11236.7231600288"
"M597.1966T298","597.196586825215","297.9525","189379.818212655","543757.323546448","231750.417149772"
"M597.2906T456.7","597.290557452135","456.686","108885.928627876","144054.54969728","184630.834688064"
"M598.1999T297.6","598.199864824153","297.6475","105725.138093801","106760.936161011","54778.9403878621"
"M599.2122T339.6","599.212188568039","339.6345","76160.7073268527","166645.280686671","91018.2768694419"
"M600.1772T81.6","600.177188152045","81.5563999999998","335068.728854306","167670.328822266","130358.076776741"
"M600.7032T593.5","600.703244068953","593.455","91597.6858431656","60621.1009269538","102412.656409629"
"M601.1766T80.5","601.176607177785","80.4526999999998","237069.846495873","352972.100012157","340846.333322927"
"M602.5074T747.1","602.507412695573","747.136000000002","112671.441218129","386103.912843883","699222.953441158"
"M602.7012T593","602.701183084763","592.9915","69349.3132601212","38004.5699997358","78332.6986839818"
"M603.2073T340.8","603.207320709028","340.787","31828.0887945556","167520.255400616","110317.118342754"
"M605.2302T148.2","605.230226433257","148.163","318826.056873891","687787.158132269","401462.812479167"
"M606.7359T593.2","606.73593703249","593.151","79928.1373043405","112493.919434027","173954.620963754"
"M607.1962T401.4","607.196217577284","401.3685","39191.865237564","71806.5578490949","108688.849211864"
"M607.2236T141","607.223643624134","141.0015","310731.629141606","295319.407913475","203313.438248833"
"M608.7342T593.5","608.734202559049","593.455","337376.414926078","504943.200113767","720362.055421563"
"M609.2905T377.9","609.290458099313","377.868","269279.932564887","364923.738449454","361310.419185669"
"M609.7374T593.3","609.737395615107","593.291","47821.8792645475","75640.399450566","105372.633958257"
"M610.732T593.5","610.731976699853","593.455","493203.664707242","733216.222684253","1093515.62432505"
"M610.7885T655.3","610.788479597758","655.257","0","38811.3857285829","27846.5214547486"
"M611.2521T383.1","611.25210616531","383.0715","12907.772993207","34323.6829821938","41061.7067670902"
"M611.5429T790.9","611.542865731572","790.893","790357.87902497","245844.683114819","58313.3094121905"
"M611.7355T593.2","611.735481867609","593.151","67021.2744993658","115093.131675781","158809.436244574"
"M612.7299T593.5","612.729860724588","593.455","323689.487045459","441416.723381102","711835.37626537"
"M612.7864T655.6","612.786366788233","655.554499999998","4333.65614129196","49225.6906124905","37169.3577371655"
"M613.1889T184.8","613.188918114268","184.805","248633.117609929","870092.439435059","541157.532192297"
"M613.54T794.4","613.539982843564","794.445499999998","797026.317246183","327257.991552848","431129.572060447"
"M613.7333T593.3","613.733307062457","593.2685","44521.1675636909","63556.6753138917","102947.610163872"
"M614.1596T74","614.159649735916","73.9731","22302.7953327618","32432.0434515407","64866.7582592077"
"M614.7279T593.4","614.727887665656","593.417","62797.3788383724","104073.409349493","145604.568604052"
"M615.1825T181.3","615.18254878961","181.3015","36350.7873038862","899961.465643794","416942.288292734"
"M615.2778T374.8","615.277755368438","374.779","59285.7631661755","143843.111846191","65070.0066087339"
"M617.1535T73","617.153506911306","72.9553999999998","76083.8324307048","114493.039034747","68728.7526792486"
"M617.2439T382.3","617.243864999793","382.339","88123.8235947265","129044.354515535","52838.4115319474"
"M618.1569T72.8","618.156876926879","72.7533","14023.9434745084","24364.0363117218","17805.403696582"
"M618.3872T781.4","618.387160312092","781.435000000002","1241821.61118179","164381.510015835","199039.775485724"
"M623.3645T751.9","623.36452284916","751.929","908625.105757201","314174.119943551","286967.927794159"
"M625.2704T375.1","625.270429814922","375.1005","169994.920328826","27668.3170854492","30720.1491518555"
"M625.2963T391.3","625.296294213069","391.344","12014.6194629949","196473.148702148","116182.71857312"
"M627.2071T418.6","627.207096488602","418.588","17324.4377754786","41912.6943149903","32217.650712505"
"M627.2562T396.3","627.256189991264","396.252","67463.871249756","168276.498853896","65697.8916817889"
"M627.2647T375.7","627.264686389394","375.691","185735.912550745","630031.223110351","590152.692602437"
"M628.2681T375.7","628.268092724554","375.691","45373.3649336453","192433.217634898","194553.7519345"
"M629.2649T375.1","629.264922421913","375.12","503124.883732413","1234923.36973854","733366.409339853"
"M630.1663T181.1","630.166286681995","181.131","2617.51263596925","770645.762400352","307076.179303301"
"M631.1697T179.7","631.169726711072","179.653","36374.4428597466","315719.873535472","122120.017506718"
"M633.3677T775.1","633.36768479638","775.092","67516.5631256974","56268.7942934779","48890.9230287062"
"M634.8302T564.9","634.830238458744","564.899","19814.2945946984","53514.8472011983","45150.6562272947"
"M635.2122T377.4","635.212163117013","377.359","45632.4592436727","115515.366230469","42394.7914052035"
"M635.2335T398.1","635.233462468476","398.07","76761.6646522789","126294.564507865","152776.755309012"
"M636.2364T398.1","636.236430049235","398.07","20136.3368774626","37060.8830470148","41417.7032365829"
"M636.8283T564.6","636.8283091024","564.59","12726.5377071929","46036.5918416795","52563.0193955719"
"M637.2124T389.8","637.212448552896","389.818","21608.7926028077","17228.3220925728","38338.8859365611"
"M637.2371T456.3","637.237063104217","456.25","48192.4762950136","30091.966519181","31570.8811623925"
"M639.0907T291.5","639.09068878981","291.458","5908.81687160581","24836.3721461124","35583.9302649875"
"M640.1541T296","640.154099081378","296.0125","7667.77451296161","247851.880635057","424435.07200435"
"M642.1486T291.6","642.148576336833","291.608","0","494493.501953532","456965.292"
"M643.1511T291.6","643.151116479264","291.608","2300.46772455411","91174.586746383","101071.00406957"
"M643.2231T385.1","643.223149549327","385.1385","14739.0643981093","59961.876178035","37628.2672422656"
"M649.9161T455.8","649.916126705078","455.8","882436.415316432","21759.0271609996","36864.118398909"
"M651.3949T74.4","651.394894271463","74.4361000000002","3174.21566866205","38351.8274770508","20722.7599704434"
"M652.4978T797.1","652.497823290696","797.075500000002","2240.44605867429","267011.011746685","193735.170711687"
"M659.2908T384.1","659.290836989782","384.105","52850.5928925525","173454.328977187","120402.807445651"
"M660.2944T384.4","660.294390773416","384.404","15590.1282551289","54555.8559946875","21978.6553300782"
"M661.2599T296.9","661.25991837634","296.938","100413.205719172","381810.903872502","307997.280475325"
"M662.2635T296.9","662.263504220026","296.938","31680.7631213632","125697.704114685","99502.8586176614"
"M663.2548T291.6","663.25475968747","291.623","88704.7680692499","187362.920082117","320604.351733964"
"M664.2582T291.6","664.258207091984","291.608","25644.9628106414","60220.9960351562","127108.989427706"
"M667.1318T347.7","667.13182728282","347.682","58048.6067180845","690743.191385092","819851.383314972"
"M667.2022T396.9","667.202217725978","396.852","73929.6014880622","159668.957984316","158710.86214056"
"M667.2595T302.6","667.259460625672","302.638","30202.8739574759","34785.2668279419","36795.2847773439"
"M668.1349T347.7","668.134868814108","347.685","14013.1580898662","250588.396503809","305370.076255698"
"M668.2054T396.9","668.20542561373","396.852","22263.3176007569","48636.4068479818","42624.7668606679"
"M669.254T308.8","669.253976576278","308.84","140393.608220828","230006.576524305","198623.437091227"
"M670.2573T307.9","670.257279547253","307.907","51153.3573319478","76944.6413253304","63275.7145982667"
"M672.1921T365.9","672.192129652073","365.932","43068.1981692508","85888.8539461668","55449.6077859003"
"M672.7024T593.3","672.702370653132","593.284","39492.7964455194","57661.5482670593","17390.1425139847"
"M673.2488T307.7","673.248761404246","307.6875","61997.6797133524","54471.7425934311","40773.3504438701"
"M674.7002T593.6","674.700182164008","593.5885","17714.3319808044","43344.2760190776","7182.76012415497"
"M681.202T375.8","681.201991858648","375.8135","23037.8017963867","26737.1770723633","13591.9697801971"
"M683.179T456.5","683.178985441864","456.546","69835.4048282715","40270.5146896309","33194.1154448633"
"M683.3555T387.6","683.355520443482","387.628","19421.2060927733","32684.7108632814","43643.0537280936"
"M684.8065T541.9","684.806497180501","541.901","166854.417839888","244474.62893805","401233.178918749"
"M685.8099T541.8","685.809855406409","541.783","33747.8227841258","46248.7166632078","81046.4810744077"
"M686.2524T379.4","686.252375024714","379.36","15842.3662194825","39195.9900964641","36944.0771990658"
"M687.8078T541.8","687.807825756366","541.783","151309.250854205","218766.976236162","361527.700493151"
"M689.8057T541.8","689.805701632099","541.783","223602.762125642","323124.429033906","535722.882954916"
"M691.3284T316.7","691.328444765182","316.6695","13087.2042181338","38535.9595626502","22479.7252384644"
"M691.8036T541.8","691.803631694125","541.783","145246.55429834","205261.795339309","333669.783422472"
"M692.7976T541.8","692.797630920373","541.783","152575.929601729","214278.235572301","339339.868216282"
"M693.2863T296.8","693.286288461831","296.781","15629.5124103556","116684.660894306","83425.0605184873"
"M693.8014T541.9","693.80144343522","541.901","29461.3856924874","42862.224016492","76284.3100276646"
"M694.2897T296.8","694.289671260565","296.781","3383.78972241236","32193.861521411","23040.9555291341"
"M700.8014T476.5","700.801434605232","476.511","241495.973354113","382106.686239843","324503.593206086"
"M700.8015T386.9","700.801547918799","386.887","233924.271436768","326869.993711687","225045.490012417"
"M701.5884T592.8","701.58836255409","592.829","116273.351164592","76683.7821140842","191674.913292547"
"M701.8046T476.2","701.804555011827","476.2","56370.8692218145","71344.8413662212","59553.6105674768"
"M703.5859T593.1","703.585911445902","593.113","224781.508979083","166063.210197664","376758.449408962"
"M703.8024T387.3","703.802417215497","387.349","154494.702108958","197006.372307467","128674.291324687"
"M703.8027T476.5","703.802670785708","476.511","225722.914031701","342615.531598295","283404.763209444"
"M704.5888T593.1","704.588784955908","593.132","32138.0912962978","18376.354629598","53558.3489487617"
"M705.3326T389.5","705.332550586837","389.53","31597.5141218707","57023.1256227054","37034.8608557128"
"M705.5833T593.1","705.583334262018","593.113","242135.590704296","174587.199480469","406891.562019097"
"M705.8004T390.3","705.800350920625","390.31","195687.461027957","149651.448113038","184599.889891226"
"M705.8005T476.5","705.800514274737","476.511","321388.459357768","512563.459558012","411573.091457716"
"M707.1492T375.1","707.149228721853","375.083","201683.273934486","121575.263864955","30751.160257281"
"M707.5808T593.1","707.580794238719","593.113","138214.19682994","99837.4473615412","228014.818736391"
"M707.7983T387.2","707.798272096799","387.1955","197282.866109003","185954.03990625","150485.177693756"
"M707.7984T476.5","707.798448235229","476.511","217687.277728631","312085.121303906","277140.129508599"
"M708.1525T375.5","708.152490076565","375.4985","64956.9439897578","43997.9243725587","3677.20301900441"
"M708.7923T476.5","708.792286303783","476.511","213993.789305062","327751.284569808","281121.498359638"
"M709.1426T375","709.142584886703","374.951","10453.9350482864","109942.227350798","117195.373900435"
"M709.7964T476.5","709.796422654148","476.511","46509.2852625271","77158.9403208656","56519.2403457031"
"M710.1457T374.6","710.145701865489","374.646","2841.0710257329","38205.0597309267","39134.4853798829"
"M711.2282T377.1","711.228227931939","377.093","14968.830531372","162789.568890353","88852.7577377844"
"M713.4105T296.3","713.410498343118","296.323","27385.1811441762","66607.2175908866","58923.8581987307"
"M714.4137T296.6","714.413677676195","296.626","6536.68789116372","20031.5786302084","15665.3307825195"
"M715.4051T291.7","715.405094738152","291.6525","41594.182543042","122024.394019727","206701.796548747"
"M716.4085T290.9","716.408509170768","290.863","11397.2490628786","52870.7727053409","87054.4253906252"
"M718.1521T456.4","718.152127013475","456.395","88624.5560346839","85975.515937297","105220.71655564"
"M720.1978T307.5","720.197779424475","307.468","193133.739499772","293890.119774627","127947.913560791"
"M721.1907T307.5","721.190716329727","307.468","165894.012122491","245852.466265478","111902.295539429"
"M721.2374T395.3","721.237371705698","395.3005","64590.6711440515","24107.4216745463","1014.81241978871"
"M722.1945T307.5","722.194526058759","307.468","55042.259861075","95519.2438108456","34072.2415804269"
"M722.3463T378.8","722.346339009455","378.777","14621.2567189797","25644.1709650531","13332.499153409"
"M722.7812T541.9","722.781165486276","541.901","86476.3540060095","121896.494851959","207306.083413165"
"M723.2282T393.9","723.228224860856","393.883","26222.2827641859","36772.4285703124","15501.9492160374"
"M723.297T315.4","723.296973586834","315.4475","1015.4962849237","130133.113779008","83673.6708874853"
"M723.7844T540.5","723.784446660222","540.4675","10809.614482639","30161.0146512508","47226.7625981066"
"M724.3002T315.4","724.300229911717","315.4405","447.320454585883","43892.3957720255","12302.4703483887"
"M724.7787T541.8","724.77873228392","541.783","131312.441899414","210704.546833455","335926.067645412"
"M725.2911T322.9","725.291121049713","322.882","3322.6815090196","108285.497931152","101427.053841986"
"M725.4373T436.6","725.437336788944","436.6405","23968.5582251654","44516.4208775503","31612.795006836"
"M725.7821T541.6","725.78206005953","541.586","27671.8214879981","43986.2237457686","68973.734420912"
"M726.7767T541.8","726.776678783731","541.783","113325.456553441","167902.925003056","255125.088651157"
"M727.1824T307.5","727.182368966943","307.5395","37181.0998095567","12693.3180912641","23394.9427967835"
"M727.78T541.8","727.780010635479","541.783","23912.2281613437","33907.5338203127","54681.3060510517"
"M728.7742T541.8","728.774226980273","541.783","35391.981334079","58992.5196862231","95105.7466507681"
"M729.2478T296.6","729.247834418126","296.626","5441.95528319255","123726.463627608","151652.480070715"
"M731.2416T291.8","731.241572796274","291.752","788.220466975655","106913.394168645","158412.816333822"
"M731.2375T356.3","731.237494702215","356.26","23202.6489752604","81263.5384579303","14849.9442798095"
"M732.2453T291.8","732.245337269925","291.7585","1029.7483986341","30493.1335549316","64982.7961907386"
"M736.778T477","736.777995644417","476.9795","11457.1149925739","30930.6859984907","25982.9061252985"
"M738.7759T476.5","738.775864996449","476.511","76034.2816932479","159107.361298047","140865.930508824"
"M740.7738T476.5","740.77377004388","476.511","136870.732324219","252081.891870711","222498.510032859"
"M741.1766T307.2","741.17656737391","307.2215","19537.9496489668","63661.5094192085","39725.968700817"
"M742.7716T476.5","742.771610816282","476.511","97074.167400076","208668.354324672","160175.76619451"
"M742.8123T462.5","742.812254330065","462.477","75036.6522603832","96137.8725325135","101150.346796143"
"M742.8119T387","742.811878386774","387.042","95428.4937442347","165211.062530563","93582.1911584613"
"M743.8257T477.1","743.825749772138","477.148","13993.299207335","23678.7630349553","18838.5776974285"
"M744.7692T476.2","744.769200318677","476.2","39160.9901665041","53863.7155552457","59152.0951619173"
"M744.8093T387","744.809347621822","387.042","404854.394875887","640736.858999196","474491.220663086"
"M744.8099T462.5","744.809923441192","462.477","313715.703174232","399825.884832098","390783.769971198"
"M745.8133T462.5","745.813301814519","462.477","71540.0225626537","108099.165287256","93451.0433790026"
"M745.8129T387","745.81285084807","387.042","94571.6980878766","151169.955065975","111995.832742188"
"M745.8239T477.1","745.823945817323","477.135","12213.5294760123","33989.124906311","24495.7156391602"
"M746.8077T462.5","746.807721304022","462.477","449135.74403632","616816.278871529","558034.938144945"
"M747.2695T456.1","747.269542002892","456.096","213767.103027166","38065.9995030721","52178.5532390227"
"M747.8111T387","747.811125905308","387.042","141747.063762784","245597.322018785","163894.520950033"
"M747.8113T462.9","747.81129321334","462.884","106107.941709635","153249.895793716","142673.078463971"
"M748.2731T456.4","748.273088867592","456.3925","88056.9513799166","8889.70035626807","20486.7778868713"
"M748.8051T387","748.805111665898","387.042","373006.027027802","569170.808750101","469007.722666563"
"M748.8054T462.8","748.8053859","462.787","276444.159669433","397690.827067779","365303.400277705"
"M749.2644T320.5","749.264442420935","320.492","30894.2294130082","50738.3525215799","57768.5333140985"
"M749.2663T456.2","749.266341701367","456.244","131927.375411797","22132.6181777418","12401.9742096502"
"M749.8001T541.8","749.800063963173","541.783","43923.7039577075","47519.1323267687","84168.9197323543"
"M749.8085T387.3","749.808455294707","387.335","88048.6727379064","143902.005182896","91456.4040624278"
"M749.8088T462.5","749.808833116856","462.477","75002.3967670286","91389.7249156399","90707.1331955836"
"M750.2679T320.3","750.26786225398","320.3095","8115.03109543771","17698.0928424072","15147.7301756037"
"M750.8035T462.8","750.803485578372","462.787","64500.6290766936","80217.6993535154","75450.2322796937"
"M750.8028T387","750.80280296408","387.0405","84528.6087309251","131519.124556315","86838.0933758709"
"M751.7978T541.8","751.797759290816","541.783","65523.9574303388","68761.1785109598","125677.259078018"
"M753.7959T541.8","753.79587812628","541.783","48252.3990078315","45461.7336532389","74892.1224042385"
"M758.8697T462.3","758.869727087461","462.2525","848395.651961606","35628.1548636111","28787.1468902853"
"M759.2496T306","759.249637665051","306.034","30398.6717553078","58133.7036402207","72530.6786302082"
"M760.8668T462.6","760.8668407126","462.5625","527066.866830998","16573.8973998184","15618.9023849749"
"M761.2504T300.5","761.250393419968","300.5025","10142.0267602219","86963.7742560137","30698.5116689455"
"M765.7951T476.2","765.79506954886","476.2","76553.8348053177","72881.264796405","62623.0199733255"
"M767.2388T321.7","767.238773815806","321.671","56968.5998328279","72416.2616155194","51426.360462116"
"M767.7929T476.2","767.792882458213","476.2","112812.899866386","117912.305455307","83852.2796747362"
"M768.7953T476.3","768.795294397119","476.317","16741.0147594082","15507.4291604166","14492.9403781274"
"M769.2548T80.9","769.254791146068","80.9315500000002","313439.45288561","70733.7279758028","104254.399408466"
"M769.3906T434.9","769.390597440407","434.8765","105721.238575655","127532.713397034","51442.6207158202"
"M769.7909T476.2","769.790909231385","476.2","72004.0017682338","77289.3934912109","64502.4773420324"
"M770.7874T476.5","770.787436067842","476.491","16211.00648368","13543.2734232352","21611.5663604003"
"M771.2336T334.9","771.233615924822","334.942","85697.4905725623","37655.0697908357","37044.8334056039"
"M771.2551T79","771.25506935231","78.9721000000002","108081.187015344","123115.910305992","157999.212901196"
"M771.7896T476.6","771.789577469802","476.6315","16752.5394680786","18147.1248814633","9901.52839527804"
"M772.2589T79","772.258904755285","78.9721000000002","32512.9859760031","49452.6534524053","57838.9761464844"
"M772.7848T476.5","772.784765283279","476.511","38523.8510825783","48019.1117545166","38402.5924846302"
"M773.1958T351.3","773.195838204272","351.291","158049.766858155","68765.433889391","19175.2887895064"
"M773.2286T332.2","773.228607559732","332.225","49958.6256882087","91083.512966618","92296.0586911769"
"M774.1993T351.4","774.199252697071","351.439","58650.2522534999","22602.5677319334","2882.47954407551"
"M774.2319T332.8","774.231872049469","332.825","22092.3271348062","27757.9331807184","21956.7502123811"
"M774.7825T475.9","774.782532346211","475.896","19917.1842088929","23294.442922947","20789.2082648183"
"M775.1253T296","775.125342093625","296.0145","361.263049688935","47103.7459563656","121949.466528646"
"M775.1896T351.2","775.189638553176","351.208","84968.1320731044","94068.562833862","201999.979522483"
"M776.1923T351.2","776.192257928023","351.2095","29171.0846602254","42871.8925767648","87552.6718319253"
"M777.1198T291.9","777.119800588761","291.9015","584.736293843126","241247.378538396","209180.115020043"
"M778.1232T291.6","778.123197085513","291.602","0","70431.7262553204","62134.3407041602"
"M785.367T432.1","785.36698077176","432.0865","218218.524728508","226306.999527135","189198.31698591"
"M785.535T638.8","785.534995044705","638.782999999998","138607.664279674","94732.0988243076","90318.7500754785"
"M786.5387T638.8","786.538669037451","638.787","15906.0065927825","40939.4544401014","37685.2358288043"
"M786.5959T703.5","786.595880213547","703.453999999998","200975.923962593","64126.7102687502","40971.9058931791"
"M786.8017T462.5","786.801706627522","462.477","202956.433638427","268007.7479057","240873.269433838"
"M787.3664T441.9","787.366371445108","441.897","117704.850804817","331394.04306455","285084.403051493"
"M787.8049T462.5","787.804925159229","462.477","48946.3643511996","61592.1535020054","54511.8242351422"
"M788.3696T441.9","788.369626025302","441.897","51563.9988593389","140760.251969282","114295.39789325"
"M788.5938T703.5","788.593772613946","703.453999999998","3993.08528141181","457537.106628909","365764.176281249"
"M789.2296T76.9","789.22955312946","76.9495000000002","39658.7255033286","48168.5892522747","10919.5365357971"
"M789.3627T441.8","789.362714918217","441.81","34226.1788632669","67214.1859151518","72914.6622287513"
"M789.803T462.2","789.803031487859","462.169","211033.094270926","272339.705989197","242168.205794635"
"M790.2325T76.1","790.232520699948","76.1044000000002","14017.4096821873","17219.1088767151","3499.15940336026"
"M790.3672T441.7","790.367226587275","441.6565","12931.1393571918","25175.6900683927","30561.9471041311"
"M791.8009T462.5","791.80093469439","462.477","319096.558912956","405089.597710952","355925.004396094"
"M793.7988T462.2","793.798767492351","462.169","202720.498206591","254611.972238907","218328.825137509"
"M794.793T462.2","794.793029125735","462.169","166372.245152284","232866.990411487","212575.643514318"
"M795.7971T462.5","795.797110214674","462.477","36779.5211240447","61160.3107519774","49894.2640386869"
"M796.5858T702.7","796.585755779181","702.732","45365.4439427257","267341.616927085","235181.001213107"
"M797.9455T593.4","797.9455148787","593.424","19756.8778991347","54783.9525779444","102531.062985816"
"M799.9435T593.5","799.943490226221","593.455","42130.2672644392","81822.1790274007","130742.222139648"
"M800.9385T423","800.938458837637","423.045","22098.9034227653","44120.3141657712","35376.1152274632"
"M801.5779T708.9","801.57794572983","708.858499999998","121001.694887737","126580.016635254","118328.597487688"
"M801.9414T593.4","801.941426149939","593.424","17688.4603558816","46725.609388375","83752.8078203825"
"M802.9365T423","802.936482662319","422.959","75072.6123916739","165321.102203091","116510.993482296"
"M802.9366T387.9","802.936559670643","387.92","40380.8197613932","89353.205856978","60275.3132578125"
"M804.9342T387.9","804.93419920267","387.935","42629.2014755141","73775.2091069822","46707.0080198668"
"M804.9342T423","804.934221774963","422.959","74912.2646541984","153654.120128098","109963.260100195"
"M805.2451T318.6","805.245149565768","318.6315","59200.9736446448","142211.08303125","56416.6404918116"
"M806.9329T422.7","806.932868633279","422.7025","22704.9800189966","34517.7613026053","30801.8646108399"
"M807.1949T298.8","807.194942014727","298.7835","823.159890523841","25463.622582809","33748.3255009917"
"M807.2497T318.8","807.249703796716","318.7905","17773.1655440293","36166.9092377292","51215.2052404497"
"M810.7816T462.7","810.781576341022","462.6805","17611.5383431099","23155.7917812011","16667.773819641"
"M812.7794T463.1","812.779361829853","463.099","25630.2548068846","44592.2653918269","31851.3958575781"
"M823.3275T432.5","823.327526918191","432.519","101209.216258475","208460.84863991","200831.214916993"
"M839.3042T432.4","839.30422663959","432.3755","3968.16383458101","254448.047172057","282226.220276368"
"M842.2576T290.5","842.257582082978","290.496","19286.3865240653","61836.4351572768","22848.8404665936"
"M843.1125T295.7","843.11254177463","295.7095","994.874149176758","29077.4238195228","84881.7916677422"
"M846.1106T291.6","846.110576967117","291.602","0","54296.5930255802","35984.6974975586"
"M849.3003T247.3","849.300269684252","247.337","43841.7763150396","51188.5122814855","22432.375745407"
"M862.8533T393.4","862.853334156565","393.378","31608.288476053","62090.4319511719","30717.8598705706"
"M862.9568T383.5","862.956812296306","383.514","11487.6587146506","31494.121661133","38043.698878174"
"M864.8518T393.3","864.851806073515","393.291","169636.980150605","244348.997573853","166463.507634554"
"M865.2798T560.3","865.279758352177","560.3375","2393.85713240504","18339.3646254883","22390.1160868565"
"M865.293T82.1","865.29297236233","82.09845","80862.2390662098","36882.2610749906","92999.5519987428"
"M865.8543T393.3","865.854252310316","393.291","50710.2041757464","78170.5242561036","35752.6092416779"
"M866.2965T82.8","866.296464873711","82.8112999999998","22754.6438992849","3777.19586618245","33468.4960398926"
"M866.8497T466.6","866.849721368521","466.573","26204.9463470333","55449.1539881348","74343.3630750266"
"M866.8497T393","866.849716231011","392.995","233528.002926637","367581.021815697","256679.620004626"
"M867.2524T299.7","867.252365103933","299.712","6061.61760304342","19410.1190017701","23065.9977084046"
"M867.2771T560.5","867.277061707576","560.5005","2696.8280473096","19707.0893325194","25737.0399934571"
"M867.2986T82","867.298558985442","81.9931999999998","251868.305985504","153871.220825776","92407.6615613183"
"M867.8531T393.3","867.853122570156","393.291","59879.0887358035","84698.4232752163","53834.9619132871"
"M868.8479T393.3","868.847867320864","393.269","147187.350845963","225851.088254884","139610.280619972"
"M868.8478T467.2","868.847816673694","467.1635","14022.6232868154","37124.2215681413","41058.1103663775"
"M872.497T399.9","872.497035998697","399.891","312220.910997228","176774.235746937","305564.838374828"
"M872.942T379.4","872.941951005231","379.378","95590.789127063","157973.094665122","114210.111956038"
"M873.5003T400.2","873.500293863067","400.166","178276.071696045","80457.7962084963","155455.271628217"
"M875.3666T475","875.366598929966","474.973","130162.016476674","292593.53425004","158918.639351095"
"M876.3699T475","876.369909491324","474.973","56833.9687290222","124991.95742327","71835.5141631644"
"M876.9378T379.5","876.937815434342","379.501","24054.3858946895","46538.2407449343","30614.7383003541"
"M877.3695T477.4","877.369502602206","477.439","83252.7337109377","149653.091781311","144957.372875141"
"M878.8485T411.7","878.848524436437","411.725","46119.517699414","77171.1737666792","24135.8572103934"
"M879.276T80","879.276031927903","79.9983","26480.3138732433","13121.1793385753","24982.3158753662"
"M880.8465T411.5","880.84652296655","411.494","171661.569462773","365464.260574569","153381.943700975"
"M881.8502T411.7","881.850247066351","411.725","44528.6872764701","89924.5265892281","33549.3781196592"
"M882.8445T411.8","882.844486936981","411.789","237852.833923333","600852.712734464","188927.715973958"
"M883.8478T411.8","883.847824495225","411.795","67262.0968668481","132472.692548218","45946.7682760963"
"M884.8333T437.1","884.833294649848","437.0825","9177.00795222188","31722.475340788","26932.4696023993"
"M884.8424T411.8","884.842415219021","411.795","158698.820883912","300241.063265061","115783.079407949"
"M885.8461T412","885.846053332326","412.026","43490.8777383729","79390.8012673768","24661.1233024556"
"M886.8313T437.3","886.831313188438","437.341","13555.5333226564","72658.0364736793","37515.2429308733"
"M886.84T412.4","886.84002134967","412.385","28157.7639682313","47171.1389674945","19429.8913338715"
"M888.829T437.1","888.828984059369","437.0835","10351.9639680414","60862.9682177225","29522.9800239259"
"M888.9362T381.6","888.936212262432","381.5985","49668.2778078702","107819.053988788","52966.5007098389"
"M890.7226T462.8","890.722619351852","462.8355","5525.93462212104","30520.7342603455","24601.8807123067"
"M890.8672T427.7","890.8671632814","427.671","25420.9490316613","29110.6310196061","22851.6696414291"
"M890.9349T381.5","890.93489117608","381.453","46111.8710806828","91867.8345215077","51265.4751160828"
"M894.8621T436.6","894.862059023316","436.556","188302.715689148","307735.945033894","198220.94179874"
"M895.8656T436.8","895.865550985351","436.824","52516.4537397257","95307.202362196","59377.0731727851"
"M896.8599T436.6","896.859944853033","436.556","282521.544253075","470093.754544765","305413.908965755"
"M897.8639T436.6","897.86391039811","436.556","92035.7731406244","138119.310235967","93151.1165282121"
"M898.831T393.3","898.830975914565","393.291","137652.88860098","391609.914087818","271638.141116056"
"M898.8581T436.6","898.858078293946","436.556","174596.604732496","296697.381176842","183638.057113351"
"M899.8341T393.6","899.834108468016","393.564","36378.6779921542","107608.926680007","76775.9984341602"
"M899.8347T411.9","899.834736489269","411.907","15795.0007631836","37005.8257805032","1021.99412770082"
"M899.8619T436.6","899.861860004341","436.556","48564.3043231336","87186.8194922303","54828.959252467"
"M900.8566T436.7","900.856595200449","436.743","38983.0174597167","68936.6038413322","27313.8300658316"
"M901.8322T393.3","901.832192494602","393.291","168455.690883572","494080.284877289","337599.493256757"
"M902.952T377.6","902.951999554834","377.5525","4568.11548981865","26585.7351868991","34513.2024821289"
"M904.9505T377.6","904.950476692177","377.5525","5639.22229170402","28499.4517908785","38744.3757107745"
"M905.828T393.3","905.827982732093","393.291","228064.539219327","627653.562956459","455129.741922112"
"M906.8221T393.3","906.822071462156","393.291","286429.764886475","839049.615584057","576479.564366638"
"M907.8254T393.3","907.825397987941","393.291","81469.7039168225","239517.039151704","180987.308277977"
