"","mz","rt","A_1","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_10","A_11","A_12","A_14","A_16","A_17","A_18","A_19","A_20","A_21","A_22","A_24","A_25","A_26","A_27","A_28","A_29","A_30","A_31","A_32","A_33","A_34","A_35","A_36","A_37","A_39","A_40","A_41","A_42","A_43","A_44","A_45","A_46","A_47","A_48","A_49","A_52","A_53","A_54","A_55","A_56","A_57","A_58","A_61","A_62","A_64","A_65","A_66","A_67","A_68","A_69","A_70","A_71","A_73","A_74","A_76","A_79","A_80","A_81","A_82","A_85","A_86","A_189","A_211","A_212","A_213","A_214","A_216","A_217","A_219","A_220","A_221","A_223","A_225","A_226","A_227","A_228","A_229","A_230","A_231","A_232","A_233","A_234","A_235","A_237","A_238","A_239","A_240","A_242","A_243","A_244","A_246","A_247","A_248","A_249","A_250","A_251","A_252","A_254","A_255","A_258","A_259","A_262","A_263","A_264","A_265","A_266","A_268","A_269","A_270","A_272","A_273","A_274","A_275","A_276","A_277","A_279","A_280","A_281","A_283","A_284","A_285","A_287","A_288","A_289","A_290","A_293","A_294","A_295","A_296","A_297","A_298","A_299","A_300","A_89","A_90","A_91","A_92","A_93","A_94","A_95","A_96","A_97","A_98","A_99","A_104","A_105","A_106","A_107","A_109","A_110","A_111","A_113","A_118","A_120","A_121","A_122","A_124","A_125","A_126","A_128","A_129","A_130","A_131","A_132","A_134","A_136","A_138","A_139","A_141","A_142","A_143","A_144","A_145","A_146","A_147","A_148","A_149","A_150","A_151","A_152","A_154","A_155","A_156","A_157","A_159","A_160","A_162","A_163","A_167","A_169","A_170","A_172","A_174","A_177","A_179","A_181","A_183","A_184","A_186","A_187","A_190","A_191","A_192","A_193","A_194","A_196","A_200","A_204","A_205","A_206","A_207","A_210","A_302","A_305","A_307","A_308","A_309","A_310","A_311","A_313","A_314","A_315","A_316","A_317","A_319","A_320","A_321","A_322","A_325","A_327","A_328","A_330","A_331","A_332","A_333","A_335","A_337","A_339","A_340","A_341","A_343","A_344","A_349","A_350","B_26","B_36","B_52","B_55","B_64","B_72","B_80","B_112","B_128","B_132","B_136","B_140","B_144","B_178","B_182","B_192","B_196","B_204","B_212","B_216","B_220","B_228","B_232","B_233","B_240","B_248","B_255","B_267","B_282","B_290","B_302","B_346","B_370","B_408","B_417","B_421","B_434","B_445","B_452","B_467","B_471","B_475","B_488","B_519","B_543","B_547","B_562","B_570","B_578","B_582","B_588","B_604","B_607","B_616","B_695","B_713","B_719","B_722","B_740","B_744","B_756","B_760","B_768","B_776","B_778","B_792","B_796","B_812","B_816","B_820","B_824","B_828","B_832","B_836","B_860","B_864","B_907","B_916","B_940","B_944","B_960","B_972","B_982","B_988","B_1000","B_1001","B_1016","B_1044","B_1060","B_1123","B_1135","B_1141","B_1153","B_1157","B_1190","B_1209","B_1229","B_1402","B_1406","B_1417","B_1440","B_1463","B_1488","B_1499","B_1505","B_1521","B_1540","B_1560","B_1580","B_1611","B_1615","B_1619","B_1624","B_1663","B_1665","B_1671","B_1679","B_1695","B_1699","B_1711","B_1715","B_1719","B_1723","B_1733","B_1739","B_1747","B_1755","B_1764","B_1771","B_1795","B_1807","B_1815","B_1819","B_1827","B_1831","B_1835","B_1847","B_1867","B_1871","B_1875","B_1883","B_1975","B_2023","B_2031","B_2241","B_2423","B_2588","B_2593","B_2597","B_2605","B_2841","B_2846","B_2879","B_2892","B_3006","B_3015","B_3022","B_3031","B_3041","B_3052","B_3064","B_3074","B_3077","B_3087","B_3098","B_3108","B_3116","B_3126","B_3135","B_3145","B_3319","B_3329","B_3334","B_3341","B_3350","B_3364","B_3375","B_3388","B_3393","B_3402","B_3412","B_3482","B_3488","B_3493","B_3495","B_3501","B_3506","B_3511","B_3518","B_3522","B_3527","B_3556","B_3592","B_3620"
"group","mz","rt","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","OP","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL","BL"
"M516.5156T390","516.5156","390","0.72696","0.608255","0.753607","0.967593","0.872226","1.235626","0.579069","0.824576","0.57218","0.7002","0.857737","0.80962","0.8555","0.51893","0.713093","0.881239","0.871259","0.676995","0.909489","0.719839","0.742869","0.753416","0.70971","1.006248","0.757127","0.473549","0.85255","0.661374","0.742504","0.621369","0.87489","0.937149","0.770325","0.991412","0.881111","0.701148","0.837015","0.761692","0.650333","0.977515","0.843247","0.664574","0.810424","0.89747","0.587324","0.826781","0.846418","0.808625","0.874766","0.681577","0.839961","1.032049","0.71108","1.056384","0.652231","0.983853","0.664403","0.732982","0.955048","0.742223","0.893704","0.706789","0.739023","0.748018","0.525917","0.830106","0.934248","1.078665","0.723561","0.600304","0.771717","1.015128","0.784592","1.06026","0.954398","0.805354","0.771535","1.112557","0.845957","0.826306","1.139112","0.941346","0.942338","0.792129","0.926137","0.773316","0.817703","0.818512","1.1624","0.917851","0.84251","0.665036","0.496523","1.103685","1.061743","0.801718","0.908632","1.66115","0.918435","0.771814","0.987568","0.795079","0.669125","0.852204","0.666227","0.704966","0.984886","0.837306","0.549397","1.097948","0.765271","0.698155","0.95658","0.705137","0.783158","0.728277","0.539746","0.683919","0.796621","0.653288","0.767549","0.805905","0.831368","0.843731","0.786721","0.611829","0.648258","1.076999","0.861268","0.509168","0.905751","0.832243","0.814166","0.900315","0.637306","0.763011","0.872907","1.129216","0.879791","0.953788","0.908794","0.619362","0.794396","0.777617","0.755999","0.674177","0.880649","0.718955","0.770633","0.888319","0.690851","0.610851","0.784814","0.76291","0.685007","0.851997","0.699523","0.83585","1.111105","0.664194","1.124354","0.787104","0.528936","0.467658","0.564749","1.064031","0.796567","0.766056","0.681145","0.598231","0.648382","0.770085","0.793949","1.070203","0.707231","0.701713","1.01393","1.029043","0.880698","0.765835","0.998608","1.124375","0.805266","0.5756","0.511544","0.73368","0.79194","0.515617","1.044351","0.726536","1.04829","0.591669","0.853082","1.56737","0.621146","0.80319","0.728477","0.543646","1.009316","0.854717","0.651106","0.630663","0.617624","1.226445","0.800299","0.466994","0.593189","0.902386","0.833305","0.91524","0.654542","0.763241","0.833109","1.226593","0.673835","0.742635","0.63462","0.687439","0.605712","0.882948","1.114362","0.939983","1.388061","0.899928","0.781268","0.75535","0.878869","0.70509","0.900307","0.599936","0.786001","1.154665","0.712489","1.059189","0.808899","0.693685","0.648551","0.901217","0.907796","0.739397","0.548414","0.679791","0.658083","0.89933","0.796581","0.873109","0.720171","0.798456","0.786656","0.955905","0.892206","0.757156","0.946401","1.272432","1.487515","1.383097","1.107356","1.375781","1.564517","1.167828","1.212332","1.419209","1.328192","1.432787","1.43055","1.260286","1.299987","1.2367","1.366665","1.104298","1.299947","1.362171","1.202263","1.277134","1.138383","1.206883","1.816351","1.237631","1.43105","1.409397","1.154272","1.462578","1.250833","1.424693","1.28926","1.271177","1.105316","1.202879","1.444587","1.419186","1.268025","1.355605","1.354117","1.178731","1.265901","1.185181","1.290417","1.415438","1.400934","1.5332","1.441243","1.279599","1.142993","1.371611","1.24601","1.309567","1.435143","1.239002","1.280175","1.335626","1.377917","1.334088","1.384943","1.113232","1.500102","1.26948","1.248094","1.198663","1.561304","1.464988","1.908254","1.235904","1.310259","1.328473","1.209677","1.544108","1.26435","1.116875","1.230607","1.291503","1.485542","1.390667","1.194714","1.168487","1.555442","1.099132","1.353685","1.464825","1.122654","1.182704","1.352637","1.326953","1.302649","1.368729","1.108783","1.336648","1.335101","1.427774","1.267372","1.303768","1.117284","1.245433","1.047052","1.377341","1.264866","1.298168","1.222566","1.346123","1.313976","1.32358","1.496308","1.567297","1.235019","1.180923","1.189419","1.41709","1.319298","1.134912","0.963062","1.390042","1.415828","1.123278","1.431244","1.186443","1.841096","1.254006","1.427373","1.457763","1.597595","1.142492","1.183883","1.215926","1.326579","1.179432","1.196851","1.288691","1.31866","1.323824","1.275041","1.387565","1.525467","1.420118","1.446933","1.282052","1.299755","1.343704","1.472123","1.319819","1.144733","1.401101","1.309732","1.311232","1.344375","1.228035","1.313277","1.387734","1.254851","1.655484","1.502217","1.487465","1.225515","1.324836","1.176342","1.256709","1.641667","1.402103","1.338127","1.129646","1.271919","1.197543","1.308684","1.16917","1.273548","1.481996","1.310062","1.586468","1.406733","1.545369","1.353626","1.236299","1.449488","1.462251","1.415779","1.580021","1.457651","1.434509","1.283966","1.431843","1.466653","1.220671","1.465962","1.46999","1.604156","1.36985","1.36062","1.453392","1.258732"
"M574.5186T390","574.5186","390","58.899051","66.045391","46.10639","60.123294","60.546387","57.3521","50.791284","56.481689","60.720973","60.543203","52.305688","52.685523","45.063678","50.916542","51.484937","49.172051","46.615193","47.587381","46.96138","48.979316","48.994083","50.444014","47.929878","51.949991","44.6109","49.637719","54.481696","47.502117","56.281979","48.063901","48.446137","55.549511","54.872345","42.714353","52.536565","56.468477","45.469422","47.727637","54.691335","53.633292","43.19659","51.269911","52.538395","42.591008","54.930851","53.636412","49.291833","50.39397","52.016979","40.789886","32.15728","57.226891","56.182944","44.280401","53.69265","37.651443","51.044905","48.003259","44.815238","48.112682","44.116082","43.429109","47.049679","48.20104","56.257211","50.487467","53.17547","47.142679","61.259279","43.363762","55.652907","57.064802","58.065468","66.167029","61.156795","49.307321","54.375728","51.399137","53.877266","67.652271","48.487389","60.260171","46.465168","58.008299","54.608472","47.619861","42.860906","58.789413","51.376962","54.192463","51.091055","50.967844","51.913497","58.834623","59.716197","34.179692","56.801131","43.744785","47.261122","57.13918","48.630621","54.845648","66.878321","58.564514","59.117577","57.787351","54.257315","53.099428","31.653171","43.032553","47.915994","49.622231","59.508777","53.924761","47.912408","51.000475","61.305091","51.677611","50.539293","56.540015","45.198348","50.850891","53.427652","49.81348","35.024514","55.553807","54.963229","53.739744","47.323009","57.377591","51.902651","49.714925","54.044452","51.753532","52.844976","52.452532","31.651906","53.984086","54.974649","44.140032","45.742812","45.727876","58.569775","51.99788","38.171612","55.209952","43.434779","59.694188","31.815017","58.006384","33.210842","50.486348","48.413344","48.746156","55.599769","59.678414","36.247345","51.775912","49.751207","50.954251","54.434513","57.503163","51.664506","62.356332","56.497061","50.875373","54.045055","36.539371","45.643496","51.287384","58.458416","44.560475","50.935454","48.730738","50.681496","58.894588","54.38591","58.45131","53.287874","50.280184","45.853413","46.714126","53.586069","55.175939","45.449285","47.846248","50.450631","52.242028","44.684318","55.294269","45.100122","58.692439","56.783769","57.254127","55.259138","55.660658","51.822704","55.151413","51.06278","47.766481","53.20255","34.26563","58.261278","51.976685","47.319474","51.875724","53.60993","57.015744","58.699571","53.603971","50.49189","52.890958","61.986954","51.647017","50.791302","53.71739","66.636135","56.361583","51.362748","56.354657","45.441221","52.447974","54.500997","55.045334","53.800841","56.741807","53.210038","53.340842","57.442902","47.626231","59.677613","35.772736","49.327278","58.599482","60.858783","52.237925","55.297836","51.505573","45.30028","48.0213","37.942778","55.55449","53.110699","52.965656","48.568187","47.952854","61.163191","55.739278","45.744545","47.589445","33.554813","38.410693","52.573309","5.754311","6.572796","9.749208","6.172448","5.695309","6.361092","8.711351","6.058465","9.003787","5.452503","6.983058","8.941737","5.508117","5.699709","6.095704","9.038187","7.059355","8.436788","8.221497","8.451892","6.557872","6.791051","5.539476","11.539793","5.297332","8.158163","7.069527","7.912422","6.57006","6.277054","6.290758","6.087638","8.243903","5.044416","5.798732","6.966212","6.412469","6.033879","5.909655","7.018112","6.459374","5.371277","5.447468","6.015632","6.35751","6.209699","5.86504","6.124245","5.840093","8.041872","6.487237","6.233332","6.429207","8.251491","6.1469","6.748934","6.011595","5.521829","5.782666","6.586662","5.421197","6.908926","5.678415","5.846999","5.789218","6.467628","5.795457","9.915383","5.959391","5.635189","5.883852","6.559597","5.754574","5.646851","5.562945","7.233979","5.182775","6.039382","5.830055","6.84159","6.535521","6.565997","8.327012","8.259039","5.36245","7.733194","5.258775","6.642816","5.685997","8.791867","8.347491","7.98995","8.771581","8.418755","5.52528","8.581175","6.52018","8.967361","5.530009","6.457749","7.119358","5.565473","6.035165","5.768487","6.281847","5.466828","5.847278","8.539131","7.297983","6.113213","5.900744","7.574865","5.703551","7.932208","8.189091","5.253436","6.229378","6.991018","7.923","6.40956","7.645633","10.021175","6.070263","6.455049","8.784069","7.026062","6.362983","5.642628","6.723559","7.211873","7.594609","6.322475","8.096818","4.931476","5.137734","5.547476","5.959541","5.792635","6.179358","6.111841","5.196641","5.577866","8.356851","6.330047","6.137969","6.631456","6.654897","5.758902","5.771713","6.02511","8.501223","9.668253","7.575229","5.623728","7.436351","7.721752","7.586418","6.488695","6.107153","6.468159","5.074206","6.248579","6.260577","8.442147","5.16246","6.529517","5.975657","6.283055","6.638014","6.090486","7.662344","8.554829","6.967413","8.746142","5.775788","5.984716","6.101778","7.338989","9.499374","6.315026","7.302943","9.506147","6.62614","5.528075","8.725199","6.349667","5.426773","6.154256","5.868518","6.656113","6.497777","6.88945","6.034104","9.133188"
"M468.3113T158","468.3113","158","1.759911","2.665832","1.946525","2.085995","2.021663","1.414447","3.678953","1.205149","1.53843","2.098315","2.083777","1.819346","2.927286","0.841489","1.628867","0.895059","1.465249","1.696258","3.734638","1.102806","2.601779","0.631063","1.317668","3.784964","2.519459","1.039145","1.841707","3.393894","0.988152","2.102907","2.035143","1.619414","1.086311","0.96077","1.259831","2.321846","0.941102","1.447023","2.322743","0.878962","0.869536","1.22254","1.09446","1.018542","2.276334","1.567621","1.353208","1.130538","2.115211","1.636642","1.228715","0.879429","1.437505","1.005561","1.975085","1.953191","1.903536","2.123886","2.295805","1.612927","1.04823","2.902597","1.333843","1.722483","1.047755","2.78081","1.340161","1.562239","1.813625","2.794388","1.630631","1.623802","2.059551","1.853326","2.384899","1.729509","1.08204","1.090962","1.265733","3.737437","2.217487","0.950041","1.181527","3.546291","2.127296","4.084902","1.894555","2.655988","0.840315","1.263899","1.567308","2.320145","1.886911","1.140733","1.082175","2.150748","1.798465","1.316305","1.315391","2.779529","2.114554","1.877765","2.057843","1.813324","3.009558","2.335308","1.597348","2.755102","1.975153","1.607213","1.453764","1.20109","4.190457","2.269487","1.145828","0.974686","1.226067","3.296725","2.454346","1.065318","2.320624","0.689796","1.327263","1.000263","2.035366","2.288899","2.851183","2.529866","0.996715","2.806528","0.764493","1.387274","1.380334","3.848914","1.137214","1.254295","1.211963","2.666465","1.834384","1.47425","3.166939","2.826155","1.972919","1.227001","1.534823","2.133578","1.51023","2.323708","0.62346","1.879313","1.220298","2.06004","1.489536","2.104334","1.769712","2.362456","2.840429","2.766233","1.487907","1.03181","0.439193","1.910894","1.648033","0.847666","3.043058","1.288628","1.952151","2.475193","4.587946","1.049556","3.093586","1.464253","2.180791","1.244346","1.085358","2.772162","2.819836","3.694664","1.400165","1.818098","1.409938","0.766863","3.413977","1.779249","1.379381","1.411369","2.788227","0.908125","2.148349","2.056655","1.036673","1.092394","1.309219","2.268558","1.017776","2.170681","1.40502","1.454162","1.895957","1.33299","1.937333","2.821029","1.927474","2.680542","4.001388","3.618688","2.377828","1.370663","1.76506","2.409419","1.96043","2.514148","1.203492","2.384643","2.39618","1.536288","1.92499","2.123846","1.733653","1.732866","1.343207","1.671383","1.660919","1.342104","1.227863","3.591872","1.197077","2.393817","1.640117","2.009461","3.13934","1.779132","1.795097","1.394247","1.197982","1.361541","1.733481","6.04103","1.291108","5.568767","1.379893","1.298092","2.671615","2.083879","1.998114","1.300409","1.642801","1.333643","2.682431","0.896234","1.326947","1.464336","0.888363","1.410857","1.240477","1.489053","0.82681","0.927258","0.786955","0.656028","0.763342","0.749845","1.570115","1.434706","1.149344","3.201289","0.745213","0.639359","0.801362","1.248474","1.228366","0.565748","0.916515","0.687374","0.462491","0.814864","1.638495","0.672501","1.127202","1.640036","0.607187","0.568953","1.289701","1.532896","0.692381","0.634408","1.443605","0.664231","0.983431","1.061753","0.961395","1.04374","0.836166","0.977936","1.211645","1.208685","1.104548","1.750192","1.626776","1.587252","1.330921","1.262706","0.568916","0.571744","1.396331","0.845873","1.496856","1.314491","0.507556","0.816305","1.362092","1.255051","1.437333","0.872115","0.977852","0.592638","0.331041","0.604256","1.418832","0.612861","1.525397","1.200236","1.001075","1.870873","1.639985","1.627804","0.600757","1.230843","1.300277","1.347361","0.820433","0.772208","1.417251","1.159959","2.095842","0.935248","1.291859","1.636601","1.106232","0.851606","0.970282","0.555361","0.86161","0.999496","0.939493","0.951303","1.06466","0.648743","2.507521","2.000496","0.917852","1.345084","1.119793","0.897464","1.391951","1.265278","0.730634","1.190625","1.652896","1.230408","1.084292","1.037967","1.104923","0.524194","1.46482","1.201954","1.669614","2.407775","5.550324","3.118054","2.430554","0.851008","1.429771","1.344767","1.063227","0.762206","1.675364","1.036832","1.390208","2.126614","1.100575","1.824302","0.636333","1.608832","0.368523","1.871074","0.687317","1.079505","0.314188","0.744897","0.718221","0.557206","0.753371","1.326785","0.63281","0.465714","0.698901","0.687943","1.284584","1.789071","1.272221","1.324165","0.68612","0.927662","2.170294","0.804359","0.637531","0.731568","1.168127","1.535819","1.29135","0.796782","1.06502","0.852544","1.310494","0.66545","0.881388","1.123303","0.989135","0.700071","1.051229","1.497927","0.827073","0.613311","2.442357","1.487661","0.83276","1.213292","1.135041","1.081632","0.602506","1.020398","0.666884","1.097075","0.769209","0.477346","1.033859","1.023475","0.956348","0.559033","0.86148","1.536126","0.657062","1.236298","0.943467","0.779962","1.007732"
"M482.3634T190","482.3634","190","0.908453","0.814964","1.343539","1.268772","0.906071","1.148901","0.970727","0.771909","1.040418","0.653957","0.796806","0.939859","1.021479","0.696754","1.353385","0.779567","0.6523","0.889731","0.505015","0.8782","1.971022","1.162778","1.317668","0.813384","0.85699","0.678625","0.787001","1.574721","1.210403","1.340894","1.527462","1.118304","0.971963","0.557247","0.81939","1.084014","0.949232","0.246877","1.04024","0.778921","0.938632","0.73355","0.84947","0.739808","1.228813","0.675997","0.934318","1.109087","0.992052","1.871375","0.767252","0.602349","0.818272","0.460882","0.785102","0.984083","0.589519","1.299196","1.464071","0.476592","0.837175","1.056672","0.444977","0.978624","0.909607","1.002586","0.704068","0.541697","0.666204","0.548016","0.759268","0.822858","1.483045","1.212754","0.658826","0.91334","0.521724","0.932348","0.942183","1.742899","1.304971","0.995672","1.297975","0.752041","1.613621","2.024523","1.063628","0.717705","1.190828","1.205112","0.640674","1.43132","1.140741","0.860423","1.967438","1.221105","0.913974","1.116262","0.765783","0.727518","0.60631","0.915421","0.927794","1.171441","0.921107","0.641936","0.474818","1.398153","1.167744","0.717452","1.48208","0.972587","1.235947","0.955767","0.722453","0.592199","1.117681","1.288916","0.853118","1.024778","0.886854","0.57483","0.545566","0.555069","1.323809","0.720505","0.712887","2.101863","1.531504","0.785186","0.415652","0.814984","0.813069","3.641392","0.592696","0.714152","0.587246","1.32198","1.622863","0.722898","1.142698","0.770757","0.564853","0.742312","0.94114","0.786659","0.646998","0.794871","1.405118","0.590211","1.002906","0.549056","0.817787","1.676862","1.026591","0.946673","1.014073","0.761483","0.766767","0.851565","0.73722","1.291209","0.893848","0.66026","1.430822","0.435779","1.575572","1.38064","1.186302","0.975125","0.863897","0.499331","1.267172","0.715615","1.144794","2.011765","1.265029","1.386781","0.886771","1.261983","0.588316","0.947301","0.871252","0.815791","1.268758","1.096085","1.105474","0.596789","1.24352","1.184622","0.800862","0.700267","0.659415","1.535349","0.861195","1.065825","1.328845","0.78706","0.823295","0.802574","1.22511","0.912037","1.009229","2.005357","1.95873","2.136252","2.423184","0.792574","1.012799","1.01916","1.264056","1.612942","1.250688","0.413279","1.435325","0.561591","1.244585","0.69739","1.210749","0.719056","1.040986","0.967714","0.940373","0.777698","0.589346","0.926764","0.559583","0.972932","0.708432","1.715543","1.091421","1.012084","0.50209","1.295675","0.609144","0.756937","1.229148","4.88088","0.915198","2.679358","1.395911","0.817614","0.888473","0.849139","1.614702","0.795993","0.55583","0.884756","0.490888","1.221502","0.612493","0.839396","0.723962","1.213899","1.105214","0.914382","0.764682","0.818899","0.764167","0.753815","0.73022","0.670545","1.728469","1.35424","1.648581","1.566954","0.73126","0.656031","0.728639","0.714334","0.783498","0.893463","0.448525","0.602764","0.622452","1.159652","0.612816","0.779472","0.912776","0.811293","0.52052","0.773385","0.952372","1.209263","0.775269","0.961393","1.666925","0.777728","1.265555","0.744471","0.771716","2.420963","0.749316","0.903763","0.814797","1.239292","1.02046","1.020003","0.865137","1.154026","1.046131","1.181904","1.00847","1.11318","1.694611","1.233794","1.50171","1.100372","0.47767","1.080821","0.787482","0.907553","0.879383","1.016162","0.557346","1.308992","0.986405","0.969683","0.719224","0.769741","0.945929","0.826956","1.24378","1.414809","1.196763","0.882553","1.163195","1.339469","1.019947","2.369468","0.878056","1.484815","1.379289","1.820985","1.268651","1.114502","0.98085","1.306798","1.55961","1.33579","1.49292","0.987034","1.418985","1.662351","1.279023","1.611511","1.799345","1.49148","0.911201","1.025296","0.865982","0.863186","0.5649","0.830919","0.81298","0.754055","0.562521","1.035548","1.066499","1.57756","0.863203","1.117115","1.172224","1.439479","1.281687","1.68755","1.466828","0.962588","2.916288","4.693959","1.569197","1.208471","1.242942","1.944268","0.713828","0.961154","2.852152","0.859837","0.646339","0.970528","1.524514","1.825872","1.902451","1.545318","1.081715","2.463195","1.593609","1.18603","1.59273","0.705442","0.678019","1.349815","1.2186","1.630686","0.927911","0.73179","0.681646","2.558201","1.735469","1.433285","1.633969","1.831934","0.747013","0.804817","0.812478","0.796591","1.004475","1.052198","0.927788","0.742993","1.007555","0.500613","1.203875","0.642417","1.987156","1.896656","1.429873","1.463283","1.047812","0.975212","0.758174","0.921813","0.721483","0.844036","0.654084","1.103813","0.472445","1.303417","1.199374","0.757635","0.744769","0.935096","0.725013","1.036771","1.596433","0.981122","1.840052","0.75355","0.828851","1.558772","0.981693","1.610401","1.3349","0.921594","0.95874","0.976596","0.712278"
