"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M834.6T343.8","834.6","343.8","157739.9","145423.7","205803.7","203050.9","130341.5","140025.9","179407.4","180758.5"
"M832.58T307.8","832.58","307.8","244391","240338.5","295600.8","302370.4","294533.3","316613.2","366937.9","364419.7"
"M830.57T280.2","830.57","280.2","20089.5","19988.7","25496.5","24563.8","31939.5","33938","38951.8","39023.2"
"M718.57T368.4","718.57","368.4","125924.7","120352.6","130621","126211.5","114836.3","119631.3","117776.9","119117.4"
"M716.56T306.6","716.56","306.6","7381.6","14530.9","10171.1","11627.7","9302.1","12831.4","13054.4","8063.2"
"M744.59T346.2","744.59","346.2","50025.8","62313","61135.7","47717","45828.5","48174.7","49748.2","49630.8"
"M764.56T341.4","764.56","341.4","36447.3","38268.8","36010","37586.6","30534.9","32597.1","29932","6337.9"
"M770.6T348.6","770.6","348.6",NA,NA,NA,NA,NA,"13037",NA,"16827.7"
"M788.56T331.2","788.56","331.2","118087.7","110036.9","127271.9","121090.8","129302.9","125347.4","115123.3","128324.8"
"M816.59T342.6","816.59","342.6","155398.6","148467.5","168586.2","171091.5","127910.2","118713.8","144323","143606.5"
"M792.59T333.6","792.59","333.6","22184.8","21500.9","27295.7","23506.4","16023.2","53740.5","25310.2","56406.4"
"M818.6T331.2","818.6","331.2","19772","19462.3","21053.3","21533.6","21187.6","8376.3","24015.3","23483"
"M716.53T329.4","716.53","329.4","46508.6","50551.9","55395.8","53924","51905.6","52816.9","52011.1","54051.4"
"M768.56T402","768.56","402","264965.5","111534","282491.8","235261.4","252250.6","243944.7","174345.9","225239.1"
"M768.56T361.8","768.56","361.8","427834.7","429857.6","474422.8","466559.5","437088.2","450229.6","471670.3","481241.1"
"M764.52T310.2","764.52","310.2","168643.9","166262.3","197334.6","201324.8","165392","173129.3","174380.3","171743.1"
"M724.53T342","724.53","342","402205.9","405325.9","406025.5","401900.9","258686.6","261786.6","250306","245683.7"
"M752.56T383.4","752.56","383.4","241575.1","236610.9","248536.3","238604.9","134740.6","135236.4","133020.5","128621.7"
"M750.54T343.8","750.54","343.8","232204.7","231524.2","247993.3","245413.9","223657.4","222963.9","222256.2","223856.8"
"M778.57T384","778.57","384","81274.1","79747.6","86911.8","83957.3","50232.4","53798.8","54807.3","58185.4"
"M675.54T264.6","675.54","264.6","43924.8","44391","53436.5","56181.1","89617.9","94397.9","96484","100579.8"
"M689.56T283.2","689.56","283.2","31942.6","33911.3","38921.5","38126.5","44763.8","46011.5","49195.3","48609.4"
"M705.59T317.4","705.59","317.4","129897.2","136872.5","162268.8","171275.9","282181.9","275922","371001.9","370437.7"
"M703.57T304.8","703.57","304.8","2616505.5","2650680.7","2752323.1","2858915.1","3646770.8","3751932.6","3620299.5","3618717.7"
"M701.56T270.6","701.56","270.6","58961.9","63225.5","82555.7","86443.3","79400.8","87362.4","107769.3","104178.8"
"M731.61T345","731.61","345","88059","83593.8","102344.7","99417.2","89896","90912.4","103624.2","98987.6"
"M759.64T388.2","759.64","388.2","24599.4","26194.9","27372.7","27456.3","34137.9","32713.7","37089.4","32785.1"
"M785.65T393","785.65","393","2112.8","2096.8","3813.1","1715","1756.3","6470.9","3892","3576"
"M799.67T408.6","799.67","408.6","21767.9","20855.9","24236.3","23737.4","40742.6","41258.8","43055.1","45169.1"
"M813.68T429","813.68","429","205258.7","204302.4","230668.1","234557.2","480537.7","487604","502840.6","512147.4"
"M811.66T393.6","811.66","393.6","11066.3","9918.8","6015.5","12698.5","213254.9","213839","231229.4","225464.3"
"M740.68T588","740.68","588","3025.2","3613.3","2715","2572.6","4572.6","3387.4","3002.5","3312.3"
"M766.69T590.4","766.69","590.4","2461.7","2237","3116.2","3014.7","2709.4","3571.4","2648.7","2787.6"
