"","mz","rt","afb.13","afb.14","afb.15","afb.16","afb.17","afb.18","afb.19","afb.20","afb.21","afb.22","afb.23","afb.24","afb.26","afb.27","afb.28","afb.29","afb.30","afb.31","afb.32","afb.33","afb.34","afb.35","afb.36","afb.37","afb.38","afb.39","afb.40","afb.41","afb.42","A5","A6","A9","A10","A13","A18","A19","A20","A22","A23","A30","A31","A33","A34","A47","A49","A50","A54","B4","B8","B9","B11","B13","B14","B17","B21","B23","B24","B30","B37","B40","B49","B55","B57","B60","B63"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M565.3376T661.1","565.33764","661.08","133.4757369","113.4570611","113.4007902","114.3089821","188.2073968","147.7326594","111.6760223","134.0192493","151.9858673","112.0656515","113.4632891","113.0763268","156.0337511","112.0093819","111.0006768","153.8102385","113.7143302","112.2060012","132.9298917","114.5248415","152.1138834","112.3888399","112.7408981","124.7138203","112.9816589","164.279585","111.4489928","113.3629302","112.0294058","169226.2585","605240.9271","48899.53614","167368.1965","123995.3285","671806.5652","201631.2658","683838.7052","690866.2423","157938.7489","120340.7892","223901.1189","788829.7109","712884.5391","167569.8361","683514.0554","117186.6569","137701.4695","120289.3454","711824.3763","676684.2033","159020.2613","1041689.71","899388.0066","180766.4067","659379.9148","183433.2532","202574.3262","185668.8905","128972.3071","746471.3539","108018.9219","191013.7926","150515.8215","562330.5075","485462.7049"
"M541.3377T505","541.33769","505.02","187679.5006","89002.05878","206183.9452","75886.77469","192091.0499","144524.6704","68964.22421","153819.0542","149952.9515","109470.2197","117563.4125","181632.0172","151106.8246","33681.21458","94010.70671","207104.554","532284.1804","4606.550245","5960.346284","29975.36828","10811.71975","104154.6985","41972.24572","120459.0529","151582.3073","757122.2137","146252.6362","41430.99538","190578.8946","444.2604773","331.8803415","169.5810201","397.2748222","171.0477255","318.359865","359.7170237","495.8231318","317.112304","426.6995608","347.8962283","594.6379481","275.640609","453.8385314","419.9963169","269.7205537","270.6823937","288.9148309","350.868782","351.1346977","537.3772047","421.347517","383.5135974","467.7123033","460.2984325","168.8934677","269.1816016","388.6405181","268.7444435","297.9309996","291.9564293","171.2923187","237.2741373","290.2730652","247.5963603","303.7789256"
"M345.0022T64.6","345.00223","64.56","38039.19309","23674.69293","42097.47152","55274.67355","38995.11687","44383.45325","46137.09386","18139.18137","34767.86273","46441.28955","54318.07309","13983.95904","13902.82901","98229.13622","48767.67971","38807.84085","10139.20323","37693.09484","13143.87358","34166.51396","33434.19499","41861.25141","138630.3294","48368.50291","39802.95426","32131.81579","42961.28216","54098.959","35471.66742","650695.2943","527631.5527","418760.6524","432666.6565","870170.7704","539261.2896","739658.9091","603762.1971","878132.1576","539450.8973","501750.1482","590796.0506","970914.7811","619179.4987","772009.712","809353.2856","644501.9858","863790.3089","733446.3564","773285.7849","506471.3737","501643.5937","709039.3231","516629.7541","751909.3417","578660.4062","555165.097","535488.8579","483359.3165","463377.5019","610533.6023","654122.1689","705463.2231","672015.1482","583199.09","675877.6002"
"M507.3323T714.5","507.3323","714.48","275.66487","281.1669541","321.2998597","282.6024618","281.5557158","277.8326019","281.953167","273.2480219","275.24713","274.1609055","275.7942021","284.0549942","277.5696831","276.3146271","276.2240599","275.4749303","279.3179822","274.5449856","275.0809414","283.1488287","276.6077974","275.847121","276.9456874","276.2969522","281.08464","277.3150458","276.1706266","275.9940699","275.7542597","492581.497","571793.4597","223765.3182","377464.6098","686759.5707","582826.5256","592528.3762","576634.8282","503322.697","658820.6028","517908.2239","613182.2833","526581.2013","469521.3488","521597.1151","587085.563","434753.078","675435.018","505056.0905","537152.5316","564918.005","678990.3168","824242.505","611385.8986","491108.8265","424705.5881","600734.0732","511971.3614","505965.8925","527015.1083","941857.5186","483042.7678","951295.5662","462126.1119","554424.1405","454457.6215"
"M505.3165T468.7","505.31652","468.66","668366.6605","420334.6179","801353.128","601112.1257","705304.0437","851967.4075","438812.9513","733009.8276","903327.4806","705344.4614","634703.7891","861458.562","765231.4747","172929.3149","403603.7351","731069.4094","780010.4196","286144.9224","788518.5312","428492.8626","644976.4652","544714.2702","239071.3041","637691.6789","543873.4595","856357.5948","752840.086","320772.9014","711530.2085","279.5553814","322.1008932","273.7238993","333.3452499","280.6931942","280.1922527","278.5559681","275.7504157","284.0869917","275.0472157","275.8820637","281.8888708","282.1339305","280.1439272","278.075615","277.7177696","274.8894703","275.5989999","278.7594284","288.5596703","279.4857674","278.282798","280.2389721","301.8801699","283.722917","278.8401248","274.674225","279.3924401","277.0943198","277.2089909","275.0919693","279.9998572","277.8692651","280.1833317","276.6039019","277.5866426"
"M343.0072T64.8","343.00721","64.8","6741.035491","26655.97824","7835.516449","18507.8578","5332.818314","10618.44445","14634.58144","5973.802835","8217.480992","6154.546722","7517.166","3707.200522","3910.635157","14261.31321","10555.50132","12298.51363","3532.967136","17107.41323","2539.371384","15223.71408","12810.73537","4850.567651","14643.91863","10254.28002","8435.082654","1211.270828","1140.821558","13795.7896","1157.05007","22698.26027","26459.07687","9667.44855","428564.174","36165.14801","13753.93049","15916.99092","20846.55447","8348.411077","8895.755993","479770.9424","26191.74789","903438.6657","14802.42618","5540.551392","41415.96366","610333.2508","5508.071859","17017.4501","30849.38717","15754.71322","80577.5174","16049.35496","482924.0687","721741.2196","6338.868245","15563.06438","5502.922816","23577.90832","461793.838","27869.35577","17955.39032","22896.29232","8944.609638","33394.80429","18019.74655"
"M541.3376T514.3","541.3376","514.26","587587.4425","272158.2889","709504.2983","636055.3439","662513.5513","629440.4132","471844.5965","245161.9128","705984.4587","591559.9117","576077.0537","792019.6697","540415.3914","197225.8942","441852.1594","769972.5232","532284.1804","341436.8204","621505.5801","478962.2251","600752.7719","541485.0534","259558.5386","553467.7727","597656.0023","555753.6068","615793.9463","301129.8876","826356.356","459.9846978","594.0498206","216.6887746","539.6973236","451.9365527","452.5526748","357.5552883","616.4734935","423.1033984","621.3951408","706.7047911","791.6701325","433.0256634","567.0137073","565.0955735","321.0968863","510.9747861","344.0576744","455.1982387","537.058962","515.1805888","466.9378421","421.3927484","1137.576955","601.5429175","559.8117935","903.2851559","349.9103252","662.8523031","710.0209125","630.0918364","670.4552915","564.0439682","449.8569133","349.8255712","420.3657327"
"M541.3378T521.6","541.33775","521.58","308953.201","136267.1631","178321.3166","636055.3439","662513.5513","123329.9681","471844.5965","245161.9128","705984.4587","591559.9117","576077.0537","792019.6697","99622.68886","197225.8942","441852.1594","769972.5232","532284.1804","341436.8204","621505.5801","478962.2251","600752.7719","541485.0534","259558.5386","553467.7727","597656.0023","555753.6068","615793.9463","301129.8876","826356.356","297.5831123","438.8840965","144.0599489","517.3749427","336.5067717","650.305067","331.7104056","686.0409555","354.6226824","578.8866926","560.3353439","785.6228266","311.0603764","474.2649412","603.6493391","246.1322266","143.8418349","300.9177407","491.5989847","495.7593866","748.0786623","504.0260628","386.5259316","840.3488003","560.8707369","573.048743","613.7322048","368.2121648","142.2647902","408.4837245","366.5143917","660.3801155","340.5939441","382.501755","355.1065937","337.2612247"
"M188.0144T238.3","188.01444","238.32","422180.6059","77849.18958","76532.92735","6041.251998","407851.7016","174254.7566","2967.116748","121564.8033","45872.16587","422933.1253","20325.55283","30225.69878","51023.85077","46389.40458","229995.7028","252894.545","317999.0803","66116.02221","197900.6683","3839.223398","725055.3509","393284.8921","26939.86438","63540.59402","451041.6786","149254.2905","363797.6058","132650.0505","305473.9034","73.46047235","74.85906946","73.67834164","74.54294324","74.22716037","73.41994527","74.43806998","73.1344295","74.06557712","74.49121763","74.50213924","74.83113571","73.67549904","74.76373054","74.14968888","73.74064391","73.93946041","74.08596082","72.9315021","74.11975535","74.66420346","73.83223284","74.24426426","74.66132758","73.31243245","74.87344966","73.76806779","74.74725507","75.03448022","75.22089263","75.70054364","74.27812092","73.13840109","73.80726794","73.63249931","74.58916454"
"M481.3165T687","481.3165","687","266.0998585","389.6319871","302.3786765","265.3677647","261.6252592","264.8827689","379.3950851","260.866409","721.1516293","336.6017812","525.1757384","264.6419634","300.4321671","263.4520876","332.6109501","272.3703698","263.6806498","264.4654098","488.7730014","391.15159","431.0407164","510.8867631","354.4191651","299.9676804","347.9629239","263.8774379","576.0535693","263.7165673","493.2671696","465931.5728","592072.4989","241137.0184","450678.7667","485886.8158","565799.6316","452093.6229","490526.6334","529690.0681","604082.051","582302.2563","565458.867","436067.2271","427991.0514","446493.1685","511756.7511","422213.6117","515818.9446","498234.947","586991.1549","638583.7528","633076.6317","694128.5553","671796.4225","503582.4776","489767.9742","269875.6482","500335.88","492299.9977","581225.8322","611120.6798","487325.1897","669104.6293","439085.5918","617196.958","498919.035"
"M565.3376T468.8","565.33756","468.84","433542.9718","298150.139","574187.9608","432795.8336","628058.3057","588941.7601","302173.8675","480471.1079","681176.654","493499.9784","436303.5187","566921.2189","553914.5358","117095.0324","277996.9263","512118.1847","510946.5991","196430.8906","542260.0533","379936.9937","424026.2275","375141.0869","160232.5347","427537.9943","357333.0682","597054.6289","480232.3294","210366.3662","489831.9895","165.2234725","213.9137004","161.7769364","226.6990701","165.8959453","165.5998777","164.6824376","164.0976411","167.9017554","162.5590459","163.9799574","166.6026169","166.7474526","165.5713162","164.3488976","164.1374029","164.7970934","162.8851627","164.7530465","170.5452083","165.1823291","164.4713473","165.6274899","190.9078545","167.6865791","164.8007399","162.3887645","165.1271706","163.7689302","163.8367033","162.5854963","165.4861676","164.2269401","165.5946052","163.4790822","164.0599039"
"M368.1657T510.8","368.16565","510.84","95.11818037","95.70334175","94.77474553","95.03696163","95.49331423","94.32404283","97.80728415","95.60865962","94.88640737","94.61916879","97.19874405","93.83925769","94.9751326","96.20893017","93.8484806","95.00491956","94.7772782","96.453945","95.79994824","97.38231536","96.16882139","94.57218143","96.17188742","96.85669395","95.29144148","93.56390165","94.43854331","93.88475911","94.84291194","478789.9448","201758.4959","26324.00399","569489.7407","274603.2185","402203.992","254497.7069","147678.9305","475168.9297","376828.6115","446729.6431","173075.9522","162110.1524","451316.2454","323831.9211","293850.1431","582804.165","394662.2099","468433.5013","365041.8529","470696.957","424035.2787","613410.6284","453478.3554","643662.1564","337202.979","142317.1844","575321.5409","561479.1864","374153.737","139712.6626","517447.2679","247259.4568","411571.2885","286431.7888","433649.3662"
"M292.0908T52.3","292.09083","52.32","37574.58527","122624.5786","18061.18077","7246.459692","12149.327","6068.929212","20800.92183","11470.56269","20645.96041","13018.43068","4554.277461","1734.544828","8009.520668","5644.395652","10562.65003","14328.16184","17629.50768","629026.6137","16277.8725","143497.9326","26747.36272","11716.09051","6883.088562","12603.48364","19537.77624","41538.38273","12219.44298","24562.98231","19708.78226","39201.55355","23011.88325","19076.33411","30195.17632","27906.0909","39266.73635","22548.21506","25925.00099","18288.41711","33661.6344","29940.53734","34821.86247","55361.57558","45015.52755","27717.20833","30453.60137","30472.40959","20322.95342","26330.86289","45083.9702","45096.31691","42237.6205","38589.85504","43204.03703","35205.74248","32313.62052","29402.1763","37375.71791","33862.89734","31626.97098","29335.01158","52900.25046","34406.86337","52579.68947","38160.77803","30556.30921"
"M292.0905T68.5","292.09051","68.52","500312.2487","24795.28815","493894.9965","55966.60187","256913.0447","8898.009169","59111.40941","379660.1296","619760.5056","337786.9684","124385.5297","190579.34","470610.9605","64710.59367","301225.1898","140238.8202","216740.3853","150752.6569","310565.1215","22834.45484","560939.2107","241795.4904","14123.8265","214127.2193","79988.06011","526734.6063","250240.0619","81991.93652","173386.178","12982.91308","36838.29396","5917.786239","13484.03898","28484.07565","12093.18255","21650.94079","45091.47996","29775.06701","52733.32605","13328.18786","15978.64663","20249.52585","18847.48293","49257.16967","32855.05816","8759.940583","18124.44573","25922.45897","10862.82957","16231.61115","1650.453039","26952.24916","36462.55249","27236.54293","34274.78629","34547.62123","5882.327869","60987.70582","44229.65739","14478.58423","45369.98167","31785.15919","17383.19138","11639.27165","11924.52587"
"M748.572T755.7","748.57197","755.7","1456.22104","1065.555859","1234.401804","725.7598783","5044.390269","727.5332759","9643.696908","8839.15921","7872.826871","12800.45694","7819.084473","11822.58703","11868.57489","9117.05228","7627.405542","10622.95953","8545.263446","7715.379758","9920.880194","11896.44298","722.8618325","7985.324355","726.0477936","5815.603047","8329.556032","6756.660247","5633.710815","10640.82932","6594.854819","178875.3287","425571.4552","6153.218699","60940.20366","23914.64002","371527.1435","27692.37018","38610.58384","467635.113","575032.484","34110.44282","14000.7968","389772.1584","242962.9913","362713.1048","407555.3732","488001.5438","80999.58945","70647.34948","292310.7246","388947.9254","502750.3812","53715.97387","198979.7185","26613.62554","522318.4007","141779.6837","1458.642645","36414.34228","485266.6516","287540.6408","427976.0791","1914.479568","307910.6325","33272.35392","84075.42373"
"M163.0635T207.2","163.06349","207.18","344397.7797","253175.1462","355264.0109","241870.483","364566.5967","294982.6114","328280.7279","363676.3097","362103.2527","448779.5828","392564.438","361051.1889","410041.974","210543.5298","473378.0624","378836.9213","472021.9012","268455.2527","441988.61","260191.4982","456896.0334","376134.1311","291908.2066","282482.4233","386470.2715","317369.4222","419406.748","276739.2485","380189.8597","165.0214622","168.3358471","166.7157027","168.6086991","168.0228556","164.7263807","168.0197972","164.5388864","164.7569308","165.7612787","168.5856827","170.4241439","166.2390487","164.4123642","169.3801629","167.0811845","164.6439992","165.6059725","167.3875732","165.6531498","165.2962415","164.0819674","165.9917223","166.5827888","168.4519128","167.9850084","165.38483","166.231618","164.7560752","165.700137","168.3784638","164.2547493","167.062625","167.2660191","166.2240149","166.1508551"
"M507.3322T530.6","507.33223","530.64","283413.603","138205.3049","566323.0524","189725.7148","349609.4613","381136.7577","217616.1684","419453.3251","386827.0668","301355.249","214966.5419","365830.0025","442690.7422","45989.83467","173276.5749","329172.1303","254181.302","86450.66811","291924.3546","190327.6201","251012.7395","201610.5179","90028.96331","271119.765","253427.3192","429769.9403","246098.7915","113265.4876","386523.7822","361.5036311","333.2933335","376.6255903","353.575856","331.5932278","347.672542","335.9560822","448.1265119","348.0395849","352.4331194","394.3589002","339.5644295","330.2976754","423.3841176","343.6207923","339.5576194","381.0927095","337.0719118","353.8114225","340.7870778","391.4725907","349.0045526","357.4846494","340.2414232","344.8835765","346.4970499","347.1739975","343.7519903","393.3218144","346.5542774","384.8969487","421.219421","370.5881247","339.7756041","389.8508287","337.358657"
"M199.0401T208.1","199.04014","208.08","336730.4166","247755.8878","348021.613","237284.5667","356231.9044","288073.1601","321087.653","359788.9934","357056.8252","441339.2822","390241.7727","353648.0074","399749.0793","207773.2279","462892.1786","368952.8772","467218.2313","261786.9614","433139.5768","253514.5593","452308.9899","368404.5855","286235.9093","275766.9995","381089.8821","308525.5278","411140.0637","274492.007","371713.7208","166.560937","169.9062416","170.5436946","167.5919353","169.5903302","166.2631027","169.5872433","167.0826903","166.2939378","167.3076552","170.1584079","172.01402","167.0927197","166.7352027","170.9602997","168.6398743","166.1799527","167.1509002","168.9491213","167.0431926","166.8382797","165.6126777","166.2730063","168.1368292","170.02339","169.55213","166.6999864","167.6310293","166.3079485","168.0704926","168.8450102","165.9564497","166.6223774","168.8264332","170.8399671","167.7008659"
"M541.3375T686.1","541.33754","686.1","34.41224307","34.10752518","146.7859512","33.37344491","33.57334207","88.37718104","53.8702713","77.65056857","140.3057888","46.68048201","43.04048705","33.8016943","60.20261004","33.93686218","41.56824359","83.31578134","53.80407062","45.39908086","61.17391891","49.49170399","36.54043519","96.07610429","34.22795184","34.05316569","53.53872332","86.78187078","76.68768152","33.40139567","39.8165619","379348.7706","484425.7702","199449.0977","368188.6595","375675.1075","437108.8064","368800.1874","385513.867","421924.8333","483354.9353","457076.1358","446097.7186","346082.3342","345183.0914","336740.7435","429944.6706","349010.2962","393297.8433","387293.9833","460973.8037","491218.5493","484191.1683","516473.5973","521133.3379","398889.6934","395547.0804","159463.644","383428.1648","394785.4234","440792.7072","501358.013","373649.7523","510929.3725","358105.1747","466976.8453","382206.2471"
"M188.0146T372.6","188.01458","372.6","176.7334304","112.7951546","112.4460785","111.4714382","169.7490394","113.3269839","116.0404882","112.6757458","114.8279166","113.5909906","111.8965078","113.154858","113.2925462","111.8835063","111.9225071","112.8304971","112.8051965","114.0520425","113.4376042","111.5879538","190.5333661","113.5445961","112.4889344","116.3150736","113.4943401","111.8325568","113.6614011","113.3663276","113.4287333","383970.2707","142719.9327","152627.3726","212912.262","185092.7157","242177.5693","377099.4758","140933.7563","19777.14441","62078.22152","62261.28824","7077.834553","1790.469478","334489.4835","6548.274455","500069.8357","154350.604","313443.0149","156228.8395","23043.91768","104357.8907","56349.70775","35904.96419","13467.37549","132578.5369","382514.4174","7670.578178","69608.45632","18885.0193","403519.707","8378.517369","433482.9161","56548.36232","283373.9205","231552.4283","130021.4246"
"M129.0429T76.6","129.04292","76.62","1193.052928","368.7584165","3693.086036","3641.083459","3666.5549","3552.651232","318.5662424","2746.762601","169.1601087","262.8081222","3447.148789","4404.411623","3368.295182","166.6078777","3119.333207","3639.317102","3302.930211","4231.292265","3178.617208","3278.762478","3046.848513","3221.368449","166.6452162","193.5189921","3877.002721","1294.077861","874.027662","3097.042693","3018.251585","6919.085193","6065.721067","3814.77503","6154.782878","6044.533726","7416.772396","5947.773455","6959.237188","7032.116971","7609.464403","6623.236904","6994.927544","3392.632957","4379.572813","3828.248485","6932.115561","492789.185","495549.5321","7521.126507","11153.22572","8422.630497","9071.169666","9415.195558","8696.873927","7076.223637","6070.233235","3110.22816","6071.214792","4471.660744","5439.321065","6293.130514","5538.606609","7040.67917","6562.833976","5444.516779","4952.467097"
"M368.1655T305.3","368.16546","305.34","114314.6626","68324.89778","122138.549","200950.5935","68908.9346","101628.5974","57991.01944","210907.9974","109044.3421","231989.1938","38534.22948","21661.0949","183524.9609","10936.57321","75067.7053","420437.1461","278187.8949","70378.10258","348362.4733","175420.6278","104704.9595","133256.8177","29716.55367","106497.5023","239086.602","459856.3236","132527.4455","17081.13839","103313.145","107.7895555","108.7898337","107.2456324","108.8865992","109.3819174","108.1509177","108.9185412","107.7055327","111.9699717","107.5628278","109.7855431","108.3962675","108.84811","109.3460311","109.9229215","109.1793529","108.0488078","109.3958648","110.5139551","108.8513661","110.3359899","108.5227853","108.9162473","109.664593","110.1288988","111.4737669","110.5530345","108.6594484","109.2417979","106.739702","110.0826142","107.840176","108.2351379","110.0069984","108.5721007","108.2022244"
"M370.1813T529.9","370.18132","529.92","94.30078169","95.71287028","95.4837617","96.11403397","97.60515088","94.058114","97.36829259","95.35300185","95.15755791","94.01222405","93.3738475","93.70979175","94.27708701","93.80799658","92.98869328","92.78074313","94.56785065","94.77755859","93.99500368","94.42291654","93.95209946","93.74555899","94.4181319","94.46718493","94.45446042","95.7609217","93.52143993","94.21923922","93.49332962","443797.3915","83043.15523","17934.94279","329594.5895","141807.0748","281005.0936","151491.8632","133592.3196","321587.6257","447067.2577","248899.4722","102554.5133","68415.64532","340394.8532","179757.3446","133249.6416","348754.2507","138865.8848","333495.1229","294533.047","396857.5966","295351.3823","409042.4717","245087.6213","296649.2124","264566.2946","195491.7655","343652.1845","221123.6901","320688.6664","39513.86016","105090.5379","170481.4524","203630.379","142257.2872","201387.2019"
