"","mz","rt","neg-Exp1-Blatt_K-1_1-B,1_01_8102","neg-Exp1-Blatt_K-2_1-B,2_01_8104","neg-Exp1-Blatt_K-3_1-B,3_01_8107","neg-Exp1-Blatt_K-4_1-B,4_01_8109","neg-Exp1-Blatt_K-5_1-B,5_01_8111","neg-Exp2-Blatt_K-1_1-D,1_01_8113","neg-Exp2-Blatt_K-2_1-D,2_01_8115","neg-Exp2-Blatt_K-3_1-D,3_01_8117","neg-Exp1-Blatt_P-1_1-C,1_01_8103","neg-Exp1-Blatt_P-2_1-C,2_01_8105","neg-Exp1-Blatt_P-3_1-C,3_01_8108","neg-Exp1-Blatt_P-4_1-C,4_01_8110","neg-Exp1-Blatt_P-5_1-C,5_01_8112","neg-Exp2-Blatt_P-1_1-E,1_01_8114","neg-Exp2-Blatt_P-2_1-E,2_01_8116","neg-Exp2-Blatt_P-3_1-E,3_01_8118","neg-Exp2-Blatt_P-4_1-E,4_01_8121","neg-Exp2-Blatt_P-5_1-E,5_01_8122"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M384.936T1010.6","384.936","1010.60312","21813.5057","21040.2096","32607.06","23397.6831","16400.5931","31919.52","36356.9654","31758.01","21637.8135","0","26283.6149","30927.851","32987.4223","31744.3327","26261.0751","32384.1906","29872.1346","32923.9388"
"M384.9361T991","384.9361","991.03338","21590.8875","25921.3842","26337.46","3517.602","16966.8125","30012.49","25323.6555","40993.84","21983.0247","0","27981.5215","17026.2127","16104.738","28038.1432","25958.6314","17264.2945","17194.6183","18529.2926"
"M384.9361T956.8","384.9361","956.77697","9415.6546","10484.0007","12482","10757.5908","15884.843","11052.32","10834.0343","11249.15","18843.5929","0","13681.7818","11558.0171","12364.53","11421.2623","20127.3785","10287.3916","12866.6135","9965.5276"
"M384.9361T965.1","384.9361","965.12561","11137.5576","12153.407","24475.79","13447.1213","12637.6097","19379.71","16568.7523","13699.95","11210.2301","0","14926.2634","14798.5603","8682.1924","13788.103","12891.0312","15447.4123","11759.4785","12708.8113"
"M384.936T977.1","384.936","977.13012","17738.4","12326.5058","9689.412","10914.96","20578.8138","12690.48","19931.4911","21685.19","18650.994","0","29088.9192","26630.0433","15965.7624","22037.628","21073.686","15642.8175","2243.324","22264.3705"
"M384.9358T929.8","384.9358","929.83758","7441.719","12132.0469","7621.333","13134.6416","20253.1215","19009.31","17187.8845","17577.02","17080.8128","0","16461.702","17226.9629","18056.4909","17656.3766","31136.6077","13794.8627","15956.8911","13381.0296"
"M384.9361T944.5","384.9361","944.47083","10699.1135","9144.9454","12906.69","12846.6058","13712.9169","16049.34","18115.3865","13475.64","12951.2564","0","12818.8736","1923.94","11061.7015","12861.6115","13095.7247","9093.0124","25554.4219","15134.7313"
"M384.9361T895.1","384.9361","895.09361","7482.1096","11806.6945","8817.74","11638.1648","7590.5742","8663.026","10679.9079","9555.764","8362.669","0","8753.041","8889.4425","9250.0203","9283.4093","9059.194","7964.8701","6398.0583","7012.2846"
"M385.1149T228.5","385.1149","228.47212","81098.1221","86267.25","102591.6","68072.4951","89182.2029","89063.84","81449.5343","76910.1","91526.1628","81823.8888","108160.2585","81388.0358","92303.874","82589.6075","79655.3663","74062.2566","86452.1011","83855.24"
"M385.1151T220.4","385.1151","220.42871","329242.0242","337211.3663","322317.7","251168.8996","324671.2545","273545.8","319638.3132","299068.9","282647.1022","299157.9186","311099.4994","248453.8926","227914.2991","215323.785","204124.1389","188928.3439","212078.5349","239875.2958"
"M385.1161T253.8","385.1161","253.75665","6405.8765","5892.3862","3837.675","2250.132","3670.8345","3796.292","4110.5022","4300.051","5768.2271","6053.172","4755.66","4996.3819","5649.6434","4743.6597","4191.9109","5174.8241","4691.5952","5361.1518"
"M385.1746T306.9","385.1746","306.88866","2291.2865","2934.3918","7882.985","1382.7739","1604.5888","10596.8","1820.364","10738.82","2245.7988","3206.0371","2285.005","2339.8186","2793.1462","2001.3669","1959.7375","1690.0979","2108.0138","2407.6087"
"M385.1856T250.6","385.1856","250.63992","14015.2033","16272.0338","17078.64","15178.0767","15533.7366","17196.32","16213.8681","16811.62","10569.9821","12047.1077","8793.7584","8863.7311","9352.5163","8410.2654","11371.8627","10973.8741","14575.6452","12653.7673"
"M385.1867T278.8","385.1867","278.78442","25588.0638","32660.1106","24951.2","20694.6755","27597.9438","27843.7","29458.6592","32523.36","14134.0072","15443.8425","13725.5825","9185.1266","12735.91","19797.5605","17831.6181","16529.5529","23833.6754","21340.8715"
"M385.1792T225.1","385.1792","225.09994","30377.0742","26312.9431","17049.52","20104.898","24044.5536","17995.66","24032.5056","28611.58","25571.8628","22582.1807","19397.8392","29333.9231","27537.6348","19082.1171","23197.4496","22905.0426","30683.9867","21635.2944"
"M386.1177T220.4","386.1177","220.42871","61313.4768","63548.8321","60364.4","49424.3297","60758.4407","50847.73","58864.2486","53730.83","53279.0973","53791.02","58886.6743","44725.3826","42457.5938","40382.8592","37418.8398","34972.4325","40495.5692","42187.9318"
"M386.1893T250.6","386.1893","250.62005","3339.7589","3730.2984","3426.46","3429.6735","3126.8408","4006.56","3336.9618","3670.677","2486.8701","2591.4069","2072.9254","1849.7616","2147.3832","2317.8837","2581.3226","1494.1774","3085.3526","1720.8651"
"M386.19T278.8","386.19","278.78636","5282.5852","6614.8169","5258.234","4801.6021","6030.3188","6108.471","6598.9119","6936.667","2795.6812","2642.7685","2990.1566","2037.1508","2814.74","4294.6959","3333.5751","3602.8836","5317.3777","4461.0485"
"M386.1842T225","386.1842","225.04409","5411.6764","6405.7872","4175.526","4138.3702","4012.8024","4457.94","5851.7642","6108.329","5305.2104","5899.0403","4340.6884","7167.396","5871.721","5390.1552","5213.9963","3951.7463","7627.4304","5262.691"
"M386.941T20.5","386.941","20.45798","2185.1084","1659.4711","2337.471","2170.7868","2305.4581","1878.958","1877.2757","1303.654","2666.3198","3157.3022","2751.6019","2927.7815","2950.7576","2094.6749","1605.6173","2246.3206","2002.2386","2103.6009"
"M387.0573T284.6","387.0573","284.55174","4415.6134","4045.8888","2864.309","3985.1622","3629.4805","3942.285","3754.11","3249.429","5444.3269","5515.682","4619.7004","4111.6785","4718.9163","4679.2711","4157.5985","4432.477","4714.3892","4329.8394"
"M387.1202T220.4","387.1202","220.42871","12387.8575","12683.7533","11780.97","9001.3328","11863.5612","9889.366","11216.7052","10508.44","11306.2443","10401.9668","11814.3511","8670.1465","8611.9213","7901.0377","7394.8896","6553.2678","7716.9669","8523.0098"
"M387.1301T180.9","387.1301","180.88667","2296.8552","970.3205","868.6728","1052.1638","420.8139","1174.459","1885.6538","547.5249","11198.0648","10676.7928","35691.9932","8764.1411","8548.939","5033.6019","6672.0912","7136.2847","2189.8418","9440.718"
"M387.1665T330.4","387.1665","330.42369","17873.6226","19286.0815","10944.17","10810.5708","13719.2392","12520.65","15336.8666","15352.54","5781.6896","4965.5758","3613.1392","6362.007","4664.7226","5694.8252","4536.267","5400.3751","5341.7915","4304.3486"
"M387.9409T20.5","387.9409","20.45233","978.1555","724.6955","1216.617","939.3977","1016.5202","780.5563","913.4633","681.2302","1468.4194","1280.9228","1345.7743","1420.2985","1317.1179","806.7675","882.5854","901.117","861.246","778.5488"
"M388.048T339.6","388.048","339.59922","1688.798","1703.8051","1028.238","1622.5013","986.8383","1257.415","1661.7235","1024.001","927.5453","1533.3453","1495.5844","1435.3731","1415.7681","1339.0629","1631.6002","2097.4713","1363.8674","1366.7848"
"M388.074T162.4","388.074","162.42539","12998.8036","9433.2499","7180.64","9355.2243","7525.4275","8343.383","11214.5989","6827.275","11757.0797","12050.1387","9342.4464","11107.3918","11474.2375","10474.8238","10840.2827","9723.7774","10977.4946","10487.5309"
"M388.1701T330.3","388.1701","330.25315","3280.304","3355.5469","1732.095","2041.1052","2244.0603","2355.906","2945.8178","2488.301","812.265","846.7174","756.9315","1046.0326","619.9145","793.6344","920.322","907.7019","755.8572","820.654"
"M388.9385T20.5","388.9385","20.46279","1085.355","956.1445","1413.717","1281.28","847.3503","986.0197","1025.1867","893.7784","1402.734","1610.1631","1610.4228","1694.6302","1499.2995","965.816","964.2754","879.6843","1015.3536","1083.6558"
"M389.1128T235.1","389.1128","235.11129","11096.2188","13447.4336","10830.43","10945.814","12375.4451","6416.269","5410.9194","8184.6","10158.1261","13904.949","10655.2627","11232.0975","13017.0514","7029.2525","6810.1118","7918.8614","6508.9195","8497.9285"
"M389.1428T199.8","389.1428","199.80456","7969.1909","1919.6667","811.1274","1456.0785","1208.7882","826.1708","1254.8852","1064.848","6223.5437","4554.9189","4024.138","1840.0851","4541.4033","988.2569","1098.8166","1808.1831","1615.2318","2620.599"
"M389.176T252.4","389.176","252.36105","2758.5215","2852.5452","1535.461","1178.6234","1618.7788","1812.495","2254.1174","1821.38","1945.7224","1539.2535","342.8037","794.397","638.986","1370.4055","1507.9682","1464.732","2088.751","2370.8074"
"M390.0537T37.5","390.0537","37.4541","4153.3131","3902.7866","2823.996","3328.2796","3214.9331","3035.355","2817.5242","2383.382","3823.1997","4141.8502","3228.1392","4047.8896","4523.9021","2861.7791","3562.3509","4050.324","3352.9403","3498.1282"
"M391.1215T152.8","391.1215","152.83629","7220.4438","6113.5823","6107.589","6451.2571","4830.3336","5469.58","6116.7235","5218.161","8933.4499","10255.8327","8871.1465","10219.7388","8978.6941","6169.9345","7111.4805","7387.249","7719.6008","6957.675"
"M391.1971T308.4","391.1971","308.43839","22467.457","20281.7931","16714.35","20664.7247","15058.8429","15352.13","10057.0162","10383.55","20297.6093","20861.3313","26790.8388","16150.9642","17239.1148","8763.6203","12446.8341","22779.7353","9348.5928","10794.8246"
"M392.113T83.2","392.113","83.23662","10134.8664","10188.2907","12092.44","8930.6361","10038.2019","11130.97","8252.1055","10961.88","4858.0307","5372.9","4007.9323","1720.8923","3520.7006","5520.036","5306.0494","4693.5131","6563.204","9040.9385"
"M392.1252T152.8","392.1252","152.7564","867.8611","735.21","1170.058","748.3964","767.6469","962.8303","867.6555","822.3124","1496.5204","1119.4432","1480.1695","1769.723","1681.3751","1079.3354","1299.6885","1086.4778","912.7348","1259.2205"
"M393.1601T467.1","393.1601","467.1269","10166.5434","13686.4034","11559.89","13169.6329","10799.1594","5816.449","5812.5093","7783.028","8785.861","0","7442.0525","10305.9623","8226.6342","3470.5166","6436.4661","9846.4451","5352.7909","4525.4254"
"M394.1627T467.1","394.1627","467.08414","1914.3364","3556.774","2573.051","2668.7559","2303.7118","1273.831","1058.3542","1567.096","1990.2138","0","1532.1343","2320.2812","2007.7163","929.9247","1120.633","2035.0114","1251.04","872.5601"
"M395.0964T201.5","395.0964","201.48989","3748.1351","3474.2779","2647.882","2964.6747","2402.7741","3887.146","4986.2003","4060.923","2199.9416","1728.123","1944.4142","3515.5048","3061.0129","2933.1983","2751.0897","2583.011","2862.8351","3309.0267"
"M397.1507T271","397.1507","271.03745","5178.9723","2538.9102","3240.403","4336.4382","3456.9129","3163.248","4256.8512","2903.914","3135.183","4027.1386","3969.3413","4478.3702","3433.9219","3416.8052","3526.403","2927.1266","3081.9243","2888.4757"
"M397.1849T467.2","397.1849","467.23863","19857.9076","27995.6631","23201.29","27224.6359","21117.6986","12591.02","10954.0403","14840.28","18939.5705","0","15205.3541","20016.3136","17066.2281","7419.5246","13823.1698","19461.5705","9830.369","8274.6334"
"M397.2278T731.7","397.2278","731.6567","10622.9649","6738.2818","8353.911","6768.6459","6610.5416","7912.102","6920.4585","7291.162","8557.7638","0","12978.367","10060.3236","11055.8246","7444.9512","7631.4407","8103.6124","9864.5965","7958.016"
"M398.1886T467.1","398.1886","467.07436","4135.3572","5793.7315","4371.076","5412.4924","4135.0176","2680.432","2002.2006","2494.787","3282.0937","0","2541.937","3772.7118","3245.3715","1548.7934","1893.3363","4171.7929","1889.5608","1744.6822"
"M399.0884T158.2","399.0884","158.16065","1683.7956","1494.9208","883.8122","1626.2764","1119.9266","2083.468","2640.8281","1531.536","3297.2408","2627.1212","3976.9036","2513.6684","3565.9785","1653.8049","1420.2127","1575.126","1402.9065","1369.6072"
"M399.1694T228.9","399.1694","228.90044","2697.6801","2745.5816","1557.657","1981.4588","1929.5106","1415.192","2593.4341","2281.952","3538.8709","3743.871","2814.4565","3934.2442","3759.2963","2590.0581","3037.1449","1895.379","3397.132","3319.6607"
"M399.1637T397.3","399.1637","397.25184","287.4221","274.4181","216.8045","203.7463","198.4595","120.7138","218.1209","204.7299","1523.6413","2003.1316","2859.3355","1463.398","2511.9372","3682.4135","2127.005","1847.7104","524.2048","1290.8607"
"M399.8223T27.4","399.8223","27.44833","9868.4867","10920.3004","11108.63","9750.5223","10478.698","11478.64","10419.7187","10162.57","4329.457","3187.2139","3953.6544","6925.1384","4866.0899","6494.2386","4615.6967","4842.335","5356.7718","2375.3451"
"M401.1797T427.4","401.1797","427.4214","12148.0094","14246.5154","12105.67","14165.0018","10890.4728","7028.207","6074.286","7320.777","9139.3788","9682.4946","6960.3038","9598.2688","8805.0268","3895.2735","6385.0155","8577.3342","4958.9065","4293.555"
"M402.0904T228.1","402.0904","228.13109","61805.2616","48788.6023","39075.69","47163.2732","41029.5374","44068.08","55608.8837","35295.78","45996.8494","50022.998","41401.4707","44161.1176","48044.315","48005.2963","49215.2084","40663.5264","47290.6075","43596.3355"
"M402.0899T237.2","402.0899","237.22409","13176.8992","8041.3601","5935.743","7005.0809","6667.5171","6436.701","8220.5429","5459.395","11878.5576","12236.0637","10602.915","12078.6541","11105.8205","8105.5617","8470.7513","7632.9253","9906.6904","9277.7471"
"M402.9182T20.5","402.9182","20.45233","5578.7956","4861.0668","7251.725","6375.1584","6027.6516","4868.391","5445.7056","4695.3","5980.7486","6688.2874","7321.8951","7068.2101","7255.9887","5145.3862","4158.7528","4625.7958","5270.324","5495.773"
"M403.0937T228","403.0937","227.97606","9179.0629","5028.1795","5225.945","7045.4088","5746.1939","6093.407","8839.8278","5383.588","5283.6935","6970.6577","5659.8285","5715.8565","6455.844","6377.7854","7595.796","6057.5446","6575.9816","5823.3216"
"M403.0827T376.9","403.0827","376.90294","3356.5895","3098.5388","3469.147","2970.8662","3209.1119","2744.784","2939.0283","3125.61","2995.8557","3175.127","3614.8101","3322.7798","3473.9923","2861.9114","2117.3542","3337.4264","3168.5717","3305.1266"
"M403.1249T221.5","403.1249","221.453","3053.1796","1155.6634","1784.739","997.7232","1358.086","1148.876","1327.7979","988.8105","5955.4469","4864.1393","9057.8158","4242.0178","3329.9975","1989.3275","2918.2085","2064.705","1694.4119","3546.5394"
"M403.1591T231.2","403.1591","231.16199","5615.997","4343.8762","4490.648","4027.8864","4896.495","4891.568","5028.2117","4926.879","3462.0989","4179.9345","3526.8374","2876.5782","3883.1285","3666.9497","3531.8188","3792.7584","4112.3098","4672.5349"
"M403.9201T20.5","403.9201","20.45148","1749.7511","1425.3263","2331.359","2071.8847","1953.9922","1811.676","1882.9462","1402.987","2059.8379","2554.227","2651.1158","2060.9063","2220.7093","1662.7406","1318.71","1517.5588","1616.1837","1755.9824"
"M404.0258T339.5","404.0258","339.51082","2166.0235","1624.5272","1571.471","1960.6058","1451.5672","1705.597","2364.5434","1106.109","1806.5695","1807.9793","1395.0627","1880.7607","1733.961","2280.3362","2710.4626","2091.826","2025.3191","1762.1083"
"M404.0889T228.1","404.0889","228.13109","7144.0472","5404.6176","4384.186","5009.1847","4965.9405","5283.905","6700.0064","4071.425","4905.7814","5924.5151","4893.0453","5088.3508","5649.5247","4783.3142","5645.9732","4956.2861","5401.2273","4737.3675"
"M404.1044T27","404.1044","26.99307","32904.5506","22887.0905","25738.5","18212.9987","24588.5258","31685.41","20586.211","15230.9","26553.016","27915.8486","28366.3708","32772.5025","36465.948","12791.5335","12406.5335","10997.5615","11581.2192","11901.6333"
"M404.9166T20.4","404.9166","20.42319","1838.8586","1689.964","2612.354","1998.332","2235.1098","1603.458","2122.7003","1725.542","2255.7573","2328.556","2218.4207","2346.2088","2963.651","1883.3766","1252.4277","1794.9632","1521.9185","1990.297"
"M404.9811T212.1","404.9811","212.08583","2569.2721","2508.3581","2612.659","2881.872","2383.8069","2582.309","1842.6447","1887.196","3674.3253","3947.306","4250.7716","3823.5052","4046.1953","3049.5918","3597.3978","3808.8094","3054.457","3668.5331"
"M405.0751T235.1","405.0751","235.08521","3641.2133","3232.7917","2288.012","2951.1415","2474.0643","1793.558","1751.9735","1596.307","3161.7729","2330.0057","2523.7468","2491.558","2712.9492","1127.8771","1347.9059","1381.8417","1502.6139","978.7638"
"M405.1778T276.6","405.1778","276.55298","6147.6902","6699.0062","4066.845","3705.9215","5111.9493","4187.233","4944.6477","4508.136","2148.8262","1847.8009","1564.3675","1634.9619","771.5278","2142.6661","1676.9781","2017.0752","761.5998","1567.8197"
"M406.0303T73","406.0303","72.96506","64440.0382","69268.1722","23696.8","42333.9772","28141.1793","26496.09","37296.2459","48010.85","27627.4019","28585.3383","23808.3739","33854.3529","25686.1296","31524.9302","28582.675","32621.3707","34289.7066","23783.1638"
"M406.7702T22.9","406.7702","22.93192","2418.6536","1916.171","1712.863","1627.0957","1873","2390.333","2530.598","2228.013","960.9904","555.0542","670.4154","906.5554","755.5297","1442.4215","1240.62","605.3025","1038.1632","825.845"
"M406.8995T20.1","406.8995","20.13422","1088.2187","1380.3943","1451.798","1120.334","1450.8395","1096.539","1471.2323","1001.837","1298.6732","1390.7306","1597.3174","1254.2279","1384.2065","1098.4972","1151.0306","1069.3635","1360.1648","890.7785"
"M407.0592T282.6","407.0592","282.62392","7151.1776","13934.3573","14363.73","14978.2474","13867.4634","14988.34","13472.7138","13089.18","6819.7345","11498.274","12030.0176","12507.8649","7362.0076","8423.4145","7572.6246","6610.6552","13350.3668","7807.5881"
"M408.9264T20.1","408.9264","20.13142","1109.0819","1239.6009","468.7252","1009.7618","1016.2056","904.3514","785.4315","826.3888","1285.8274","1395.615","1140.1425","1299.1595","1168.6796","1111.1389","868.7753","1055.2173","1120.2097","1077.2025"
"M409.0957T377","409.0957","376.98035","3416.6777","3187.7317","3115.557","2292.2701","3320.993","3131.711","3055.3961","3358.842","2849.1509","3109.8027","2949.1792","3259.8037","3258.2032","2901.3266","3305.4252","3291.0397","2910.8395","3454.9051"
"M410.863T21.9","410.863","21.85518","1053.2106","1379.5406","1084.646","1011.7704","1486.964","1307.261","801.3975","1215.072","2753.1346","3739.6723","3076.5556","3403.4703","2758.788","2284.8023","2051.9795","2490.0926","2139.7446","2893.5079"
"M411.0913T234.8","411.0913","234.79376","2023.3746","2324.5647","1461.192","2141.0575","2056.8014","997.1734","1037.7388","739.4962","2008.8856","1764.9396","1513.8768","1841.7977","1908.2053","1029.6274","809.0363","1086.6954","972.7778","848.6303"
"M411.7588T25.1","411.7588","25.13661","838.7588","950.2253","1420.6","1426.6589","1167.2697","862.5485","820.41","746.0439","2011.8657","2287.6732","1820.8066","1434.9341","1906.6574","1751.9677","1807.7183","1262.3849","1757.2115","1634.4003"
"M413.1053T235.1","413.1053","235.06317","10446.1876","11020.853","9649.043","10068.7043","10029.7297","6778.969","7473.8014","6858.875","9869.6062","10130.573","9898.7876","8609.0543","9211.4813","5985.6456","5403.8769","7011.5793","5708.9988","6880.3693"
"M413.2024T281.5","413.2024","281.45196","1511.6833","1861.6258","3154.051","1556.6846","1403.2478","1154.546","1772.1418","1573.364","1076.73","855.1002","1124.3211","999.0588","884.8418","1291.2195","1224.0979","1236.8539","1138.7336","1939.8883"
"M413.7554T25.1","413.7554","25.12723","752.0361","684.1561","1027.729","1231.5163","813.6169","748.3054","700.1284","432.1085","1499.1462","1457.49","884.2526","1611.9987","2067.4936","1400.3733","1354.4629","1516.1438","1337.5622","1384.062"
"M413.99T196.4","413.99","196.39112","1655.4729","906.5923","1294.926","1363.8905","1318.2896","1352.364","1861.0862","1253.885","1437.3208","1444.055","1379.0816","1349.2222","1501.0632","1718.5355","1353.4566","1882.8711","1938.0331","1777.8701"
"M415.1971T298.1","415.1971","298.11147","54329.3897","55239.7124","37637.25","35699.157","45193.9089","40815.51","44011.2377","46319.51","37140.0469","39098.1677","32680.6325","30572.6606","29905.7967","32624.8845","33317.1304","33598.7384","37696.5225","38187.6001"
"M415.1967T310.1","415.1967","310.12103","19580.3739","18290.7326","13874.04","14476.3473","13751.9329","14798.32","17650.3749","15052.51","12082.4511","12519.1418","10610.4392","12012.0099","12001.6617","10453.5131","10457.6537","9720.7766","11817.2869","10325.9461"
"M415.7523T25.1","415.7523","25.11756","390.8637","305.1538","364.8884","464.1326","394.8589","468.897","319.4529","375.3585","536.4557","354.3298","865.2471","421.5036","728.4139","415.7528","610.5077","420.615","579.7316","467.7784"
"M416.106T284.4","416.106","284.37664","96235.0293","77238.0617","55569.01","71569.9016","59034.5721","65537.39","89847.8739","50931.88","57516.0002","50223.012","44000.3286","52989.4689","54850.0929","66860.6128","66218.6595","56892.958","63346.0937","52062.8933"
"M416.1997T298.1","416.1997","298.12284","11552.9527","11294.2584","7455.533","7779.2589","10597.6937","8390.69","9132.862","10323.94","7730.354","8645.136","7806.7881","5485.1088","6824.6862","6762.1527","7519.5577","7474.9079","8746.18","8294.6343"
"M417.1084T284.4","417.1084","284.42588","17005.8641","13987.0578","9808.802","12779.0451","10016.7681","11609.45","15745.7269","9078.375","10265.3325","8548.5979","7560.6717","9666.7704","9922.1659","12865.1679","11651.3141","9622.7602","10811.8915","9223.6042"
"M417.2005T278.2","417.2005","278.18675","2823.9562","2356.3494","2959.102","2016.2426","2867.3144","1571.55","2058.056","2133.093","1870.8288","3056","5023.7364","1996.0317","2935.7002","2161.5038","2586.3233","2477.3136","1614.9896","1807.3614"
"M418.104T284.3","418.104","284.31963","11110.858","9008.1867","6238.115","8211.8801","7187.1302","7663.666","10969.2173","6076.915","6870.1946","6460.1339","5245.383","6522.9302","6528.3545","8187.0893","7701.544","6421.5092","7873.2902","5720.5687"
"M418.8957T20.5","418.8957","20.45233","2369.7492","2155.528","3488.436","3331.847","2904.5982","2448.912","2648.7363","2647.632","2350.2029","3030.8657","3741.5747","2679.339","2828.0517","2720.983","1576.885","1750.8334","2740.8732","2151.6667"
"M419.1344T315.8","419.1344","315.77723","3815.3349","2819.1865","2934.027","2477.2421","2247.5947","2874.332","1752.2841","1987.029","6305.8011","6601.4525","5450.2905","4837.8049","5975.042","4263.5511","4223.6633","4926.3903","4802.7335","5032.1557"
"M419.1355T279.8","419.1355","279.78431","1474.0877","1610.2587","1379.707","1093.6457","937.3945","715.1465","1048.5869","942.3603","1953.643","1996.2903","1647.6547","2259.312","2577.456","1483.119","1517.4551","1386.693","2144.2791","2422.1445"
"M420.0478T131","420.0478","130.96383","4278237.8798","3488969.8106","2286011","2913860.8446","2341102.8756","2655680","3572789.1568","2476823","2949402.0585","2885385.3445","2224707.7607","3026715.9453","2687938.8395","2838998.2173","3057205.7497","3085161.9989","3100542.3912","2540214.7054"
"M421.0494T130.9","421.0494","130.89548","699460.6733","576491.9244","377629.5","478272.9639","374949.1863","427804.1","571119.0444","395703.3","482699.9016","467889.4945","365299.5396","495149.7801","430383.1379","452425.883","483189.9632","492261.4849","497629.4726","407325.9201"
"M421.1077T358.1","421.1077","358.05897","1203.2952","841.754","970.3081","806.5998","879.0731","680.1615","1047.033","680.238","1135.1031","1224.5858","1309.2328","1234.8484","928.1614","1013.042","835.9174","791.791","1006.3521","1223.8333"
"M421.2437T303.1","421.2437","303.10148","18371.7353","20515.9737","15441.47","13216.3993","14217.5688","12708.45","19411.2194","14288.29","13846.8243","1178.9975","9430.9942","8204.66","8551.162","14577.0083","13026.584","13744.8736","14759.034","37328.4867"
"M422.0448T131","422.0448","130.96383","684905.033","555626.5115","366848.3","455243.5013","373172.9438","421080.1","567544.9459","397592.7","468689.0796","461615.2416","352256.6007","482077.0758","431804.1671","451109.6746","484917.3769","494645.5011","494023.4002","406802.9362"
"M422.0258T36.1","422.0258","36.10738","18672.2314","16773.5893","17323.73","19938.026","14657.4153","12264.39","17128.2999","14506.62","47897.0058","44209.1155","47047.8251","38832.2079","41042.5387","29560.8646","31506.6937","29966.6522","32414.923","39902.2159"
"M422.059T193.5","422.059","193.49527","44695.4363","36935.1195","24580.6","27858.4483","27676.679","27068.95","39618.0899","25309.68","38817.5908","38970.9831","32360.2514","37505.0371","38514.2983","31334.669","33309.3163","30359.1163","33767.3209","33765.0038"
"M423.0463T131","423.0463","130.9966","99980.2669","83898.7362","54561.93","68873.3561","56364.6403","62580.22","82325.142","57526.65","69671.0096","67690.613","52821.7996","72915.8232","62231.1896","67226.3367","68763.6806","71287.7026","71807.3997","59101.099"
"M423.0621T193.5","423.0621","193.50106","8318.1281","6674.8356","4717.069","5164.0331","5091.018","5258.556","7022.7656","4637.373","7623.8895","6371.7831","6229.9132","6298.8639","6936.6314","5545.1045","6058.0187","5771.7899","5890.0729","5753.1504"
"M423.1846T258.2","423.1846","258.19567","5906.124","4875.2077","2339.97","3642.6334","2122.0758","1835.416","1942.7311","1134.601","4372.6845","3380.0858","6568.7306","3898.2481","3839.7721","2439.5202","985.6149","1143.562","1263.6519","1920.7959"
"M423.2525T796.2","423.2525","796.2456","26632.643","18961.9806","6112.739","10343.4467","6428.9498","11456.14","8517.6068","13970.7","56062.3466","0","30987.0301","17228.7638","15593.0388","18723.5136","35211.9711","30517.1078","18225.3478","18968.4851"
"M424.042T130.8","424.042","130.77319","44895.1295","36615.0598","25090.21","31148.5658","24230.7199","28546.5","37613.5622","26415.57","31215.6873","29891.4798","23953.8684","32489.7232","29134.2852","29602.1841","32122.8921","31796.5846","32386.0849","27109.0787"
"M424.0572T193.6","424.0572","193.55875","5441.8898","4114.748","2844.115","3274.6365","3196.1199","3375.776","4478.905","2662.556","4383.1485","4843.797","3958.2837","4069.4564","4379.9628","3720.526","4102.6886","3437.1354","4012.4039","4095.8787"
"M424.071T228.2","424.071","228.1627","1883.9415","1811.5174","1549.224","1410.8811","1590.6996","1585.173","2022.5985","1535.549","1238.8821","1547.6057","1614.3767","1766.2208","1891.5715","1772.6116","1432.6198","1529.0588","1846.9488","1030.3878"
"M425.0372T163.7","425.0372","163.70271","2872.0049","2074.4589","2148.89","2268.3028","2179.2358","953.4638","2388.8729","1789.098","6632.2243","13022.153","2532.7438","3875.0483","4251.7266","3128.2955","2882.49","1726.0118","2017.6723","2254.0003"
"M425.0647T377","425.0647","376.97769","2003","2806.8017","2834.491","2946.7199","2230.249","2817.989","2557.7306","2765.968","3020.2416","2844.2997","2607.7482","1741.2496","2800.8","2992.6106","2785.8244","2841.8752","2911.515","2731.9703"
"M425.217T337.2","425.217","337.17832","1843.7917","2948.3753","1442.116","1600.0645","1892.9797","1816.697","2083.3249","1763.696","1868.9022","1690.5915","1144.1895","2664.4551","1479.0668","1817.466","1784.3568","898.9712","2631.3855","1612.3253"
"M425.2171T394.4","425.2171","394.39758","901.1339","1678.8301","975.0477","591.2225","935.4891","904.2089","1124.4496","364.0728","502.5224","579.8695","589.7459","870.3663","387.2322","860.1992","825.5691","570.9364","1162.5658","682.6745"
"M427.0866T144","427.0866","143.98458","4703.9906","5809.1495","4360.728","3063.1268","3475.4764","4683.067","5222.5693","4664.718","5506.9355","4713.4063","4259.2655","3350.2881","3223.0514","3970.5187","3985.3944","4636.3149","4375.9322","4176.9483"
"M427.1967T312.8","427.1967","312.7884","9158.8158","9520.854","8851.234","6811.0001","8692.6078","9601.976","9338.5339","10401.95","6938.4843","9082.0288","7402.3496","3845.1539","6365.7514","8199.5045","7711.5268","6552.6962","9857.131","8743.164"
