"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M539.2227T279.6","539.2227","279.583831","1622.096","1067.353","910.1777","1016.813","469.7088","675.9841","572.836","1018.328","725.4165","487.0897","3785.072","2238.605","1372.567","3183.423","1701.821","1426.461","858.7508","2065.024","1555.309","1176.185"
"M539.2251T392.9","539.2251","392.933083","573.3041","383.73","470.4128","410.7623","203.8455","392.0413","376.7268","373.4735","156.8561","167.4934","4822.163","2343.675","2545.702","750.9336","2368.597","1961.715","4858.55","1638.444","3031.544","3811.425"
"M539.2821T255.9","539.2821","255.881879","305.183","273.1029","182.9955","81.46347","27.6888","93.4584","222.6446","110.4437","135.108","52.7088","2614.09","874.6515","2439.015","1134.076","1867.223","605.2864","499.8327","688.7689","1093.978","1147.457"
"M539.3168T695.1","539.3168","695.105774","539.9142","532.5729","389.7526","552.9282","120.1292","403.1003","414.8262","428.4981","466.1682","255.7397","6811.089","1189.947","2527.011","1364.468","1788.381","1731.384","1639.978","1462.614","1243.79","2602.133"
"M539.3611T809.4","539.3611","809.435422","153.5131","223.8456","162.4229","178.5424","27.0216","100.8076","125.069","123.4779","64.74248","130.7712","12016.94","14114.79","18568.76","15988.02","14468.23","1844.317","6153.561","6567.181","7030.583","8348.459"
"M539.3719T863.4","539.3719","863.421288","361.4813","645.86","774.3644","736.8242","150.5338","406.2076","360.48","479.6387","200.8004","180.24","20117.89","22133.25","32273.8","35144.47","30888.58","1982.172","10765.25","13320.69","13978.31","12071.41"
"M540.1589T181.3","540.1589","181.306995","10918.23","7085.021","8076.529","7916.522","3991.133","7043.432","9677.38","8937.242","6768.277","6515.091","7923.684","5474.026","6677.418","7220.934","5549.768","7103.256","5916.581","8059.926","5804.892","5136.504"
"M540.1688T267.9","540.1688","267.900959","3151.853","3660.528","3389.87","2951.027","1956.337","3025.195","3188.524","3291.278","2877.75","2945.076","3333.664","2994.658","2942.952","2405.018","2270.148","2292.833","2555.127","2465.078","2648.117","2174.071"
"M540.169T311","540.169","310.998184","2751.631","1579.381","1585.125","1986.72","884.7271","609.9976","1986.758","1726.245","1734.042","1327.849","3003.324","175.0875","1712.343","2219.821","1889.844","1542.365","1888.176","1509.131","1830.089","1231.763"
"M540.1892T194.6","540.1892","194.644424","672.2796","507.8533","508.5207","616.7007","161.5205","380.4408","598.7475","398.7416","282.861","293.3399","2123.167","2154.486","1799.772","1984.399","1086.168","1525.951","1088.655","1222.987","924.6353","1234.403"
