"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M120.0802T74.6","120.0802","74.613918","6313.812","4756.171","5727.889","4862.761","975.7096","4257.528","3875.663","3659.728","3021.497","2988.796","10922","6977.43","8945.708","10502.55","8648.704","4474.315","5104.664","4340.388","4755.571","4702.341"
"M122.924T23.4","122.924","23.355492","762.541","885.4387","947.0174","953.064","1085.579","918.6676","1186.375","893.2754","980.4193","1083.738","757.0541","506.9142","572.7111","695.4934","479.4809","899.6976","1066.99","738.5129","905.8838","553.5057"
"M124.0393T37.5","124.0393","37.544217","28644.45","27259","25118.74","30222.17","16348.07","25137.38","27345.65","26723.75","22292.94","22653.63","54061.49","31442.02","40051.72","17452.06","27105.61","69776.78","67766.61","58932.65","56128.79","41981.18"
"M124.0392T53","124.0392","52.995616","94269.39","62867.1","58572.92","79219.47","35166.51","51061.98","57282.71","57564.87","37265.3","37034.72","20111.99","9810.108","11026.33","25902.61","6529.959","21901.17","5714.635","19087.81","8499.812","4495.661"
"M124.0389T226.4","124.0389","226.448934","3058.445","1677.198","1356.939","2104.208","685.3685","1337.803","1468.737","1144.444","1055.98","1013.219","4689.888","2433.382","2787.83","2727.976","1567.321","2482.447","3654.396","3770.963","854.7473","1188.469"
"M125.023T186.2","125.023","186.231359","3110.82","2506.177","2380.764","2295.592","827.4697","3667.147","4166.589","4574.967","3212.973","2744.286","378.3616","223.6034","396.3492","266.6554","326.6211","1643.647","1100.726","847.725","1130.848","718.8681"
"M125.0421T37.5","125.0421","37.515625","1831.071","1973.972","1687.555","1725.969","1189.024","1589.032","1783.759","1853.026","1611.683","1261.691","3328.399","1970.974","2315.306","1032.026","1555.444","4326.458","4121.454","3658.412","3909.908","2692.343"
"M126.0371T63.5","126.0371","63.516749","1080.43","845.5674","663.8497","822.1678","985.0801","981.3891","798.7233","759.7875","820.4404","836.1577","5028.852","2347.583","1676.864","935.0252","1953.024","4858.767","5684.464","3602.861","4444.859","2878.309"
"M127.5339T485.4","127.5339","485.391367","2074.14","2454.555","4431.87","2655.478","1631.716","2708.604","2464.498","2435.511","2113.326","2207.458","2956.158","2228.114","1716.372","3700.002","3801.19","4088.028","4914.226","3964.836","5207.722","5159.805"
"M130.0501T28.2","130.0501","28.246751","11984.64","9846.257","12483.64","10267.67","10764.82","9800.872","9141.384","9159.069","8751.522","8020.943","23420.77","31891.98","27782.21","25985.09","34783.19","13268.61","22045.04","22269.02","23061.22","22199.91"
"M130.0647T242.8","130.0647","242.77691","15264.02","10968.18","9855.062","12009.54","4877.806","8827.276","8503.774","10159.4","8373.939","8378.064","32288.63","20199.25","26085.56","19833.27","21299.52","14113.3","14388.43","12615.69","14128.73","12809.55"
"M130.0648T162.6","130.0648","162.552009","3178.949","2538.355","2426.251","2895.314","580.725","980.5239","1531.917","2094.545","1690.452","1695.473","9343.242","6343.478","6600.325","4540.618","5223.077","5541.185","5100.732","6132.356","4588.434","5227.785"
"M131.0491T180.7","131.0491","180.729188","21402.36","15936.51","15650.35","17388.83","8910.886","14667.16","17550.79","17354.94","13515.07","13408.71","95543.3","75116.71","86024.09","75189.89","73314.57","53626.24","59074.85","65856.75","62127.88","61486.42"
"M131.0493T250.1","131.0493","250.066706","1023.818","832.6775","888.8334","1084.575","628.8795","605.7757","387.4489","635.1305","555.264","567.1592","45602.74","33117.35","46867.83","3845.538","35514.84","22482.49","57176.67","27076.15","44947.05","47497.53"
"M131.1293T21.9","131.1293","21.918344","2557.038","2760.021","4110.748","4337.285","2315.518","2659.472","3497.471","2567.558","3446.935","3483.682","9676.272","7755.998","14047.46","10778.24","12047.66","9289.657","11730.66","7265.483","12656.96","7143.444"
"M132.0526T180.7","132.0526","180.675991","1994.674","1561.631","1458.727","1505.762","775.9536","1382.105","1311.382","1681.607","1187.305","1130.819","8451.41","7533.543","8802.956","5946.063","7496.621","5141.914","5792.091","6744.592","5884.478","5334.26"
"M132.0526T250","132.0526","249.962742","208.5326","131.7935","96.42548","181.1448","139.133","119.1045","40.3656","144.7824","144.4714","95.4096","4389.849","3442.559","4621.581","172.1376","3452.501","1999.427","5271.004","2840.604","3932.785","4361.176"
"M132.1019T45.8","132.1019","45.764571","22624.05","19471.69","24501.41","21173.08","12697.87","11755.11","13265.71","13485.33","12149.95","12112.79","69220.1","54552.93","72291.41","74415.09","73169.89","27905.81","38056.5","37504.27","42950.43","39363.21"
"M133.0646T228.1","133.0646","228.116332","186.7772","182.5297","189.2056","166.1788","62.06299","131.7993","174.8548","144.4592","115.4416","79.74143","5442.718","2572.236","5793.451","853.3488","3467.397","2520.682","4710.098","2326.89","3994.491","5287.949"
"M133.0644T195.5","133.0644","195.537847","628.9617","354.1455","264.264","463.8893","172.1865","206.9103","238.6193","225.225","181.4603","374.0364","4163.784","2833.95","3650.479","3640.555","2748.735","1969.054","2270.148","1977.173","2017.99","1136.134"
"M135.044T270.9","135.044","270.902108","21344.99","22948.26","21569.92","21910.15","22208.28","21787.79","21876.18","22464.64","21751.95","21913","19498.95","20789.1","18180.22","18837.22","18164.69","21164.34","20159.66","20105.18","18676.31","19838.8"
"M136.0473T270.9","136.0473","270.902032","1742.891","1530.729","1501.008","1188.15","1590.678","1614.29","1982.07","1572.924","1875.66","1666.679","1634.993","1603.585","1230.3","1400.065","1483.186","1352.929","1557.501","1588.518","1279.452","1597.246"
"M136.062T37.4","136.062","37.41698","4636.844","6143.537","8713.363","6276.114","2663.974","4497.367","3426.739","4231.77","3104.972","3029.964","9053.002","5200.195","5783.979","12046.77","9369.934","4885.238","9148.528","3455.038","5476.372","1716.381"
"M136.5409T484.6","136.5409","484.63332","1999.833","1978.626","2617.207","3442.061","1136.478","2775.352","513.2565","2929.51","2072.647","2771.144","1156.258","1846.318","1384.383","3694.286","2976.595","849.9339","2389.334","3989.856","5449.444","544.1016"
"M138.0547T159.1","138.0547","159.137735","53076.66","40649.53","40723.94","55034.92","20947.48","32543.96","53258.67","53772.45","21735.88","24668.38","9494.913","5286.281","6049.575","14123","4125.731","14510.67","7555.417","11817.64","5055.586","4246.858"
"M139.0388T172.4","139.0388","172.404756","864.4928","420.1741","642.0974","456.8413","188.484","239.2473","401.3836","322.6417","287.6082","226.5144","3465.103","2333.818","2518.013","1512.542","1347.074","2810.019","3457.971","2503.334","2973.043","3113.489"
"M139.0499T38.1","139.0499","38.068662","4234.235","3271.802","1616.419","1077.363","1362.618","2228.56","1434.146","1650.097","1490.485","1601.868","5942.726","2785.251","2310.413","2448.016","3114.522","2212.832","1109.253","760.8531","1564.897","4617.024"
"M139.0575T158.8","139.0575","158.844833","4325.368","2573.126","3312.643","3761.662","1893.414","1845.984","4298.014","3465.462","1384.539","1812.283","890.3056","577.9759","177.0885","1380.108","329.2363","690.7775","530.9638","983.3603","395.7466","325.9805"
"M139.9147T26","139.9147","26.009151","17178.02","20223.54","18410.35","19188.01","12107.51","17138.19","17553.18","17440.18","17144.66","17872.76","7136.371","5155.384","5839.507","6649.998","5616.288","10830.76","9320.698","8949.013","7780.769","3797.596"
"M142.0694T325","142.0694","325.028076","699.7479","755.755","962.7415","442.1022","356.3204","517.9246","548.9278","1349.507","752.8405","590.0794","1599.612","1714.37","1485.642","1861.01","1773.217","1771.079","1374.255","2237.369","2687.148","3535.027"
"M143.0341T71.3","143.0341","71.29778","8111.47","7349.612","6903.996","8239.363","4487.702","11969.72","13775.78","14505.22","11532.14","10988.6","1978.626","1502.464","1796.415","1558.456","1359.933","6375.622","5891.672","3996.737","5606.326","3169.534"
"M144.0479T63.2","144.0479","63.183845","25994.48","31966.42","28377.92","33931.55","7935.148","21824.98","24144.97","22995.64","16577.83","19874.05","680067","428618.9","530353.2","106155.9","419641","821338.1","1000159","657575.3","759119.8","642894.9"
"M145.0525T493","145.0525","493.001427","12961.36","6253.347","9145.484","9219.168","6524.285","5547.799","6226.644","5916.002","1804.498","2978.642","2510.824","1030.176","2417.191","4823.653","3068.574","2912.662","5472.052","1865.74","2044.866","3506.568"
"M145.0508T63.2","145.0508","63.19662","5959.895","5808.02","5914.728","6557.419","2658.232","5364.143","6546.076","6513.494","5100.141","4552.123","60947.59","39422.77","48540.16","15198.3","41659.52","65573.37","81076.61","53173.06","62219.03","51326.98"
"M146.0476T63.5","146.0476","63.509966","10304.93","85.09261","7396.132","7411.384","3587.609","673.9586","6256.001","1845.11","5900.709","64.72852","30171.23","17405.7","24349.9","4282.423","19019.9","42581.1","49520.07","30451.14","32868.23","31693.85"
"M146.0588T493.3","146.0588","493.343931","5696.674","3287.537","4859.121","4297.435","3823.477","2900.024","3645.484","3219.685","1600.672","1668.855","1681.607","1150.759","1261.999","2283.941","1127.902","1915.347","3175.368","986.9431","1530.488","2204.095"
"M146.5393T216.6","146.5393","216.61905","3816.349","2512.46","2804.11","2982.384","933.7725","2281.716","2740.267","2562.442","2285.416","2320.294","2061.51","1014.6","1477.476","1626.259","886.2756","1407.458","1745.171","1191.49","1589.509","1087.245"
"M147.0441T282.5","147.0441","282.549956","2293.395","1752.926","1811.611","1988.076","619.7319","1572.169","1326.385","1456.058","929.2279","956.8396","9084.26","6338.734","9239.342","7930.198","8203.856","1784.101","4824.364","2671.469","3625.317","3777.019"
"M147.077T28.4","147.077","28.376006","27345.77","19924.52","26327.49","22005.51","23909.55","19397.84","19308.93","18351.45","17049.1","16668.72","55370.55","75065.32","64554.19","59880.68","82368.41","26589.99","46547","50026.31","51730.13","50799.42"
"M148.0476T485.4","148.0476","485.359284","3812.144","2731.334","5024.573","4735.583","1979.606","3941.998","4063.997","3906.182","3386.809","3339.753","2684.733","3129.168","2736.521","4785.158","5488.815","5321.323","6552.253","4714.071","6916.193","7587.065"
"M149.042T216.5","149.042","216.496248","10516.27","8860.072","9051.357","9439.687","4848.224","8235.015","8227.809","8640.94","5085.334","5547.127","6484.91","3709.207","4746.182","5161.952","4600.704","4483.925","5496.727","3635.539","4723.847","3984.57"
"M149.9526T20.9","149.9526","20.937996","2000.66","1611.371","1772.854","2253.71","1833.4","1877.628","3018.86","2923.127","1411.049","1802.107","3493.824","2438.78","2831.77","1993.154","2167.709","3901.226","3806.085","3064.492","3293.773","3043.064"
"M150.0585T324.9","150.0585","324.875371","2679.334","2237.569","2843.495","2149.661","1065.41","2060.47","3923.017","2872.778","2114.542","1742.726","5488.843","5026.741","4472.909","6983.319","5694.442","6028.455","6563.43","7416.704","9426.505","10855.93"
"M150.0579T216.6","150.0579","216.600007","5553.773","3667.439","5129.535","4470.836","2548.752","3914.466","4135.285","4029.459","3755.335","3472.627","2702.1","1769.993","2952.75","2506.618","2258.99","2615.633","2796.902","1997.554","2403.761","1773.765"
"M150.0582T37.6","150.0582","37.577122","1521.761","1590.869","1286.892","1464.184","631.7897","770.6979","850.122","1148.278","905.0254","946.5712","4481.979","2805.585","3520.374","3481.875","3691.213","2258.191","2781.55","2950.5","3401.259","2940.753"
"M150.5596T445","150.5596","444.972802","4593.391","2234.232","2123.508","2749.551","655.6714","1984.739","1035.494","2625.942","853.3639","590.872","1762.875","869.0931","1358.187","880.1744","392.6472","1184.02","1328.828","841.4708","1235.357","1478.848"
"M151.0354T20.9","151.0354","20.939049","4208.192","4621.827","4643.623","3776.172","2235.966","5161.315","4169.008","4083.36","3899.862","4250.731","4759.643","4282.41","3869.184","4519.351","4606.068","4140.836","4686.768","4980.314","2809.601","2510.675"
"M151.5497T60.4","151.5497","60.447871","6432.281","6509.151","6797.552","6507.375","3354.276","6603.92","7761.134","7806.244","5823.296","5888.546","15110.37","14293.81","15927.37","12276.11","15524.05","6343.2","7557.925","6365.076","6944.11","5138.528"
"M151.9499T21.1","151.9499","21.065503","1171.628","1316.803","948.6033","979.6028","1046.52","881.7199","1389.068","1788.664","1285.271","750.63","1987.723","1534.705","1854.377","1408.904","1198.252","1918.959","2059.817","2384.355","1502.137","1859.037"
"M152.0364T20.9","152.0364","20.924646","645.7693","891.6727","687.3394","790.5004","692.2713","573.7662","813.9222","602.8513","894.584","833.5727","927.0394","1368.356","1295.951","569.8124","730.6242","1453.365","1319.592","883.3935","736.4737","913.7582"
"M152.0568T205.9","152.0568","205.893886","2670.868","1591.878","811.19","1977.123","821.9176","1355.18","1459.928","1580.392","1006.09","1351.347","930.495","605.4406","508.0728","608.5174","415.1132","767.9472","631.1712","620.904","621.4968","465.929"
"M152.0567T262.1","152.0567","262.054906","6904.286","4083.206","3790.706","4869.29","1994.86","4087.267","4506.373","3674.277","3277.503","2921.527","1140.578","572.1782","591.1392","1110.221","547.5412","1047.359","834.6337","593.808","794.1935","487.4334"
"M152.0553T157.8","152.0553","157.838483","2098.062","1029.798","1132.264","1497.992","467.28","1143.003","1432.812","1181.82","982.6379","513.0768","670.5963","505.2723","710.4598","783.0396","557.0531","573.6706","626.3682","672.9424","548.6125","435.348"
"M153.0547T270.9","153.0547","270.902108","9949.202","10392.97","11206.47","11304.95","11110.01","11353.08","11398.48","11553.24","11674.84","11661.16","9039.386","8998.746","9359.402","9500.305","9082.871","11045.89","9852.093","9876.314","9839.403","10216.36"
"M153.9486T20.8","153.9486","20.828917","673.2974","680.7409","746.4446","808.1857","856.1009","703.5308","871.3061","1161.595","625.5599","726.9634","1456.789","1150.411","1225.98","1075.739","744.8315","1487.524","1421.494","1331.398","1154.539","1062.186"
"M154.508T186","154.508","185.970666","1858.296","1093.851","1557.944","1878.611","850.9216","802.4552","2748.988","2778.886","1314.718","1919.398","133.4629","175.17","187.849","231.5977","168.468","1027.891","892.352","437.1657","476.476","295.3371"
"M154.5258T270.7","154.5258","270.731629","91.74868","80.41282","130.1157","169.8024","82.39179","73.0584","96.77147","61.716","50.05421","79.7304","1260.46","1775.107","1841.633","554.2145","1708.325","845.845","2317.547","1227.748","1322.197","1495.286"
"M155.034T153.6","155.034","153.550668","1868.786","1275.318","1445.048","1974.195","831.1221","1015.631","864.6849","501.8406","884.5119","1020.044","4252.399","3943.669","4804.867","3523.08","3450.803","2942.126","3895.694","3285.845","3559.605","2417.76"
"M155.07T272.3","155.07","272.343352","13199.27","7784.443","12915.38","10724.28","3337.477","9352.604","8601.65","8726.616","5725.672","5535.495","24203.24","19663.25","33036.93","30674.15","30051.77","9002.402","14502.51","7663.771","16462.24","13281.51"
"M155.0601T485.1","155.0601","485.086501","3125.733","1566.075","4873.355","3665.437","714.2376","3136.446","3947.451","3389.579","1616.4","2326.083","2684.348","3330.245","2862.717","3882.77","5294.994","5076.027","6981.086","4924.614","8504.496","8614.886"
"M155.0699T201.8","155.0699","201.842682","919.3146","640.7303","1080.53","869.9712","378.9696","858.1049","609.8208","793.2169","658.4888","603.4824","1771.517","1262.818","1881.097","1807.716","2055.346","561.0235","1094.453","615.1584","946.08","875.0925"
"M156.0143T20.7","156.0143","20.731483","2065.73","1427.276","1488.411","1764.338","931.5476","1915.384","1728.263","1648.147","1866.353","1638.31","1676.598","1700.131","1577.076","1882.214","2105.338","1907.268","1798.023","2189.364","1407.805","685.6877"
"M156.0672T485.1","156.0672","485.086501","1205.871","1572.394","4156.149","3475.542","1264.176","2946.532","3417.635","3232.666","2477.656","2251.466","2405.797","2364.021","3135.707","4082.022","5325.185","4638.858","5642.2","5014.675","7143.918","7716.635"
"M156.043T24.5","156.043","24.515423","2042.166","2323.712","2402.278","2899.825","1661.502","1994.479","2243.597","2250.686","1214.638","1902.847","338.5005","286.9837","83.3745","3723.859","112.1336","1438.107","462.036","939.0305","425.2705","2305.105"
"M157.0282T216.6","157.0282","216.609702","2523.89","1876.875","1633.46","1883.714","1247.017","1707.713","1623.715","1627.2","1090.749","821.0496","1442.835","462.6814","1073.072","1277.142","862.8939","1222.644","1065.518","981.3137","822.324","1176.744"
"M157.0289T270.6","157.0289","270.61181","302.9729","197.1367","249.2256","266.5464","212.8155","157.7928","153.456","182.8128","111.7915","239.5487","2553.139","2423.348","2015.301","935.3463","2361.888","1630.037","2645.687","1477.59","2108.731","2314.642"
"M157.0414T481.7","157.0414","481.701192","2814.495","951.2486","1939.868","1287.555","1065.548","1507.506","2034.683","1430.429","1024.309","1206.965","2151.245","1975.466","1155.949","2310.193","1455.157","3281.266","1290.698","4022.893","891.5524","1214.304"
"M158.0466T216.6","158.0466","216.61905","17909.32","13656.25","15564.44","13558.17","7955.562","12516.55","14229.9","13189.77","11369.45","9063.463","9894.859","6206.642","8610.62","9084.075","8843.069","9100.865","9063.286","7498.894","6983.582","7269.451"
"M158.0439T271","158.0439","271.009997","2086.167","2242.414","2396.89","2643.107","2595.408","2653.781","2476.631","2195.807","2638.458","2591.405","2495.956","2979.066","2094.261","2054.837","2631.521","1712.831","4475.937","2624.824","2986","2960.7"
"M158.5484T216.6","158.5484","216.628375","2088.002","1792.872","2262.339","1644.982","1129.957","928.0361","1538.253","1731.977","1091.206","1310.463","1613.638","649.7941","1147.113","1318.279","530.0308","1349.412","1396.569","1172.672","1059.695","1085.332"
"M158.5571T159.8","158.5571","159.833405","6987.451","7249.261","6292.286","7343.514","3905.332","1703.562","1910.606","1629.636","1171.708","1870.693","1575.85","1263.077","1490.758","1541.119","1632.206","821.4517","514.158","720.6887","446.9314","547.104"
"M159.0631T324.9","159.0631","324.893535","1135.468","679.3453","713.6926","599.5426","451.0272","679.4811","1010.389","1087.528","697.422","658.5264","1061.182","1783.092","1030.593","1687.18","1102.331","1699.97","1545.365","2030.482","2921.669","2518.973"
"M160.0759T493","160.0759","493.01128","375998.1","207357.8","293889.9","276922.4","214900.7","178012.1","203786.6","203918.8","87639.25","89706.05","81836.56","55160.85","81245.68","158125.7","108639.8","92825.29","166184.3","48587.74","63215.48","112993.7"
"M160.0757T243.6","160.0757","243.623244","138929.8","101015.1","101841.7","119469.7","40858.43","82047.68","96275.79","95875.11","77639.99","78156.87","171635.6","192967.3","160891.4","200948.9","222143.5","152633.7","150704.1","129100.6","155195.4","136406.6"
"M160.0756T210.8","160.0756","210.751174","24719.49","15912.58","18726.55","25888.15","10541.28","11344.7","14951.97","14850.35","11724.15","11996.31","27250.28","16276.94","21200.08","20914.06","18005.46","15395.76","13957.68","15932.74","13838.61","13321.04"
"M160.0757T362.5","160.0757","362.545456","87042.48","50879.95","67624.44","63659.05","58338.76","40297.45","47682.84","48370.65","20783.95","21724.2","17864.92","11471.11","16214.93","32316.51","20288.96","20411.87","33280.92","10286.5","12027.22","19951.79"
"M160.0585T225.5","160.0585","225.539753","9000.963","6960.69","6827.543","7143.746","5636.189","4377.822","6902.378","5275.182","6159.399","5569.708","3628.308","1674.14","1194.03","2647.99","1960.271","2213.089","1629.184","1610.55","1913.863","2080.33"
"M160.1334T199.2","160.1334","199.174291","1123.433","2529.461","1344.202","1235.654","654.2515","656.1291","1202.745","1360.421","827.4024","820.5554","1403.854","1974.444","1947.408","1249.826","827.6616","999.132","835.6474","927.5596","759.8674","1431.355"
"M160.5546T60.9","160.5546","60.907924","6616.235","7235.669","8103.368","6350.352","4916.097","7644.54","9722.075","8589.19","7075.207","7360.702","17345.32","15630.66","16822.38","14967.95","18593.87","5593.609","8855.285","6318.225","7797.728","6847.704"
"M161.0596T195.4","161.0596","195.40637","2357.896","950.6186","2431.381","2379.153","805.8614","1648.478","1764.807","1708.493","1711.907","1409.943","29129.05","22979.64","25232.75","25899.76","22841.73","16193.82","17342.02","17782.57","17627.1","11526.19"
"M161.0651T209.8","161.0651","209.760113","2832.749","1707.826","1195.622","3170.064","916.0614","1666.666","1815.94","1871.99","1423.381","1346.347","717.3585","3363.3","4998.227","3362.626","3337.751","1145.84","2176.637","2588.009","2000.697","2174.257"
"M161.0792T493","161.0792","493.01128","47346.29","26664.83","36269.19","34235.37","26209.13","22261.8","24929.14","24889.88","11022.46","11180.68","9181.44","6596.582","10311.24","19429.1","13483.59","11392.77","20381.84","5121.435","8135.193","12948.76"
"M161.0787T243.7","161.0787","243.67077","17704.09","11208.51","12481.96","15016.03","4747.785","10318.25","11779.2","11696.77","8484.099","8915.907","20673.5","24445.02","31198.39","25866.09","20696.2","19632.31","18139.95","15016.59","17980.02","16377.11"
"M161.0788T362.5","161.0788","362.508181","10796.84","5783.297","8538.826","8120.798","7099.759","4564.032","5355.94","5353.977","2572.945","1769.496","1632.181","1524.059","2061.913","3411.074","2049.538","2170.138","4082.557","1381.281","1534.188","2262.055"
"M161.5663T324.8","161.5663","324.81431","705.9723","482.8771","751.1587","447.4846","349.0194","527.9227","773.9979","680.0895","523.752","409.7249","1145.009","1046.17","1097.807","1234.059","1507.926","1411.852","1899.705","1396.928","2631.649","2436.902"
"M162.0549T229.6","162.0549","229.624267","2975.046","2973.043","3153.727","3596.597","1231.762","2164.029","2597.655","2648.486","1904.1","2100.372","6050.188","4335.578","6141.161","5297.186","4428.739","3711.167","3607.694","3338.881","4207.605","3949.824"
"M162.0631T195.5","162.0631","195.538059","439.7639","329.6561","346.6416","532.9508","139.1612","244.2611","321.3435","280.2744","270.5009","202.2343","3350.825","2309.832","2846.062","2092.998","2673.604","1927.393","2121.172","1729.671","1918.058","1313.953"
"M162.0807T492.7","162.0807","492.734049","3440.771","1313.218","1700.261","1241.993","1793.196","826.0485","1430.81","2375.232","646.8228","1116.115","1025.229","715.5243","1082.081","1943.19","1378.769","1287.696","1840.471","702.6359","745.6566","1440.629"
"M163.0748T180.7","163.0748","180.725952","37037.25","24556.75","24673.57","29314.97","13219.94","22694.51","25299.84","26158.76","20433.67","20405.78","168796.1","131952.6","152038.5","130023.8","123846.7","90184","100742.7","109515.6","103545.7","104236.1"
"M163.0749T250","163.0749","250.045587","1696.577","2320.627","2246.244","1936.836","842.1186","1838.136","2053.308","2234.971","1160.559","1216.639","59656.86","43763.22","61426.8","5649.978","47945.88","30736.18","74619.85","35471.46","60439.71","61560.69"
"M163.1319T256.1","163.1319","256.103769","3252.568","2739.303","2671.535","2915.662","1476.933","1795.897","2659.991","3045.695","2165.379","2299.389","1446.156","408.2025","866.2481","1063.756","788.6718","688.344","567.4536","1274.038","6311.657","458.3664"
"M163.5121T186.3","163.5121","186.345849","1796.173","1491.168","1071.373","1763.195","737.9387","1481.565","1781.905","1669.189","1349.412","1749.589","128.1267","137.4803","153.8187","225.2653","209.5196","629.01","575.46","506.9207","342.9793","335.4188"
"M163.5636T21.9","163.5636","21.895517","494.1086","257.4039","342.0977","438.3544","291.4812","227.0316","391.4435","153.9081","334.9","226.2011","1502.419","1035.081","1159.07","885.1421","1043.636","792.3718","698.394","1345.274","956.956","857.0113"
"M164.0322T70.7","164.0322","70.662424","24558.96","22945.34","20575.14","21138.41","16319.24","28622","32295.32","31025.46","29222.91","29616.2","9723.557","7182.876","16133.83","17114.31","12825.56","16125.03","1046.568","11977.29","13517.41","1753.402"
"M164.0788T180.6","164.0788","180.552425","4132.239","2711.722","2337.735","2968.261","1395.782","2251.871","3271.105","3080.686","2028.562","2421.385","19445.71","14885.37","17957.17","14980.25","15261.16","10272.02","12125.73","12936.75","12480.45","12125.87"
"M164.0782T250.1","164.0782","250.107816","470.7832","375.6923","363.3472","462.7032","182.5077","308.2705","401.5887","347.2776","325.0061","397.9848","7462.058","5417.721","7338.561","829.9968","5571.927","3421.32","8633.096","3900.466","7274.095","7295.69"
"M165.0544T41.1","165.0544","41.072613","2570.894","2308.884","1824.076","1487.479","869.2051","1846.473","1284.501","1508.773","1463.862","1321.188","6032.232","4171.566","5243.063","6324.654","5466.557","2444.767","3169.491","3170.871","3545.526","3380.286"
"M165.0541T220.9","165.0541","220.909445","733.3248","565.5118","749.0029","1053.93","473.6647","607.8192","534.0936","760.532","635.376","630.7115","3565.639","2716.97","3293.773","2542.322","1608.789","1008.208","1585.694","639.8448","2395.632","2064.67"
"M165.0805T180.8","165.0805","180.785688","443.8875","252.5068","354.988","371.7975","191.4864","337.9368","334.7136","293.469","199.8713","351.948","1496.495","1072.31","1012.797","1112.909","1401.225","804.9768","1067.093","916.8724","884.8067","931.3731"
"M165.5366T158","165.5366","158.023075","919.0491","764.6767","237.1896","586.085","345.7339","606.5367","773.0244","1067.945","555.2055","498.244","2046.97","1709.314","1933.181","1392.226","1466.276","457.2285","504.3125","445.4031","631.3334","983.7864"
"M166.0518T376","166.0518","376.025064","5670.939","6238.884","6447.835","6189.745","6726.974","5418.861","6210.044","5785.403","6151.632","6203.817","5099.586","6114.399","4890.51","5494.508","5281.17","5757.326","5922.287","5424.228","5753.646","5508.862"
"M166.0448T482","166.0448","482.049628","12924.52","8279.191","7491.549","7690.806","6116.157","7368.096","6988.368","6950.099","5127.584","4584.657","9724.489","7064.856","7925.377","9689.472","8166.139","4970.378","7860.283","5780.369","4992.451","5997.147"
"M166.0336T270.8","166.0336","270.817218","314.9956","219.8963","362.0448","501.8164","248.5523","183.1178","139.4676","228.1637","102.7656","124.4717","6384.537","6984.752","7006.337","2221.337","7353.36","4482.765","10188.44","5350.764","6321.802","7920.703"
"M166.0858T74.4","166.0858","74.406145","43508.18","34286.51","40518.34","35555.56","15525.44","28845.82","28058.87","27191.15","23638.09","24255.35","76088.06","49029.3","59241.48","74598.15","61831.56","31486.36","36052.68","33934.82","38513.92","34527.69"
"M166.5456T481.8","166.5456","481.805399","1884.994","1127.793","1020.482","1076.975","750.4412","1302.244","1202.04","1012.249","675.2778","831.1637","923.6124","870.9724","888.5346","1228.192","869.6952","714.6426","1400.987","429.8314","934.5","1023.968"
"M167.0697T201.2","167.0697","201.220436","6584.366","5162.548","4740.622","5139.16","4294.065","6067.517","9608.878","9558.641","5542.853","5243.191","1613.87","787.2122","1456.354","1778.287","2092.673","2650.452","2367.779","2264.477","2278.064","1894.3"
"M167.0887T74.6","167.0887","74.62315","4616.86","4188.685","4153.654","4202.401","1821.59","3470.419","2999.894","2327.325","2602.914","2320.24","8251.653","5754.672","6279.203","8413.975","7456.203","3440.525","3368.894","3839.449","3978.297","3428.946"
"M167.1061T444.7","167.1061","444.683967","7369.342","3283.317","3033.697","4971.417","632.172","3714.993","2362.96","4461.718","1005.438","1481.851","3215.045","1350.273","1431.874","1716.179","1156.625","2136.375","1652.985","1767.608","1505.137","2187.185"
"M167.5619T159.8","167.5619","159.84229","5582.666","7003.534","5231.182","7254.248","2508.21","1298.112","1391.438","1736.19","1717.533","1642.928","1398.894","1378.331","990.6563","1734.874","1579.93","594.7459","393.0129","488.0568","438.1242","398.1149"
"M168.0983T826.4","168.0983","826.36498","5187.479","4026.218","5331.929","5662.476","551.178","5922.947","1894.181","2855.739","3801.089","3758.153","5870.026","2937.44","4403.196","6386.306","2602.133","4556.702","4848.876","4110.953","5010.648","3576.985"
