"","mz","rt","pos-Exp1-Blatt_K-1_1-B,1_01_8080","pos-Exp1-Blatt_K-2_1-B,2_01_8082","pos-Exp1-Blatt_K-3_1-B,3_01_8084","pos-Exp1-Blatt_K-4_1-B,4_01_8086","pos-Exp1-Blatt_K-5_1-B,5_01_8088","pos-Exp2-Blatt_K-1_1-D,1_01_8091","pos-Exp2-Blatt_K-2_1-D,2_01_8093","pos-Exp2-Blatt_K-3_1-D,3_01_8095","pos-Exp1-Blatt_P-1_1-C,1_01_8081","pos-Exp1-Blatt_P-2_1-C,2_01_8083","pos-Exp1-Blatt_P-3_1-C,3_01_8085","pos-Exp1-Blatt_P-4_1-C,4_01_8087","pos-Exp1-Blatt_P-5_1-C,5_01_8089","pos-Exp2-Blatt_P-1_1-E,1_01_8092","pos-Exp2-Blatt_P-2_1-E,2_01_8094","pos-Exp2-Blatt_P-3_1-E,3_01_8096","pos-Exp2-Blatt_P-4_1-E,4_01_8099","pos-Exp2-Blatt_P-5_1-E,5_01_8100"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M376.1006T244","376.1006","243.977704","1789.9255","2010.2292","1742.7689","1518.6522","1508.76425","1700.0256","1353.77797","1381.2951","2631.058","1565.026","2039.08793","1479.58344","1865.082","1588.15569","2015.64265","2040.0706","1874.4984","1820.7888"
"M376.1018T200.3","376.1018","200.303567","2625.4158","1727.3173","1605.9951","1186.4523","1221.81898","1458.6892","1961.39474","809.5352","2186.309","1818.12","1671.70248","1613.73482","1752.30062","1115.87942","1469.20105","855.684","1075.93552","1055.6912"
"M376.2589T561.7","376.2589","561.720957","16393.5884","9659.7205","12516.3384","9488.8029","11022.5446","5281.8888","6076.73733","4356.4824","11453.28","15829.65","9588.94133","12574.1226","14337.11811","4399.94086","4516.92436","5092.0704","5856.76671","4422.8688"
"M376.7984T26.5","376.7984","26.490649","3014.881","3744.0402","3902.1235","3541.231","3071.08256","3682.6104","3305.07427","3360.0079","1202.04","1999.327","2104.83618","3759.05428","2504.2568","3445.4208","3279.35195","2296.4028","3022.68029","2138.58552"
"M377.0451T262.7","377.0451","262.731803","5369.4271","3258.0547","5896.0373","2777.6543","3224.26673","3009.7392","2208.90296","4697.088","16168.42","13905.31","13684.29663","12560.91192","13695.62983","7910.3232","11361.87386","11872.4904","12234.696","14091.5976"
"M377.0954T163","377.0954","163.032141","1245.9424","903.7224","892.6467","664.1976","692.5536","883.5714","1233.42483","702.8952","1251","981.7848","1395.7824","1053.75214","966.51198","975.35195","1002.22023","830.1116","786.79588","1046.8368"
"M377.1459T212.3","377.1459","212.2866","2025.4773","1966.0131","1517.9363","1590.9624","1153.9224","1679.3424","1826.46","1031.3587","3482.121","3631.52","3390.27771","2874.78126","2753.2008","2819.77502","2281.94157","2828.4856","2100.65291","2250.4656"
"M377.1578T229.1","377.1578","229.059628","11462.7387","11402.2359","8110.4832","7441.4973","7759.8696","8237.6346","10462.66487","8705.9592","14583.13","15347.94","13133.38268","12441.4992","13060.57353","10411.64897","9864.54187","8363.8811","12976.28707","11857.08158"
"M377.2618T561.8","377.2618","561.778887","4079.6501","2121.3624","3040.9555","2143.5406","2320.27164","832.0815","1212.62946","336.936","2000.805","3749.998","2110.08581","2943.4104","3596.8752","742.07467","1043.5008","1121.7386","1664.99667","974.25216"
"M378.0488T262.7","378.0488","262.738205","631.3155","669.606","750.6","296.815","649.8528","409.2706","273.8856","908.4889","2852.947","2431.367","2095.3416","2021.06855","2352.06391","1331.9317","1909.70386","1767.9355","2209.4328","2146.3824"
