"","mz","rt","pos-Exp1-Blatt_K-1_1-B,1_01_8080","pos-Exp1-Blatt_K-2_1-B,2_01_8082","pos-Exp1-Blatt_K-3_1-B,3_01_8084","pos-Exp1-Blatt_K-4_1-B,4_01_8086","pos-Exp1-Blatt_K-5_1-B,5_01_8088","pos-Exp2-Blatt_K-1_1-D,1_01_8091","pos-Exp2-Blatt_K-2_1-D,2_01_8093","pos-Exp2-Blatt_K-3_1-D,3_01_8095","pos-Exp1-Blatt_P-1_1-C,1_01_8081","pos-Exp1-Blatt_P-2_1-C,2_01_8083","pos-Exp1-Blatt_P-3_1-C,3_01_8085","pos-Exp1-Blatt_P-4_1-C,4_01_8087","pos-Exp1-Blatt_P-5_1-C,5_01_8089","pos-Exp2-Blatt_P-1_1-E,1_01_8092","pos-Exp2-Blatt_P-2_1-E,2_01_8094","pos-Exp2-Blatt_P-3_1-E,3_01_8096","pos-Exp2-Blatt_P-4_1-E,4_01_8099","pos-Exp2-Blatt_P-5_1-E,5_01_8100"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M110.0073T21","110.0073","20.964125","983.2833","1044.5329","856.3512","1114.4511","1419.51219","801.0366","998.27325","1177.1807","1171.439","1057.955","1277.1188","1114.18864","1121.894","969.63954","956.66577","805.5281","1229.37247","1308.1125"
"M114.9868T20.7","114.9868","20.676901","697.3485","728.279","465.2325","681.2395","767.019","526.3735","569.3449","472.044","637.7285","451.8944","525.94797","746.97174","693.01819","405.6576","500.86306","557.6789","568.36145","770.91493"
"M120.08T74.7","120.08","74.703463","7230.1616","4896.9195","4868.1619","4009.0965","4104.39455","5204.16","5540.80693","5662.9202","10400.6","9109.244","8896.7784","8492.38","9986.316","4512.61175","8952.4896","4753.9845","5462.3416","4781.43579"
"M125.9855T20.9","125.9855","20.857485","3519.8136","2941.7193","3473.4237","3693.7107","3313.69442","2826.2832","3396.58522","3501.6417","2930.689","3298.237","3770.30585","2440.9512","3371.29423","2953.7277","1946.84012","2708.1866","3592.56429","2714.04756"
"M127.0382T235","127.0382","235.032542","3737.3208","2852.4236","1854.1183","2416.7795","2207.4312","993.343","1624.19846","1211.1422","2740.373","3054.899","1936.68196","2022.22934","2275.8192","1397.21731","605.363","1126.8435","1359.4775","1346.09834"
"M130.0496T27.9","130.0496","27.941333","74762.4901","64109.6461","53863.6053","61723.9001","57198.72243","59558.9424","56730.68003","58342.6681","33709.23","28460.43","26372.85731","24532.34431","26141.71079","33389.70836","33898.50952","35929.4396","32816.24797","34975.33879"
"M130.0646T163.4","130.0646","163.429258","5319.1645","4067.3609","2527.1642","4443.7027","3091.4712","3321.169","4704.70813","2891.1536","10984.45","8309.709","6682.14192","9710.77131","7256.8008","5298.40871","7997.00079","7191.982","6589.2672","6837.12811"
"M130.0637T376.8","130.0637","376.821356","1209.5417","1188.9275","1389.2889","952.6298","932.20735","1390.8397","749.08167","1198.381","1471.37","1126.479","1226.3136","1230.76689","1190.73111","1214.41895","1125.65886","1212.4015","1372.70467","1217.0944"
"M131.1287T22.3","131.1287","22.343483","27651.4202","26305.4992","27792.6052","27555.5574","27207.90771","23646.1909","27063.9672","26401.4069","19183.66","23852.2","24270.83966","22467.91446","24334.21365","21199.12","19155.9792","18260.0612","30080.1702","22293.90911"
"M132.1014T45.2","132.1014","45.168281","14533.8742","8460.9006","9036.9262","7971.7056","8571.86651","8578.5128","6880.7622","6501.1272","29147.63","31123.32","29106.68055","23637.83022","33237.47767","7850.51517","11256.06221","8514.992","12299.68335","10402.1985"
"M132.9968T20.8","132.9968","20.834447","622.5664","625.8008","662.4213","669.7477","489.7248","513.1552","473.0448","319.3126","548.1675","377.9943","613.88422","536.15656","614.31437","565.026","448.74335","354.3071","338.9376","553.01836"
"M133.06T27.6","133.06","27.569297","31549.8677","32721.6893","30181.2205","26258.4189","28112.86727","25710.4453","28505.62997","25767.2242","28352.66","21418.04","24771.97462","19899.59993","22367.64909","17885.59345","18318.9768","17828.8734","22363.77814","21143.07066"
"M134.5283T271.5","134.5283","271.525286","1389.2878","608.8982","674.3876","1200.7292","832.6656","1441.9813","1142.04116","988.1232","833.5511","905.2946","1011.2625","1095.08569","1094.09867","1147.15214","1041.73335","1447.3195","1085.5344","1017.24803"
"M135.0436T271.7","135.0436","271.730473","19332.12","20980.9461","21275.34","21830.1168","20688.63425","22215.8818","21007.85771","21066.9291","20815.53","20331.25","20983.48605","20461.77055","20050.24291","21093.107","21022.95285","20825.3277","20763.88236","20588.53138"
"M136.0474T271.7","136.0474","271.675032","1561.3958","1411.2616","1769.748","1147.3588","1545.5688","1913.9426","974.112","1792.9598","1148.47","1608.619","1256.92233","1669.90603","1519.63309","1027.656","965.86342","1274.1757","1376.65465","1304.7096"
"M138.0132T262.7","138.0132","262.72929","772.7044","473.1511","866.0256","391.2688","333.66667","284.8304","423.29081","644.8488","2395.915","2000.102","1126.87892","2024.39081","2029.6224","1181.81194","1733.59927","1501.6925","2172.92289","1713.036"
"M139.9145T25.8","139.9145","25.8426","12461.575","13236.9948","12846.276","12278.886","11621.31507","11435.4091","11287.201","11946.1511","16120.03","15979.06","14863.20339","17144.98875","16257.19832","15193.62003","13490.45313","13809.8635","15253.17347","14119.13202"
"M141.9126T25.8","141.9126","25.806207","1684.8614","2086.5732","1040.9657","1861.5462","1975.79215","1697.7922","1959.68388","1887.2133","2374.844","2390.062","2172.66575","2426.08464","2068.30255","2206.88393","1935.29578","1961.9544","2104.62396","2139.04409"
"M146.0368T271.7","146.0368","271.7028","1091.2056","1314.6204","1212.8333","1274.3457","1197.05364","1665.3312","1021.1496","1426.8072","1717.994","1411.668","1382.48723","1203.62926","776.8536","888.8103","1145.2488","573.4584","1732.33269","1003.1352"
"M146.0626T63.9","146.0626","63.946095","13226.6428","12524.838","17225.3606","12607.4503","13508.41187","13286.886","13792.99446","15270.8555","25608.01","31787.41","32375.518","27930.49117","24979.33769","16589.99173","19876.53947","21481.1945","27877.54466","25932.10117"
"M147.0765T27.9","147.0765","27.941333","176645.1225","151390.1242","128583.3407","135511.8788","134520.97888","132170.652","137139.61607","132305.173","67909.85","54098.04","52548.06091","51568.02337","49530.32805","69564.02359","68613.85746","81286.7764","66213.4155","69561.6048"
"M147.0438T284.2","147.0438","284.19798","4257.7868","3678.5493","3147.516","2372.7182","189.63086","2723.9426","3359.58438","2613.8701","4873.657","4922.268","4799.79094","3934.74049","4001.10682","3824.98858","4542.6312","4506.1966","4444.88467","4517.15196"
"M148.0624T28.2","148.0624","28.211196","20122.917","16443.8112","14421.3792","14985.2096","14518.46481","18458.4216","16956.36756","829.9616","33482.91","35721.08","28832.7902","21651.3072","25538.97726","20309.25698","24796.5835","25724.5672","25651.51721","24615.65143"
"M149.0595T243.6","149.0595","243.577013","2282.472","1724.1857","1348.35","1409.6136","1222.644","2289.4054","2898.0272","1794.4593","1419.619","1178.491","996.31819","1802.34208","1733.052","1786.08198","1546.95852","1396.7832","1239.26895","1890.61808"
"M150.0579T37.7","150.0579","37.745389","2221.1927","1698.5912","1903.9768","2333.2297","1449.56219","1011.5709","1321.92526","1153.7149","2659.69","2267.979","2652.83191","1845.18128","2474.70487","2095.24802","2121.74577","2215.7169","2034.84264","2384.31174"
"M151.035T20.9","151.035","20.899781","10675.6054","9637.0373","11673.9889","10785.7356","10788.41321","10103.4187","10040.78014","9541.3847","11322.27","11676.67","11813.5784","12181.67384","11772.84233","10082.04095","10621.12123","10086.2496","10823.14567","9639.372"
"M151.5491T60","151.5491","59.984643","19049.234","14939.738","13831.4867","14765.3491","10135.37002","15782.7599","19812.86034","13254.8608","30183.94","24777.53","25899.63327","20789.80293","24411.35342","15528.28854","17906.03389","13901.9741","14312.68845","11400.91926"
"M152.0363T21.1","152.0363","21.063209","1878.894","2188.3623","2265.8112","2237.0326","1870.76647","1997.4211","1807.88678","1917.4923","2001.762","2222.158","1918.47512","1822.84504","2350.00205","1652.46389","2016.10555","1789.1086","1985.4943","2134.3728"
"M153.0543T271.7","153.0543","271.704272","8940.5175","9908.8023","9405.852","8757.6672","9667.78525","10161.3134","9338.80752","9649.9912","9466.687","9921.931","9789.89962","8977.0854","8583.83763","8562.24366","9911.07325","8638.8665","9959.98899","9221.81243"
"M153.0316T20.8","153.0316","20.835933","1652.4925","1161.8591","1418.766","1726.9788","1410.00241","1140.8094","1656.60502","1532.4403","1704.963","1852.338","1162.57067","1575.23246","1943.49096","1171.17932","1705.91593","1768.6109","1319.42927","1908.5256"
"M156.0141T20.9","156.0141","20.882563","4337.1303","3875.9962","5058.654","4507.2914","4206.4355","4083.7259","3736.32","3637.003","4362.513","4725.464","4363.49193","4401.12258","4901.88462","3875.74983","3804.91447","3769.1376","3792.18859","3980.80371"
"M156.0541T160.4","156.0541","160.367659","2612.1302","2520.9146","1283.5774","1916.9629","1901.319","456.3648","1228.66402","776.5473","1226.314","1103.862","1168.2672","1150.2528","1220.86042","584.74544","558.88579","820.7337","612.4896","664.59411"
"M157.047T376.8","157.047","376.790012","2446.6224","2403.3719","2316.7282","2538.696","1989.55447","2560.6743","2237.98046","2296.3983","1729.728","2463.97","2293.3628","2614.4232","2097.19818","2687.37814","2603.71923","2298.8635","1974.59988","1367.76"
"M158.557T160.3","158.557","160.294127","15636.1345","14900.1364","9823.5192","12116.7608","10851.84115","3452.9835","5139.03132","5190.4569","8701.072","7540.135","4970.3064","5340.21768","5660.8584","3342.89467","2505.84293","2401.8405","2642.34709","3245.10104"
"M160.0578T226","160.0578","226.024051","8064.1207","6284.0315","5078.1605","3525.1513","7217.7696","4265.4729","6927.3896","5161.6716","6905.042","3277.751","4191.12656","3342.13352","3642.73341","4759.64111","3159.8592","6197.0141","4322.42595","5867.64392"
"M160.0756T250.2","160.0756","250.156723","9952.0051","8534.7997","5867.2845","6265.759","5794.04186","4879.9626","7412.48025","5273.1798","10774.66","8170.321","13023.6374","11320.716","8817.37513","8158.90243","8236.42759","5850.6206","6996.09716","8752.67443"
"M160.0757T212.2","160.0757","212.166413","10050.3694","8322.4697","9382.7914","9315.306","6730.54277","7550.3688","8731.98","6773.1984","16970.28","17967.14","16486.78731","14723.01466","14746.43584","10772.86673","12397.58316","12588.2372","11560.57877","12566.91406"
"M160.07T470.6","160.07","470.562559","2870.7074","2575.1965","1381.104","1568.1886","2060.36328","2215.7712","1587.41905","1565.9184","3503.074","3151.504","2336.2008","1985.2536","1249.53627","2240.47435","1810.52055","1870.6927","2050.43287","1537.77512"
"M160.0754T232.8","160.0754","232.80111","4860.5985","3203.6063","3559.512","2750.8656","2414.67491","2341.5027","2648.97468","2731.3174","5223.069","5254.534","6295.83737","6391.27617","5905.00239","3783.00469","3539.86002","3744.9936","4994.21577","4099.93098"
"M160.5546T60.2","160.5546","60.209432","20019.3941","15995.7326","15454.0756","15511.5309","10032.80107","16400.524","20228.46599","12358.212","33218.75","25974.47","24612.28381","22420.79614","26021.21501","15567.22539","19303.16601","15233.1282","16152.74046","14035.06553"
"M161.0957T371.8","161.0957","371.787733","3111.254","2292.1904","1851.4025","2244.629","1881.65113","1994.1805","1974.5784","1578.6448","3333.997","2845.942","2881.9704","2324.85926","2967.59438","2880.9696","1986.88482","2544.4694","3159.26421","2861.355"
"M162.0401T131.5","162.0401","131.530855","19991.3802","13236.8881","10954.4414","13214.6697","11349.10475","12628.6515","16582.98015","12093.4439","13218.87","13321.56","10212.1632","13644.04422","12169.97275","13148.10329","13297.06569","13129.2728","13210.476","11392.69651"
"M164.97T20","164.97","20.011006","3403.1643","3176.0252","3273.9504","3406.7367","3010.20692","2790.8292","2904.39653","3290.7771","2342.873","3398.638","3026.54016","3551.04759","3434.9221","3643.0212","3142.41024","3090.123","3583.8648","3394.29842"
"M165.0543T41","165.0543","40.988202","1912.0804","872.7499","1321.9436","849.9703","859.94714","1174.6743","1066.21756","817.8217","2881.119","2975.205","2287.98432","2462.11412","4255.30257","785.56071","683.19604","841.6007","1105.56282","878.8779"
"M165.1261T259","165.1261","258.998601","943.5927","898.2531","605.4159","568.7332","540.60353","849.5837","625.04686","652.6875","699.1205","993.5973","867.36","727.52212","1102.00466","815.72921","567.70875","938.2941","926.76176","823.5099"
"M166.0517T376.7","166.0517","376.726716","7035.8656","7089.1359","6616.7548","6657.5322","7626.06766","7868.8529","6676.42745","7844.5761","7274.815","7388.098","6968.40449","7246.5833","8021.34588","7147.49687","7273.08626","6667.541","6927.3895","7499.6616"
"M166.0859T74.5","166.0859","74.47165","52605.4524","35901.4672","37747.7283","30383.6208","31088.49406","46233.8872","40377.34","39391.488","78243.01","72128.92","66322.3488","65375.04455","73664.56264","38511.1176","66565.8768","37492.3032","43484.32052","35841.87829"
"M166.5532T376.8","166.5532","376.81251","877.4608","1202.04","1138.1143","895.5358","1543.88753","1452.6217","861.87113","696.1399","1032.826","1321.624","1057.8456","876.3672","1288.58389","1170.37958","1054.57516","607.256","1264.6776","849.17587"
"M167.0118T21.1","167.0118","21.057741","2726.1586","1359.6007","2588.8754","2569.7406","2167.73678","2331.354","2265.1219","2758.4659","1731.523","2321.409","2785.82368","1856.65095","2028.36907","2060.5818","1305.94333","1786.7049","2413.10249","1335.16656"
"M167.0886T74.6","167.0886","74.595239","5853.4044","3985.5192","3766.4293","2369.2272","3102.45651","5183.8104","4582.2307","3862.7366","8302.702","7724.174","6467.5032","6813.86036","8084.796","4090.86596","7046.70801","3795.7008","4797.06583","3346.89813"
"M167.5622T160.5","167.5622","160.545157","11364.9356","10424.0038","6990.5828","9135.126","8094.58934","2570.7216","3734.50253","3688.9664","6225.842","5398.304","4177.3392","3924.30729","4482.5832","2249.1312","1816.1184","2465.7263","1585.28393","2952.24762"
"M168.0451T64.2","168.0451","64.22711","32014.5912","32161.2645","37601.3904","33158.0475","29679.69231","25906.7746","26152.05117","33131.5606","85415","99702.87","97515.37395","82296.57935","82374.66333","54792.86839","66554.36003","72773.2478","86258.6184","91085.34109"
"M169.0366T37.5","169.0366","37.507815","2874.3788","3892.0401","5297.2957","4430.9598","5310.34358","4322.7336","3233.80289","4043.7479","1801.159","3272.145","2122.93118","2044.85232","3732.42332","4178.57111","3013.7424","3611.3283","5446.41087","4384.5048"
"M169.062T226.1","169.062","226.122785","6727.3776","5779.62","3752.3059","3594.5002","5846.0064","3980.892","4375.34328","4692.1505","5958.904","2141.23","3457.30383","3237.59255","2582.26591","4244.72296","3415.35569","5631.6446","4879.66304","6552.15957"
"M169.0743T470.7","169.0743","470.740591","2271.3048","1186.4071","1094.3776","1081.296","1212.51375","1688.6832","692.1975","1046.5928","2264.262","2240.018","1699.49733","1359.0864","1599.55234","1550.2392","1755.85423","1128.9024","1497.43096","1565.23033"
"M169.5708T376.8","169.5708","376.789069","3082.464","3245.4654","2653.651","2789.4386","3541.71783","2914.3768","3374.9224","3164.4547","3034.426","3292.298","3041.0976","3232.584","3412.3944","3273.27","3391.7268","3324.8023","2757.98847","2231.61675"
"M171.0165T26.1","171.0165","26.139298","26255.18","21238.4814","19980.0966","20746.2504","19319.25635","18978.504","21179.59523","17471.3069","14912.89","11630.34","11433.13824","12884.70977","12539.16415","11724.51764","12145.88428","13152.4241","9963.01322","11166.56591"
"M171.9911T20.8","171.9911","20.782602","1514.0937","1088.2888","1501.6511","1784.2204","1426.4736","1362.0312","1864.32603","1727.326","1365.803","1441.265","1943.14675","1386.48195","1771.21687","1733.27074","1282.60125","1142.4516","1206.58014","915.5673"
"M172.061T60.2","172.061","60.224093","4956.2325","4145.2198","4247.79","3117.6069","2213.22354","4124.8697","2640.23824","2675.8611","7882.925","6848.808","6853.36371","4844.73595","6850.34266","3682.68682","4562.59655","2440.5122","2537.61382","3268.08847"
"M172.0965T217","172.0965","216.955128","3609.1552","2930.7189","1520.0233","2480.8745","1373.28757","2258.8056","1539.69586","2214.59","2652.77","2078.653","1707.7248","1714.90907","1573.90567","1502.66309","1999.5984","1862.7377","964.41927","1110.72"
"M172.1691T523.6","172.1691","523.6258","944.088","891.0456","955.7008","835.2629","903.57628","884.1335","910.0608","1510.6796","1097.654","759.6072","1307.81891","1265.89216","1444.1544","1132.46467","1414.86328","1133.5728","1413.55463","1285.81773"
"M172.9754T285","172.9754","284.9862","8112.7952","8268.8002","7484.3713","8303.4227","6980.29653","8133.2001","7074.6552","7462.6712","8491.095","7661.83","7903.94131","8281.36386","7925.79347","8617.5552","8710.6296","7614.4204","7215.47157","7939.94137"
"M173.1387T38","173.1387","37.972043","1389.9152","1074.2974","770.9923","1125.0751","618.99923","895.9001","827.9952","723.028","4407.069","4780.822","4420.81145","4531.3951","3178.31932","2331.23405","2251.44241","2688.816","2005.40485","1636.23875"
"M174.0811T256.8","174.0811","256.772243","2628.8126","2783.6062","1731.0748","1621.2407","2001.90159","1803.39","2287.14373","2068.8923","2022.475","1417.712","1289.90908","1164.13974","1363.31174","1879.836","1340.0712","2532.1697","1997.72773","2291.1648"
"M175.0364T271.7","175.0364","271.671729","80648.8008","79218.7482","78636.8117","78776.9712","75669.13076","72033.2947","71732.58849","72278.7768","81412.27","78868.26","75485.36114","78291.9168","74228.00376","73760.9616","74771.5377","73640.2585","76103.1672","78479.93017"
"M175.0386T220.7","175.0386","220.67701","1930.3262","2209.0992","1814.2464","1796.717","2008.56096","1255.9058","1856.484","1719.8788","1810.6","2005.27","1719.3744","1639.42556","1378.32693","1600.90068","1686.16602","1718.349","1918.5336","2000.2917"
"M175.057T376.8","175.057","376.848041","8276.3316","8112.4848","7894.6617","7903.5527","7236.22391","7986.5801","7924.31498","7860.8763","7553.05","7664.126","7295.28525","8051.37212","7927.78432","7314.65661","7963.18685","8509.1314","9011.24061","8520.22177"
"M175.119T25.3","175.119","25.329525","457201.0402","472403.0938","424547.5754","375081.9711","454282.76282","410179.241","432149.39496","438621.2765","173641.4","120809.1","166140.28115","189167.20551","178343.23947","260932.76304","239602.9472","197741.1346","248830.88498","173448.55817"
"M175.5585T376.7","175.5585","376.715954","552.0798","1251.1605","992.4413","1506.7286","1253.97627","1519.2906","1159.52062","749.4677","1483.186","1437.952","965.1048","915.0648","1255.1058","1253.30891","1353.59394","1404.9226","1408.56475","1166.74907"
"M176.0397T271.7","176.0397","271.668425","6851.4768","7211.9716","7088.5091","6556.2408","7014.6072","6378.1522","5860.16105","6080.8608","7361.223","6741.916","6802.10386","6924.2016","6642.12376","6495.8592","6509.84515","6822.5872","6630.44867","6671.47913"
"M176.1461T321.3","176.1461","321.275031","2332.731","908.1409","935.6134","676.9903","894.3816","449.6479","487.056","632.7722","777.288","1154.141","1427.296","1164.91179","815.5705","496.4464","723.5784","601.601","1092.2064","560.48073"
"M177.56T376.8","177.56","376.79313","15201.5082","15759.3313","14481.3028","15488.2738","15314.3478","15562.1033","15386.6034","14576.5924","15024.13","14409.06","15495.06034","15601.1376","14548.38538","15364.68261","14167.3116","15015.7074","14045.2272","13513.40273"
"M178.0351T262.8","178.0351","262.775075","7335.4628","5142.2654","8720.6669","3703.5541","4901.24573","4721.4932","3490.4568","6726.3768","20544.46","17661.64","18307.67188","16181.14938","18682.9344","11284.90731","15552.6008","15906.3816","17297.4936","19819.07828"
"M178.0613T376.8","178.0613","376.755946","2427.4247","2536.5189","2876.5148","1996.3511","2980.446","2902.6929","2573.08184","3104.5425","3033.758","1844.619","2231.4504","2941.6848","3090.01326","2553.3744","2188.6232","2624.2724","2535.26637","2092.75544"
"M178.0888T79.1","178.0888","79.128198","8063.7223","6808.5651","5194.1298","4746.7362","5346.31858","3963.2381","5736.31829","4548.9317","2133.162","1874.455","1630.08235","1911.8616","1554.9096","1816.24403","1905.5232","2276.4452","2569.0536","1880.27226"
"M178.5754T376.9","178.5754","376.87941","4030.2175","4360.8192","4365.8103","4711.6423","4050.56359","3833.1224","4591.6704","4526.6793","3909.828","4567.985","4604.00626","2998.0632","4040.2296","4286.82697","4312.58971","4542.638","4341.804","4203.02144"
"M179.0301T60.6","179.0301","60.560574","7004.6518","5289.0661","5857.1953","7098.6649","4243.5828","5935.0776","7095.0465","6068.494","8186.06","7189.354","8389.89853","8800.22833","8586.91167","7028.66028","7679.8056","6512.3058","6043.60279","4322.11832"
"M179.0379T262.7","179.0379","262.665039","539.2117","424.4739","539.2053","482.4366","369.55059","531.9794","367.9608","701.8201","1808.446","1395.115","1551.08074","1256.004","1476.01406","1010.59412","1383.65557","1028.4074","921.33415","1854.6786"
"M179.0699T284","179.0699","284.049929","3983.184","3187.4191","2613.0888","2366.078","2276.65018","2621.3095","2231.75264","2449.0502","4589.641","4967.661","4334.4","3614.6707","3084.948","3312.82324","2475.92551","3143.3371","3012.21183","2940.77347"
"M179.0776T376.8","179.0776","376.81251","1256.1922","1061.1681","1767.54","1037.6963","958.737","748.9377","1075.30655","1189.3392","1351.751","1024.125","1140.912","846.2961","961.092","1210.75855","1079.31018","584.292","723.7953","999.99443"
"M179.1064T371.6","179.1064","371.582379","3325.1146","3040.0117","2210.4336","2278.8216","1863.6758","1701.1688","1913.5296","2413.4151","3810.854","2996.421","2702.16","3496.31809","3305.15843","3325.59665","3647.72223","3440.3195","3709.21187","2347.62088"
"M180.0507T130.7","180.0507","130.695811","27839.4805","22665.1176","14748.7896","18830.4058","15506.58071","16546.1066","23335.52434","16335.0025","19891.21","19279.59","14591.664","20385.48052","18056.93044","18681.13189","19398.75159","20550.7846","19111.0398","16450.74764"
"M180.0686T37.3","180.0686","37.266156","3295.193","6832.3451","3061.155","3343.7481","4990.19591","3040.0548","5131.40922","3987.245","758.1924","819.7043","971.89393","685.68304","436.16084","632.68062","653.83996","1159.3196","364.36764","698.60028"
"M180.5703T226","180.5703","226.0278","4252.7328","3310.6464","2173.9076","2268.1464","3125.1648","1995.3267","2701.85323","2547.9944","3122.382","2241.458","2327.1936","1018.88227","1596.75318","2450.79512","1360.42077","2850.433","2441.05656","3820.38077"
"M181.0443T235","181.0443","235.039344","12301.1664","11722.3515","8980.8456","10605.3989","9884.568","5330.9515","6699.44962","6451.1459","10883.32","10677.01","8850.33031","8724.59578","9051.9024","5404.42819","4216.37426","5297.6881","3839.72151","4298.67187"
"M181.1223T470.6","181.1223","470.590065","14046.9936","8693.3513","6877.7091","7497.5322","7029.68933","9216.0632","8606.33047","7385.123","13477.49","11485.74","9338.7984","8832.33734","8658.18609","10443.69382","10977.48207","8794.9126","8337.66267","9057.52644"
"M181.1222T598.4","181.1222","598.350732","4045.7083","2741.5856","1840.5399","1957.0919","1588.1264","2106.9828","2361.22674","1932.6329","4779.246","5070.997","2740.91832","2480.87909","2044.68377","3033.22995","2547.91939","2610.462","2159.52518","2584.02734"
"M181.962T23.8","181.962","23.823965","1344.4219","1670.3153","663.9993","1249.291","1068.8379","1937.3824","1727.43258","1558.7018","1092.33","2554.206","2160.12475","1991.32267","2139.80433","2754.34003","3236.62737","3305.9693","3530.53582","3917.83563"
"M182.07T256.8","182.07","256.751266","8902.2951","12177.0213","8003.1688","7211.7648","11143.97168","6896.5563","10754.565","10448.1398","9002.814","6526.562","6186.2784","5480.475","6414.46304","8727.3898","6793.56672","9847.9515","8683.34133","12760.82262"
"M182.0604T235.1","182.0604","235.121503","8407.7208","8962.5713","7430.1005","7738.4889","7230.61223","4078.2592","5108.47592","4811.1766","7823.678","7666.429","5590.57234","6947.47827","6114.13142","4088.85624","3357.58265","5239.8985","2848.37784","3629.24232"
"M182.0801T41.2","182.0801","41.159541","11613.9451","4424.7716","5553.9741","4852.3629","5844.33279","4709.494","3919.82618","3555.3851","19082.08","21639.64","21152.82672","18770.29704","26326.044","4679.99531","5665.70601","4288.2878","8987.6618","5528.74374"
"M182.0596T133.3","182.0596","133.257394","6157.888","5997.4205","6041.1855","5144.7792","6274.36545","6081.5236","6271.02909","7004.6255","11140.67","13850.75","13943.88318","10806.82719","11093.52885","2397.01007","7434.86222","9762.4704","11876.89437","12006.92822"
"M182.1254T470.6","182.1254","470.551557","1392.78","1107.3039","982.6926","596.579","782.0807","1224.5455","908.47879","615.1584","1385.657","1125.791","1016.23698","561.91712","529.0896","1273.8978","984.87154","853.3382","690.7176","735.51888"
"M182.5392T207.3","182.5392","207.349812","1369.8564","1690.9303","875.4714","1108.7618","787.84754","1210.7215","1315.25687","1001.1857","562.9097","411.8475","556.32706","268.30211","592.94048","690.45116","564.24442","599.6814","448.4592","409.6608"
"M182.5717T256.8","182.5717","256.827277","1787.2436","1515.5448","919.7691","1313.8558","1590.0805","1015.1333","1359.27443","1149.2447","1674.536","1096.891","703.48331","800.47574","685.2144","1032.4236","425.93755","880.5683","1360.72665","1289.48605"
"M182.5612T235.1","182.5612","235.129799","1360.8485","2024.2848","1872.4968","1782.2721","1417.62574","1165.262","1027.3032","842.5564","1900.262","2196.794","1364.18127","1925.44929","837.61165","882.46535","864.18758","644.6935","886.10625","1346.076"
"M183.0431T158.2","183.0431","158.248127","2545.368","757.9392","589.6634","3082.0739","1874.20567","5695.3291","5359.24692","3369.0714","10956.89","9949.855","10030.0125","5658.31855","8650.85805","3508.73851","5345.37616","4094.0426","4130.63926","3024.021"
"M184.0226T131.2","184.0226","131.225018","17541.5563","14726.3117","10904.7992","13521.9256","10922.1964","12335.3331","14042.54766","11733.4364","13471.68","13267.47","10623.53242","12772.57662","11387.54162","11778.73326","13506.95304","13902.7388","12956.31687","10591.23953"
"M184.0196T64.5","184.0196","64.529978","3906.462","1845.8405","1732.239","4335.2155","3748.16453","3314.316","3960.67728","4852.7615","10310.24","11671.67","10852.80687","9805.26814","8326.58632","6729.53723","8120.2427","8395.0307","10030.60762","10402.9824"
"M184.0731T28.5","184.0731","28.485494","14450.0839","15175.8321","13718.1264","14265.4451","16334.29928","13521.8415","13618.6437","12592.9009","17744.5","18434.88","18912.28873","17731.56938","15996.82528","13936.03876","16152.2517","15820.4195","15821.08119","18452.5711"
"M185.0322T25.5","185.0322","25.486698","111299.7564","88673.035","74876.4931","76735.3092","72368.15141","80999.0808","80456.9808","75978.1086","55744.95","43257.62","40737.564","40188.61807","36448.72759","49337.41349","50336.53958","59283.5149","55245.5122","49926.2424"
"M185.5466T376.7","185.5466","376.687984","2188.5949","2094.5046","1995.751","1822.2227","2060.39167","2066.9052","1699.23035","2206.8713","2349.211","2288.496","1795.95556","1766.44297","2384.10049","1670.5022","1842.63375","1966.0909","2456.95769","3435.4128"
"M185.5279T216.7","185.5279","216.689979","1649.2916","1259.0064","884.6628","1055.3917","803.82308","695.4991","567.85103","561.8498","1056.2","773.5044","779.69377","776.82034","937.29308","1084.56563","395.7089","837.0777","916.27155","729.12576"
"M186.0014T203","186.0014","202.955545","1375.0992","968.273","1841.1384","650.8536","396.5315","507.0018","373.91386","1628.1221","4411.367","2482.267","3798.69516","3818.63996","4096.608","2248.464","2825.80375","3181.6167","3338.81374","3235.2528"
"M186.0377T160.4","186.0377","160.359572","5067.384","5734.9158","3728.5715","4714.1071","4836.86829","2332.1976","1892.1792","2622.2915","2515.737","2782.906","1204.86","1763.98722","2016.2784","1243.6608","1424.154","1378.4352","1736.11643","1934.88"
"M186.5651T376.8","186.5651","376.799956","16502.3879","16630.9608","16461.6754","16119.1719","15314.96843","16451.6142","15202.29038","15984.3199","16164.14","15460.25","15246.1872","15972.6305","15186.08017","16039.21307","15747.303","15236.3201","17641.98831","17184.54877"
"M186.9561T3.2","186.9561","3.204931","7155.4793","10388.4541","8249.7631","6088.1896","8849.60631","10743.9034","5330.55512","7400.9241","8980.998","9273.579","8354.49474","8475.38304","8051.043","7872.88073","7205.5883","7693.8312","6011.5969","7179.72716"
