"","mz","rt","POS_SF.100109.114720","POS_SF.100109.121711","POS_SF.100109.124896","POS_SF.100109.124904","POS_SF.100109.130034","POS_SF.100109.169058","POS_SF.100109.199550","POS_SF.100109.227718","POS_SF.100109.231142","POS_SF.100109.239012","POS_SF.100109.244079","POS_SF.100109.255622","POS_SF.100109.259700","POS_SF.120831.00062","POS_SF.100109.142930","POS_SF.100109.146730","POS_SF.100109.199546","POS_SF.100109.225118","POS_SF.100109.252159","POS_SF.110121.00073","POS_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M207.1114T282.7","207.1114215","282.71800002","7389.428814","7265.190688","4889.698293","5489.866611","7450.142009","7238.769891","4365.304249","4449.846133","2184.228903","5939.962783","4607.967543","8249.006358","2756.650754","3288.34439","3225.530901","4818.155348","3509.206686","2812.023231","3464.376461","4829.135955","3404.633079"
"M468.9335T213.4","468.933482","213.39400002","3819.450555","1586.514216","2928.054861","1184.249889","2496.817314","2438.448349","1664.840595","378.5145855","598.9496846","1625.773034","786.4851435","2125.490304","420.0352541","919.8935236","1743.052891","1530.920376","1188.899015","780.7670584","169.6794196","729.3388465","1379.273908"
"M416.7348T151.2","416.7347724","151.17100002","1215.842143","1051.773019","923.8560245","2366.194649","1339.569287","1470.280383","1444.564562","22.50157191","284.2653477","584.9074967","420.1323056","969.6734508","83.10450005","1012.045918","623.4094695","693.3183882","188.9042477","96.09399574","0","43.90719082","252.563558"
"M317.1958T861.4","317.1957676","861.3700002","7541.381649","6972.704649","8999.799573","6192.933536","6438.890354","7197.8247","6867.592555","14482.26657","9409.787668","11393.27517","8527.602337","8204.17604","8847.615202","6937.356668","9521.16918","6984.765132","11465.07938","12291.53578","12253.53586","32031.42462","9257.59171"
"M491.7582T218.5","491.7582059","218.466","1161.879718","1513.638405","939.8269531","3370.91667","1530.302504","1188.169989","1551.943142","1403.192782","1955.628982","3153.931183","2791.190219","3393.882301","3183.686656","3123.291216","2062.865904","3927.697507","2877.901098","2295.732919","1584.917734","2361.111801","1731.054032"
"M260.196T59.2","260.1959782","59.187","1018.285866","700.3080213","853.7466885","1467.31028","1531.264074","862.9023117","1275.819412","395.9543264","3150.72871","747.1118235","2071.199779","1262.190147","2337.967254","3822.74049","1402.104242","844.4518696","567.3072335","169.985095","1137.365865","174.161985","222.4701381"
"M381.7188T189.9","381.7187945","189.891","342.388582","333.6831097","280.7801973","1406.05948","504.5852824","277.6911701","630.8226532","267.0729939","1783.432138","539.9911229","3530.751375","1065.729225","3500.206231","3326.045417","1000.936576","2118.458288","1401.594165","1765.737782","1158.303789","564.0247969","844.857226"
"M337.5303T294.9","337.5303118","294.88999998","1981.247233","1717.860661","2422.011791","1037.324936","2846.057243","2165.873031","2172.493833","75.45298332","111.4884432","1280.80164","98.01103074","989.3756418","15.29003291","550.1673782","1156.075264","565.9474596","473.8408443","122.720835","0","403.9184664","189.4163965"
"M406.7041T227.6","406.7040964","227.59600002","2287.273907","1898.107969","1754.00232","4754.97434","3254.502652","1897.479082","2421.36276","194.6722519","1061.86319","1120.310145","1065.901711","1470.036527","740.702011","2350.870681","1343.588289","1634.236328","921.7929274","274.3714593","5.24927051","231.956665","594.9894617"
"M366.5244T205.1","366.5244395","205.107","1073.493984","1407.34811","2017.003513","633.5202433","766.4021321","1091.045218","642.1965718","98.59205533","171.790243","369.6957073","234.6102647","244.6153934","31.52790594","209.3290586","311.7984434","441.9393868","360.5735363","172.0036292","0","78.99142665","366.9752355"
"M314.0844T43","314.0843503","42.957","3537.269157","3615.154744","4486.107673","3467.533245","3573.134861","4776.522168","4306.562185","8912.341093","8761.406946","5067.632697","5851.704382","3786.02065","5990.967218","4000.160529","4217.792231","3773.545885","4786.301017","5671.444167","4563.821556","6767.599992","4831.178503"
"M329.0295T108.2","329.0295113","108.222","6875.272143","5283.668705","7188.671301","3382.58344","5156.601822","5024.349041","5436.004316","11049.46243","3597.123803","5846.097384","5326.420039","5102.812489","3746.141221","3579.282765","7586.746848","3843.632043","9534.26039","13357.15402","11442.92644","12922.50126","6853.98164"
"M187.1212T222.5","187.1212243","222.52399998","4678.308549","4444.629399","4534.221506","4177.6508","4672.429992","4215.453323","5000.762759","5426.688561","8096.20089","4565.07319","5269.498699","4454.865019","5995.725113","5355.14798","5724.924119","4491.750024","5164.61866","5269.764814","7369.693996","6752.350287","4305.714922"
