"","mz","rt","POS_SF.100109.114720","POS_SF.100109.121711","POS_SF.100109.124896","POS_SF.100109.124904","POS_SF.100109.130034","POS_SF.100109.169058","POS_SF.100109.199550","POS_SF.100109.227718","POS_SF.100109.231142","POS_SF.100109.239012","POS_SF.100109.244079","POS_SF.100109.255622","POS_SF.100109.259700","POS_SF.120831.00062","POS_SF.100109.142930","POS_SF.100109.146730","POS_SF.100109.199546","POS_SF.100109.225118","POS_SF.100109.252159","POS_SF.110121.00073","POS_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M470.2476T720.5","470.2476284","720.501","425.394595","568.8714799","478.992843","390.0173907","395.498687","478.9011053","562.9710073","7353.8088","6690.713557","17084.77113","12789.88071","13571.59697","19681.88017","8023.236878","17213.33687","14560.91282","3217.864199","21974.99627","26097.08482","36341.71202","7144.441711"
"M412.3207T764.3","412.3206558","764.2930002","3135.485568","4822.235284","4800.709014","4048.938604","3617.60118","5154.447303","4524.581408","30194.78336","16492.83799","18573.58783","19570.70476","13913.48836","20764.04367","13238.58135","15348.08346","18540.38567","15215.51959","31468.27431","28042.66014","20173.85199","19254.74421"
"M487.2536T722.5","487.2536417","722.5300002","402.2054557","599.9750492","609.5685097","391.5708133","388.573624","616.4760783","669.0392392","9102.502869","8302.787697","24598.78587","16639.19802","18887.10998","27572.77238","9833.529565","23814.67867","20174.64786","3910.744027","29508.3671","36299.56946","51188.69419","8632.196518"
"M496.2607T724.6","496.2607304","724.5589998","87.73172524","200.8627263","142.9222793","216.6328007","75.28825181","147.4774349","218.5119003","2905.609515","3440.013395","11677.63828","7319.564574","8321.722297","13280.8257","3800.053926","9906.418986","9216.608777","1057.296119","11546.83026","15406.62095","25556.88368","3213.880073"
"M473.2451T720.5","473.2450825","720.501","766.0257953","766.2848025","958.6382934","483.7439983","661.61544","1445.442632","1012.081628","8498.346946","7638.946326","22512.64947","14955.72157","16832.03605","25426.20409","9259.909224","21461.96436","19038.00935","4054.016882","26950.57965","32689.08774","47727.83018","7931.213987"
"M70.0648T44","70.06476176","43.971","875.5357102","681.6063459","775.7448615","1027.056649","665.584258","664.6984696","825.9865958","2141.914417","2053.317279","1489.504204","1981.702341","1407.151166","2368.200452","1588.926979","1743.499869","1524.029185","2192.009271","2696.477866","2324.756735","2544.146568","2116.580221"
"M255.1383T730.6","255.1382733","730.6450002","14573.96941","13722.77019","16859.87737","12010.29938","12149.94269","12330.34119","13225.95497","50709.2607","32109.49379","50430.29985","45114.26896","43262.92297","59768.59933","33659.9103","56238.30371","44449.71971","32656.32193","76481.27632","80630.23147","102971.6433","41442.95672"
"M428.2575T292.9","428.2574544","292.86199998","7333.130352","7976.144789","7605.173291","5983.937161","8011.826412","4749.189175","6369.242335","1893.666448","3898.50164","2582.599513","2256.432088","2614.9485","1793.553395","2561.259683","2791.578711","2266.406578","2421.000786","1589.804417","1275.867857","1563.467951","1777.046696"
"M116.0698T44","116.0697793","43.971","1986.953959","1678.654731","1799.770521","2128.095953","1409.405678","1515.867232","1702.018151","5277.897582","4909.667157","3606.51184","4431.348211","2918.185411","4932.723123","3494.557595","3712.683007","3233.065658","5275.78296","6283.619833","5905.552279","5746.286349","4302.837958"
"M360.0608T41.9","360.060759","41.94199998","853.9942419","1248.213361","831.6996464","1642.909203","615.4620288","935.2762827","1159.56731","4800.808493","4870.171479","2450.346806","3545.762199","2114.133706","5856.017753","3429.474148","5285.815314","4108.589375","5029.526334","5798.94018","11714.18136","13157.86323","7606.659187"
"M204.0859T78.6","204.0858566","78.633","784.7651853","628.592784","914.1601388","2386.836768","1022.440556","750.1644301","1605.38816","9913.281846","8370.81452","3131.043826","8430.998846","3725.404031","5226.200398","3014.449382","11522.38252","5915.284654","10395.08421","8170.038685","12488.35446","8564.165085","6176.044367"
"M259.175T106.2","259.1750067","106.194","4237.70378","3662.289714","3497.335682","3764.194944","8754.863066","6355.700489","6218.214054","330.5199942","408.4918416","959.7901019","550.1240443","1724.133248","178.0868574","849.1159545","403.5596486","577.6138183","534.4901531","162.0376351","108.3011993","130.6447726","203.1933637"
"M95.012T54.1","95.01200986","54.11500002","220.383785","490.5334512","324.8732198","956.8768368","267.4311387","184.6229785","375.0469476","5296.722648","2132.907573","1028.724722","3696.320414","1499.150063","5153.115121","2437.770662","4513.049349","2843.050969","2456.876359","3851.753616","5072.014586","5994.581649","3310.861614"
"M445.2389T183.8","445.2388683","183.804","6959.260152","6142.263074","5069.369832","5359.882575","10561.2211","8826.39402","10105.33005","903.8907092","1247.034761","2468.882749","1452.743506","2950.364832","1037.461416","1920.738374","1291.544124","1778.535454","2152.834301","1102.131554","569.993214","873.6351831","1299.168292"
"M351.0878T67.5","351.087789","67.47400002","897.409382","963.1963349","903.1324389","1172.922155","765.2200759","812.5977322","994.1864551","4084.299853","2366.977266","2422.795786","2698.757758","1445.946344","2800.99972","1511.235572","4302.605359","2772.073307","2409.767253","4261.150769","5704.628891","5011.236462","3301.187368"
"M375.1165T169.4","375.1164574","169.431","144.0607322","158.338319","129.8318711","233.2457946","156.4199364","151.9688423","220.6680011","726.6924951","949.241251","241.7630015","602.1132464","247.5052543","399.9582946","436.4389001","1536.845954","5368.652674","1263.918523","7403.370302","7283.428492","994.6330684","3088.00872"
"M489.1161T41.9","489.1161034","41.94199998","3331.103639","10424.96319","2283.538863","19796.20133","2903.553098","8233.572153","7559.238279","73424.50001","91086.28292","29731.76289","48860.4748","26209.93432","110990.1198","62803.13734","84218.19439","68795.17684","70680.95176","91443.08206","237322.4309","197329.3545","148263.2164"
"M120.0646T46","120.0645817","46.00000002","224.9855119","251.4819518","154.0449738","366.5318288","204.2722155","171.4421522","249.8819904","792.9274237","586.0270777","535.6671527","653.0914752","450.3411533","901.0980252","730.7658298","580.9129136","429.5137773","525.4804935","519.3327115","597.057776","539.1379606","427.5473219"
"M112.0498T46","112.0498181","46.00000002","1251.565682","1636.667259","1526.48985","2396.562375","1435.424281","1686.686658","1880.589186","5120.619501","8812.781449","3137.356763","4275.828772","2673.672097","5056.029424","2614.340829","6099.286627","5180.055336","8584.185137","13228.97104","13180.28862","10303.28573","10121.94589"
"M243.0727T169.4","243.0727425","169.431","254.0033345","277.7314775","281.8239565","198.535037","216.1123812","189.2771553","253.1405038","724.0920093","801.706824","336.6630256","550.734859","339.522233","494.9304593","371.6128923","1097.957575","3249.784688","884.2679746","4615.385703","4637.025894","1195.461675","2386.745127"
"M347.0256T53.1","347.0256284","53.10100002","327.8172799","359.8055428","709.9888048","4335.125981","201.5509793","337.0927906","368.5260639","13700.23683","6357.44156","1767.875924","11266.66785","3575.287371","10031.30036","4064.943743","15920.46983","11679.26348","8932.392325","18888.57622","16395.80771","18210.66774","15455.12258"
"M136.062T67.5","136.061973","67.47400002","4839.66771","5224.236285","11517.34799","64764.95783","5131.148911","7617.992358","7519.104435","166293.5976","126876.1179","19677.91745","147203.5912","53971.8912","201904.0749","105328.7784","222493.1649","202814.3686","144672.8959","312506.0907","544058.0766","443248.5847","317336.8686"
"M348.0715T66.5","348.0715365","66.46000002","12980.93301","13489.04941","33525.31237","299678.9342","13354.51107","20720.74437","18582.57888","733413.1103","580037.4739","80784.23266","612086.3806","234686.3088","867242.4995","493538.2319","894779.0775","821756.6456","630573.2742","1295973.401","1966024.199","1892872.064","1279738.295"
"M333.2119T234.7","333.2118719","234.696","14481.32248","6918.320794","7922.903792","8178.012372","19987.16492","11000.25821","7820.079432","1300.971777","2783.510428","2969.787203","2214.723525","3101.226447","2057.171345","3209.959033","3739.755416","2993.342532","2308.091238","1413.089247","1099.345113","1622.143188","1523.930392"
"M331.1327T185.8","331.1327399","185.83300002","914.7368678","917.2699034","713.201776","1067.779924","665.4976799","848.5553609","1086.35967","2504.046137","1761.668484","1615.824242","2105.093832","1586.011907","2450.881956","2025.688481","1960.113084","1512.073418","1787.337312","1657.41441","1170.150304","1709.89628","1392.527717"
"M260.1955T161.3","260.1954717","161.31499998","1634.822588","1099.823337","1574.215341","1351.262999","1861.938815","1373.505339","1249.255539","338.2987954","427.0015363","651.5662536","546.4678847","764.5995188","427.0841441","737.0990833","475.3662052","601.2360053","411.3518847","647.5264155","440.3887824","716.2172621","590.6595332"
"M346.1245T92","346.1244655","91.992","558.0029418","508.8429638","531.3899063","611.4191292","540.2763627","586.6012327","567.2471508","1572.910823","1078.798564","1137.526089","759.6464429","664.282515","991.9387081","797.4861193","2863.494138","1638.118107","1809.62278","2717.117327","7516.087258","2995.437418","1981.394961"
"M305.1708T148","305.1708327","147.95599998","2347.268604","2071.279803","2361.709739","1679.781374","3995.110252","2090.047031","3225.631784","534.5079284","885.7075638","935.0898389","651.0507664","1112.190595","370.4822667","836.1017236","884.2369791","955.0291598","796.5130024","576.3004929","507.6528841","555.9010447","620.1408253"
"M184.0736T37.9","184.0736433","37.88500002","12909.19083","16335.51857","16034.59266","19819.62056","14551.23018","12640.24156","19693.69523","167868.6563","324197.7121","53967.09166","130624.5313","28573.30801","79246.76213","116508.7689","99961.53336","113398.272","226189.9343","340756.2049","564113.4844","299774.2694","207606.3612"
"M199.0209T54.1","199.0208976","54.11500002","114.4275741","535.3004043","127.4863375","761.8683786","161.7365121","124.9467793","254.5595642","7109.360118","1795.656655","1093.182636","2712.233542","1897.622167","3965.215122","2103.392445","5040.362064","2142.637627","1891.046634","2694.266547","3199.839372","3617.141037","1854.432706"
"M129.0173T54.1","129.01729","54.11500002","51.14338051","384.0198141","72.82673138","792.1511217","112.1463553","48.12520021","200.6001818","5559.048525","1943.717823","922.7590367","3474.13903","1396.79721","4949.78469","2426.120168","4217.456543","2567.607297","1952.126787","3292.159131","4804.310366","5359.861442","2728.776076"
"M367.151T185.8","367.1510119","185.83300002","19920.35194","21752.32625","14176.0958","24343.54051","13508.61411","18471.97574","23193.62081","69973.97181","44949.36169","37835.05243","53908.95237","39030.26937","71498.64026","54505.38831","51335.7908","32626.5335","40578.99314","43209.49661","30825.65479","39021.91883","36024.93796"
"M203.0796T146.9","203.0796143","146.94199998","3913.325137","4872.125611","4406.141983","5007.86601","4594.573894","4475.939698","4773.059716","23343.27411","10106.31287","13785.97305","10847.55706","7808.572239","22202.43518","11584.66029","8911.958923","12417.53452","13413.94972","13749.1765","17538.98679","14227.3795","14687.87723"
"M196.0118T54.1","196.0118074","54.11500002","1058.36944","1474.223465","840.5229683","2321.115496","733.7145213","823.3136083","1022.725772","19590.84986","5901.399922","2533.569035","12038.31147","4700.468726","18548.46173","8431.600199","16326.93254","8579.266431","6017.914832","10245.36173","12840.96163","22157.12406","9226.912667"
"M203.1496T43","203.1496043","42.957","1355.288083","905.8233622","939.3262787","2359.658607","754.3732257","1080.18527","1180.265094","4556.25224","7015.911303","3224.401051","9246.166699","2772.132859","7382.178852","2411.57765","5153.834678","4641.182992","5811.050928","7760.936161","8939.5117","5664.96544","6724.345661"
"M234.1428T234.7","234.1427876","234.696","2146.598553","1063.530099","1204.859831","1294.612812","2797.875527","1608.123139","1273.739187","571.1877227","478.1706215","654.9896812","545.5762155","619.352233","484.5610171","608.4504823","635.9940227","647.8182914","484.7662928","489.4442821","478.4647745","801.3613493","372.7797049"
"M329.5241T70.5","329.5240517","70.51699998","1962.900831","1108.065755","1482.05307","1570.624481","2772.746973","1843.089693","1553.799137","60.14908066","115.7618288","296.3772206","130.4948696","622.92769","232.3764428","442.0058856","303.261727","323.3498823","132.551292","121.8946963","171.7403002","86.23430474","150.4599635"
"M326.849T224.6","326.848995","224.55199998","1188.834696","1960.404423","2583.133628","710.3093206","1296.280987","2748.572318","2810.655177","104.7778304","153.0235342","388.4789808","219.9096723","416.3204627","117.8274924","270.3670001","440.8283382","314.4523816","461.4418873","158.0633968","117.8400862","190.5285979","151.8847458"
"M330.9983T54.1","330.9982532","54.11500002","327.2686472","355.3086217","489.9695827","563.8009989","282.382386","304.8282001","314.3668004","3772.595339","1187.904475","769.485377","2263.555367","1104.289236","3448.557617","1676.847105","3020.880735","1618.419014","1348.320015","2413.126492","3639.534249","4230.160163","1907.616573"
"M368.2163T211.4","368.2163251","211.365","7198.03099","5880.750651","6995.116756","3174.139099","11721.25354","6068.006489","10201.12237","882.5051615","1373.231229","2153.733354","1550.492504","2525.154069","1077.429152","1811.310297","1513.870169","1831.574428","2413.140031","1109.965714","539.8964528","780.4021528","1284.253348"
"M303.1691T207.1","303.1691351","207.13600002","6864.835862","7532.909481","4763.267519","7103.084411","12946.00699","6882.508758","13591.97206","1735.381127","2613.307369","3136.848237","2864.851779","3893.651474","2477.202276","3072.866573","3098.683853","3263.023836","3325.440244","2344.855475","1739.754814","1945.900981","2247.538065"
"M317.2172T296.9","317.217192","296.919","6095.821865","2911.139725","5547.775553","3184.219795","12525.00691","3974.822957","4658.875088","384.8485329","600.0084022","1445.278023","634.8698712","1867.516345","563.9443476","1026.304894","1432.765513","1385.323183","826.0336365","532.3579187","400.7209539","685.5244098","655.5268385"
"M364.0652T73.6","364.0652446","73.56100002","1113.088968","1123.896873","1822.364662","20924.72297","959.0546042","997.3074035","1045.166741","29424.51606","39997.93314","5889.313518","25910.60116","10115.57974","40700.27304","23932.61945","27584.79071","35476.03546","28978.94929","74294.3282","51310.54633","97546.04873","46160.61728"
"M406.991T54.1","406.9909593","54.11500002","415.3048326","463.2533829","469.5960501","751.2099976","328.3385789","319.2128263","374.3974331","6577.877434","1689.917671","984.2939621","3561.189411","1415.156354","5679.599671","2501.380129","5291.759749","2640.657132","1945.608469","2849.228186","3004.412042","7012.34672","2257.59977"
"M298.0973T281.7","298.0973383","281.703","1150.171026","1767.141604","1016.880355","1821.823977","1209.649347","1494.023801","1551.264422","7666.882648","20036.73995","4059.789912","9931.220776","3713.923113","7357.68193","1321.678556","14214.73444","11955.5303","9570.212319","17361.66442","50968.0666","30597.68832","22988.51776"
"M86.096T37.9","86.09599519","37.88500002","628.1695233","654.7441975","900.7830501","732.5898981","736.4348188","538.6942936","863.7374649","5829.170312","12509.13908","1922.563398","4820.004668","1037.829025","2877.655119","4246.571047","3711.487181","4127.155436","8059.144406","12284.55932","22327.96507","10206.50769","7687.669989"
"M401.9988T67.5","401.9987765","67.47400002","439.7340075","297.7944694","941.2573538","2700.623154","341.6787188","372.65121","364.9031408","4402.814826","3042.210681","1379.544168","2646.708948","1717.59777","3677.463083","2303.169882","3933.200484","4042.070376","4423.124735","6780.714104","5973.365457","12565.7177","4636.657508"
"M143.117T81.7","143.1169846","81.67600002","868.5035013","623.8639104","977.9425906","1115.906368","1255.254085","826.7483449","771.5694537","102.4445881","180.3408137","306.4294223","197.9112985","410.9607623","168.443695","431.3377428","258.4858277","356.1497999","213.767195","186.8745733","106.8977262","242.1930927","156.604217"
"M97.0277T186.8","97.02769058","186.84700002","243.0659115","212.752909","398.0661069","386.6783392","226.4795383","190.9711422","284.7288118","1714.565844","637.1044666","428.3462509","1192.130748","491.4011702","1112.416613","676.9325569","1003.121605","871.9654966","1266.518367","2042.000066","3366.816643","2247.204214","1606.705656"
"M193.067T138.8","193.066968","138.82600002","532.4113589","474.097219","379.6493499","412.5494702","350.4386427","463.4500589","411.2915961","1073.783856","1010.09935","773.1112044","1045.952953","520.0047906","978.0122429","874.6752499","972.6465826","704.7884601","1081.048223","1262.932843","1965.868512","1172.448315","1080.898981"
"M258.1446T155.2","258.144574","155.229","3822.059602","4200.883548","3374.270988","3226.046751","4803.376994","4230.649093","4607.615006","1928.53518","2792.599117","2556.037872","2279.335869","2821.243851","1882.221336","2597.11058","2426.962612","2594.549383","2081.684514","2559.814461","2437.605752","1971.390363","1813.617016"
"M199.1384T782.7","199.1383637","782.724","58.65324102","58.81668616","58.66952828","64.83060662","52.55954407","35.16265558","67.98140949","215.2480629","121.1372856","227.7333652","211.721024","244.750523","243.7450761","105.616252","274.0047756","240.8152699","144.8457362","349.5309975","402.3743493","611.3388791","126.2935869"
"M314.6751T148","314.6751076","147.95599998","3098.803794","2707.164053","2335.173284","2833.432437","4755.838519","2906.643342","4313.066274","278.0450576","935.2877881","953.1334416","1032.2489","1425.623434","713.6651701","1354.311172","949.6959462","1149.98834","820.3089781","419.0832226","419.573769","429.3923901","486.0009672"
"M424.195T241","424.1950389","240.95500002","885.2177057","1117.553891","779.3836296","1929.045261","1174.471009","861.2398466","657.3028461","3159.476112","4561.534874","1707.44537","4884.71653","2436.770717","8381.6549","6477.316804","3240.276551","4820.574484","6004.661321","6723.011814","3548.913981","5023.597815","3627.672075"
"M133.0607T149","133.0606903","148.96999998","197.9439824","289.7601752","245.4117165","404.6144707","186.6020571","237.0087859","264.9070881","766.7077186","1138.012755","468.6438549","905.1101575","476.1586283","1150.966247","864.8023131","452.0960045","911.7776949","943.1013448","1508.256618","1940.088893","1142.844689","1032.759881"
"M486.2816T184.8","486.2815921","184.81900002","7431.654942","3690.953624","7313.696388","8291.164097","11303.37506","4374.090631","6322.813916","665.0657446","2759.959013","1742.800076","1635.202088","1940.680204","1281.454935","2198.615188","1079.286963","1820.066505","1362.651716","680.9577102","200.111913","1117.049371","743.36749"
"M298.092T37.9","298.0920151","37.88500002","50.84296104","69.90807988","43.33560971","131.4691385","55.17543423","73.17938495","78.95227821","492.58452","1936.955644","175.0850963","869.4344531","175.7882418","1899.941811","619.4939345","1183.619513","583.2075194","582.3965241","622.2975342","4015.203772","965.7743072","1529.936264"
"M273.0603T220.5","273.0603462","220.49500002","41.97050608","163.1340126","48.65497867","189.5901378","16.17981129","86.6839432","29.35887331","1450.963697","2590.454234","829.8898267","878.322844","306.4252562","1105.921244","743.0299466","990.9642677","345.2663671","666.7320571","289.2159108","2194.021397","2320.630291","869.0960174"
"M475.2626T45","475.2625763","44.985","2683.173232","1870.95774","2194.78166","2383.391964","6110.943062","2407.583567","2743.959477","361.8678903","1003.463092","872.5937533","710.0725771","1112.604312","393.6248361","970.7754147","846.4739869","983.8885803","555.1322302","311.3595232","188.9950269","397.4541655","305.6248426"
"M244.1645T288.8","244.1644565","288.804","8099.370821","5754.302896","23610.79882","7600.044055","16244.49864","10331.66556","6735.294841","3424.670708","5592.146321","3352.557053","2899.116854","3807.767997","2108.050368","3014.938041","2075.117543","4766.342025","2157.353272","2166.228196","2068.059388","2304.373589","1867.965339"
"M170.0647T138.8","170.0646615","138.82600002","6770.079745","5678.907666","4678.887805","5056.165594","3999.913557","6023.446731","4977.890947","15643.71853","13370.56564","9998.228985","14191.02626","6573.488907","12893.09111","12141.03246","12097.19793","8758.088864","14307.89128","15832.01271","27572.73511","16825.36871","14306.42024"
"M345.2214T168.4","345.2213551","168.41599998","5428.314038","4350.391481","3337.394912","2744.455654","8801.158394","3936.813808","4744.252683","707.8017788","1201.857379","1605.786014","1226.775023","2244.803","875.3917378","1269.404685","1747.120791","1349.34112","1190.372368","621.1456242","312.8309008","610.4875775","881.8927479"
"M364.5315T167.4","364.5315293","167.40199998","2353.256247","2001.112212","4897.275053","1543.280399","2665.902168","3182.428158","1809.547925","831.1151383","993.7428685","1019.706989","743.0385804","1169.624847","475.388907","800.0700847","663.533492","1390.840915","725.0070583","688.0039203","374.8128507","571.6187077","515.5125178"
"M88.0211T138.8","88.0210638","138.82600002","513.5096865","413.4724555","380.902852","409.34001","331.200193","426.8965477","397.7075126","1182.411356","976.2739473","738.1832848","1059.5757","496.982872","911.6829725","831.3442476","890.9237421","657.9387499","1079.779884","1153.902757","1934.323257","1240.479813","958.2282198"
"M131.0483T196","131.0483053","195.97699998","2785.662168","2880.708513","2708.481043","2720.640289","2101.604853","2643.595276","2527.200364","5329.12375","4059.553119","3710.392001","3930.781755","3170.267776","4451.518952","3374.180147","4176.712572","3637.794193","4292.64625","5229.530549","5472.447343","5721.923372","3980.156845"
"M238.0383T46","238.0382739","46.00000002","689.859097","621.0100804","643.8956802","744.2912565","493.1010066","575.1009874","721.5216219","3439.362003","2100.912422","1404.955703","1762.83676","929.5555471","1828.286651","939.7978109","1773.701416","1754.961033","1881.134741","4240.318716","2728.781311","2531.97527","1747.825909"
"M134.0264T138.8","134.0264279","138.82600002","650.657847","564.1334674","492.8929769","518.4794231","429.0479948","597.7697788","511.5009212","1628.433488","1685.43708","1027.504344","1415.011045","664.5140507","1402.943847","1178.459734","1173.097065","982.4420288","1484.371441","1733.309779","3218.949942","1854.756289","1507.42105"
"M170.5655T138.8","170.5655011","138.82600002","1143.107082","933.6573157","749.1954659","870.3317362","676.269991","1015.750968","838.0192096","2597.730452","2163.14111","1643.568542","2400.671229","1080.400344","2089.29947","1955.929915","2039.029248","1459.73815","2367.83585","2604.994566","4535.260219","2730.205483","2362.305564"
"M202.0855T185.8","202.0854763","185.83300002","1455.552195","1477.906736","1632.365116","2246.143907","1492.549914","1289.866786","1790.759226","5007.361282","4279.622413","2549.840309","6185.492686","2578.291775","5315.621076","4042.734032","3767.631976","3685.853322","4219.284095","6900.654978","12669.13696","6002.131097","5440.747707"
"M497.2054T185.8","497.2054186","185.83300002","226.9995812","239.8169508","263.9921434","452.3090508","197.3619831","204.4688956","176.868814","1427.450329","1294.097753","448.5382659","1671.119655","509.5543179","1869.029161","867.7910832","765.3457551","1036.466491","1095.441588","2723.935639","4692.445045","1402.493907","2032.877094"
"M385.1299T138.8","385.129863","138.82600002","15334.36764","12085.94674","10805.63081","11521.1745","8892.698355","13503.58567","10735.35945","38746.31421","35686.17562","22898.50324","35489.29302","14854.18112","31087.54485","29911.9484","27065.4896","21572.63324","33993.46363","39984.88113","77153.96428","39895.17711","37733.24796"
"M332.0753T96","332.0753467","96.04999998","167.554065","177.7493016","124.6340345","531.7193143","54.25912506","207.7468793","405.4816433","1174.839027","612.4000045","507.3629664","1233.454313","641.5344404","748.2604063","234.6935117","648.1542194","2841.804504","2805.381125","6599.754761","12578.01213","3037.45176","3081.935402"
"M426.9917T44","426.991658","43.971","1836.057505","1714.834193","1917.394609","1682.914131","1893.42387","1864.318453","2709.164783","10385.03111","6108.146447","2503.272805","7101.045579","3971.474583","6419.812046","2736.666773","7081.898252","5055.398495","7336.588263","9428.050367","15158.94081","6226.142543","7812.156363"
"M470.8454T260.2","470.8454364","260.229","41.48902052","33.60184912","28.9728552","411.7935119","27.0666447","32.32617047","26.05040499","287.4994994","1778.617979","221.3763969","2875.137185","349.9397888","3502.941315","1520.225498","311.2592233","1324.794223","1255.855548","2036.579244","1545.361912","1046.258025","796.2327945"
"M219.1738T730.6","219.1738044","730.6450002","1093.0453","722.3076233","928.61345","831.4671983","597.7290515","611.4491999","560.0116196","3353.404668","1330.062614","7938.252563","2277.471629","2475.596391","11157.86272","3253.228612","5347.864626","6290.171779","2470.337245","12331.2486","10069.48441","11362.57443","3046.862755"
"M284.0279T54.1","284.0279308","54.11500002","876.1355629","789.2682755","779.1544598","1014.451856","783.3345088","832.6112779","911.7116596","5884.972717","2414.662645","1570.23194","3604.644502","1646.664937","5357.376331","3239.692623","4879.914206","2634.404332","1849.863523","2939.237731","4019.658477","6714.382596","2372.389436"
"M444.2703T192.9","444.2703336","192.93400002","4534.311726","3977.102997","4541.371884","5298.248818","6617.045165","5059.176514","4227.301574","808.7190263","936.6176049","1781.188556","893.4562058","2824.635904","642.7059899","1317.673314","2068.654612","2013.72325","1463.391581","860.4934286","475.7378231","608.9901637","948.6998946"
"M291.1286T38.9","291.1286306","38.89900002","1052.901105","1274.707812","1154.620936","2185.340706","1167.632672","1183.417499","1466.843607","5586.506876","7770.374996","2994.404143","7336.93142","2382.761983","4877.383164","3179.955036","3617.229662","2350.292799","2995.870501","3085.277941","4425.870365","5157.365004","2933.671594"
"M499.5729T244","499.5728562","243.99799998","346.6326136","248.8133932","110.851848","1260.27604","176.0973114","192.7212463","372.6760448","1543.886046","2604.291528","950.3749258","3028.166179","1086.981318","3278.296124","2201.831782","1074.131395","1773.95953","2083.338791","5572.487668","2478.490687","1744.910719","2328.942742"
"M284.0815T138.8","284.0815166","138.82600002","3170.243815","2490.64632","2119.482093","2531.15793","2022.902828","2623.605245","2307.364236","6787.821632","6264.451268","4375.505679","6841.552963","2947.976262","5688.243928","5474.630529","5284.605241","4002.215413","6261.391754","7056.151323","12698.55392","7265.139226","6269.550795"
"M206.0547T36.9","206.0547286","36.87","867.4201498","878.1419183","834.120367","1103.28229","898.8104134","663.4204007","1326.702813","6511.585344","17823.6651","2380.960159","4285.101245","1334.342096","2281.208361","4558.625438","3765.910172","5059.918443","5459.621548","7110.913541","8138.013176","9179.087434","6465.404718"
"M375.7025T156.2","375.7025383","156.243","166.4500886","355.0851582","71.4295501","1347.099241","315.0959242","69.98941967","336.5296839","1300.570165","2974.209469","1310.820045","4808.360545","1449.429836","2261.820169","3662.434174","3341.786523","4287.524656","5035.399549","6325.348975","891.6590757","2078.728101","4722.982525"
"M357.2455T288.8","357.2455365","288.804","3621.600328","2606.527264","10401.11241","3615.142642","7142.609774","4626.826313","3233.424764","1158.300968","2308.189724","1511.075312","1240.844158","1945.514999","851.0015701","1470.983066","1007.485253","2356.192224","911.7197482","688.5674938","384.8947111","804.3456536","902.42586"
"M450.451T198","450.4510102","198.006","0","127.0733318","0","192.3788151","0","17.34437733","51.61624778","1015.75517","1314.947276","222.1040867","994.7252171","370.5731525","1922.171045","1360.720055","603.0712644","1733.102135","3171.594937","6895.522103","6929.697796","3054.225569","2239.403887"
"M431.2344T176.5","431.2343906","176.53099998","14928.31148","12868.21987","9738.521504","13378.60934","20935.24728","14092.99527","16855.16343","4571.275104","8580.884143","8166.651901","8530.415304","9810.187089","4951.10028","9888.720144","5819.943187","6914.244636","6068.340926","4014.655907","3164.074315","3037.559108","6283.735668"
"M134.0313T46","134.0312501","46.00000002","638.6605917","676.0086162","728.3574826","789.1082034","585.8753162","652.1576961","640.9268019","1786.710298","1491.810612","1173.966686","2752.338704","962.820756","1312.857886","885.4086119","1568.721155","1248.872715","1553.781614","3438.433673","2533.972386","2145.192972","2386.638433"
"M402.2658T162.3","402.2658343","162.33","2695.812946","2166.842483","3108.72761","3930.374399","7212.216341","2605.122664","3365.035247","424.4094703","1184.940508","1171.344916","1081.868317","1661.171973","628.6290748","1680.055364","1051.510961","1360.565995","874.0026691","465.3228524","390.8631592","402.4906336","662.8709603"
"M399.144T37.9","399.1440096","37.88500002","768.476313","856.3966481","734.2016103","1190.341572","762.5837938","838.4914221","906.7777676","3193.458555","9343.875006","1467.462466","4140.963488","1363.765726","8712.161619","3077.877212","5235.633907","3257.153265","3534.14262","3251.758314","10340.64032","5859.934775","6631.082754"
"M118.0646T196","118.0646171","195.97699998","1254.227454","1345.522168","1258.164609","1327.948088","999.1118203","1380.810917","1195.04687","2408.75093","2225.370607","1638.148125","2138.340651","1373.017786","2417.427444","1704.391305","1836.37868","2079.670488","2019.806144","3120.545421","3182.39271","2564.888949","2174.774992"
"M241.0788T78.6","241.0787648","78.633","433.0187859","508.4845861","331.2582011","663.5457069","340.6321944","375.3002082","397.9402675","2466.235187","1837.522843","1169.156638","742.2158385","923.9819864","2568.586949","2012.745466","5023.147055","1527.358552","1075.09421","1387.132905","2913.699642","6580.063286","2336.03127"
"M95.0488T102.1","95.04879792","102.13600002","3288.758043","3340.583647","2923.932954","3379.328428","2291.433484","2547.798764","2717.718049","5924.39748","5830.721088","3937.211272","4631.581558","3136.495267","5403.326467","3996.784018","4816.983199","4377.661531","5017.09422","6182.112006","6165.561161","6053.158951","4895.73103"
