"","mz","rt","NEG_SF.100109.114720","NEG_SF.100109.121711","NEG_SF.100109.124896","NEG_SF.100109.124904","NEG_SF.100109.130034","NEG_SF.100109.169058","NEG_SF.100109.199550","NEG_SF.100109.231142","NEG_SF.100109.244079","NEG_SF.100109.227718","NEG_SF.120831.00062","NEG_SF.100109.255622","NEG_SF.100109.239012","NEG_SF.100109.259700","NEG_SF.100109.142930","NEG_SF.100109.146730","NEG_SF.100109.199546","NEG_SF.100109.225118","NEG_SF.100109.252159","NEG_SF.110121.00073","NEG_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M376.0646T166.4","376.0646178","166.39900002","31.980251","32.28298537","34.41557577","124.3974612","25.87736887","38.04521085","50.64237332","487.1061668","456.0404762","420.9646711","303.9131826","146.7816397","231.6798767","475.5327037","300.9365692","344.2406813","384.4294009","770.8876174","1131.487342","698.7979132","626.9991266"
"M628.0557T80.7","628.0557247","80.66200002","12987.81246","16503.48042","15692.42307","24690.09995","14743.1377","16448.08355","23117.06047","66389.93398","65651.52535","58309.81396","35258.03215","38455.08179","32672.54068","46757.05862","85265.37186","47757.51748","84941.05931","79137.99063","119758.7693","76521.23554","66579.81415"
"M658.9853T78.6","658.9853131","78.633","4217.482128","5052.405628","5261.3544","7522.991651","4375.839062","5311.307295","7591.799092","17900.70746","18041.08287","16990.38576","9505.5045","12085.50813","9650.365394","13428.66759","25665.52068","14199.29617","25916.46165","22899.29412","29899.11725","23363.8226","18010.84247"
"M812.0411T76.6","812.0411019","76.60399998","335.2357708","490.6589507","340.8149238","574.9797325","239.5115989","477.1070856","655.5910976","1626.42088","1175.615556","901.3598149","951.3156877","991.4311347","840.632431","1115.801234","1971.98544","1296.640453","1724.383361","2791.381731","3155.638402","2474.732377","2098.168298"
"M428.0258T43","428.0258139","42.957","595.9805792","1707.942163","632.9293217","2861.210839","491.5100683","1484.32829","1375.865595","11613.57432","6953.431548","9111.852064","8836.710378","4397.114162","5249.063707","14129.09374","14033.7141","10598.94418","11164.23484","18959.21571","45554.94648","32159.07723","24602.34704"
"M628.0558T45","628.0558099","44.985","16695.47715","22137.69514","22606.03458","28873.17101","20909.84481","26024.49398","38305.96899","130165.9651","109251.3573","115164.8413","43504.6849","74417.15313","51010.6218","75196.98373","155454.362","81631.94881","119108.8419","111275.7597","126357.1312","111546.1691","111404.771"
"M644.0277T44","644.0277438","43.971","6801.873239","8076.483182","9493.488189","11943.79999","7928.541546","9799.200738","12752.41083","56916.91427","68521.77795","47036.14439","22330.81727","24560.02071","18945.337","48626.41239","64370.74504","47428.94253","60086.43001","92506.84308","175861.3556","67304.62689","107096.9336"
"M751.093T37.9","751.093007","37.88500002","93.66659676","136.334927","88.01306205","138.691589","119.6313502","115.8863664","144.0629725","426.440149","401.1019861","571.4670691","401.7081428","270.0714829","272.3566548","358.2720221","387.0669708","354.9858432","1027.35845","1202.488966","741.5357784","1019.046969","563.7364341"
"M271.0594T37.9","271.0594126","37.88500002","13.48258732","22.83294059","28.4507072","79.25778506","11.28391136","13.65803897","47.95293928","295.2306223","341.0742567","389.577807","307.5052097","143.1089538","281.3812894","611.9309595","192.1209235","298.3494905","371.1433741","957.3604855","1170.55721","770.4113086","475.8522035"
"M658.9863T126.7","658.9863115","126.654","1193.479719","1592.8393","2518.392023","3296.73578","1618.959397","2074.359118","2985.732943","9160.67792","10358.05025","9763.920692","5265.002627","5477.257164","4103.354518","7920.760306","10697.85646","7430.21937","11417.31701","11441.09097","18306.44845","11431.48868","10739.18889"
