"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M96.9601T243.5","96.96007","243.48556","61190.25","40019.27","41333.51","50619.51","16117.6","32546.7","37530.34","37359.06","29134.75","29368.25","144184.5","86709.34","126692.8","90774.22","96727.86","70646.61","64061.7783","52976.81","67047.85","59982.22"
"M96.9608T23.1","96.96078","23.10914","27708.89","26748.83","29130.38","28429.21","34523.41","29301.56","29083.87","28714.02","30673.24","28439.61","10605.33","11175.53","13905.99","13198.4","10801.02","16855.91","6415.6022","14557.66","24643.84","15935.97"
"M111.0093T37.9","111.00933","37.90497","14245.08","10765.75","9282.639","8600.985","8419.297","8672.541","11229.14","11056.2","7738.041","9134.519","40129.25","15582.98","12769.84","21263.51","7787.321","26864.15","26350.3172","37817.84","14073.28","10351.85"
"M114.9889T20.6","114.98889","20.61627","2362.055","1781.269","1555.243","1203.168","820.0118","1949.525","1707.199","1666.701","1407.161","1913.262","1787.895","1354.979","1757.874","1799.57","1635.974","2021.359","1262.452","2159.516","1697.693","973.9059"
"M115.0041T29.1","115.00407","29.08535","8099.269","6819.095","7024.124","8004.577","5609.153","6449.937","7512.858","10497.53","6306.17","6120.077","17951.75","14809.56","15507.05","14950.05","13261.5","20793.74","16012.9647","15727.17","13619.18","11142.6"
"M116.0714T376.1","116.07143","376.12222","11762.35","11902.95","12390.93","11402.84","11580.93","11697.41","11504.7","11723.99","12161.97","11033.47","11546.64","12389.86","11489.82","10261.93","11583.19","11937.18","11898.6114","11157.13","12234.53","12146.85"
"M117.0196T43.5","117.01959","43.49884","3982.798","4684.858","3068.659","2139.069","1545.269","1876.193","2160.747","3537.752","1746.36","1723.969","7689.822","8029.607","8376.457","7515.724","7757.047","6242.581","4788.8061","7732.757","6487.461","5817.225"
"M121.0293T283","121.02928","283.03209","3425.485","5772.725","4568.532","4067.692","1761.622","2351.94","3795.132","3235.607","4762.856","4007.763","7964.43","4395.008","2984.193","2254.577","2558.424","11801.27","12110.719","13294.1","10464.91","10068.09"
"M121.0294T206.8","121.02939","206.79353","2764.254","3964.793","3802.923","3649.369","2130.152","2335.8","2971.421","3014.892","2218.109","1979.832","10330.55","4989.534","5151.693","3081.518","6380.271","25932.4","22164.512","25380.58","14906.09","11412.33"
"M122.0246T53.4","122.02456","53.39552","34017.51","22568.96","21958.91","27114.88","13573.72","19985.81","19645.82","18102.98","11888.69","15601.04","7193.365","4424.385","5468.652","10196.14","3108.894","9399.516","2674.348","7522.076","3939.757","2638.899"
"M127.0013T234.8","127.00126","234.78221","2448.958","3239.697","2146.13","2572.761","2422.877","1436.802","1327.061","1484.291","1595.259","1934.553","385.8711","2170.883","1137.463","1191.897","2035.045","1508.132","1096.717","1273.675","1064.706","789.5469"
"M127.0009T290.4","127.00091","290.36368","600.264","383.571","409.5134","392.0666","297.4642","375.8658","302.4391","365.1277","272.7621","293.5152","1811.023","2978.417","4898.625","624.4957","2979.361","770.9364","925.0223","1455.207","1182.975","2476.571"
"M128.0353T38.7","128.03534","38.70077","4145.156","4349.909","4453.215","2881.628","2963.637","4443.164","2397.342","1950.647","2844.251","2083.437","5477.742","5841.569","5864.997","8163.223","6803.141","3030.795","3979.9547","2576.172","4201.721","5481.698"
"M128.9596T22.6","128.95962","22.63291","3833.663","4076.354","3584.95","3946.341","6652.296","4473.63","4414.697","3791.819","5398.835","5189.712","3671.088","3289.932","3007.07","2266.711","3265.986","4682.673","3795.9277","4470.334","3937.588","4048.734"
"M130.0872T216.6","130.08718","216.55219","34943.41","23852.22","28915.62","34076.99","11311.26","19869.26","24051.37","23988.9","16629.06","17354.67","21498.24","11761.33","15651.39","15947.84","15923.35","13755.1","15079.6321","11919.4","13806.07","12215.54"
"M131.0458T23.8","131.0458","23.79961","1512.039","1154.936","1149.995","1398.372","1371.505","1032.042","1017.655","781.724","566.8055","1074.199","4589.61","3720.458","5790.693","3592.135","3871.464","2343.162","3940.9415","3337.901","4541.783","5367.878"
"M132.046T169.5","132.04598","169.49542","101.7314","111.6986","82.03876","86.69886","43.69088","76.04836","95.02714","94.69593","129.6749","52.02823","6745.371","4732.901","6226.045","810.5838","4255.178","2802.179","5838.1749","1294.88","4534.874","5274.98"
"M133.0146T28.9","133.01458","28.92913","21803.99","18393.91","17213.91","18926.96","15341.75","14783.98","18342.42","18550.03","15371.73","15708.72","36867.71","33830.66","35828.17","31697.24","27884.07","29286.43","33623.6512","33407.44","29496.83","28133.89"
"M133.0146T34.9","133.01461","34.91997","17785.57","13679.25","14041.6","15876.19","7291.229","11125.27","13491.66","13955.5","11454.77","10927.67","30416.61","20842.66","26786.4","22992.18","18501.14","18435.29","20893.1869","25826.54","20487.48","12603.93"
"M133.0493T39.4","133.04931","39.37332","3933.508","2978.78","2644.666","1991.569","1363.336","1930.463","2848.814","2823.423","2229.944","2376.05","9435.547","14866.16","11708.23","6680.667","5534.167","7400.087","4341.876","7735.126","9348.756","6814.078"
"M135.0453T176.5","135.04527","176.51838","3831.915","2102.087","3148.296","3236.951","1145.769","1728.323","1986.85","1756.635","1282.898","1323.328","25468.67","14929.41","24074.45","22657.81","21677.87","8975.409","11517.0211","10863.24","12716.22","10392.66"
"M137.0241T190.1","137.0241","190.05019","4389.69","4688.315","3330.944","3564.952","1417.283","2380.319","2620.64","3346.171","2082.45","2198.732","1961.274","1212.273","2692.606","3942.455","2502.849","5817.467","5298.648","6853.583","3406.88","2735.608"
"M137.0241T68.8","137.0241","68.84511","5037.132","3317.997","4447.004","4606.969","1652.357","1286.965","3704.583","3486.039","2947.26","2894.64","9796.456","6622.753","8399.864","13055.84","6830.92","11696.18","8901.3812","13280.49","9120.678","7186.535"
"M137.0246T172.3","137.02462","172.34781","2245.218","1054.236","1796.865","1728.551","607.934","693.2051","1020.115","938.7462","512.8922","536.3902","11919.24","7030.144","10461.77","6193.169","5913.622","8857.426","9540.5684","7615.648","9112.036","9348.67"
"M139.1122T445","139.11215","445.0124","7321.553","3249.316","2455.562","4340.86","996.7228","3744.518","4390.207","4278.472","691.9936","1267.806","2607.616","1564.072","2137.502","1034.102","833.1901","2488.406","2066.6476","1281.939","2202.296","2018.039"
"M145.0615T23.9","145.06151","23.88489","5036.597","3636.958","5157.97","3975.463","4754.837","2921.74","3233.184","3147.702","2780.744","3087.26","10810","11671.33","8608.298","9981.683","12266.75","4399.852","7097.1498","8504.429","7868.379","8045.148"
"M147.0662T58.5","147.06623","58.46098","993.2424","799.6904","657.0169","950.6501","260.4548","569.6635","602.7228","250.4576","477.8673","482.4941","23759.87","18459.15","16481.16","12329.16","10066.91","15409.63","12980.6933","15098.71","13444.1","10953.47"
"M148.0159T271.4","148.01587","271.37565","147.7535","135.3843","99.70419","144.7364","104.0392","88.69066","70.34492","96.3696","123.7263","73.04294","1097.816","1344.672","1116.291","368.0836","1564.752","518.1554","1377.5705","969.1339","642.075","994.6248"
"M149.0458T147.4","149.04577","147.36476","2257.889","2636.753","1473.363","2595.893","935.9941","1917.062","2349.661","1982.566","1425.163","1340.548","2074.811","1214.201","1561.847","620.1771","985.6993","1529.133","767.9737","1283.367","1623.016","1136.602"
"M149.0588T328.2","149.0588","328.19653","259.7919","196.053","219.4159","148.0871","85.05","209.79","194.4476","204.7437","127.3678","137.4141","1078.344","1304","1120.14","834.2136","992.8652","421.0032","1002.2711","777.272","831.7343","726.1097"
"M151.0394T271.6","151.03943","271.62853","1276","809.6166","910.2684","861.84","469.9015","984.7987","1094.915","1081.756","1040.91","813.1173","1068.214","1590.825","2176.229","1645.803","1708.52","869.13","1154.8412","963.1067","1047.774","916.0995"
"M153.0551T282.5","153.05515","282.51525","2117.576","1134.359","1947.365","1643.87","353.9098","998.3792","738.5443","899.4457","820.1257","1105.132","4750.607","4382.002","6174.954","5861.978","5639.574","1113.472","2599.2281","1812.032","3106.817","2378.26"
"M158.9784T20.8","158.97839","20.80022","7546.26","6615.243","6495.464","6256.167","3742.515","6762.733","6122.498","5691.882","6446.449","6557.297","5548.44","6339.384","5564.237","6018.501","5726.879","6260.315","5576.2164","6639.986","4167.323","3550.909"
"M159.98T20.8","159.98001","20.80022","999.4656","1119.769","965.7336","1024.991","580.9614","1252.438","756.818","1084.104","1158.049","966.2347","728.9463","810.7385","735.0943","778.5557","1052.371","1105.561","1059.3945","792.8014","571.514","302.8543"
"M160.0222T402.1","160.02217","402.07574","2814.073","2906.373","2177.995","1937.635","1254.223","1980.382","2341.731","2553.558","884.9498","1553.281","4029.495","1270.267","2159.985","1274.345","1436.574","1758.169","1279.2558","2162.062","1848.986","1729.15"
"M160.04T229.5","160.04003","229.54831","556.0599","604.5658","592.14","621.5723","389.8165","472.8485","385.4815","471.8481","399.321","441.8365","1033.064","479.385","762.3739","644.4622","629.5941","825.4222","528.3319","433.42","538.3764","730.6547"
"M161.0452T147.3","161.04522","147.32603","6445.554","5178.478","4393.564","5235.504","2208.987","4381.46","5406.368","4060.479","3796.273","3543.573","4408.35","2140.999","2908.65","3378.515","1958.986","3406.796","2918.1415","4015.631","3393.798","3042.626"
"M161.0452T47","161.0452","47.04959","6547.897","3308.465","3644.626","6774.73","1373.81","3477.918","8300.037","5514.756","3154.094","3265.123","21664.61","22123.72","27135.63","57070.09","20294.77","11622.08","6602.9564","15910.76","11908.4","5373.868"
"M162.9402T26.2","162.94017","26.19225","66322.75","71846.49","68832.25","76151.02","47033.22","62361.43","61302.6","60773.6","61396.95","60880.72","25113.96","21754.63","22167.02","23234.33","22957.38","31129.07","26167.6125","27684.4","23780.38","13308.29"
"M165.0404T27.6","165.04039","27.56289","5710.986","5162.966","5298.312","5207.279","2874.625","5096.736","4756.598","4442.537","4413.03","4385.781","9455.41","8876.806","8400.832","6858.452","8190.455","9070.6","7856.8173","7760.541","8715.282","6902.369"
"M167.0205T37.7","167.02046","37.73902","1664.302","1605.436","1354.006","1512.764","692.5813","941.9424","1303.731","670.9933","241.0762","264.1815","3865.82","2862.668","4689.01","3938.092","3462.774","3228.728","2117.7912","2641.409","3443.032","4205.03"
"M167.0346T204.5","167.03457","204.54215","13383.12","11553.3","11177.19","11185.12","5340.145","9502.567","10215.01","9531.678","7707.056","6808.1","6822.854","3878.626","4591.158","5095.415","2746.883","4869.084","4693.283","5493.424","4420.551","2949.994"
"M172.0981T216.5","172.09814","216.54722","60577.48","38166.37","45436.83","48134.51","15756.69","32724.26","37227.7","36054.68","23455.97","24342.04","37655.68","16139.97","27040.86","25931.62","24177.56","20703.9","21385.7389","18479.87","20508.35","16817.74"
"M173.1006T216.5","173.10063","216.51796","4985.098","2788.634","3933.12","4186.465","1130.323","2035.22","2693.075","3241.723","1688.983","2328.357","2275.523","1993.364","1592.159","1760.188","1679.04","2163.869","1910.689","791.4916","1383.568","1462.794"
"M176.0124T197.7","176.01239","197.68485","3304.595","859.2655","1127.061","1930.877","418.5425","1634.001","1546.632","684.696","1282.223","1096.114","16668.45","14268.94","17736.02","16520.68","15962.32","6920.162","8672.7223","9363.623","9628.369","7145.809"
"M176.0109T250.8","176.01086","250.7707","1030.305","661.9578","690.2598","1142.297","396.103","454.9281","626.5525","766.9464","553.6266","574.586","5560.612","3792.93","6032.155","5665.963","4664.874","1465.588","3725.6433","2443.221","1966.444","2344.997"
"M176.0109T271.2","176.01089","271.22131","913.134","770.6723","998.1885","1496.658","498.2191","638.2454","525.1292","516.5233","548.9537","355.8232","32080.43","28317.88","36738.36","13264.31","36964.54","15854.69","43174.8793","19956.99","30953.14","28145.27"
"M177.0145T271.2","177.01453","271.22299","246.5082","229.3864","254.4645","350.8143","239.7937","166.0384","204.7141","164.0574","190.08","144.0879","2975.559","2563.564","4018.61","1533.398","3608.372","1339.612","4529.5104","1645.953","3517.196","2298.402"
"M177.0189T203.7","177.01892","203.68113","515.2403","548.5161","384.4614","481.1603","252.4511","358.5125","425.255","299.473","272.8121","291.4304","8771.717","5592.316","6122.56","3053.961","4069.684","9772.675","7778.6216","4790.051","8945.648","6410.655"
"M179.0556T282.4","179.05558","282.36777","28197.34","15657.84","28943.99","26698.24","10657.98","19792.57","18507","17579.08","12923.09","12844.3","70151.32","65545.35","88954.02","76220.79","81299.34","25578.93","44897.9262","30102.23","43664.81","41289.16"
"M179.0562T222.7","179.05615","222.66991","3544.402","2401.924","3274.746","3047.902","1452.972","1857.467","2827.243","2301.953","1226.279","1594.034","5912.22","5996.817","7349.899","5775.478","5932.609","1594.102","2351.5584","2221.703","3407.599","4128.33"
"M179.0555T272.2","179.0555","272.21116","14186.25","7487.828","13195","12663.17","5060.694","9832.536","8236.863","8868.14","6357.633","6197.49","20390.79","17390.02","25600.28","25872.07","25969.98","8432.408","12836.2685","7068.336","13811.55","10973.92"
"M179.0557T57.6","179.05575","57.60455","17351.43","14225.56","12803.81","14326.3","7620.183","11700.18","14144.77","14570.58","11847.06","11719.72","6708.074","4962.069","5034.849","6946.097","4565.597","7759.052","4527.4525","7249.453","5095.328","3998.998"
"M179.0699T234.7","179.06985","234.74698","1415.768","1002.802","982.0734","972.6945","668.7928","922.6561","1418.902","1652.177","688.344","771.4545","1694.996","3769.045","3199.119","3617.207","3109.78","3448.982","4269.4636","4719.563","3868.789","3734.968"
"M179.0711T180.6","179.07112","180.64107","19490.5","12943.58","13415.13","15033.59","8532.031","12870.92","12624.66","13142.57","11548.38","11345.16","50161.25","47392.5","50918.19","47727.5","46034.49","35560.67","38230.8327","39351.08","38589.5","38623.81"
"M183.1024T445","183.10237","445.0124","6679.337","2977.595","2106.563","3468.072","459.4377","1872.985","3844.904","4208.4","929.5912","1027.18","2560.869","1315.047","1783.041","922.5532","1001.543","1070.347","1789.6586","1475.548","1104.838","1910.002"
"M186.0552T306.9","186.05521","306.94905","1999.769","2235.305","1808.085","2400.02","1068.761","2029.434","2306.115","1644.498","1784.816","1527.388","3685.417","2161.604","2073.685","1670.669","1951.11","1639.054","1765.4431","2085.063","1707.675","1698.459"
"M186.0554T327.9","186.05538","327.93672","1587.031","1518.767","1296.933","926.463","600.611","1117.036","1507.697","950.2253","1031.206","1095.261","2473.088","2166.127","2065.434","1555.402","1550.711","1757.874","1601.8005","1608.344","1751.955","1667.104"
"M187.0516T485.4","187.05158","485.42331","1647.102","1150.484","2943.648","2493.28","475.6525","2391.392","2025.012","1616.566","1450.899","957.145","2254.94","2618.146","1868.155","1606.538","2980.35","3222.572","2244.9738","3537.672","4470.843","4537.219"
"M187.0967T313.2","187.09666","313.18235","2602.635","4159.632","1222.177","2093.598","1387.515","3228.066","2187.291","2785.352","1089.878","1654.848","5752.047","2779.945","4302.559","5032.555","5347.005","3163.174","3451.4834","2960.083","2617.131","3376.152"
"M189.1125T309","189.11251","309.02358","176.6974","123.0695","118.7337","132.3874","55.36461","171.4302","161.758","157.7434","158.3857","69.69514","25234.49","26580.36","48734.81","562.4458","34680.18","6828.676","19670.497","16378.23","15774.07","33000.51"
"M191.0202T37.8","191.0202","37.78358","63496.08","52819.52","44073.13","39574.2","39115.37","37176.07","46369.72","45274.73","40296.23","39213.95","136721.4","61218.26","50496.81","83999.5","33560.43","150045.1","124520.0556","130653.7","53241.73","38072.59"
"M191.0352T197.6","191.03519","197.6019","68783.92","26809.44","49657.03","72912.53","15822.2","26503.51","23930.96","24476.09","18260.08","18096.38","313216.4","279785.9","329757.2","316923.9","289078.1","137090.7","177481.2947","192256.1","193774.6","153057"
"M191.0345T250.8","191.03447","250.76373","3754.374","1417.5","3210.234","3754.24","1184.632","1581.877","1331.783","2293.629","954.9292","796.2274","24185.53","18622.31","27482.31","21279.32","20295.83","7272.265","14994.3298","13598.13","10440.99","11278.26"
"M191.0344T271.5","191.03444","271.52571","2504.359","1855.483","2452.078","3949.845","682.251","802.6864","973.218","1029.379","614.025","534.235","120393.2","102262","154639.6","54744.34","148643.7","47363.99","130338.3083","57958.28","99893.03","86974.6"
"M192.0232T37.7","192.02324","37.68167","3197.922","3455.74","3243.962","2156.577","2919.442","2140.061","3436.534","3378.364","2479.472","2787.533","10246.48","4386.51","3895.706","5376.059","2641.987","7369.241","4054.2342","9206.758","3584.133","2439.863"
"M192.0387T197.6","192.03869","197.64558","7367.767","2914.735","5507.168","8120.155","989.8916","2053.531","1770.367","2175.102","1062.212","1202.024","35440.4","31613.57","37709.34","36400.4","33927.71","15794.89","19587.0647","21852.64","22656.03","17434.04"
"M192.0375T271.6","192.0375","271.55391","359.1795","301.123","427.8805","511.5423","136.0578","282.4533","162.378","236.7318","190.762","151.0755","12666.24","12184.51","17912.79","5627.808","17183.68","4983.369","14159.1104","6469.93","11501.42","9101.579"
"M193.0507T213.7","193.05067","213.6838","16206.15","10595.07","11009.64","12506.5","5570.452","10117.56","11069.71","10744.36","8244.803","8626.608","51840.95","40622.03","46750.81","49447.53","36959.66","25688.63","28712.3965","37525","28086.28","21490.79"
"M193.051T184.3","193.05098","184.25712","6089.675","3239.599","4052.146","4978.794","2063.963","3343.627","3157.317","2243.791","1817.459","2507.211","15541.77","12861.75","14724.01","19853.92","14933.72","8944.495","9609.8932","12218.51","8899.78","7154.59"
"M193.0496T253.7","193.04959","253.74451","5523.891","4841.531","5270.486","5060.862","2433.661","3628.146","4406.489","4761.092","3197.461","2905.994","5196.151","3028.079","3313.061","3539.161","2590.152","3166.441","3422.4796","3649.356","4298.581","2467.705"
"M193.05T283.6","193.04998","283.55223","4967.319","2192.956","5761.304","5154.424","2138.735","4173.21","3856.646","3921.523","2076.83","991.5074","23415.75","17391.63","21640.65","10642.99","20717.25","12617.71","25886.3881","13537.36","20399.51","21514.92"
"M194.0547T213.5","194.05468","213.45106","1367.514","858.3528","961.4352","4631.37","731.2512","395.531","1156.509","1326.727","796.9704","581.1511","3235.139","3002.066","3309.122","4058.911","2736.547","1892.903","1989.2486","2598.77","1589.556","1202.15"
"M194.0786T216.7","194.07856","216.67365","12154.59","10431.09","12338.52","12164.14","6599.309","9797.737","11493.98","10785.23","9593.74","8074.732","5970.243","5023.758","5290.725","5591.451","5496.46","5883.033","6744.4518","4198.908","5869.47","5928.674"
"M194.0823T578.5","194.08235","578.51859","5859.18","6070.594","5238.443","4719.692","4911.123","5405.493","4680.339","5611.6","5343.004","5777.355","5857.585","6210.936","6853.204","5183.479","6095.176","6538.389","5706.6501","5270.845","5671.204","6110.079"
"M195.0481T27.2","195.0481","27.20739","20841.96","4832.024","14958.58","18271.89","15580.19","16512.96","19731.48","20186.01","17607.09","15567.11","16888.48","14998.03","16047.65","13746.81","13198.47","8400.003","15176.286","16418.22","19843.39","14464.8"
"M195.0355T37.3","195.03546","37.348","15949.12","17102.21","15197.26","9022.461","9442.395","13708.46","18514.88","18231.36","14069.08","14616.7","7463.552","3452.675","4935.448","6051.062","7528.611","8438.869","6832.2897","6712.539","5228.349","4368.541"
"M195.0664T187.2","195.06637","187.2303","962.1202","1330.941","1242.101","1500.461","758.8834","1312.6","754.5596","1469.168","1066.2","1205.654","5869.144","7989.19","7747.994","10607.63","9540.168","8964.082","6000.7848","5490.576","5216.701","3268.652"
"M196.0638T188.4","196.06378","188.38538","1959.528","2485.824","2259.77","1578.122","1613.737","1425.55","2187.962","1386.611","2186.929","1507.587","1498.415","1743.871","2002.509","1469.086","1534.64","1804.434","1532.6398","1924.962","656.5209","1740.884"
"M197.9148T28.2","197.91482","28.2107","25838.02","26598.26","30297.97","26852.74","26063.65","30450.63","27889.3","27489.4","29126.59","29358.39","12547.36","15413.59","15786.45","14552.97","12293.17","19248.73","17305.4696","17727.19","17758.95","12818.35"
"M198.055T346.1","198.05499","346.07093","2970.948","1883.133","1476.706","2240.424","451.8802","1785.73","1571.385","2576.621","1232.644","1283.091","2891.7","1800.665","1737.144","2724.953","3008.306","2431.549","2350.2528","2501.493","1894.772","4792.179"
"M199.0792T430.3","199.07915","430.28888","2953.844","3473.308","2076.212","2350.661","840.24","1268.774","2767.642","2131.945","2045.251","2031.259","3677.651","1654.579","1934.413","2019.04","1786.959","2212.774","1385.188","1526.971","1633.98","1644.489"
"M199.0619T345.9","199.06187","345.87409","1864.009","1214.455","1251.667","1313.657","381.8575","816.9117","1010.289","1457.019","766.383","458.4643","1611.569","1280.768","878.6847","1817.378","1457.249","817.4085","1032.8495","1749.166","2049.897","3085.926"
"M199.134T356.4","199.134","356.42002","3101.526","3091.299","2541.147","2163.646","326.8063","2096.28","1729.197","1807.663","2841.42","2919.657","3047.969","1791.655","2131.509","2233.231","983.6317","1289.631","1244.7882","1363.334","1899.812","1242.018"
"M201.1494T425.5","201.14945","425.49323","2190.356","1482.741","2360.642","3344.503","208.8138","3270.975","1364.853","1488.794","493.8246","1226.617","1653.972","1091.896","1413.275","1138.146","634.6004","2016.23","1853.5425","907.5297","1088.331","1293.188"
"M201.1493T340.3","201.14931","340.28992","7883.985","5580.454","7576.674","14290.84","255.1581","14365.66","4224.292","4351.305","2936.124","3234.162","3087.378","1017.537","2913.296","3498.096","1433.092","5117.224","3473.2152","2028.924","1761.881","832.5824"
"M203.082T149","203.082","148.98307","5655.101","4238.286","4819.056","3341.423","890.19","3672.903","1306.457","3546.956","3190.166","3220.376","13046.29","9219.274","14262.63","14439.82","12693.95","5141.236","4659.436","6927.052","8573.542","6341.78"
"M205.0504T220","205.05044","219.9983","6192.859","10543.79","8316.153","5453.87","1778.233","1939.73","4971.753","5330.678","353.2219","343.8827","6775.082","4226.446","1845.668","2920.505","2082.224","4570.533","2228.3031","5798.128","5180.711","2297.217"
"M206.082T249.6","206.08201","249.5839","4406.303","4548.581","4147.157","5191.984","1921.635","2622.405","3133.228","4050.176","1539.038","2364.966","4194.486","1904.308","2571.236","1558.095","1936.344","1784.114","2052.5175","1381.333","1989.94","1677.352"
"M207.0382T179.6","207.03823","179.55036","1911.747","1792.829","2225.612","1714.675","1647.779","2098.234","934.8005","1841.141","1867.11","1620.989","33426.92","13315.42","29966.38","24908.85","24811.75","8257.686","12408.8915","9787.648","12264.79","6212.791"
"M208.0616T69.2","208.0616","69.22519","10793.2","9534.279","9141.708","9850.573","4216.35","5582.615","6043.224","6619.975","4826.165","4578.394","27618.22","19920.97","44237.32","51034.23","40079.29","10904.43","12006.5608","13571.06","13436.95","12009.03"
"M208.0579T26.8","208.0579","26.78909","3178.575","2049.884","3551.482","2255.301","2446.549","1935.835","1210.038","1774.266","1729.494","1896.354","3415.717","3793.389","4168.071","2675.467","4582.682","964.0197","2165.3681","2056.164","3502.638","1678.703"
"M209.0789T313","209.07888","313.03989","3147.573","3864.091","1827.776","1542.63","892.1009","2190.522","2073.143","1595.122","1452.374","1157.436","4000.479","2986.57","2794.014","3452.994","4299.447","2611.474","2007.0347","1977.322","1972.516","2917.361"
"M209.0652T28.3","209.06525","28.2737","13382.53","11846.31","12245.59","12495.35","9884.593","11247.4","10437.46","10796.59","9600.42","9457.438","16432.92","16482.66","18813.58","16943.25","15772.11","13132.91","12311.5826","14134.84","14411.24","12469.06"
"M209.0822T195.2","209.08222","195.22988","2393.504","1727.679","2037.074","2043.966","769.5711","1558.212","1776.249","1132.56","772.7499","981.0589","12402.73","11919.49","11388.2","12647.28","10799.23","10339.28","10380.5715","9970.515","10532.4","7680.527"
"M209.0819T225.7","209.08185","225.68005","4906.452","2961.468","3583.957","4566.052","1584.865","3473.84","2252.531","3708.393","2431.553","3311.229","14896.37","12075.12","14008.07","13729.76","9861.016","9057.472","9411.2693","8645.062","8340.918","8210.323"
"M209.1075T389.7","209.1075","389.68652","2800.925","7262.121","2704.825","2974.087","940.8982","2283.957","5232.615","4526.781","1614.733","1276.681","721.0436","330.7938","558.2919","584.2246","686.6923","1078.972","736.334","481.4518","317.497","556.9578"
"M209.9498T26","209.94981","26.03516","8357.257","8993.188","7169.715","6947.709","2577.622","7584.444","5533.826","5918.824","6465.632","7412.684","1317.871","1307.884","1122.653","1341.565","1545.899","2062.388","1504.7245","1654.171","1225.518","614.307"
"M210.0843T195.3","210.0843","195.31951","548.3836","330.7561","231.7825","337.6032","217.3985","305.1525","310.8494","288.4198","253.7428","236.1138","1237.001","1026","1006.757","1272.226","1208.728","1389.972","972.2382","1309.354","1066.697","882.2043"
"M211.0245T203.7","211.02448","203.67319","6452.282","3435.126","5052.101","5245.81","965.9651","2977.333","3378.909","3248.624","1996.572","1844.442","12730.53","5715.405","4695.408","5534.46","5709.942","2390.502","4630.9206","3157.45","4604.241","3893.689"
"M211.134T877.5","211.13396","877.54678","5330.76","5628.416","6110.425","5677.538","739.8262","7314.325","2230.637","3456.43","5845.792","4421.279","6636.994","4056.361","5427.678","9498.926","4225.111","4400.547","3953.4626","4674.464","5605.758","4721.278"
"M212.09T216.5","212.09005","216.51405","1987.596","1789.295","1499.762","2100.874","1301.823","1595.791","1640.191","1626.496","1757.718","1346.458","1036.363","935.9198","1188.082","960.3192","1207.28","1336.786","802.4491","964.6942","1229.333","796.6121"
"M214.0507T346","214.05067","346.04255","1723.108","1475.869","1337.44","1751.735","692.0333","1183.323","1278.062","1176.588","583.9585","940.0623","2095.316","1302.402","1289.51","2446.475","2436.571","1783.772","1127.6311","1096.886","2575.8","3380.581"
"M214.0736T189.1","214.07357","189.05193","47595.53","54349.49","58322.9","55901.59","61686.83","55044.34","50625.88","51995.33","54415.19","52533.14","36503.13","33910.31","35724.38","34163.6","35270.94","34042.98","32067.6567","33877.67","33861.25","37857.17"
"M215.033T24.2","215.03296","24.24125","15521.84","10614.66","10058.01","10377.3","7675.674","11593.97","13220.44","13489.15","9086.206","9336.437","15164.46","15154.54","16420.25","8911.731","13252.3","17405.64","16267.015","13384.9","12986.29","15283.9"
"M215.0577T346.1","215.05771","346.07669","3550.102","2071.258","2604.974","2695.276","1122.895","2060.792","3198.056","3058.528","1217.307","1225.451","3732.99","3087.21","2215.043","4317.375","4294.66","2839.907","2849.2125","2246.453","4707.888","6077.829"
"M215.0764T188.8","215.07645","188.82142","4901.307","6189.045","3607.019","6559.802","8047.355","7674.004","6073.797","5766.267","5894.266","6202.287","4190.427","3915.007","3756.889","2679.697","4264.086","4479.231","3798.565","4078.316","3513.071","4347.892"
"M216.0653T346","216.06534","346.00233","3508.59","2753.34","2748.422","3545.439","986.0695","2335.197","2819.706","2925.216","1182.747","905.543","3555.438","2614.143","2437.971","4662.932","2839.994","3151.113","3007.3226","3134.139","5197.424","7265.321"
"M216.0871T216.5","216.0871","216.45154","25666.68","13402.6","16311.17","17817.84","2639.924","9974.343","13000.03","12102.88","5366.682","6030.516","20160.43","6726.222","13271.52","11791.01","10633.01","6565.833","7775.5525","6961.544","7189.604","4431.818"
