"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M512.1218T386.1","512.12176","386.14317","2518.651","1280.361","922.3448","1009.687","282.135","1087.59","1254.428","1110.388","1016.82","974.737","38552.16","11309.8","13925.22","6905.704","8416.368","11510.58","7938.2236","11238.16","8374.958","8465.977"
"M512.1422T56.9","512.14217","56.9368","14993.02","10288.79","9819.84","12547.92","6516.806","10070.58","13254.88","12087.93","9652.32","8583.927","2546.357","1057.751","1564.737","3124.234","1029.582","2999.949","813.7621","2585.56","1257.003","863.74"
"M513.0732T349.4","513.07322","349.44475","2708.62","1456.555","1154.267","2371.394","675.5263","1235.565","1647.509","1835.552","1034.32","1238.138","985.8638","535.8541","1199.984","407.4301","492.6728","2382.679","756.9996","1734.136","682.6063","711.0525"
"M513.1498T402.2","513.14975","402.1514","2102.056","872.919","1766.257","3864.826","586.0298","466.2741","823.7097","635.6782","472.8017","472.5088","5197.42","1885.528","3116.691","3212.642","3012.054","2663.427","1739.6358","1977.307","1563.969","1297.432"
"M513.1501T355.2","513.15011","355.19291","992.3227","596.2244","1215.9","3437.031","635.1143","426.0987","836.8439","758.4628","355.4829","341.0467","6022.732","2818.319","3538.049","5756.567","3016.899","2219.776","1618.809","2635.967","1748.54","1677.388"
"M513.2238T661.9","513.22384","661.8939","380887.5","463971.8","564595.6","547089.3","23656.01","565438.9","284342.4","280529","396830.8","403613.3","445062.8","341317.3","431498.4","564297.5","304671.5","340650.6","324955.4846","291434.7","72257.89","257884.3"
"M513.3061T650.7","513.3061","650.72592","1693.02","1157.664","0","169.1931","376.4409","690.2078","1231.352","876.2457","1547.193","1137.861","57829.67","4488.588","12133.37","2578.061","10520.69","15396.6","15819.852","13796.86","10155.97","16457.32"
"M513.3569T809.2","513.35689","809.19631","31.0062","48.6764","50.6768","87.3508","32.3398","21.3376","11.669","58.7136","22.3378","52.0104","4068.837","5203","7687.341","5376.656","5531.619","347.1914","2204.9423","2223.969","1280.159","2968.006"
"M514.0584T197.9","514.05845","197.86087","2036.783","1507.431","2266.332","3143.999","1258.242","1438.562","1376.994","1461.417","1061.954","1238.026","991.4583","1058.37","711.5688","1099.459","1121.422","1882.325","1154.7373","1301.054","1289.683","1174.08"
"M514.0863T189.8","514.08632","189.80998","3216.528","2574.62","2597.561","2761.952","1740.276","3121.822","2441.621","2210.249","2942.119","2601.206","870.696","7232.782","7150.502","5669.467","5440.509","5631.793","5435.398","5705.984","5916.195","5449.273"
