"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient"
"M369.2878T981.1","369.2878","981.05298","311594","132128","235504","229265","116075","159557","102220","114643","185419","198439","119307","307306","151867","101679","201014","154282","58323","94043","202116","261471","159380","234675","192377","190847","170035","304118","108898","144637","159813","132071","150259","182197","173375","124818","146895","74725","68502","83403","154888","144015","87091","69506","56915","101362","117109","162290","114256","76926","70229","72216","96129","158916","121699","74799","53520","87579","264416","126084"
"M562.4217T1933.8","562.4217","1933.78302","59171","22607","64856","49369","64634","51866","55976","25640","125815","61702.3929","81409","52711","61702.3929","95111","74609","40921","31101","23046","80168","55177","61487","64135","98728","26032","23105","36920","61702.3929","70391","49786","76152","91634","94524","62800","85433","47571","65767","63605","152754","94360","72744","122915","84264","49820","52199","35877","121173","54953","130528","66341","158902","58855","112086","159249","90607","104679","79831","83377","71143"
"M525.2851T1141.3","525.2851","1141.33116","368311","192562","259322","385736","232455","207553","307695","239059","199896","347733","288769","343137","275197","316373","485735","224331","246964","380010","295555","295711","413507","272963","238060","321928","335736","276161","252266","233846","243779","205362","294999","322509","224454","261732","250986","205088","178191","238502","224786","280226","290039","226715","263918","244739","319079","273820","176220","168388","156688","143365","225346","241699","215092","238225","222293","238754","230198","234248"
"M256.2406T1875.3","256.2406","1875.29844","2541065","1728723","4576720","2349360","2923678","2698176","3062560","2025190","1849839","2884796","3509177","3455667","3433883","3091277","2954739","2280977","2918637","1621110","2510528","1864054","2333949","2848312","2410953","2140281","3520561","3390915","2965284","1986561","2026723","2784846","1960136","1880174","1711368","1554428","3726999","1719720","1117554","1538482","3559966","3012695","2293217","1743342","1751826","1921447","1554377","2864133","2230809","1943711","1720352","1563912","2327946","1382580","1700968","2283135","1019393","1240120","3220714","2076690"
"M584.2629T640.5","584.2629","640.50642","2090701","727139","881864","1110419","666801","336591","625210","497991","484227","447279","889930","801404","572420","382119","493761","439894","384315","142175","547149","306545","705907","695860","2351687","854229","1152735","2337631","1189484","1129773","1179793","1121022","1351879","1869947","1178626","1199186","1232179","1950943","998870","1438410","1084572","1671667","737916","370043","1191847","2165480","904487","1113429","727910","1547019","830301","1483553","879645","850319","821808","629438","818574","804796","3259773","1119306"
"M371.3036T1083.9","371.3036","1083.88218","137871","55455","98956","137130","68024","107282","93931","57132","77635","136030","76203","116181","94028","47614","97185","82005","32504","42629","63662","101354","82964","65279","71436","82207","81513","119675","78271","64637","68816","69382","68738","76647","62968","82540","82780","50741","60431","46024","110771","52390","55223","46835","59014","71927","46702","54497","63087","41412","60559","59112","54066","76757","66628","58711","42550","57870","73477","64034"
"M468.3805T1878.2","468.3805","1878.19482","44972","123536.2692","119005","123536.2692","125713","94673","82027","61341","199851","123536.2692","159930","107091","83225","105772","109213","84277","93779","123536.2692","119614","123536.2692","145922","126605","148751","70219","165170","117199","93948","137448","142277","89762","99069","205955","220301","191976","124589","133123","155710.6286","155710.6286","160743","118174","161409","114562","77047","128587","84633","171121","121124","223059","203060","275976","156555","149888","245552","185721","95754","110084","286462","105621"
"M341.2561T778.9","341.2561","778.9269","139765","68694","89136","71618","58549","86055","72206","81387","107721","107485","79457","168360","77351","60192","35278","87105","40969","53197","123102","182592","78824","162748","81868","79973","93307","119482","38117","72425","80457","57372","95144","107546","87574","63264","76918","32561","36258","34648","65314","71274","57933","61452.7879","61452.7879","61452.7879","51233","76854","61429","32026","61452.7879","41560","42087","65600","61340","36917","61452.7879","28000","121115","63824"
"M2170.3562T878.3","2170.3562","878.34648","206662","1267217","2666426.138","2609683","1132383","2625933","4912901","2863780","2184378","4872549","2666426.138","2673750","2656961","4162175","2181255","2057835","1524278","819922","2938986","1594418","2268334","4260448","2394151","2515891","2890259","3547256","2128893","2210165","1812408","4236039","4556411","3487536","2431870","4527121","5049914","4284499","2360035","3354382.182","4272175","3354382.182","3758945","3067027","5719019","2044289","3568586","4262627","2069654","3962283","3354382.182","2319297","3354382.182","5238535","2897827","3724286","2969896","3977931","1988826","2506315"
"M212.1778T1917.3","212.1778","1917.26886","239603","74583","183979","193913","79593","90399","253812","138203","82841","170186","125018","214003","95119","93933","132936","165359","72567","84030","127608","75764","214528","112140","124391","202726","105246","149883","129794","175096","107326","140866","92181","145274","80645","57201","206926","104438","99071.5294","73586","111486","118911","77355","56778","64064","50593","72149","92462","107133","99071.5294","63647","75725","99071.5294","99071.5294","117963","56762","56839","67641","136990","109905"
"M546.5006T1917.6","546.5006","1917.6048","138651","58354","258157","120021","55561","61825","166869","64441","55325","183937","122369","260614","60659","87431","136044","109725","60369","54838","67439","24398","104310.1333","91526","156053","163731","94929","138970","116315","101382","93378","138410","76906","64430","57743","31774","141550","39652","26590","52179","83983","89355","41985","37118","71812.7879","26514","71812.7879","55954","96067","28153","49669","71812.7879","77507","35206","61542","33218","71812.7879","34003","128702","107189"
"M336.0542T74.1","336.0542","74.09772","837856","685744","546434","971836","551777","937577","577602","841931","692169","821924","780801","686779","1027344","765005","768169.0345","871892","893606","824426","685881","751872","783002","1106797","768169.0345","621695","641943","630888","825806","738126","993144","889161.8286","819531","641563","707371","918656","703722","858984","1040718","1015393","1004535","950438","763001","969748","889161.8286","1097662","800348","831819","876973","1010104","1072973","828992","772941","1047834","935876","728120","931645","1130255","866490","735604"
"M343.2728T888.8","343.2728","888.80496","299698","132896","231159","305823","166508","183107","122865","136716","252734","221474","134459","320347","235574","126211","317380","222343","76917","100455","207741","335887","161417","256940","211230","199739","181427","368394","124785","158560","175989","182909","173595","263182","156708","147072","239489","124406","104779","111355","201758","135263","115083","74719","92994","115104","129202","197360","153279","99414","136099","91602","106147","173854","132916","104384","79605","124944","272894","154218"
"M2184.6104T867.7","2184.6104","867.65982","557143","154374","489070","1021358","178227","416541","464079","506358","510588","628355","486028","325476","585155","515630","477598.8148","286230","203412","477598.8148","364270","128784","477598.8148","773462","794902","533367","824397","666436","290535","266796","381777","734671","634694","675688.2941","478778","746688","1049815","736519","345634","1094549","837710","1323689","650425","675688.2941","720090","288756","685948","590128","923287","1625702","352442","887242","537264","783054","299156","496623","495594","1032589","502941","387768"
"M521.3483T1344.9","521.3483","1344.91128","1522914","946574","1513436","3227375","1753174","2603637","1845099","1895217","1833864","2133096","1031954","1193379","766619","830243","899397","1087030","680180","1080824","2087741","738506","1159446","1101269","1657596","1706238","1238217","1735861","2016471","1399091","1482468","3026881","2154827","1755490","1953443","2730986","2566294","1661473","1260004","2002740","2183771","2327577","1366875","1890194","3889064","1424856","882360","1353003","2410763","1768172","1505866","1820412","2786817","2335035","1535589","1750151","3130384","2058131","1973046","1327799"
"M367.2732T875.8","367.2732","875.79198","168423","73402","90486","98631","63431","65613","34619","78835","123471","49581","60385","161408","69761","81674","112002","100959","34361","62732","96253","174015","73593","144862","96297","124809","90294","138091","38827","73469","75855","62927","92118","110940","98389","75989","79385","31849","37700","46619","101038","55321","33416","74493.6177","27773","42361","67244","79567","63922","42409","43511","31537","38981","72414","59216","34219","74493.6177","74493.6177","131882","73249"
"M646.505T1955.9","646.505","1955.8824","1233478","573500","924410","1046805","1082265","900273","824222","892212","336820","695871","746318","1199924","919169","409971","635389","540357","848260","735555","710843","403379","714691","804722","651987","977189","454700","652559","970223","814660","743246","1066756","1427688","685384","450525","894467","818476","1097981","1228175","1343344","753453","664326","1268691","1089925","967023","1039430","690697","644831","977500","785938","1171806","915138","915427","1131885","1453129","1257033","1383207","1033940","582577","926125"
"M2144.844T886.7","2144.844","886.65924","266740","342546.2","342546.2","342587","70861","741692","475988","342546.2","342546.2","840143","135801","297787","266884","622385","144659","220351","342546.2","43160","293047","128314","172301","364789","579514","286384","342546.2","383367","147596","252151","242931","329790","1014940","344205","194665","451001","791584","434151","268475","775214","745636","1268844","441087","253096","482275","128669","342996","956862","396297","800597","250301","862992","297514","765536","248187","363682","515184","1045663","503123","281125.4615"
"M2184.1033T867.5","2184.1033","867.48087","608340","148749","570391","731693","149245","382005","532180","515511","438680","813340","557212","394975","700016","668638","526884","424817","272522","561445.84","420632","561445.84","561445.84","857215","768279","561445.84","830168","785604","283079","249422","210481","820805","707881","849683","380223","761304","867272","738469","457167","1240939","801276","1205348","825807","494406","859961","356214","471934","677139","922509","1370045","429131","991221","562723","662076.027","292543","612479","527032","877693","765213","378134"
"M509.3484T1308.2","509.3484","1308.17862","137560","67351","125804","215952","142218","134809","110540","165973","105934","199110","106608","113817","66561","46751","94774","70507","122636.6071","77117","145059","122636.6071","78280","117065","157365","122636.6071","84330","143238","126824","122606","119007","172243","118286","136164","171034","229550","170396","99316","101202","151291","129875","197663","121406","110957","219452","100744","101967","131414","206209","126217","102616","165902","197921","135014","142951.8333","111525","251785","185631","176844","132087"
