"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient"
"M108.0939T1716.2","108.0939","1716.16926","200746","205160","209738","184174","230800","193987","242013","227293","199104","190172","195071","154280","230524","217881","194564","209097","154263","201599","189719","200351","194538","184203","215855","194068","189821","196183","201362","169858","128923","196369","239393","236186","210512","220941","229553","229487","206361","226735","223245","250782","223872","197403","215771","186227","190399","242414","197616","218770","181616","184067","165463","235075","217303","224783","219558","197611","218025","169385"
"M394.2135T1875.2","394.2135","1875.1593","395018","277871","450929","417631","366752","317386","490702","372383","343670","454551","416319","446676","368530","419505","454772","224804","331126","351138","379562","275081","318820","379047","436702","419829","385360.6897","414325","450976","313546","340864","383714","356566","344815","339942","352252","429340","365468","271057","309357","439660","382851","333575","357540","387801","267227","303472","353901","400874","281316","312151","311737","432759","343256","322522","318323","292645","306458","398929","373934"
"M1044.758T1716","1044.758","1716.0072","271157","317512.5185","296694","265133","287043","248551","301935","317512.5185","284722","295372","259240","250238","306786","292837","293856","281349","229934","294473","263172","272081","264203","247417","308752","317512.5185","281022","286882","1365977","238467","168674","271053","299360","308219","301245","300304","312896","301284","290052","288944","304737","322531","302863","316401.0294","300120","263526","316401.0294","317943","316401.0294","279572","266798","316401.0294","280550","314389","288521","308064","292497","295119","316539","254869"
"M353.1867T1875.4","353.1867","1875.38508","88643","58402","85899.24","92969","88044","85899.24","113118","92116","78006","108635","91708","104211","70048","93002","101480","85899.24","85899.24","68998","82542","57637","75013","90664","84129","85899.24","91346","86178","101886","64043","71156","97962","79912","87610","76065","76326","101060","77766.9697","49626","66249","116129","104509","74951","55465","70696","49220","73316","86423","88749","74231","77766.9697","73981","86538","77766.9697","72444","83927","77766.9697","62558","88012","82271"
"M352.0274T74.1","352.0274","74.14725","442665","577592","631821","452602.8621","324695","575538","659367","574257","511552","503416","474683","511240","452602.8621","454422","426219","225330","483277","387560","410642","384486","412178","519039","413252","363051","367208","272868","291100","463032","430046","406413.1111","476459","412136","448915","611970","292730","392279","326642","349879","387032","266688","314461","572168","406413.1111","329793","409468","459710","364772","333842","483937","383582","343174","419011","268288","285045","474523","340197","249801","480338"
"M511.4603T1943.2","511.4603","1943.1582","202664","97910","131877","104469","90954.6539","83213","47044","47214","63973","90954.6539","135012","116081","104818","90954.6539","67736","65170","132631","80682","90954.6539","65661","97157","88099","75507","90954.6539","41197","86538","89016","122996","103661","50096","55878","71092","78878.4848","85152","46373","58583","113093","59234","54769","45061","59138","98953","80997","124116","51185","82153","68123","76070","98740","57793","78878.4848","129873","105683","51801","60874","78772","78878.4848","100229"
"M644.4883T1755.5","644.4883","1755.46896","74412","28866","76110","94955","113904","62443","67820","85812","42889","36757","44630","110895","29403","29884","31217","59563.3461","47073","64179","41554","59563.3461","44996","59563.3461","50870","59563.3461","45729","59563.3461","72666","56521","42874","94159","160308","53882","73648","73070","65388","70323","56899","61268","64199","27865","48900","80871","59484","86174","38383","70201.2973","85104","65089","96961","62917","58007","116833","112241","99436","131124","55604","35395","57679"
"M2144.59T886.4","2144.59","886.40742","266686","116686","344239.3462","329996","73102","859157","637510","344239.3462","173308","585187","169515","265588","305198","515842","344239.3462","244591","96896","344239.3462","302335","344239.3462","167208","498723","454833","254517","615587","357255","177820","280605.25","222445","363420","485493.6471","214594","227671","429078","747506","292969","304540","801039","793971","1065056","230543","485493.6471","509742","98276","382737","858408","432204","933461","235289","880917","220812","1054363","249628","426291","342898","917674","531116","295422"
"M198.1617T1917.4","198.1617","1917.40446","135298","88964","299630","106246","79476","167021","156299","89044","127511","174089","130207","339579","105399","163961","227144","99807","76491","80877","86486","57715","127991","97346","123291","129283","187492","132163","124341","103368","105197","230471","98810","174310","76381","66402","125273","126292","52793","67332","106480","169522","110082.5","64466","115359","110082.5","117130","89136","173783","58658","62480","73030","81478","56742","90911","110082.5","110082.5","65926","136577","115304"
"M501.2857T1165.8","501.2857","1165.77864","1879883","1245280","1675902","2076703","1885177","1590503","2319671","1337300","1630658","2582586","1755621","2135726","1775453","1670738","1911613","1360080","1469684","2174421","1640857","1737348","2212848","1884600","1620080","2078965","2186441","1858961","1930938","1372589","1584246","2034298","1739895","1591061","1556198","2384506","1909249","1817099","1401101","1344781","2038789","2242912","1493728","1889085","2076447","1080257","1256080","1680940","1619468","1395028","1127938","1660789","1577375","1374402","1550291","1722442","1288751","1907109","1372974","1399025"
"M493.3165T1079.6","493.3165","1079.64834","777902","352813","536632","607139","700644","632215","1349327","805234","470267","1229295","491605","885959","791900","374094","705270","492034","686622","386156","691842","394255","558324","647309","560484","515363","614394","613284","503340","437304","517587","735179","778810","569534","483185","1039638","622342","495190","370475","532838","489744","698000","521859","479220","1798780","354003","366283","386270","547325","377002","225969","615216","413611","327308","535649","410454","643500","412402","357662","491356"
"M1657.6469T711","1657.6469","711.01692","426597","152477","766981","541003","109821","285613","524534","311360","196465","253065","356135","178752","359999","105027","249717","278282","150249","112063","230006","85517","224218","230957","483348","279772","330984","393944","697024","124491","122746","298386","425347","343231","397742","654411","417779","430614","254255","340165","453661","682334","256299","361461","595130","226993","270929","280754","417996","393482","298369","246961","342598","398373","388244","281572","304996","281432","257603","129690"
"M507.3677T1559.8","507.3677","1559.82618","366091","77218","221892","436301","378535","287360","179286","320615","177502","296159","164388","111739","110819","127309","159308","103649","69161","121421","191676","203546.4667","151424","224916","238124","175198","154531","147576","143014","166591","164903","261411","313894","279766","336205","399719","261580","218139.697","125672","224754","236361","221950","90606","173688","342405","185600","186875","247911","288827","242100","156803","195460","218139.697","176285","155734","220564","286639","218139.697","230861","170012"
"M509.3847T1562","509.3847","1561.95582","608167","186779","366901","987006","751384","481154","394542","521762","290898","600175","263487","214046","264734","190148","249122","218034","100671","194077","285940","261460","341853","345922","446786","360550","240979","372851","372578","270340","315335","608204","602032","464562","476302","633687","465558","217808","234081","371269","338813","340763","264505","318186","687388","378128","329284","456338","576799","428957","346295","401373","322935","386949","351620","384028","551470","447706","431353","302046"
"M493.3174T1112.9","493.3174","1112.8767","5095174","2158902","3737905","3776558","4231073","4242354","8619983","4961099","3466563","7893570","2962885","6110814","4325998","2533919","4060472","3323236","4158294","2219103","4589386","2407670","3806969","4444390","3622420","2965984","4338217","4073801","3163269","2769694","3095034","4896831","4799498","3484467","3011337","6407780","4434270","3097759","2279804","3104372","3111369","4567984","3057536","3066117","10600000","2359175","3323118.8","2323586","3639571","2456938","1474139","3903454","2762418","2296160","3493992","2601372","3390246","2597621","2564164","2750954"
"M1657.1471T711","1657.1471","710.97147","508774","174150","853449","572316","134209","330281","592827","296188","239917","298068","452645","184103","409818","217954","240553","315429","165824","360053.1333","251455","75927","243851","260635","512107","304873","345942","470154","841883","101355","140114","324256","473369","406731","451179","725040","458463","512009","309323","347301","394280","743003","307553","485712","735450","268806","296523","358027","479802","463439","348792","298904","453436","465647","435692","271883","373773","324315","296695","160183"
"M430.3079T1233.4","430.3079","1233.43794","212955","113723","126293","209795","96013","96005","221553","133819","160091","129525","182135","134836","88012","113337","155242","73454","132468","137488","104665","234614","515744","108570","127647","285748","153153","120798","205058","130772","133420","119535","101004","121650","140226","148366","162856","95195","89195","95160","164621","175094","109738","120074","103263","68651","77295","106676","97179","167679","107820","105073","182740","114112","120788","155341","95602","128779","138641","121198"
"M122.1093T1715.8","122.1093","1715.75148","218546","222234","215120","206942","275274","210045","260215","251593","227809","220924","196667","176898","245386","245842","235807","208522","176261","253948","210203","216986","219401","203737","224762","207853","229673","218970","236920","199103","141964","206720","238209","224545","233996","243829","258681","258616","231225","228236","250106","253470","262219","226827","233087","226865","206483","243827","218204","240686","219151","201822","211426","269325","232746","250571","231091","230902","225248","187484"
"M468.381T1931.8","468.381","1931.81628","77901","33352","90284","40320","73405","58398","65560","39122","104674","75658.5333","121701","95116","65743","44650","48815","52724","65735","33723","88823","40347","66118","52913","144875","83073","60096","74736","65899","109962","63335","92926","91637","144494","155123","94709","91927","104101","95602","21911","29565","20797","65043","93635","49097","57883","53940","138664","28555","102862","94963","46047","95448","71423","213568","140652","112073","86191","228576","105006"
"M1657.398T711","1657.398","710.96778","529589","180655","835967","582994","104291","325197","616567","341762","232628","318538","431095","174138","422727","115105","258924","298960","182590","355763.2333","223582","101750","256309","287659","519704","255241","350106","473846","797371","117945","135109","312129","430815","377403","481843","717206","439729","514243","268996","357117","506886","801714","286553","463274","715686","270201","321336","401039","508244","425572","353970","311262","388848.4054","473668","409437","303239","359840","329111","266685","140557"
"M696.4813T1916.5","696.4813","1916.4561","118643","74482","150866","107485","79835","86949","99729.3333","96527","69282","128534","116814","137008","99729.3333","99243","123731","94505","85176","106142","98309","39681","93769","99729.3333","98787","113606","105416","115385","105766","101879","91208","104337","100033","80571","87394","92439.9697","109533","91587","51652","87623","95863","92439.9697","91974","96625","81848","79520","69068","122166","92439.9697","69379","75946","76920","123123","92439.9697","85053","89161","92439.9697","104370","122788","87791"
"M330.2775T1681.1","330.2775","1681.12986","7074772","7730361","7212303","6648775","8292086","6866092","8244980","7551459","7030651","6901259","6104015","5381405","8320995","7430233","6907592","6777034","3312074","7613087","6338229","7364298","7120511","6423687","7069891","6775321","7221269","6173091","7381675","6111431","5677429","6529726","7828386","7448671","7337944","8049732","8053667","7851146","7870046","7614411","7605049","8739429","7937699","6945859","7307967","6982718","5877472","8365614","6537467","7107762","6895419","6694207","5613823","8077404","7599347","7732226","7362882","7000306","7468946","5734212"
"M136.125T1950.2","136.125","1950.18996","200242","187498","182416","170892","214981","147707","214214","169032","182990.8333","156418","236403","166868","190320","171813","166727","167514","161884","198850","176571","185350","158450","198757","177274","216505","192917","172747","161897","122031","104919","161242","202953","183929","169941","194375","214743","168543","197234","173054","173214","229252","257111","205315","200224","181719","193023","257827","177596","185650","190300.973","224913","158706","214049","174918","244716","177668","181540","191054","132726"
"M1529.9647T1228.6","1529.9647","1228.62396","84353","34826","67614","74564","55744","69327","67288","58993","51569","64342","47744","36660","53301","51569","51569","51569","51569","45585","42984","38851","43420","43703","39037","43429","51569","60325","39009","41646","44914","67117","64434","55978","48799","69770","62649","40383","22854","40699","34458","58901","40376","37312","62371","42226","26555","60679","44871.7568","47065","31758","45839","33699","40781","38254","34540","50412","55454","26891","33741"
"M371.3397T1371.3","371.3397","1371.33054","86145","68577.5333","73604","84132","82236","79010","84274","60276","71523","60387","61555","99301","51323","53565","47791","45272","54946","70843","78649","58201","91902","37022","61151","63228","79166","68191","79049","59975","87612","36380","60993","40520","86290","52294","48350","54535","59980","75771","74022","57188","57312","52405","87878","57250","54761","60724","56623","51996","62424.6757","76594","54767","48317","74505","122203","66456","63969","46435","55470"
"M136.1251T1716.2","136.1251","1716.19662","203918","202690","198499","178840","226635","187964","232376","210023","185558","188199","178787","151283","233413","237021","208240","194524","150874","179034","198522","193113","179623","192645","215082","202161","212887","189931","203129","167403","122124","184555","216490","230160","204350","216390","225121","229259","204461","205296","207206","250669","229721","185107","201262","200553","179458","213424","204261","204557","178468","179164","162833","227210","214871","229778","219289","203682","228468","162986"
"M366.182T1635.2","366.182","1635.20016","109846","102572","139965","117988","136604","98486","158621","116442","108075","151348","98656","173099","85843","116092.9","113564","121961","103108","64307","116530","72227","167777","102207","108779","129798","122039","122829","120246","82847","101436","155930","110439","145813","91019","107979","181442","119894","68137","93487","151192","105730","96166","65393","100662","80459","90829","114790","132591","99752","111019","109319","120298","109820","99933","103904","87766","94501","98537","80389"
"M528.3656T1441.6","528.3656","1441.57572","288189","757452","646177","740256.7586","648748","598555","340560","1048376","873456","740256.7586","214080","830432","785497","900433","1080208","162935","885301","882744","675529","937419","979046","230660","1073338","991332","999067","969907","823834","789165","854909","738715","727989","811928","1017322","962458","1150942","902319","878776","772466","764096","1090506","960947","953725","1107933","808294","866831","843520","768846","924171","263298","782047","951138","752199","899996","1197425","1009305","971555","951895","689164"
"M519.333T1186.8","519.333","1186.84056","30100000","1.7e+07","31400000","41300000","3.2e+07","22500000","38900000","35100000","27900000","3.2e+07","30100000","39400000","21500000","3e+07","3e+07","31700000","22100000","29400000","40600000","23400000","29100000","36600000","33400000","33800000","30300000","33500000","28600000","27800000","30500000","40200000","33700000","32900000","32800000","39500000","46200000","3e+07","26200000","35200000","32600000","34800000","22500000","27800000","43200000","31100000","28200000","37900000","36100000","47400000","28700000","33200000","32400000","33800000","34800000","26700000","33600000","31900000","2.9e+07","30300000"
"M929.1786T89.5","929.1786","89.501922","239953","130503","178904","252011","270101","243979.44","57579","284283","323849","244560","326279","121078","302193","319229","243979.44","92956","264012","243979.44","243979.44","385089","290682","243979.44","115783","348985","335188","112873","98462","330722","273891.3571","267967.8235","304466","83050","258839","254561","214702","290488","322614","81768","321685","77665","395796","323958","267967.8235","310034","267669","324119","249328","356616","313347","410456","326143","289869","248430","350700","258700","107260","277646","198188"
"M313.2253T544.7","313.2253","544.7385","156920","88256","82121","143758","109182","76927","42750","113293","177440","72899","105121","136765","90781","147182","161972","85904","51072","90725","132286","198462","113038","236930","158428","138416","130732","182927","53004","102307","104659","108794","193008","213043","106616","107153","183736","45644","64079","64155","111539","172381","59984","114157.6667","36271","46060","87697","90355","73323","95814","90124","61821","94212","106747","93590","69926","114157.6667","50271","138368","109677"
"M1092.5905T1185.8","1092.5905","1185.75828","574362","326954","601135","734388","569277","434311","732685","786735","680024","706049","570499","749929","391030","708441","599890","537541","435878","679096","990683","525003","833406","567055","904779","864640","788620","657727","777425","641074","661135","710148","783310","545377","734996","891644","1003246","756246","552686","703708","757057","675150","495088","693103","1158223","759129","561273","829680","829982","1106112","573727","988391","599812","1057277","701131","637932","747425","580939","739055","667159"
"M618.2475T1154.7","618.2475","1154.69628","55270","48686.3793","45520","66768","47418","48686.3793","49354","55000","43858","47321","44971","54235","33585","51440","45984","46153","37852","48998","74623","43150","44842","42408","55080","51049","52032","42969","44319","37605","33518","71689","57225","54848","60299","63999","57355","53501","51292.5278","39191","66897","54973","31940","61506","89858","41038","38155","53125","54350","57898","36382","57668","45562","65836","47336","38690","56212","43848","46409","38300"
"M503.3013T1235.6","503.3013","1235.62602","196772","108001","190332","192586","217719","218583","343388","271097","148865","424996","167737","383130","326770","166458","212638","196089","190110","214650","255988","187508","288195","206015","207137","360624","336514","165357","360537","177535","182205","245050","143101","111598","98156","252521","346612","252686","167768","174511","257741","302912","227670","208622","497250","150869","196730.6111","127546","183845","189969","101870","224845","168107","166851","252001","226262","104193","199317","95113","202114"
"M302.2459T1433.4","302.2459","1433.41038","505015","505595","460924","466254","506795","562704","549229","560540","514404","401114","435722","530550","737580","512907","460524","436212","330557","529419","223532","509979","444325","501451","480860","488938","474359","362681","260107","278992","300414","393856","597635","500010","541260","590364","566204","507430","483049","487707","529968","584515","564971","438567","428307","514280","363802","578116","320051","562355","452913","568224","410852","573565","481509","554607","594866","474744","482564","261255"
"M519.3322T1221.9","519.3322","1221.90516","734246","328256","776918","1589307","1831005","947724","1406161","1447996","617429","1356269","593037","985400","574470","678554","848627","982326","556810","563496","1415581","904888.2414","443059","631699","839632","686334","765997","794824","1094913","679341","663004","1391941","1014080","989212","1148289","1543262","1202701","1194003","605431","1035276","1216022","1012124","837835","840535","2645862","768117","590342","786316","1090325","894953","627192","1174358","848674","945479","703456","862042","1114458","971830","745507","614524"
"M328.1526T1561.5","328.1526","1561.52412","98297","57240","86211","89106","114755","65630","124736","116052","100860","122463","98296","98754","71339","137257","112431","104655","68139","80994","126128","73511","81957","105116","139949","115843","118742","110691","118137","68566","76795","120787","102960","116576","122731","118094","127411","127427","86802","85381","132337","122581","104633","96765","109521","61172","111786","103971","113051","133457","68722","117157","110268","115190","86228","317453","128865","107199","124549","85644"
"M713.4645T1680.9","713.4645","1680.92616","100039","85349","91843","88664","121109","87071","109005","108462","165311","105272","82609","78030","102378","114999","94324","115858","68133","106201","97790","96492","93747","99629","105522","112951","127681","85550","196109","77937","140407","137360","107486","121009","113182","132184","120747","117277","96429","99147","125934","107651","108253","98120","153812","81798","107048.2973","114158","94120","96935","79194","104114","89918","134949","174539","97234","121928","96450","103117","77710"
"M316.2616T1592.4","316.2616","1592.4018","325403","339707","315465","216163","403403","344973","382275","362720","347937","217758","294507","229128","445090","336818","378558","304176","263999","222427","311282","401643","369491","309985","230855","226440","358051","258211","347429","103584","67592","306222","359111","341248","333864","387944","402469","346152","356317","362245","359400","271468","406251","217013","361393","336039","291610","394683","329457","345097","353443","364208","190182","415489","354110","378284","326802","354505","319624","95197"
"M344.293T1835.6","344.293","1835.57166","1161526","1214369","1120203","1268192","1468822","1141943","1201172","1360946","1271951","1219946","1214698","630097","1291243","1146111","1380481","965472","1162940","1242670","1270766","1478833","1397511","1409660","1117813","1121446","1225803","927605","1341367","233942","230340","1126016","1300836","1667096","1273334","1753494","1603868","1252651","1226336","1269053","1834490","1384322","1337790","1128468","1167065","1234334","1120025","1524966","1306844","1078391","1270467","1305863","1124912","1921770","1228152","1293802","1110562","1284653","1219615","163685"
"M108.094T1950.2","108.094","1950.1944","155097","139205","138064","135763","156728","123576","164243","130304","113038","125930","148487","119875","148231","111147","147217","121685","128009","150101","136993","85127","110324","145962","151261","136830","142032","136308","117301","93943","84777","127426","172289","146973","119558","137452","140664","135931","155855","128827","153370","160453","154555","144241","149236","130482","151599","153375","124724","139910","121755","168634","112997","164371","121407","172319","145374","141671","90749","101792"
"M330.0459T78.9","330.0459","78.89268","1887726","2125073","3505466","1888993","1411459","1835737","2314045","1952563","1981599","1535233","1320553","1258328","1549537","1450066","1423341","739555","1398239","1311700","1238985","1564575","1506931","1260064","1472483","1400743","709143","1168900","1492854","1695593","1543786","1441946.278","1955521","1775517","1849696","1739540","1387689","1579772","1372854","1365996","1269878","1375666","1640234","1526913","1441946.278","1470332","1072905","1139939","1156722","950790","1380970","1570361","1003455","953246","1083742","1644276","1446579","1254508","1141272","1456464"
"M451.2703T1088.7","451.2703","1088.66136","39191","35072","50742","74374","85052","105034","284375","89916","42589","272019","76001","216457","184603","70001","117071","60117","189030","63661","140896","66864","146309","71444","58590","63978","129555","75895","158848","83975","90433","79065","54214","51271","35826","103091","129212","101181","63755","100435","75345","123559","69852","117586","388686","66509","39450","55265","77290","64792","38595","168794","62249","33776","102625","105434","51296","61808","34555","84955"
"M575.2706T1315.1","575.2706","1315.08054","436674","190764","227015","182046","208008","254963","373946","380554","314509","302776","233902","314423","276133","266345","298455","329391","249540","255682","371644","270037","292452","86345","427826","317331","353825","291122","227331","322838","190635","357519","300100","136595","317503","411401","291557.5135","319657","209758","297689","441426","379257","276815","319761","101579","227699","271585","355453","302961","372182","196696","365524","303951","345925","314652","326835","389147","347915","301253","169497"
"M150.1406T1716.1","150.1406","1716.075","101883","111736","99117","90458","122281","104617","117532","107890","107219","100495","81377","102293.3103","116589","103824","94956","104149","71549","112203","105439","105601","94453","99850","99031","100701","102293.3103","98007","105539","73680","56861","90451","111973","105826","113690","105123","119463","114503","104596","104809","114396","119252","117838","87798","114630","92892","93306","118385","97675","105841","101176","89425","89920","116461","103443.6571","116430","106099","103298","118753","84535"
"M148.0158T1595.5","148.0158","1595.5005","400830","405098","424053","408881","505277","394667","422280","465822","405825","408713","403921","419795","418539","433560","430236","416018","422667","425885","468455","412194","426285","397632","427231","443883","441213","362272","403916","395271","414270","443017","444217","433346","431336","457814","440595","463228","443002","407221","450463","436341","402777","387857","423251","412154","383226","421835","409865","452777","426166","433687","440556","396977","420415","438027","471928","434484","393754","405744"
"M567.3325T1190.1","567.3325","1190.14926","4674816","1862666","2393323","5452691","3101339","2170189","3195248","3740910","2938937","4553061","3066800","2970526","2998334","3630681","5308155","4135304","1928417","2515082","4291126","2149768","2109897","3844851","4188469","3656375","3728090","3937305","2451951","1886512","2226267","3689535","3755296","4442758","3611831","3949743","2654768","2333060","1583978","2667527","3061768","4160266","3488382","2238412","3812070","2105006","4091592","3049394","2589484","2311134","1616749","1305545","3350586","3178725","1919041","2460097","4553640","2848771","2974859","2327122"
"M707.4799T1296.2","707.4799","1296.2238","92588","82325","100734","92642","73943","90273","88166","88624","81316","84416","76898","80454","82620","64345","77509","64455","93755","77773","84082","92623","95858","91673","93797","83819","83266","70015","96135","86214","82445","69160","84251","63326","76623","83858","89100","92547","86875","89526","74077","78390","74867","86764","74709","90717","79680","67776","84762","88466","90126","72801","79309","73851","88852","168245","74295","84293","79045","84961"
"M573.2531T1154.9","573.2531","1154.87574","101678","102677.2143","97453","181217","111664","54009","105118","114245","81934","111863","80752","109927","57874","104407","130711","143845","102677.2143","17927","194449","102677.2143","71421","98559","124031","125155","128679","83368","71560","59680","68631","173185","131356","155487","146786","182585","131232","105341","59471","83142","157390","166477","78358","103168","161497","110051.1892","85443","118731","111006","123212","56530","113721","87659","182865","75964","99650","138182","75410","101513","82331"
"M467.3012T1016","467.3012","1016.02458","455955","271509","371735","509857","479864","602540","583274","485368","328912","593811","330485","437722","463090","285970","387520","310726","353581","281703","397140","146256","346669","304561","345287","313720","307604","463168","463739","358138","383608","497706","500524","278997","221285","659611","629355","486735","333757","496649","464302","660846","410681","494832","661331","508032","334412","247911","429823","384083","365739","408312","436704","310520","379110","339350","798101","459938","216472","384794"
"M616.4179T1433.3","616.4179","1433.34078","813325","767686","920778","1282817","875866","918908","1013500","965656","834299","927821","855185","883085","824457","1077751","967678","850023","672586","916763","915127","854262","944187","927847","1065097","1083825","864021","1042674","1043770","832829","803811","969565","1072962","957363","948257","929264","1035199","1057988","987557","900252","909431","950536","842988","917559","1061565","160517","911002","927763","1024768","1024229","766265","1011636","1011454","989441","840357","1866300","1029644","958747","1002943","869264"
"M481.3173T1118.8","481.3173","1118.84814","403418","196185","322745","432148","382768","398785","385208","288241","256242","460789","178142","294239","186630","185230","246878","230441","167554","195748","336513","135648","238517","201436","277588","248149","244714","348204","339699","226371","247386","342100","284814","278966","284207","604668","376956","313567","279501","271760","365552","411135","286244","318808","21061","364586","212240","165068","393604","279431","259749","336029","332902","296629","267514","244718","498700","380376","292624","263396"
"M423.3347T1202.4","423.3347","1202.3727","682770","256825","384759","371925","375285","541401","262070","398018","390851","478535","377921","382278","143388","208257","175457","174642","137814","212707","183895","152543","364068","302145","249483","420754","348812","256019","201939","261445","253795","365718","454349","458342","305883","724113","205351","78544","221720","138175","333960","259344","159257","190253","178838","195769","182959","201215","244104","296145","303917","282232","210619","308155","402694","237028","135876","131917","263814","241102"
"M1044.5876T1258.9","1044.5876","1258.8747","461367","816172","831303.0714","584001","440567","413492","529053","330254","831303.0714","593734","519008","928527","967422","1100017","1127819","778528","676031","1093370","1142532","973675","529026","880333","579578","1159173","1191166","993901","1210798","839390","763894","609417","690275","539148","655801","822312","908369.6857","1147537","1049893","705227","908369.6857","1054486","1072699","1049126","809559","864519","938052","1119454","811093","1179751","671787","981629","741501","908369.6857","984251","1196459","716159","1030241","798562","745640"
"M521.3485T1281.8","521.3485","1281.79218","5659889","2819697","4782182","8588896","7243753","4908243","7019260","6960377","4315929","9691686","3734243","5510555","4027820","2994153","4568735","4737978","3475828","4065644","8317663","3706711","4931151","5393387","6006522","4993987","4775913","4664934","5078386","3724147","4393724","8963666","6149783","7357460","5039707","8844361","6916399","5478771","3106482","5799819","5574068","7998412","4145077","4429278","12200000","3745694","4340921","4743835","6010207","5685990","2935577","6157493","4801556","4898242","5129419","5859403","6835485","6428784","4511618","4149805"
"M414.2042T992.6","414.2042","992.5506","1589537","1254022","724307","2475560","1659631","993713","1786528","2085351","2292333","2490431","2005316","813412","1072619","1313761","2378578","715735","2167738","1574823","1773642","2559972","2569460","828665","1160822","4376540","1630326","931366","1788338","301724","314702","1520679","1421820","1399330","901995","434041","1184482","1981741","1302558","1483414","1524094","1699348","1119304","1351896","1477234","857396","3474027","1683743","862717","1046162","1872144","4478468","5321986","917262","1435644","860015","1022478","1281210","1315808","332760"
"M751.5072T1294.9","751.5072","1294.90254","56288.0741","59660","57148","57133","51300","50937","59707","64304","58963","55281","50889","62534","58843","56604","47711","56288.0741","52805","61478","56288.0741","59468","56994","56288.0741","59444","52557","45654","51603","58892","50941","54780","55135.8857","57237","55135.8857","47797","51269","55070","53460","59108","45891","50395","49168","53549","52578","59904","50731","52117","51057","54196","55911","59073","57453","55430","48597","61098","115241","59589","58526","56430","51876"
"M414.3349T1810.5","414.3349","1810.4613","132658.8571","262586","132658.8571","287608","60494","40680","132658.8571","30218","272388","238489","47763","44930","250166","341813","44069","184826","301950","33576","44988","57044","34607","55863","43297","236773","36139","38102","229873","102731","104058","263815","67463","466672","43844","55873","59743","253335","153383.0857","228588","434153","61272","40702","41115","153383.0857","252085","191363","39759","280683","234470","50577","254041","224394","483413","251396","46810","46593","37205","247964","92667"
"M202.0451T67","202.0451","66.98475","364162","344934","170946","340840","310448","291909","351289","351507","290008","413758.6552","407141","507806","413758.6552","525954","469333","526417","510159","491816","478227","631947","504680","411702","274172","482420","365647","440545","540719","448570","410640","1110554","318344","466330.3889","436402","396924","502710","218232","536852","462736","530192","524453","221177","425821","1343352","466330.3889","441173","498758","359577","474200","452265","383539","505143","570708","565494","434705","441613","354039","384816","394546"
"M569.3476T1291.1","569.3476","1291.08444","1254387","267752","582886","1043885","1619263","414166","1173730","1344257","409513","1200642","811866","479289","900616","775918","1322659","1416675","582928","298695","999882","360536","314226","749445","897241","1020617","1066591","836250","541934","342834","422457","2088458","1008225","1309201","714968","1385050","833797","538518","303925","312848","925997","1319135","1141220","332833","1128530","268832","635066","416232","712325","634791","358709","302766","482424","606359","293198","885863","513971","584261","280022","445621"
"M264.2453T1746.2","264.2453","1746.2256","178253","134532","156605","187715","247481","172520","209124","197282","186214","191766","210326","299969","300007","183070","179445","230826","127455","168735","241960","261899","186230","399026","128466","210474","379713","263016","189773","171999","144089","235504","153624","280578","216481","208074","259003","192277","174262","167292","275023","266482","222225","223362","198388","135568","201671","270247","548790","242179","279543","169219","240415","283355","219346","381266","172966","205182","188485","166530"
