"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M305.1658T309.8","305.1658","309.84","162.2488473","66293.67897","158.4530759","6353.548579","11245.90237","187.5087224","158.6810856","253.7866688","158.7711903","9106.874411","1934.632036","3168.218721","906.0459879","154.9948454","158.6679855","162.9135979","155.1955733","156.1419708","1227.188468","159.7946241","1431.993477","238.6775154","166665.3141","163.1410541","158.1212082","161.7534676","158.2071766","220.9503314","159.0455383","157.2794357","157.8884616","156.8812913","155.7038276","1303.377793","6355.803805","154.4228257","4428.986409","156.8344413","158.101029","155.6996666","157.9944556","1404.853205","751.3492166","380.4994041","5590.303309","167.0892345","5153.01676","938.7289392","275240.0166","5302.117667","172.628955","169.1897621","171.3277592","553.9253761","170.9424499","185146.4398","1664.864195","386612.5418","446.5627656"
"M314.2454T391.1","314.24543","391.08","39872.98301","58004.85127","53648.5989","94117.6373","9421.379727","19586.64121","67293.41204","26861.59556","44121.08682","28192.06668","22083.44491","70789.40428","78472.40876","8488.598279","20022.50942","14795.22988","100452.7654","52442.19617","20588.53631","3273.236345","40560.33521","36298.71996","21651.4851","12662.85386","57695.02887","13833.62399","23219.17917","71217.5957","26194.71578","7963.718325","11763.51424","111089.9964","6314.553439","13989.09445","11923.47812","9101.607216","69873.09854","4799.203163","56452.82612","13769.15417","33331.00961","8652.468599","64791.91573","32388.282","136015.1121","59170.09027","169098.2298","87821.49814","78435.26607","118431.2941","29075.30081","247686.9667","79821.04483","125636.6819","77705.52046","386533.8145","30943.11574","100455.1156","19125.20099"
"M480.3273T968.4","480.32727","968.4","225.8392508","228.9425283","230.2224153","227.8160871","429.3843096","230.3708084","232.6704634","226.1313945","322.4204472","424.6310845","224.7965735","227.1004399","222.4978349","225.8891489","2331.304576","3110.15385","225.4856884","218.8876291","223.0136278","356.942847","224.448797","1701.606057","953.080474","2002.67512","223.4437918","3204.743642","224.4247188","36494.5477","6197.894581","1471.62708","21958.99008","220.8485024","6620.31112","23284.41075","11487.66845","1447.171124","927.5138658","3259.356416","1575.015597","3327.730385","10941.6817","29938.16348","8119.041502","1638.230836","4452.97434","11038.64083","6714.912732","9136.414661","2247.443649","1750.90376","274.8341554","242.3406715","242.3889376","242.5769247","418.8684621","244.2518041","246.5959825","249.2893722","73130.71758"
"M577.9072T343.7","577.90723","343.74","97.75569837","95.79536274","93.71329436","2218.703376","98.25038412","96.73345214","93.13940816","168347.521","1831.088091","4070.033315","170985.8795","323.346584","95.69457673","94.72639626","98.04815957","155125.8725","95.95179675","95.98054156","98.11350697","98.87694618","129978.5497","206395.0252","96.93802077","97.2017142","96.90133799","99.27536626","13141.05461","7759.248345","98.29231741","291181.4911","99.99310358","96.6005268","98.13856375","95.90328074","384320.5596","153.2882875","103451.0357","98.50893922","97.58763642","95.88242406","101.3145281","41013.30001","102.8559262","102.3612091","98.65466419","102.8515988","104.2795729","103.1496116","105.2445371","102.9693955","106.0478174","102.7762097","103.1567838","102.6640488","102.5761192","107.1064991","103.780845","102.6228529","105.573019"
"M435.2169T353.6","435.2169","353.64","182.02643","187.3476329","181.342582","595.609036","183.1787038","180.1595481","179.3384507","182.0729832","189.8014337","175.610261","181.9739296","187.1828492","184.573874","185.5941457","383343.4324","220.5114738","234.9039309","186.8648679","185.3735833","184.6007015","185.0312569","188.8199199","183.568308","189.5076766","191.2148605","189.6016312","184.3246879","229.1104046","186.2932183","175.3312128","186.1171549","187.0702633","185.761621","182.5752519","187.0636531","224.9308836","188.3816077","182.8571675","1384.349059","183.7214359","187.1456275","185.8672203","196.2486278","194.0961199","194.6300154","191.6568166","192.1196202","194.2844625","195.6463653","191.578805","189.8216451","195.3366415","194.0074979","345.526098","195.4500458","192.7976378","190.3875365","198.0412968","250.1838617"
"M328.2399T591.7","328.23994","591.66","122.6514073","405.4084254","1153.714444","390.9954482","128.2795158","195.5339174","343.9725761","840.8199727","190.0925511","551.3287796","126.7730356","1088.840783","215.7584809","211.7100156","122.8011951","628.7280574","241.8233851","268.8615508","255.4607823","279.8896515","125.5223378","124.9604158","268.0794809","126.0106316","1133.510552","128.0282541","127.5256496","124.5537897","124.5284561","224.3916127","395.0433484","664.229648","1296.653669","124.5589641","526.9739831","127.696003","573.1742958","266.7811266","5295.826678","172.5970954","412.0889277","127.2218286","529.5612702","479.4049036","194.3165283","202.7960064","477.6666732","131.8449927","383333.126","429.0375726","1504.726258","286.4785101","217.936829","1154.648714","581.578383","306.1096167","245.7313157","3411.649435","151.4817292"
"M404.2922T730.1","404.29217","730.14","192.1351439","271.3755972","83.79868579","85.07350766","85.17238951","85.38386627","84.03366253","155.9741438","87.50264173","171.429199","84.94439563","83.67252704","84.06544086","54729.55084","9170.837954","216.2567302","84.54681285","4555.083405","210.9310289","10444.75312","4880.178902","140.0511153","73454.82736","84.81851255","110.5001038","86.72422152","22577.69172","44360.81886","1458.600188","11031.21115","1607.394269","148.5638198","45823.55266","430.512655","1597.05975","3485.644867","92.19604353","274.1804687","115.4388261","87.31450062","3020.959429","86.28588271","157.5846868","120.1070879","2040.683614","180.0499656","18839.2998","1715.850331","1605.281565","383159.2641","880.4714098","22556.96075","251.9912983","127.554468","93.08141387","92.31436427","5328.950806","1009.288089","39766.89117"
"M462.3339T577.8","462.33391","577.8","28296.13072","22739.66527","828.7988028","2427.442462","19057.35578","985.4573069","1512.911162","22194.4531","35664.47833","12029.12131","45711.47625","332.3022199","382694.5919","653.6563647","23359.39724","21779.79924","658.5722406","134380.2997","22020.51497","9351.284388","33654.83822","7832.444521","19907.47629","13246.68514","4640.751139","29467.78308","106.5133835","17848.09373","46503.66693","15281.63078","1287.665958","1130.52621","19385.06891","59690.15914","16846.38953","927.7111071","3142.823515","916.7435799","14660.36867","588.8604172","22728.79524","10739.23508","42909.35322","667.1026284","11627.13281","235.4202403","87510.31853","90164.50066","11380.49526","113570.7117","182.1943769","17335.4908","19772.05455","5569.460446","2592.610707","786.0710345","69179.35918","3680.400258","15215.74804"
"M484.2795T561.1","484.27948","561.06","58774.54966","382361.3255","63623.36392","36389.44297","33588.22941","44309.68308","31138.75246","45260.41406","41557.66151","1112.785754","43656.54133","51435.2432","9447.855423","30289.43375","24121.4036","62409.37687","53796.74504","241165.1194","70159.96628","46361.45279","13817.12879","34040.66009","1486.203871","11097.82159","46450.53469","13967.96849","20645.39985","25269.14396","18030.11402","10416.90756","13916.89153","4368.376365","5529.960169","1147.347117","6803.578668","9953.804378","2109.589298","2905.317199","4837.299983","1870.500811","4189.918614","5318.609528","3739.451646","8108.556205","14463.84102","7992.184461","9592.3303","7360.57557","3785.721403","11581.11823","1347.41707","5508.053086","6202.704175","5796.530465","6146.405479","6353.163018","725.549213","4307.837116","6177.024707"
"M426.37T683.2","426.36998","683.16","1752.084511","2040.294679","17468.94365","51782.73132","226.4719278","24392.61377","4371.267718","225.0414313","8077.04119","901.1503123","3086.503944","221.3081787","221.710543","13964.12265","280.2218992","25811.0156","63494.51162","310.3512665","774.0022965","21309.03685","10580.24353","245229.5548","381231.274","31538.05327","84851.75239","228.0937169","2106.599114","284.2286248","9333.515296","8057.70365","12050.9848","25788.06397","6567.906374","17995.9191","85637.81914","190356.8741","223.4295754","26867.74913","8096.986406","28738.26664","286.3382043","86092.19637","239.7478922","239.7552974","237.4719141","312.2571999","390.0289072","444.7886097","1075.92187","242.0787058","900.7947722","242.5320795","240.6272441","380.5648041","238.7343804","240.6874256","239.6257731","238.2753235","444.7986624"
