"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M466.3105T875.6","466.31054","875.64","1073.082862","2488.877977","2358.254269","660.1312094","33141.86868","3264.237159","1421.887249","2427.687678","1176.670861","1796.131656","1283.041471","977.2847105","936.3837055","677.1776515","2129.006716","12194.89535","1954.575695","67566.81078","17432.26529","1638.515286","49144.90826","41165.34816","124450.7159","675882.785","28246.05524","52117.96644","1636.013841","72589.96633","53529.91756","307884.0973","207804.6359","132942.5033","96665.7038","51454.4558","256768.4246","1836.24856","17198.4259","1314.839941","672.6955015","678.7310256","2770402.829","1169982.511","7197088.508","16193051.65","8818582.108","557786.3796","17312028.58","8172268.866","113378.7432","11936.92707","9503.370843","316997.6922","2551981.269","1547703.9","27417.39558","1950246.365","104685.2626","935006.0563","22735641.5"
"M466.3111T819.1","466.31114","819.06","487.5371216","310.0494683","841.1694971","472.9982771","308.4323504","1223.794127","312.8041735","315.2296241","413.9389774","313.4368488","473.5284532","704.1848218","404.7163033","311.1278731","319.8230584","307.9755669","311.6063162","314.2081866","852.119884","319.0351092","316.3000775","462.1478723","513.7719796","318.0199112","310.6650039","319.7888364","309.8319443","1151.807987","602.441334","2918.225219","477.9227438","526.5255185","1148.144106","114882.7782","318.0428221","306.2084133","668.7930493","311.891765","314.4873108","434.3050341","1727.165685","777.2444409","1034.751943","517.5500168","3705.552745","12771007.74","3700.361219","1542330.103","1566023.491","21245.34683","6110068.513","2150.190871","20865769.89","11899095.01","40416.58163","19622161.6","1794682.993","18845316.2","331.8999946"
"M466.3109T993.8","466.31085","993.84","279374.8786","3808031.707","894223.4611","13568.99304","261442.4208","536537.9337","24052.67196","1206568.24","59082.30118","5244713.555","3877625.573","143135.4769","4121396.138","17025.70809","9612673.464","19741585.52","2460920.859","8230577.98","6838709.97","3127862.269","4555665.937","5835644.603","6538616.798","209289.176","10450901.8","3293372.565","1844143.675","227198.3977","70789.14565","266778.7337","23821.00082","2444224.746","434169.0504","257428.9227","1354959.129","256428.5332","60796.54843","115733.3996","123112.3832","7484.359911","101279.8991","21033.01866","3235.46917","8207.731662","5342.299464","12445.95009","12862.04793","14823.31174","8425.303589","4865.31976","5857.454607","2656.633554","5077.946535","3400.270009","1343.848401","4834.392223","2497.975432","5879.21539","15002.48941"
"M466.3103T889","466.31029","888.96","366.8656774","489.5139464","1076.307719","371.5112644","45227.43027","2556.418795","368.9886873","1416.351946","796.6917026","1082.724632","659.4055757","565.8185638","832.2425551","406.4068939","537.3724356","30229.10745","653.3495401","214861.4885","284968.4825","4007.317494","7597.100249","24023.52934","59886.44435","1003608.426","51161.27244","127751.7287","584.8559525","2810881.505","1769429.354","1395603.203","178125.7917","287300.0337","469238.6221","2114616.063","1129077.97","10897.61025","80041.18834","378.5344215","26891.57155","126417.3976","678577.2388","1169982.511","164261.6768","2477228.609","2296002.395","1844572.03","2405848.829","2490382.313","1252725.072","9162.278408","18873.85514","19175.30009","171084.1492","83314.60697","54683.31075","100125.9602","9805.685566","70811.52887","17472626.02"
"M466.3107T938.8","466.31073","938.82","2640.549286","161553.6206","7406.788005","2057.805582","21707.48826","5907.018253","1468.861083","284647.7171","1854.329295","7098.748357","25326.51466","2107.037979","149399.5512","1112.560469","3684504.283","2434995.571","37823.70911","15017436.5","5671521.803","551398.4339","1639557.087","2699998.997","34779.76545","5409677.887","5296503.08","19000.55607","47853.81293","5143897.164","2702136.077","3660127.962","3329843.582","3330663.699","58191.86516","665301.8936","3025028.398","1644282.893","28266.52583","33883.02761","73437.15278","3388994.037","5891648.366","8579048.927","25327.32078","18070.43279","2819.68985","16216.88981","14435.03627","97653.88207","31678.04311","26320.5569","25453.20345","12240.86444","1115.864775","11141.86533","8432.944134","18212.66409","7858.666221","3695.533428","1027698.505"
"M466.3102T922.7","466.31019","922.74","756.2755189","20384.29984","2268.315154","560.3377513","255518.247","2974.59399","913.4589833","11689.46534","34985.68152","31509.04376","16388.67317","873.7934999","107263.1418","562.3780158","755910.9255","555445.9125","1364.952226","223008.9235","4125997.269","50367.76403","27657.92018","11196.86466","2500458.127","1260426.349","4080603.26","15527.8754","1570.41069","3618149.891","2702136.077","2602119.21","1859243.015","317189.7259","3692833.426","3061496.169","3333347.638","1262057.284","113980.6953","776079.8616","259921.587","1775308.049","4554955.026","987501.2954","3942.535903","51189.67698","6651.389545","368372.5439","13987.89514","183681.3886","23168.95215","25580.21921","37714.49818","14851.7687","23644.66063","9994.62372","7579.299279","14611.53132","11161.89371","14161.20267","2903521.868"
"M466.3106T962.3","466.3106","962.34","14224.25728","1230852.977","58459.91995","1515.799312","5323918.714","84303.39678","4804.130103","15902.56308","755246.1779","2320884.517","271279.7826","18544.3578","2237116.358","1132.428756","11583417.08","4508613.613","619180.5996","243046.3194","4479764.909","525545.0115","28854.8974","137090.074","3647235.393","3527219.688","65006.96976","3660391.947","830352.797","8106754.713","6018961.328","4193388.916","4020144.341","169082.1634","1658462.557","11727579.88","6205401.318","2994249.787","1890507.517","1727748.152","1404189.868","4691035.019","1502366.031","213120.2747","12749.57768","17512.92959","15900.66918","27077.4137","9090.518007","2025.188834","17819.90144","15560.94023","15997.57805","5951.143698","6830.607786","7968.173301","4420.619218","14475.59584","6375.761163","9831.762855","2062.022959"
"M456.2527T359.2","456.25267","359.16","459.0098817","13167.02735","241.0250616","238.2539862","266.9523488","176.7071846","177.8609338","178.2256652","181.8696","823.225309","3070.088527","184.9841638","587.968069","175.004622","179.3708025","172.8512497","175.9826055","878.2496932","328.7795543","509.1250806","176.5678323","678.2570391","1121.616895","181.4965617","211.5121847","182.0586783","175.6094857","171.5261683","232.2997424","311.9243089","360.285318","440.1240752","371.1003166","305.646989","196.6516603","258.0175929","1244.56039","402.6445914","11079.6811","316.7276134","357.7281084","650.9412448","4238.460952","35907.77491","287077.1762","11322.43688","675559.7251","11259.41645","20367.04623","1669.370371","862.9981931","2814.666664","1785.331533","8730955.57","674.599555","7586.45602","9141.161338","4576.234923","2529.493215"
"M472.2479T317.8","472.24794","317.76","37740.62092","68953.21983","639457.0466","333765.3374","312161.6219","9124.033667","175430.1223","10813.69847","14462.0991","336410.6475","302749.6689","345596.5662","311442.8326","134596.1668","1624538.232","25468.45489","783449.6896","80450.36636","24329.82169","12662.14787","8319.56422","26103.29987","1388797.052","24238.44192","491278.769","9615.742771","216712.0172","14362.23782","567544.709","68224.48244","1353565.194","1237809.453","98048.11067","1875.427368","98354.02052","160873.768","7912.309515","978059.0404","229115.6152","981047.6127","15289.44282","18642.98866","6203923.703","398395.539","5130.492486","150366.3792","390460.9024","13692.3949","215332.9446","1452.097571","2265014.283","217360.0514","86535.33636","8287606.172","19757.73568","334474.9639","655712.6223","1933.863162","2231.024279"
"M472.2479T331.4","472.24793","331.44","9579.054645","819516.1281","289349.0673","18950.38644","6853.057534","1007.792813","3136.649433","3349.241673","5809.260506","295144.5836","7657.709051","440751.0085","56133.05026","37329.15365","15976.04405","456.1882851","2617488.842","1379347.911","299699.6526","985.2461786","3729.733337","2120.121529","15103.64587","982.2963244","3682540.551","54575.37309","4788.0931","1207.81966","17801.44957","403239.6093","9169.405893","4917034.011","1439725.913","7348.787403","108363.5445","1370379.486","31803.96028","9970.303574","65043.54172","7064993.07","147369.2018","6618.079327","51925.21097","14840.64887","8314.79413","4457.935026","78717.39877","41758.3674","3629.660071","2887.126093","6358.621821","3559.902083","19172.19147","70403.48193","3210.270826","5175.812201","10903.67441","1063.529147","4149.092817"
"M466.3109T1015.6","466.3109","1015.56","419237.4564","41593.46532","1348183.335","64654.63531","4148538.551","1030669.868","157465.2427","5087.984027","2624.286642","3603578.328","2191782.429","314212.8656","3249858.898","831769.0725","6135024.106","4459377.366","3157503.001","7136347.862","1018865.766","561954.0899","27450.94885","585459.9764","3298218.372","4531.477955","3826680.274","102984.5551","473208.9667","26449.92836","102048.3987","22448.93296","18928.08529","1599.843455","31760.88168","153237.6799","88535.75064","25351.9338","19993.07724","29418.43679","6475.180832","28398.47742","3568.514169","47043.19322","2655.295813","2141.255287","1057.474977","3751.917963","4721.752662","389.0614189","1447.53639","2950.236063","4492.660261","1792.379992","3375.246312","2265.250225","987.978238","4098.051014","1450.274947","3271.741034","8627.246555"
"M472.2475T324.6","472.24747","324.6","44257.53266","112685.5871","639457.0466","333765.3374","5541.695495","1123.703024","175430.1223","2730.253535","3408.053643","34908.40312","4751.174883","36694.4844","31625.94046","178456.4395","20342.26004","1513.743488","803789.3562","70681.17506","7479.691347","572.690807","1154.6615","2416.285503","9596.53303","1091.100162","33369.58379","18468.877","4613.171633","1114.292346","5767.258664","8079.532462","13436.54304","4917034.011","472135.6666","3013.926879","6328.832377","70684.99182","2177.146031","6599.560863","795.7927003","7064993.07","10240.6727","3614.150888","339182.3766","18565.82688","12476.64817","14353.15362","79900.87041","56213.13423","215332.9446","7749.028817","26285.0531","4704.860825","391608.3756","3141574.303","20761.71652","5684.683008","655712.6223","3037.373316","3027.915463"
"M179.0614T203.1","179.06137","203.1","2712106.736","567.9593219","226150.1768","7115.094273","3519.137652","4558.527016","266.8256862","2079.433252","304.8409364","1057.102815","1391.62826","2418.384224","425695.5022","205.2367795","548.9030732","215.2899694","200.7959997","54087.18391","13985.11383","202.4397294","5209.102302","392758.8137","6099397.719","742.0009055","9082.624488","25313.94272","218.6030483","911.594413","1207.249756","5494.850811","3697.474434","17392.8299","164581.6775","39001.14384","237686.5807","435.886213","13696.03633","4294.60265","93641.95285","4701.661361","693.3453992","236107.086","214.8116455","3986.832654","215.0476255","689.0839142","758.7250762","17064.0931","552.9361022","539.7034504","618.213263","840.4843134","359.1534493","688.5274256","218.4182788","683.775809","396.0378534","748.9070954","352.3868066"
"M468.3267T914.8","468.32669","914.82","1290.777395","1630.697371","2836.889483","1216.631278","644.5957623","664.7056405","662.8662013","659.1677156","658.7654869","664.3955917","664.1021432","651.5133852","660.1802513","650.5956201","650.738766","866.6569356","1290.562545","652.2537861","645.7900178","652.4372739","657.204637","649.9971873","643.5939737","643.1249857","660.7100674","646.6707251","672.5189533","636.1184607","638.9292047","646.9982349","669.7689626","689.7103251","648.3003873","4343.10617","653.1892647","652.0833735","656.0286685","657.2850452","665.9812864","644.2387492","1514.861282","830.2391544","7199.787844","10218.3928","116187.2733","290686.7433","602328.1196","5110912.837","5325190.058","3620119.492","3233.3164","286222.5365","1685.945782","3004.190161","5019.100165","3607.303474","136533.2332","195174.1127","1481.341121"
"M392.2912T410.2","392.29115","410.22","2200392.081","2572095.267","2248161.434","7199.344001","2172873.989","2116341.696","1359413.872","2803543.439","2244530.407","2104380.307","1738372.759","372039.4473","1745296.688","27919.50563","2009238.485","1808810.529","317089.783","1535947.719","2994670.346","542019.28","2594638.241","1871348.668","3247153.31","832625.3146","2118888.043","1453381.269","1341682.391","1954858.938","1667126.652","1999303.44","2191424.161","1830967.828","2700009.748","2460321.356","1829439.2","32485.11612","2354592.728","1906827.703","2317151.588","1973274.222","2345759.924","2330718.25","3483495.327","532601.791","1238464.249","599155.2378","5155502.335","2795328.925","1495088.724","1973935.839","6088.962268","2840971.464","2149542.203","957184.4308","1204763.227","355432.1147","2329360.907","3689698.773","2020725.219"
"M472.2481T310.9","472.24813","310.92","840.6100348","72058.24795","125637.7919","39354.76656","92628.79091","400.7699726","21215.8308","2537.524607","4215.1735","18004.53015","17714.59345","37358.53497","108310.2366","13054.5954","37189.0746","1162.179865","783449.6896","869307.2076","24358.95105","13321.06284","8278.177004","22478.30814","1388797.052","1519.49379","491278.769","201437.5491","216712.0172","14788.00702","567544.709","1256661.696","1353565.194","372064.397","1878126.808","37522.57201","98354.02052","160104.6024","142239.1673","978059.0404","229115.6152","60498.17163","1312449.016","53247.0426","123970.167","6529.79342","2265.176642","5776.715606","19732.5049","733.9743532","23230.09362","28037.67042","14917.58373","16234.38653","27413.49071","5146031.869","5547.361939","4154.3247","12240.24979","465.478888","2004.118473"
"M472.2481T313","472.24811","313.02","2138.124071","67745.55961","106478.7521","16616.55608","312161.6219","8267.75526","11510.03007","3330.118329","14450.25446","336410.6475","302749.6689","345596.5662","281836.1523","18985.96483","1624538.232","26705.42549","783449.6896","869307.2076","23592.24029","13409.87431","8367.784614","28568.63628","1388797.052","25965.14785","491278.769","201437.5491","216712.0172","14753.98167","567544.709","1256661.696","1353565.194","378460.5383","1878126.808","37944.12162","98354.02052","156258.6213","142239.1673","978059.0404","229115.6152","543424.3427","1312449.016","70087.76107","72961.53284","6784.064438","2419.246856","5303.769074","390460.9024","749.4081978","24238.50586","28811.92076","2265014.283","217360.0514","23983.04795","5146031.869","6754.255021","334474.9639","12590.90413","2045.814819","856.2271072"
"M468.3268T926.2","468.32681","926.16","570.6429429","657.2933003","422.0976173","774.9561018","405.7650571","793.9646573","418.4422296","419.8692345","419.5982037","418.3209057","418.782814","414.2783671","414.909268","414.4090775","406.9414831","412.6651627","527.4815429","413.2157334","412.882939","422.0153641","417.8004825","409.4990358","406.340583","409.9316515","420.8516644","408.5601713","423.8646847","412.5046596","410.6072915","406.4678039","407.345767","409.8568804","415.4274072","405.3487193","416.0611481","416.5179653","424.8922925","409.5920469","412.0666833","405.9269699","409.7585727","406.0907979","446106.1821","201357.2417","1310020.072","373156.7738","602328.1196","5110912.837","107293.6183","3620119.492","1118.57775","81194.04832","27780.32556","4289.172567","5281.795785","3094.675828","74241.9214","98504.35457","6524.143181"
"M300.2655T518.6","300.2655","518.64","1401319.037","2262808.424","1393806.074","2258152.441","552106.0882","1469244.22","1668770.703","1896699.397","1254945.537","1664934.41","542285.6137","1983705.676","912904.1289","1207411.591","1299405.308","2002831.119","2830524.879","475338.4141","1516116.061","1149097.108","1840248.549","2149696.95","1105702.272","2130265.808","2111154.55","2347779.808","185038.7055","2538958.751","2165987.392","1536265.802","1682835.029","1358952.57","1619027.831","1985622.03","1993679.858","1267020.398","884340.0271","550318.7643","1861384.889","722168.8025","3333425.442","658100.6408","2948349.678","1322216.713","1094510.081","1313353.097","2090766.461","4125091.868","1930571.12","2938052.999","5090861.441","3225246.137","2670799.419","2241211.721","1606519.124","2123770.098","1303242.831","3009288.269","1963217.63"
"M494.3421T965.2","494.34211","965.22","12497.87723","11911.04919","11867.17672","5230.095832","471.7928634","4131.029442","3736.876602","484.8486858","482.7048325","469.8093603","481.1463749","585.3810964","473.4705328","2236.116934","475.5547356","472.8813134","779.5036779","485.3336983","474.5681287","487.9193816","477.6221373","474.5611278","472.4043742","473.7904762","481.5750767","476.6540681","482.0227046","489.6127704","472.5561519","475.5662449","570.0938854","473.4378921","482.377607","481.9410441","477.8863103","475.1454518","483.5050646","481.6876886","485.9243196","478.4846466","2341.661909","682.3087071","377552.0095","2121427.656","790958.8255","4449543.214","1050793.302","5011800.232","781357.0754","555269.928","15903.69854","122766.2249","382679.7494","7136.791886","11939.55764","100734.9758","84246.04231","64656.30743","83201.50605"
"M456.2536T388.7","456.25355","388.74","1024.61627","231578.1578","18325.46934","6245.634751","654.022673","2073.701181","28269.20255","1485.096228","76789.52303","198231.1594","101960.6601","67846.58666","173805.2832","3616.338692","2963.376156","1484.808978","162001.6039","1161071.481","972170.959","415.5732166","2026.233605","491.8335543","568541.0842","219.906949","902196.9432","48677.66287","218.7944815","5130.919101","8589.155832","349.6330482","19870.92722","4089908.635","2863244.648","88158.17943","4021.564082","94944.74368","175306.7353","366.7323723","286955.5153","1036740.451","372616.6254","193660.9689","980.0688569","1513.907365","2155.281125","664.1618842","2764.418689","2253.678358","5426.194028","669.1926252","1976.860165","1509.737317","1005.957642","68903.52881","780.3344932","756.8251833","28651.42219","1459.666207","756.1426068"
"M456.2531T366.5","456.25312","366.48","128.2879014","11171.98412","180.7770701","260.9757973","128.9020266","129.4654659","260.9931172","532.7648451","340.9636811","2292.627462","336.4331958","133.5844148","313.1015404","497.7700336","182.4480513","133.1516583","400.5566643","6150.162967","821.7174195","131.2495875","128.2543491","279.2629459","17958.98659","293.3569905","619.0590949","2169.501597","129.0264318","198.1767171","156.0308235","53006.80067","636.6058389","126.8673129","65713.4274","369.9869741","5963.390737","167.460999","1377.885642","4301.808312","12277.12368","494.3994581","16830.67483","1135.918516","1288058.445","77931.95322","2286.270757","158341.6091","106261.0528","481.7594606","701808.9851","1568.165193","77558.54992","199530.5275","196925.9822","2926585.589","6159.037234","195966.6695","3916466.043","6291.030335","1266.354774"
"M456.2532T370.9","456.25324","370.86","369.5305213","23444.9595","685.5071553","470.0545953","181.438243","180.8251606","329.8925278","263.8011901","2751.581313","2858.75823","4497.100133","882.328671","24773.14601","196.4678847","875.0288775","820.2593001","546.7524735","11357.04722","1904.265751","180.3406118","655.4614409","625.724238","17647.46546","200.97309","1926.7119","1041.46987","236.2770794","442.5281395","4329.30667","32544.511","3586.770497","6843.741542","65199.14467","1957.451314","2971.861958","610.1374722","4179.270287","2770.111516","7376.228279","5566.570432","62880.90334","779.3072893","3842957.663","77931.95322","48276.99651","158341.6091","593994.285","211272.2875","701808.9851","120671.4197","1252.79859","4029.158797","212292.0343","235826.2166","5957.101525","5151.666617","32843.41022","7647.513936","1440.598812"
"M494.342T922.5","494.34201","922.5","21707.23971","18072.98246","31940.34099","5729.383773","1236.916643","16620.34108","12017.52925","669.0001933","476.85614","927.3080395","475.9126699","852.4844698","470.5181213","5183.959005","462.4559587","977.8552878","3744.132292","469.5861348","469.207941","479.5862007","474.7963299","470.50909","463.041389","465.8540424","478.2637504","461.7117932","481.6878034","468.7780572","461.782275","468.3382585","462.3549923","471.0553364","472.0995225","460.6459119","472.8197176","464.1611022","474.8750577","464.5255863","482.0793923","462.2952213","465.6573523","461.4892241","10905.35811","14603.5398","51893.81603","5594.976781","13482.46465","133904.7457","37189.146","53808.53954","325854.1253","54811.52074","1465826.276","349132.207","412051.5117","3690024.626","662615.5651","898127.7543","3434.60947"
"M468.3267T880.7","468.32667","880.74","281.7180025","284.0609938","286.0923565","505.4811178","286.7445096","294.2805724","292.0786718","292.2683994","294.5396026","290.2733093","407.6534471","283.7398693","283.2643225","295.3881847","290.122209","609.7524928","384.4158444","299.00119","288.2634647","289.0082948","292.1089656","288.8407424","291.754937","293.1051965","285.2445631","297.1033549","337.2074986","288.8973287","289.7387856","277.0191127","285.0266122","288.3672123","282.5905845","278.2697012","287.0051973","290.4064558","289.0626265","294.956306","286.0578984","294.0311303","282.2709001","284.3926989","304.5181811","299.3836501","297.7917631","1009.425953","298.6300863","3294.681102","39174.59652","6317.704721","4037.044126","2542.713468","420276.0294","61367.85503","2570.080326","109590.0863","867210.2812","3581814.503","291.9120736"
"M408.2863T284.5","408.28632","284.46","49557.45076","2848.917185","914527.1206","1145675.187","51831.35332","28497.77817","9226.193284","44016.34315","53211.11859","6687.948098","7106.102032","39339.34261","38130.43058","2077182.676","66959.64328","69997.69223","40034.52085","45695.57683","44792.26124","4739.230181","14989.76323","8095.406217","68428.58626","7056.082759","52066.41234","8287.085959","5299.38294","34539.00406","25653.89355","23205.48999","29547.75181","4310.742054","57137.34002","44814.298","730512.9095","1679693.909","43761.84194","32831.60752","7034.372417","8894.993159","33985.42754","47841.29113","102707.9649","1610317.94","347231.1239","3580639.479","93863.23809","9801.006123","558.8026411","57232.37012","1091213.947","24663.22633","63754.40386","584530.7931","553488.4912","1180668.536","5929.611771","54542.09728","37253.55901"
"M478.3106T793.9","478.31056","793.86","722.5439218","720.5708117","723.9620664","718.088191","727.8631401","824.6800109","726.6515894","719.7741548","726.2016434","725.8401273","732.0960158","709.8546516","718.1728406","712.4866949","1683.37266","2265.83061","709.5244603","724.324523","744.3817672","727.4912696","959.4249417","740.6259044","1548.965795","1186.89983","766.1759108","1046.853529","717.5318474","1318.811912","723.2820211","7728.733684","2594.864084","729.3880296","5653.100491","57754.61147","1248.378001","743.7698279","731.650758","726.5354585","842.2107529","718.9434894","9614.062552","5442.171359","770.0910904","1944.840734","1367.165815","3404477.558","860.830495","1187.871929","23540.6558","874.832343","282619.9153","10975.67372","169145.531","75269.42968","38171.56345","200662.3518","113727.8761","217553.9154","1037.349202"
"M392.2912T368.9","392.29121","368.88","1515279.37","1457594.904","2125446.395","183325.0139","1126808.176","1002128.825","340540.6791","1787149.056","730368.1242","967666.9515","650267.0842","793875.7509","1892195.445","46518.97615","923491.4003","585625.5798","177361.8323","515073.6272","1974930.246","113582.8105","1535753.528","543191.3109","1873261.063","249845.0587","1087866.271","560682.8146","343763.6329","1013684.834","1107789.849","544620.4925","925058.8508","385117.0173","697575.2671","1183742.665","387450.3994","48544.11137","1606936.216","737911.066","1149546.872","692018.7018","1051448.188","882754.6993","774147.3077","286083.2691","3393081.88","162173.3835","2616630.217","1154786.429","102480.5791","920072.6231","311464.6463","1500528.746","882602.8671","2349229.106","719108.052","872926.5089","377627.4053","2492366.182","2088758.942"
"M454.2378T364.6","454.23785","364.62","235.1714966","35534.20136","823.5039146","3820.586191","4122.954384","309.7831472","242.3414978","1260.166674","6086.588133","54608.63691","8931.064937","260984.262","170100.7362","1770.134298","1423.922298","644.7994589","840204.4539","270935.6204","19855.35589","1222.779245","160.3197905","1158.109473","50772.69876","3574.771028","377169.0795","129712.3356","91419.30086","847.2902039","331.4129832","3250.83531","2237.931575","3336175.679","51822.74753","572.421271","105806.2615","142892.9115","65531.17133","416.7998337","11366.06099","873275.401","31880.28155","126052.2696","7446.048383","20271.65038","2869.464702","41683.64534","16689.32286","4392.327334","57710.75604","16393.07092","23422.64133","11258.16228","32167.70037","3311.928885","14974.12499","30021.5734","14568.88311","27205.29348","2680.358909"
"M494.342T890.9","494.34202","890.88","33925.19364","59601.38807","68858.03269","30806.2326","2498.050084","69916.3495","41924.29536","893.4189735","1814.929452","1765.067897","1806.53785","1377.909322","780.9626227","11563.2928","993.1007212","5559.744378","8205.536749","645.3278103","737.2381069","606.7001246","610.2519417","601.3213045","614.2836996","599.7718221","662.7680681","615.5103895","811.5210352","606.4671793","601.7822016","597.2686301","597.6290963","597.1215098","596.5294335","588.332404","603.5541889","618.9629802","621.2369868","613.9561908","625.7809955","617.2443026","591.4897016","596.1525113","1006.921511","9880.890841","1378.124778","3014.219447","999.1559994","3811.624898","41396.82571","41439.50918","3328532.063","2187.428287","27491.51409","3108.279289","2323.39115","52070.56977","10216.83134","31358.01037","1303.674497"
"M456.2534T398.9","456.25338","398.88","14823.20585","2219012.175","3298377.762","8186.121862","1071.806798","665.1992683","2166.210612","272253.6308","722534.9937","496332.0064","676525.8092","167889.6966","2915860.676","57985.54383","3525.043955","10247.39092","393089.3372","1161071.481","972170.959","298.5746888","8003.664417","1026.144475","72223.87901","5154.915616","902196.9432","34541.41096","234.0270465","14970.75436","5160.423875","49438.76026","15110.34873","57476.13602","3935.519475","54860.63583","3185.908352","97862.44058","127852.2854","357.4896521","286955.5153","1036740.451","3987.873239","724.908865","9692.883071","440.7399602","1401.143749","248.8484982","1030.22489","1014.617031","609.9611137","684.7035628","253.4563824","696.3810021","949.2866296","20027.27375","251.3393547","374.0273235","9746.893839","274.7762983","252.40773"
"M466.3109T804.5","466.31089","804.54","121.3976114","299.2543212","431.6559628","365.6158864","120.2972108","169.3260879","214.1546676","121.2605953","155.7879245","121.1145925","269.1878399","121.3015053","156.3327276","134.8560331","120.3360133","359.8717346","386.2739136","121.308789","300.8923142","122.4489178","123.248934","125.7381202","120.7561775","284.250893","424.6638552","461.5756081","179.1061557","117.76133","206.9594696","819.5852371","201.3222028","124.537312","215.4517816","974.1277249","123.5259207","220.1980797","121.7745627","121.4122066","121.5073273","142.7557754","440.9072028","179.1696481","169.6244698","131.5273296","186.4025973","639243.9636","228.9112934","519.0610893","907.4246316","20371.88711","247065.4886","398.3157894","689673.9039","3208948.785","157.1674065","1257189.004","2304.25848","2661111.166","132.5074539"
"M480.3264T851.5","480.32637","851.46","1261.366232","836.1847843","1084.763428","849.7486426","825.1469365","1285.062182","853.6358078","832.0169929","822.0746807","818.3751634","826.0355542","836.9612689","821.9135242","835.0704342","828.8805342","827.9301328","822.5544963","835.364085","822.0343255","837.5304659","834.9713088","814.6616865","838.0053752","830.0807961","824.7454718","851.1402755","871.4023325","987.7816462","834.9564703","2513.026126","821.8351277","822.0526927","2046.345845","6441.683122","842.8161778","840.6422587","850.1137459","842.3025914","824.7208987","834.9332447","6035.251161","832.3810797","2234.554821","2992.685011","11096.94617","6592.872259","13321.54989","14709.42135","2531.663409","76648.89226","2979446.782","3343.03513","14167.77478","1073.579512","1580.385645","5776.186137","5397.512316","17938.12108","2122.355605"
"M449.3128T342.7","449.31283","342.66","1326.965986","3338.85818","17355.27875","1839.458529","6669.054011","362.3213612","1467.058885","59685.43039","98.79075889","274.5527837","94.51878925","99265.94931","456.0608544","24720.23142","104.3833173","139.2141677","475.0253976","97.63719481","201.2623494","179.5850774","245.9099224","489.2033525","383.2031289","6225.559626","224.0809049","10607.82281","787.5138308","236.0846745","958.1746502","283.4793296","1522.001873","286.0358142","6487.696161","129.0860929","102.3637269","53083.41498","953.1398366","18746.7354","3074.577848","175.1194308","294.2932585","201.8869928","663057.7764","29681.73293","2970285.233","4035.549069","14724.41787","55078.9443","24495.35724","3180.581695","55642.59966","238651.5213","163450.2096","25262.05949","6810.645584","168088.7039","7688.306643","67119.16031","1866.135023"
"M435.2253T353.3","435.22526","353.28","588.4820486","141.8637221","1028.339696","210.3695502","2937693.045","13075.29484","1608.655359","846.9900004","299.4715065","996531.2656","2061.306653","685.2144947","227.3748371","348.8471709","138.2453845","2664946.916","9551.91436","1143.170702","507.2902695","662.2183561","2203.794349","146.1091755","346.7238901","446.058926","141.1489835","308.7379627","586.3270911","2446547.041","25705.19951","2468981.35","6023.302447","871.1259468","1760.442068","933.2341345","467.8935725","1120.516891","652.0944684","1485221.579","2994.840557","864.7867316","4070.252729","729.6320101","148.60375","146.9738239","143.6537135","145.1267302","145.4771752","182.7494638","302.1175198","145.0676581","180.4655926","230.8701475","210.8817136","331.5308089","147.9990462","145.990585","144.1656035","149.9611981","147.2882183"
"M408.2862T335.7","408.28619","335.7","1999.313032","4713.454088","1307258.678","1633710.267","55419.64794","3249.211102","39511.80792","39375.91907","8353.159339","14452.72211","4256.021009","2417158.376","5727.573756","1315233.111","391.0826994","22240.41488","87213.99416","1253.377584","5471.365694","1680.857352","3591.994952","1990.066643","5720.053831","5641.676905","4027.089293","3313.859726","3535.575549","42064.63354","4267.52086","1731.632273","133564.0951","63927.43177","5245.714354","6383.472877","850627.8125","1264437.54","5407.609099","24643.06686","408361.7073","1907.120482","4917.608247","5835.492495","2865015.601","2444498.265","2257611.302","2138817.436","686462.0852","133353.8237","41593.96251","37749.94085","1956765.429","135662.368","330775.8814","1834108.174","2365086.679","2877635.288","35904.53723","453352.3774","82631.42905"
