"","mz","rt","pos-Exp1_K-1-24_1-E,1_01_55180","pos-Exp1_K-25-48_1-E,3_01_55183","pos-Exp1_K-49-72_1-E,5_01_55186","pos-Exp1_K-73-96_1-E,7_01_55189","pos-Exp1_K-97-120_1-F,1_01_55192","pos_Exp2_K01_1-C,1_01_365","pos_Exp2_K02_1-C,5_01_370","pos_Exp2_K03_1-D,1_01_375","pos_Exp2_K04_1-D,5_01_381","pos-Exp1_P-1-24_1-E,2_01_55181","pos-Exp1_P-25-48_1-E,4_01_55184","pos-Exp1_P-49-72_1-E,6_01_55187","pos-Exp1_P-73-96_1-E,8_01_55190","pos-Exp1_P-97-120_1-F,2_01_55193","pos_Exp2_P1_1-C,2_01_366","pos_Exp2_P2_1-C,6_01_371","pos_Exp2_P3_1-D,2_01_376","pos_Exp2_P4_1-D,6_01_382","pos_Exp2_P5_1-E,1_01_387"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M333.199T491.6","333.199","491.6346","25605.16","7151.689","5354.068","15689.74","6738.45","942.8437","1156.778","1161.301","1090.221","48833.51","73074.81","72955.07","67464.23","62265.44","36587.85","30681.72","7352.123","36829.41","22504.76"
"M333.2047T673.5","333.2047","673.46761","4481.48","2153.526","1930.896","5371.5","1513.354","366.1542","340.4533","424.2316","515.6867","85535.99","75411.2","90088.68","65677.45","41422.05","11196.44","9039.252","1388.494","24233.71","6263.753"
"M334.1554T222.8","334.1554","222.81786","12478.87","5306.263","5439.241","13218.69","3545.172","2324.308","594.8088","604.6191","665.9454","42836.23","13670.63","14121.94","13146.12","4464.113","3045.811","3026.445","912.0568","4102.402","2881.961"
"M334.2077T673.3","334.2077","673.28923","1377.879","974.3668","605.8655","1622.911","649.6955","149.5975","81.42092","160.2831","272.2929","18552.74","17169.53","19548.36","14543.44","7991.629","2383.128","1036.518","462.9498","5271.334","459.8602"
"M334.6932T236.3","334.6932","236.34935","1829.31","2698.321","2616.521","2181.813","2917.662","567.324","749.2014","639.8333","700.1446","22205.53","28216.78","28417.19","18014.44","21875.86","2979.72","3645.224","1197.955","7997.117","3416.932"
"M335.1384T337.4","335.1384","337.40557","15431.83","6044.975","6511.638","24657.4","4076.537","2267.961","1958.235","3477.898","3948.142","0","147.4489","0","2841.961","288.764","1704.263","664.9351","2776.795","357.0233","1488.643"
"M335.1472T430.2","335.1472","430.20065","11039.41","1611.816","1820.857","10636.61","2258.784","512.7782","476.9716","621.3879","548.3239","9985.741","15396.6","13153.34","10778.94","10613.03","3321.655","4761.695","1704.546","7251.588","3535.689"
"M335.1454T49.8","335.1454","49.77466","10107.3","15890.13","11276.85","8840.955","19718.73","3248.291","1867.943","893.9271","1992.417","17171.43","13061.43","8011.535","7593.716","3617.55","3265.957","2593.407","1445.377","3721.342","3149.852"
"M335.186T68","335.186","67.95627","973.9688","940.0044","726.505","1436.367","600.3616","175.8791","268.6797","259.6257","162.2091","21571.94","27437.78","25330.4","18595.69","11372.22","2165.975","2485.17","83.43409","9090.494","2661.371"
"M335.1859T589.7","335.1859","589.72419","105209.6","6963.525","5664.609","26826.8","7052.988","984.0114","1371.841","2003.928","1387.271","20685.23","16590.38","16697.64","124006.4","14541.4","4227.854","3134.506","1604","4926.271","2939.329"
"M335.2022T214.9","335.2022","214.90858","2119.976","3542.082","2987.131","3270.518","3131.191","460.4167","634.6415","634.8428","813.3272","69755.78","99618.02","98975.38","94334.2","100497.1","4830.413","7578.168","98.10953","18988.97","10852.21"
"M335.2772T565.1","335.2772","565.0535","12508.88","16116.52","15336.76","24277.54","14262.81","7311.228","11836.91","15159.62","12626.76","154561","33227.35","103387.9","142227.3","61090.19","55435.95","37572","27123.8","122919.4","56147.03"
"M335.2746T525.7","335.2746","525.66201","28236.64","35786.79","20035.08","50750.17","20265.48","1891.536","6173.136","5976.42","7220.329","11716.91","17273.02","12167.43","55107.05","9030.553","4548.636","1576.877","4720.085","3973.627","6038.748"
"M335.6976T213.2","335.6976","213.24964","1497.99","2001.079","1114.675","1398.144","1459.956","297.6928","261.983","307.0124","329.317","36484.45","36720.02","39769.11","39587.24","13599.16","9630.082","11503.25","5116.509","13168.33","11044.37"
"M335.7111T242.6","335.7111","242.55898","559.4148","640.5056","376.2674","803.1083","587.701","74.7744","61.08017","158.5211","83.43214","26528.77","23883.98","26206.08","24152.34","19492.18","2885.524","2441.285","1172.69","7895.494","1730.494"
"M336.0745T391.8","336.0745","391.84297","211.2198","868.0436","237.0764","102.4981","760.367","246.9627","461.8214","340.0063","234.9248","9055.713","14890.4","13974.08","26902.45","16332.67","10146.39","8379.546","1327.591","7386.555","6240.315"
"M336.2101T219.4","336.2101","219.41453","1344.079","665.97","718.9104","1324.827","867.9528","94.80436","91.7895","134.1554","162.596","76745.13","70198.07","66462.46","65867.01","47715.49","3850.436","5913.185","234.1872","15478.01","7351.02"
"M336.1992T285.1","336.1992","285.09156","3649.439","4213.501","2972.728","4440.76","3412.902","724.441","653.9148","529.2799","738.0559","20716.14","20599.62","24200.94","20190.82","26324.42","6539.986","6619.674","3352.583","7965.786","5291.798"
"M336.6827T80.5","336.6827","80.51905","779.6158","813.0409","678.2816","1283.709","1008.356","231.9383","335.7265","208.8595","195.8718","55250.59","40599.4","36832.76","52584.88","36699.01","16259.18","15035.95","1163.119","18132.27","10173.27"
"M337.0222T81.9","337.0222","81.874","1352.653","5954.02","2204.077","1516.876","3926.939","14172.18","12728.26","12860.08","13379.37","2062.67","3233.327","2513.787","2427.454","5198.564","6699.505","9518.934","9257.558","9459.851","8470.79"
