"","mz","rt","pos-Exp1_K-1-24_1-E,1_01_55180","pos-Exp1_K-25-48_1-E,3_01_55183","pos-Exp1_K-49-72_1-E,5_01_55186","pos-Exp1_K-73-96_1-E,7_01_55189","pos-Exp1_K-97-120_1-F,1_01_55192","pos_Exp2_K01_1-C,1_01_365","pos_Exp2_K02_1-C,5_01_370","pos_Exp2_K03_1-D,1_01_375","pos_Exp2_K04_1-D,5_01_381","pos-Exp1_P-1-24_1-E,2_01_55181","pos-Exp1_P-25-48_1-E,4_01_55184","pos-Exp1_P-49-72_1-E,6_01_55187","pos-Exp1_P-73-96_1-E,8_01_55190","pos-Exp1_P-97-120_1-F,2_01_55193","pos_Exp2_P1_1-C,2_01_366","pos_Exp2_P2_1-C,6_01_371","pos_Exp2_P3_1-D,2_01_376","pos_Exp2_P4_1-D,6_01_382","pos_Exp2_P5_1-E,1_01_387"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M109.0273T82.1","109.0273","82.12176","3431.445","8957.755","5168.25","5584.297","6352.296","9156.898","11672.66","10801.95","12336.73","12418.85","19900.76","15637.76","21769","28861.34","13820.5","19250.37","18005.97","27991.36","20533.11"
"M109.0998T405.9","109.0998","405.93301","190.2513","66.1108","131.1903","179.0266","54.9799","15.3502","0","48.39375","29.69263","21798.4","21665.8","18932.67","13204.66","10527.9","3671.377","3925.418","1037.869","7664.283","2703.971"
"M113.0282T65.5","113.0282","65.50602","9546.287","12908.35","8800.681","10923.45","11900.12","16958.02","8002.696","6939.456","8060.063","14172.85","12456.95","11072.8","8943.218","12073.2","11852.46","9488.377","8385.809","8077.774","8551.213"
"M120.0796T72.7","120.0796","72.6548","53745.42","55763.37","24360.37","37224.55","30665.53","9772.993","6304.231","7817.672","11738.57","15826.27","14580.38","10618.52","10039.01","9204.007","4649.475","3525.119","2966.231","6107.776","3260.291"
"M121.6013T46.2","121.6013","46.23752","21028.18","19697.34","11729.84","18310.04","18717.26","500.2525","579.4026","643.8177","768.3139","10647.3","5074.014","5546.631","4223.861","5886.129","1233.018","924.7381","244.9535","1909.142","1184.039"
"M122.0705T26.7","122.0705","26.65556","183278.5","199058.2","172064.3","191325.4","201474.4","56578.86","37878.49","46928.1","36087.31","77015.85","70304.39","58201.07","63108.86","75193.41","52477.6","42430.86","22270.14","24499.14","31541.38"
"M122.095T60.6","122.095","60.61175","505235.2","114783.7","221377.2","357133.6","169779.2","8710.57","6447.708","14820.67","6574.098","199689.3","178229.8","76140.14","306490.1","82576.2","5961.776","4539.962","3732.57","4552.23","2956.865"
"M122.5366T24","122.5366","24.01614","883.1605","1086.837","1052.331","1424.617","1283.709","428.1397","1485.138","1403.592","1309.564","5283.25","5749.703","5757.598","5154.313","4492.562","679.6538","1793.289","564.5612","2299.548","1641.383"
"M124.0392T38","124.0392","38.04202","1107578","1330373","1166431","1154800","1257601","311602.1","338644.3","345327.5","323211.6","570856.8","416885.7","414464.8","428407.9","430970.3","284930.6","232178.5","234113.3","169903.2","197323.8"
"M124.0394T28.8","124.0394","28.79409","268236.3","177838.6","261740.4","205919.4","3328.335","55441.17","53550.68","59019.05","54641.87","200977.8","113297.5","110630.1","132373","134316.3","135695.8","73188.63","50440.6","46170.42","62816.6"
"M125.0416T38","125.0416","38.04202","93831","99632.26","94295.63","82243.68","93276.71","23535.04","25070.88","25297.16","23340.26","40757.66","27362.21","28300.16","29255.76","31203.39","18958.73","14837.17","14857.65","10064.12","13539.9"
"M125.0585T130.6","125.0585","130.64425","7834.031","14568.93","9977.923","11690.13","16389","5239.389","7751.077","7880.373","6799.344","3171.8","3098.316","3565.122","5338.325","2536.466","1456.901","1556.998","4530.252","1646.332","2088.725"
"M125.9848T20.8","125.9848","20.84174","4585.089","11577.11","8767.83","11363.8","12718.73","5535.123","13691.2","13194.26","13579.99","26883.65","29605.16","29498.25","28863.59","28743.57","3116.308","8806.661","12055.44","11025.37","8934.664"
"M126.0364T65.7","126.0364","65.65353","35345.32","49369.31","38041.68","45198.07","53719.9","39567.12","30048.59","25379.04","26171.93","43946.12","44030.35","38780.18","43074.62","38659.57","34512.16","29557.71","27854.37","24945.32","28673.74"
"M127.0383T82.1","127.0383","82.12176","51005.22","150437.4","65372.76","84425.57","109798","114206.9","158360.6","149477.6","160050.8","181046.7","360106.3","242817.9","306847.2","430375.2","149551","234258.4","226665.7","332724.7","242029.3"
"M127.0482T74","127.0482","74.0028","17997.67","30548.97","23030.47","21489.8","28388.33","5081.221","7035.096","3632.869","5074.692","12146.08","31469.62","18747.91","13668.4","13867.18","2790.473","4383.003","4015.604","5941.624","4008.364"
"M127.1107T405.8","127.1107","405.78135","739.0486","224.6048","333.872","561.0638","292.468","68.40167","88.76716","100.1267","86.75911","88245.2","91431.06","87556.17","64060.6","57729.06","17308.08","17012.39","4685.281","30629.82","11988.57"
"M127.1105T304.3","127.1105","304.33176","4024.067","597.7399","1227.188","1950.895","1182.236","167.2088","363.3448","329.745","243.9164","10429.97","12958.52","11330.35","9336.95","7507.644","1899.713","1454.046","838.1467","3169.958","1586.123"
"M128.0417T82.2","128.0417","82.20473","2666.283","11724.95","3434.351","5133.029","6634.871","9129.177","10899.81","10107.75","11216.99","15235.66","26070.33","16634.47","21251.36","33933.93","11518.16","17842.19","16208.09","25187.92","18294.01"
"M128.1136T405.6","128.1136","405.5669","248.627","222.5916","404.4467","330.7932","196.3028","59.39148","60.72066","56.07504","109.1059","6815.026","8254.188","7520.035","5833.275","5402.787","1334.933","928.5201","334.0838","1996.451","1303.628"
"M130.0492T39.5","130.0492","39.46019","3177.483","3104.924","2935.556","3233.079","1397.249","464.6187","472.579","603.0722","550.6747","45537.96","36543.76","36824.15","35841.03","33809.12","3892.076","3890.232","2140.138","4119.604","2664.22"
"M130.0642T106.2","130.0642","106.15966","273.1954","417.2455","315.0423","625.2655","461.361","629.7391","2093.614","1813.326","1150.189","26471.36","28084.67","28932.61","35261.51","25879.34","11842.53","12377.12","4398.5","14311.49","13147.9"
"M130.064T220.5","130.064","220.51968","606.4263","339.2757","585.4245","3056.141","529.2305","65.07743","20.35915","133.7945","51.39449","7469.851","7642.452","8205.291","10359.6","9767.968","2934.33","3270.616","1053.505","3742.453","3588.293"
"M130.1579T178.6","130.1579","178.62075","64371.57","23784.01","8037.294","23103.3","7786.872","305.0932","675.8438","2069.156","1411.037","364046.5","288648.2","270243.4","340544.8","340977.5","6466.017","5959.436","4100.928","7822.753","8971.872"
"M130.5249T23.6","130.5249","23.61297","1703.707","2974.529","3244.233","3022.938","2714.535","1564.087","3443.966","3696.812","2877.558","15256.84","14344.75","16314.85","15748.87","19460.71","1654.996","6051.477","4218.6","6667.324","3946.388"
"M130.9645T20.6","130.9645","20.64147","1908.984","3488.946","2647.066","3199.676","3770.079","796.3569","2340.923","2813.16","2415.363","6700.166","7915.209","9450.563","7875.424","7949.354","646.4737","1657.446","2375.966","2147.561","1554.817"
"M131.0695T55.5","131.0695","55.46231","1181.106","1500.648","1437.065","2018.066","1936.884","344.0798","451.488","565.2776","467.851","91855.57","135515.7","111161.6","126719.1","100759.9","27928.28","34062.86","31262.87","38754.41","31540.66"
"M131.0484T376.8","131.0484","376.76218","527.718","462.8442","468.1169","456.65","644.2239","250.2675","284.3002","300.3686","295.3877","9152.562","12180.14","9434.193","14448.96","11923.3","1028.684","894.9628","742.0535","2246.069","2771.859"
"M131.5406T24","131.5406","24.00931","850.7556","816.1966","665.97","1176.951","947.1948","450.2045","522.5241","542.0912","498.5649","9606.932","6472.85","8727.457","7658.786","7963.012","374.8574","1290.876","1118.789","1568.325","938.206"
"M132.061T315.3","132.061","315.25413","17528.16","14807.35","14302.74","13384.76","12291.26","3726.892","3463.546","6461.4","5179.276","2457.299","1577.422","1489.37","3462.979","1934.591","2010.166","1358.266","2413.948","987.2158","1676.625"
"M132.1014T44.7","132.1014","44.74438","74284.42","88099.98","48346.29","60132.36","53169.33","6706.369","5793.289","7790.623","10322.09","90005.87","67324.85","52483.19","54103.97","52910.68","15839.59","14225.75","7916.795","22081.58","9729.763"
"M133.06T33.1","133.06","33.08104","1087383","933990.4","3256883","897900.1","5555818","531969.4","990717.8","1200575","849069.7","1647200","738875.9","756499.3","957741.8","980254","811720.6","576834.2","277567","488207.2","645800.9"
"M133.0592T57","133.0592","56.96689","527985.6","441358.8","765329.3","740750.4","860233.1","359943.1","386486.2","417239","347871","253741.5","187104.3","197966.7","221090.5","193218","259274.2","219701.9","179011.2","191556.3","203370.3"
"M133.0589T72.2","133.0589","72.19141","44802.46","147223.4","107218","121334.7","126024.3","37781.01","43678.53","48380.39","24187.63","57557.04","24561.65","56020.1","57674.05","52790.3","26635.77","14381.3","23780.57","29185.59","25373.68"
"M133.5604T32.5","133.5604","32.46303","1960026","1687997","1468635","1536210","1577415","89868.06","135086.6","105720.6","133020.6","259995.8","114591.1","116124","147849.1","152270.6","122804.1","81977.73","67659.11","74148.25","94628.36"
"M134.0578T29.4","134.0578","29.3946","803858.5","695013.8","588752","622024.7","605857.5","66976.38","52504.44","73560.85","57487.44","33865.57","69508.22","1407.355","83127.35","64530.21","49526.72","69227.35","32067.47","19134.51","51054.59"
"M135.1008T133.8","135.1008","133.75151","9360.318","8097.218","16162.62","23416.72","16516.06","5042.629","15899.52","15618.83","16934.74","22653.05","23925.01","31955.6","32380.46","20557.4","6975.931","8307.038","16413.49","13246.64","12040.36"
"M135.1158T314","135.1158","314.00627","1151.038","562.2124","544.68","1179.968","552.7691","190.537","288.2822","203.6058","227.2225","14284.67","13413.5","14046.59","11639.62","8808.448","3269.495","2980.509","564.8065","4748.279","1812.596"
"M136.0609T36.4","136.0609","36.35573","14268.94","27360.3","16871.58","3800.662","24703.48","2269.592","3720.581","4268.539","4005.334","3941.417","3889.389","2988.584","4294.916","3584.641","1521.625","1242.237","940.9454","1072.735","458.8725"
"M137.0597T341.2","137.0597","341.1578","1813.799","2945.853","4327.288","6426.163","7801.515","1200.721","975.885","1660.799","1591.948","1656.692","1386.841","1280.482","2241.06","1501.057","720.9859","704.9359","458.458","670.938","739.6694"
"M137.1314T537","137.1314","537.02736","913.7999","410.7973","384.2622","756.7845","400.3419","124.4686","100.4425","145.5228","135.4903","13474.82","13286.89","13067.61","10455.5","7964.483","1638.044","2035.241","467.9013","4611.165","1506.881"
"M138.0655T37.7","138.0655","37.6616","8821.111","16899.04","9412.053","11404.3","14923.3","4889.96","4447.697","4757.07","5880.04","8386.382","6605.237","5636.752","7137.85","5303.519","4755.967","3344.028","2516.943","2934.813","2100.32"
"M138.0554T52.7","138.0554","52.69397","3484.955","13518.31","9184.744","6034.858","14184.55","4659.987","4933.63","6451.209","4792.219","3942.246","4562.322","3743.319","4305.334","2744.622","2108.38","1867.266","2586.896","1411.275","1816.871"
"M138.1268T320.7","138.1268","320.67288","1042.48","737.5945","651.3161","1031.929","737.9318","511.259","478.9312","426.0838","521.0774","2600.149","5800.987","3403.401","3971.8","4149.315","7035.254","6731.484","3631.534","6420.642","6898.695"
"M139.5305T23.2","139.5305","23.16617","4548.14","6883.805","6381.931","8360.156","6952.468","1947.151","5924.977","3672.589","4878.804","47921.14","49740.03","53467.55","43313.93","49891.88","2381.76","7042.826","5860.158","8999.065","6060.615"
"M139.914T26.2","139.914","26.2096","796.5869","610.9194","632.8343","890.8067","344.6184","47.73311","151.5225","135.483","118.1475","8798.247","26903.5","23111.33","25294.74","17410.81","438.4174","2220.813","647.5917","4885.82","1811.072"
"M140.0816T32.7","140.0816","32.73077","333062.5","603801.4","423744.2","559212.2","612387","76540.58","122339.7","114859.8","110967.6","795127.4","803637.5","767444","771746.8","774224.3","71929.8","106482.3","95218.66","113837.8","85368.02"
"M140.961T20.5","140.961","20.51967","4215.214","15565.99","10187.78","7274.803","9443.012","3925.901","5391.548","5460.506","5219.191","10277.24","9264.564","9671.396","8854.537","9403.526","1331.556","3222.023","3749.158","3860.499","2940.604"
"M141.0539T202.7","141.0539","202.72001","3292.246","1403.783","1872.293","2980.172","1381.185","375.127","258.6286","317.0829","370.7248","11021.54","11401.61","11609.37","11132.77","12750.21","6210.086","5723.704","8313.312","3663.515","5310.079"
"M141.0839T33.1","141.0839","33.0663","24354.27","44612.44","34426.63","40139.61","49028.92","5983.231","8224.312","7887.857","8119.164","58004","62083.96","59073.37","56376.06","59317.22","6603.578","8021.416","7378.912","8323.236","6581.779"
"M141.0902T145","141.0902","144.97699","91307.83","14636.6","54062.35","102739.6","27925.16","462.5082","2907.542","3341.205","2753.437","98902.85","51093.87","23784.54","224300.8","30388.97","2481.951","681.966","1945.714","1749.851","844.7634"
"M141.1263T379.5","141.1263","379.52503","3019.382","1760.709","1750.446","2642.296","1705.558","518.1019","509.6154","689.179","711.2669","68005.27","39127.39","34035.59","26581.32","19462.51","7525.763","5156.982","1248.198","10614.63","3192.216"
"M141.1259T474.8","141.1259","474.82986","1157.467","611.1617","749.6591","1238.513","943.2283","190.5509","314.0789","295.3371","323.0078","8471.045","9639.184","9934.229","5447.385","5823.74","748.1065","795.7541","427.885","2228.038","778.5554"
"M142.0318T57.3","142.0318","57.27298","5366.176","8459.671","8814.408","7992.876","9893.154","3834.411","5325.854","5585.942","3670.033","3297.896","2685.244","2615.931","2831.584","2295.936","2662.652","2091.822","2447.963","1963.31","2234.627"
"M142.5611T475.1","142.5611","475.06141","158.1835","218.8936","153.1012","220.9002","204.0376","147.4954","90.44625","162.2025","286.6072","1621.37","2129.935","2799.832","1701.256","2140.875","2416.744","2153.772","806.6895","2864.189","1025.053"
"M143.0342T44.9","143.0342","44.94503","32121.35","23551.25","19865.55","31294.19","32938.6","1732.26","2752.665","2753.021","1991.76","19070.84","14386.56","14192.8","18054.28","18074.66","14801.89","11627.47","8139.277","10743.53","13577"
"M143.0335T122.7","143.0335","122.71197","1758.713","2308.063","1607.178","2008.8","2398.167","702.4509","587.0507","490.5736","580.7623","48139.73","30034.17","37132.79","44519.11","58821.86","41475.8","31196.93","6192.873","18076.51","21374.51"
"M143.0693T74.9","143.0693","74.86922","5240.236","1931.11","3627.682","6390.94","1904.368","537.9908","553.7644","644.6516","584.3808","62513.47","82992.51","70637.95","64836.77","48301.45","19426.41","20331.06","14969.86","27753.95","20787.32"
"M143.5512T309.2","143.5512","309.21429","4557.595","2703.74","2761.202","3317.542","1386.609","2167.845","1389.545","1739.738","2605.309","1679.09","1074.556","1692.914","1112.98","1368.965","2237.871","1681.232","1315.892","1034.343","748.836"
"M144.049T65.6","144.049","65.58199","2129075","2731718","2300260","2450841","2874952","3821103","3949038","3906279","3713191","2575644","2161332","1589010","2437602","2440255","4323090","4347037","4210164","3938623","4329749"
"M144.0469T27","144.0469","27.02478","245685.3","247567.9","210736.9","234615","230911.8","60063.38","50759.71","36938.75","32033.74","110115.1","79741.62","77627.58","88959.88","88700.33","91750.64","53138.06","37164.01","42773.77","43510.57"
"M145.0503T65.5","145.0503","65.45438","554079.9","873218.6","761035.8","782975.1","1013447","315735","333154.7","371556.8","394256.5","741811.7","864666.4","765199","733401.5","732774.4","376858.1","378682.6","364477.5","342870.2","371370.1"
"M146.044T65.6","146.044","65.58199","352413.4","546677.3","463767","481433.9","593265.2","216339.7","227635.9","232209.2","234111.4","454882.3","447799","413920.6","434405.5","423488.7","230554.1","268002.8","221057.8","207989.8","230130.1"
"M146.0581T286","146.0581","286.02964","3681.576","7500.451","2656.123","3445.51","6861.375","3421.636","2097.138","2672.202","4223.372","60518.68","69072.85","63993.05","69369.89","53572.47","24325.75","17353","16315.28","26181.95","21768.57"
"M146.0801T50.3","146.0801","50.33227","3121.825","3297.15","2159.422","2655.943","2072.524","509.3025","611.4897","333.6965","668.835","42443.55","39147.63","57393.4","41091","43646.58","15637.16","16341.72","7463.102","18933.97","12544.26"
"M147.0467T65.2","147.0467","65.2444","28139.28","39615.55","30512.99","35425.12","43539.81","16035.42","14338.86","16935.11","14572.1","33720.12","28155.95","27129.36","36992.32","26941.13","18955.24","18065.54","16972.25","15471.1","16962.39"
"M147.0623T286.6","147.0623","286.57449","1286.418","1940.846","838.5147","1881.591","1698.578","531.8087","561.5019","582.6861","622.7922","5828.733","7461.468","5818.826","6518.577","6534.262","2504.431","1625.247","1426.148","2994.794","2435.535"
"M148.096T55.6","148.096","55.62809","792.9303","1133.939","1218.907","1233.907","1016.913","390.0836","616.7448","699.4943","329.3978","12786.28","25753.29","21385.41","23440.31","16912.92","2410.184","2564.549","3810.147","5696.335","4370.152"
"M149.0205T82.2","149.0205","82.23078","34541.59","72304.61","36887.53","33999.05","47688.15","46641.18","45320.05","47542.79","47612.95","29609.46","32131.88","23252.64","29874.53","51545.9","61435.34","59815.6","46683.1","58946.04","55631.16"
"M149.0232T370.5","149.0232","370.54514","17990.75","16922.38","19554.63","24145.68","28954.33","10836.88","12823.68","9378.035","10214.78","19342.68","19588.15","19509.48","19967.64","20791.41","4425.066","5829.087","10126.82","5259.521","10555.84"
"M149.1164T192.6","149.1164","192.57259","7101.555","8267.713","9642.271","13551.31","12818.73","2859.825","7469.325","7832.991","8310.18","15278.3","13335.27","15103.04","13528.23","7262.265","3927.372","3609.318","7946.122","6088.303","5731.291"
"M149.5692T537.1","149.5692","537.12458","169.6528","185.1827","225.3589","132.8906","73.52744","106.1195","112.7845","101.1221","179.5355","4393.726","4916.464","4060.208","3406.082","4431.567","4197.576","4573.069","932.3742","5799.303","2838.24"
"M149.9521T20.4","149.9521","20.37408","7064.248","11860.62","7627.653","6333.127","8800.223","2958.808","2734.823","2957.967","2503.795","1640.423","1933.102","1527.61","1908.082","1672.119","304.7283","667.4118","609.4565","498.6225","554.2591"
"M150.0579T320.6","150.0579","320.63291","2329.869","1796.756","2253.571","886.1616","709.9864","1553.924","2259.743","1275.497","1773.896","2342.568","2778.842","3165.705","2328.86","4880.187","12965.19","10451.71","15755.88","7249.802","14678.26"
"M150.0543T54.3","150.0543","54.28517","9870.863","12751.15","9561.038","11418.8","9562.948","4201.693","3059.625","3077.644","3255.954","16716.63","11825.22","16351.54","16193.79","23378.42","13399.39","12430.52","9300.558","12538.32","13578.55"
"M150.59T169.9","150.59","169.85424","658.6749","254.9709","296.736","732.0612","175.0068","88.45965","144.18","78.41715","91.10728","10739.13","11378.48","10536.37","8342.291","5197.861","1668.632","1488.753","145.1812","3898.305","808.3855"
"M151.0357T21.9","151.0357","21.8839","4910.704","11685.6","2909.456","13077.9","10902.4","4857.295","2403.688","11598.32","11803.74","22618.35","43627.45","29325.99","23992.39","43154.65","2844.551","8319.57","2567.382","9257.859","9280.357"
"M151.096T51.7","151.096","51.71508","51167.16","46425.78","53083.62","83940.53","44512.61","13357.34","20051","37669.38","35480.91","60143.11","103096.6","56502.34","89355.66","63366.87","21924.34","31120.71","26681.58","34153.08","42838.15"
"M151.0963T315","151.0963","315.03391","25412.04","14888.64","18139.89","32536.21","19031.42","2703.909","2838.544","5693.139","5266.201","13835.43","10716.22","13369.69","29534.1","16459.02","4349.078","3199.438","4532.176","4712.826","4471.916"
"M151.147T594.1","151.147","594.10107","483.2467","429.6275","272.0984","686.0312","239.7686","178.2152","81.09794","198.9231","155.5466","7816.333","6707.222","7755.152","5247.999","3258.924","1079.068","1028.951","256.9724","1710.469","637.5617"
"M151.5661T369.2","151.5661","369.21154","306.6635","466.9842","358.8388","358.4726","404.0636","202.8951","102.4738","126.8198","67.75257","1663.07","3145.064","3081.246","1846.014","2147.331","1772.474","2089.275","1064.212","5680.363","2140.236"
"M151.9498T20","151.9498","20.00498","3232.667","4996.179","3205.329","3840.691","4236.363","1423.778","794.2588","1487.907","943.5112","3984.542","4564.09","4593.157","4301.659","3704.309","524.2306","1311.385","202.6166","1819.458","1380.819"
"M152.0161T235.1","152.0161","235.08792","6425.307","8824.059","10747.78","11673.82","13746.75","4662.322","6432.016","5051.057","5085.349","6811.367","8025.714","6198.684","7874.346","4510.185","4107.103","4795.675","6849.218","3571.111","5028.329"
"M152.0707T38.4","152.0707","38.38059","475643.2","636656.8","572598.2","580974.6","601742.2","180995.6","177028.5","171147","157418.9","460070.2","393985.6","365374.5","422269.3","380320.5","264956.9","220487.2","197389.2","173320.9","211734.5"
"M152.0566T200.5","152.0566","200.54737","3338.874","5918.355","7122.173","6668.491","8739.497","3605.835","4444.32","3313.999","2120.028","1989.896","2148.301","2243.626","2364.244","1168.358","1163.38","1314.746","1518.64","730.0147","1916.139"
"M152.0367T21.9","152.0367","21.85457","1308.296","3332.293","973.9744","1139.913","3474.321","1284.434","1597.389","1941.819","2090.01","3563.867","3561.164","3665.027","2878.644","4174.811","63011.33","28301.23","1820.331","1575.426","1088.504"
"M152.0558T257.5","152.0558","257.50325","3049.992","3215.334","5537.997","3690.49","8666.562","4531.281","5613.341","4111.026","2462.583","1671.803","1211.222","1174.162","1435.948","1183.63","977.8875","741.7595","1162.631","529.2085","1138.087"
"M152.5566T308.1","152.5566","308.05146","2589.022","1736.586","3116.509","2742.993","1450.666","655.1933","468.2092","457.169","610.0202","375.3036","467.3592","804.7024","811.3754","226.9781","629.6164","465.1639","701.9575","361.1175","241.0108"
"M153.0543T240.3","153.0543","240.28155","99301.77","9002.14","33473.3","100669.9","24974.28","6046.635","17519.54","19717.1","17317.62","6562.586","11262.29","6620.373","82613.24","13336.26","14473.56","12332.56","8715.44","3146.752","14728.07"
"M153.0735T38.4","153.0735","38.38059","45153.58","58636.78","52004.73","51874.55","56898.83","15863.51","16145.17","16047.99","14780.01","41498.15","37994.22","33147.24","39178.03","36195.52","25290.15","21044.98","18417.15","16469.21","19251.54"
"M153.1264T314.7","153.1264","314.71761","5389.166","2359.134","2281.564","4976.904","2226.114","850.8257","609.9253","938.9794","1225.065","39131.64","38914.49","36930.89","33971.94","23567.5","7261.407","7031.445","1488.991","11680.32","3804.652"
"M153.5536T495.8","153.5536","495.7755","340.7634","172.3415","130.8826","476.3434","202.0206","199.2158","115.7702","130.5117","115.4475","6506.63","8147.426","9176.649","8146.254","9118.447","7124.44","5751.467","1404.672","9463.69","5643.661"
"M153.9472T20.3","153.9472","20.33008","2641.727","4582.058","2527.435","2159.697","3627.569","1021.094","903.795","1015.348","701.1161","530.9606","679.3866","603.3725","520.5033","567.8259","73.09125","201.8802","264.1096","180.252","101.1081"
"M154.0737T337.7","154.0737","337.69429","13263.87","8028.593","6630.363","9540.203","3627.448","1294.151","1657.559","2979.545","3338.348","3743.154","4192.416","4477.441","4823.699","3852.096","1981.256","1681.756","1812.157","1693.102","2141.92"
"M155.0184T82","155.0184","81.96089","6513.232","13247.23","5059.623","9902.171","6766.375","18753.53","12603.4","12694.84","11274.39","4670.806","3630.578","1812.232","3963.634","3462.966","10140.23","7452.115","7377.156","7556.39","9131.562"
"M155.081T50","155.081","50.02618","155225.1","227154.5","195375.2","225771","240975.2","31257.31","29718.13","34207.04","29285.8","99189.26","88055.56","90732.59","97487.33","87904.41","27043.47","20600.37","21334.95","13787.6","19915.34"
"M155.1061T365","155.1061","365.029","8552.365","4579.21","4939.733","8277.449","5670.997","724.905","888.5765","829.5782","801.7009","22560.1","25682.18","22795.52","21348.26","10721.46","4472.766","2442.415","1699.355","6815.448","3203.616"
"M155.1421T537","155.1421","537.02736","1221.199","683.6702","709.8131","1249.292","878.2819","347.6927","250.2587","255.3237","306.37","25340.18","25733.56","28528.21","18943.77","17063.09","3997.426","3722.279","771.8582","7920.777","2178.8"
"M156.0134T20.5","156.0134","20.50874","2827.824","5656.359","4923.022","6201.347","5765.745","1216.778","4081.421","3798.776","4274.004","11345.12","13905.01","14489.79","12412.28","14373.54","902.46","2557.193","3485.351","3386.575","1989.71"
"M156.0822T49.7","156.0822","49.70112","11347.85","20444.46","14779.09","16540.03","21476.54","2718.394","2576.884","3194.834","2211.683","3274.777","13759.36","4874.268","5375.812","7292.716","2886.938","2077.76","1617.086","3061.822","2849.38"
"M156.1379T44.3","156.1379","44.27163","77203.24","71916.47","50811.15","111269.4","65788.43","7085.073","11233.3","14853.87","14755.08","68083.1","72398.91","72421.31","78353.08","48313.89","14510.9","15205.41","15794.83","22230.37","17025.08"
"M156.5767T593.8","156.5767","593.82077","159.8612","96.4392","101.8344","229.6721","129.4618","119.1564","99.79766","83.76946","126.1332","2475.015","3534.868","3982.737","2987.234","2479.199","3383.333","2557.88","324.405","3100.567","907.4292"
"M157.028T267.1","157.028","267.06084","1905.517","3622.649","3239.904","2098.92","3102.343","2019.607","2651.644","3278.358","1580.295","762.8893","585.1516","740.3619","564.1356","1602.607","3882.804","3106.744","4405.115","1922.19","4354.421"
"M157.0828T133.5","157.0828","133.48971","110618.3","81271.46","122599.1","129643.1","98361.17","39187.52","52315.69","50519.13","47262.02","56798.3","26891.18","31251.25","32832.52","25713.64","42041.55","24123.78","31073.69","20975.68","26303.36"
"M157.1405T44.3","157.1405","44.32527","7597.797","5729.031","3178.874","11315.53","5233.18","884.4266","1359.02","1630.987","1552.105","6643.514","6987.629","6192.94","6235.562","5662.108","883.7122","1803.321","1319.149","2159.093","1616.479"
"M158.0939T38.3","158.0939","38.30158","1261.615","2551.597","5056.314","1701.606","3654.481","711.7004","659.7972","593.3687","324.7626","19700.08","12511.16","13196.78","14712.72","12306.91","2725.698","2465.703","1656.454","1242.965","2450.565"
"M158.1538T38","158.1538","38.04202","149240.5","103774.2","48583.58","198698.1","132422.1","29592.12","41132.58","63343.91","54165.99","74836.47","149590","101316.9","72827.46","71669.16","34137.1","35671.56","41162.95","99287.42","39472.9"
"M158.5278T371.3","158.5278","371.32536","2184.867","3375.372","2176.504","1859.332","5005.869","8007.465","8630.036","6883.064","7649.55","450.162","503.9655","599.8788","539.6211","1129.369","1577.066","1615.35","5428.64","1760.198","4080.761"
"M158.5561T158","158.5561","157.98555","1641.613","3478.704","3369.873","1634.901","3563.157","988.5971","2727.071","1849.111","1914.056","367.0454","246.2252","155.8448","396.6215","497.7958","447.1086","275.9917","418.8265","306.027","259.8076"
"M159.0652T288.8","159.0652","288.7669","5603.414","3782.035","6185.471","4591.055","5069.128","4568.293","3809.267","3211.784","975.9477","2254.233","3042.009","2492.245","3336.751","3028.176","732.0124","1655.19","1992.308","3647.651","684.6351"
"M159.0668T416.6","159.0668","416.6212","4047.832","2939.954","4517.052","5234.707","4778.369","1769.322","1312.088","2340.15","3423.3","1592.438","1579.066","1042.285","1505.896","1079.591","368.135","434.7631","262.9266","436.139","379.1131"
"M159.0929T353.1","159.0929","353.13318","6312.079","1490.761","2079.512","6387.917","1422.466","1688.754","747.8045","1697.738","1911.214","2557.65","2996.446","2428.852","2333.211","2340.465","1748.744","1081.086","1083.533","1384.328","966.966"
"M159.1191T310.2","159.1191","310.24292","2240.563","1188.871","1036.132","2057.243","1236.275","421.2441","402.8198","335.7113","360.4058","26401.71","40182.56","39373.05","46602.04","35271.37","1463.671","4653.244","653.5626","10522.45","6561.279"
"M159.1562T37.8","159.1562","37.81574","14164.97","1338.694","4781.341","22812.41","15213.58","3096.501","4030.874","5613.504","5768.292","5952.764","16127.36","10822.01","8082.112","4661.963","3100.041","3598.075","4264.254","9911.113","4189.706"
"M159.4835T452.6","159.4835","452.63179","6542.018","9873.775","9170.107","7637.038","9442.084","7388.381","7888.928","7129.988","7635.73","1190.085","1381.304","2523.126","1562.064","2723.902","4237.038","3767.19","6718.868","2159.942","4769.086"
"M159.5442T371.4","159.5442","371.40358","1695.184","2197.683","1679.654","1514.702","2935.725","2962.596","4049.117","2909.596","3202.011","568.9407","451.1154","276.2282","313.9797","913.4202","821.9031","738.072","2050.631","879.6991","1851.536"
