"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M896.64T385.8","896.64","385.8","4650.1","4497.7","4629.6","4763.6","4511.2","4042.9","5253.7","3199.3"
"M894.62T357","894.62","357","6295.1","5869.3","7087.3","7083.3","3718.6","7015.4","8597.5","7605.4"
"M892.61T344.4","892.61","344.4","4936.9","4300","5701.2","5422.8","2667.2","2759.9","6008.2","5956.6"
"M890.58T308.4","890.58","308.4","25593.2","22863.2","26440.1","30375.2","31534.3","31439","31920","31734.8"
"M778.59T373.8","778.59","373.8","17608.1","16801.9","16796.4","14830.3","17883.9","17573.1","18876.9","17818.8"
"M776.57T366","776.57","366","11940.2","10195.9","5196.7","3380.9","14287.1","18653.6","14427.8","10751.4"
"M804.61T378","804.61","378","10404.2","10171.2","10072.5","9902.4","12128.5","12111.3","12242","12108.7"
"M802.59T372","802.59","372","4707.3","1435.2","2148.8","1832.9","5539.8","1151.4","1664.1","4374.9"
"M830.63T382.2","830.63","382.2","1694.3","1821.1","1719.9","1456","2128.2","1770.5","1916","1812"
"M826.59T339","826.59","339","5454.1","4989.1","5869.9","5498.7","2567","2187.1","2859.1","2675.1"
"M824.58T331.8","824.58","331.8","4223.4","4081.4","4227.5","3984.7","4125.7","1753.1","2009.1","2184.5"
"M852.61T342","852.61","342","4888.5","4448.3","4837.1","4440.3","4693.9","2719.4","4782.2","2873"
"M716.52T360","716.52","360","351353.6","369762","342164.7","346819.2","365574.4","364852.5","358746.8","378112.2"
"M714.51T330","714.51","330","40620.2","52653.5","46479.1","52831.9","53920.6","62676.9","59013.6","63328.4"
"M744.55T352.8","744.55","352.8","48253.4","37487.5","44490.8","35689.9","46571","37324.6","38814","34051.2"
"M740.52T334.2","740.52","334.2","88564.8","103569.6","91846.9","99536.3","107879.2","110686.6","117327.6","128790.4"
"M738.51T322.2","738.51","322.2","99866.3","87873.1","108866.5","98123.2","108632.6","111440.2","119526.5","114577.1"
"M766.54T363.6","766.54","363.6","646616.6","657869.9","651708.6","650003.2","729940.2","758278.6","771919.5","776741.4"
"M762.51T311.4","762.51","311.4","1062369.7","871526.5","984644.6","895271.9","1169153","1067294.6","1156445.5","1095062.3"
"M700.53T381.6","700.53","381.6","104647.5","100554.6","84335.4","85459.9","87651.6","71257.3","71388.1","71497.3"
"M698.51T349.8","698.51","349.8","106350.6","107819.2","84586.2","84700.6","72338.4","72476.7","62303.6","61190.2"
"M728.56T422.4","728.56","422.4","41967.9","40586.1","34825","34043.7","24357.2","24519.1","22076.2","22119.6"
"M726.54T390.6","726.54","390.6","42157.9","38822.9","33158.5","33376.5","24500.5","19959.8","21985.5","22246.9"
"M722.51T341.4","722.51","341.4","752634.7","747564.1","704620.2","706117.8","544461.7","547623.8","542600.3","536010.9"
"M720.5T314.4","720.5","314.4","180536.7","201240.4","171016.9","180230.8","116550.4","124653.6","116051.5","108591.6"
"M752.56T402","752.56","402","11391.3","2373.4","11281.5","11327.1","3156.7","1884.7","2508.1","2927.4"
"M750.54T382.8","750.54","382.8","485128.9","468121.9","438592.3","432849","259577.3","263313.4","266666","263720.2"
"M748.53T345","748.53","345","613681.5","573020.2","595390.3","563753.7","686934.3","598905.4","674115.8","617281.9"
"M746.51T330","746.51","330","402351.7","528797.6","426316.6","504083.2","411691.3","458887.4","428982.9","477944.8"
"M778.58T424.2","778.58","424.2","33130.4","31828.2","31561.2","30440.4","20199.8","19948.2","20317.8","20517.1"
"M776.56T384","776.56","384","148079.3","141339.3","143441.5","142579.3","92913.6","95866.1","103619.7","106272.8"
"M774.54T370.2","774.54","370.2","292249.1","275166","259968.9","262791.2","163688.3","161946.5","169320.7","174575.4"
"M772.53T333","772.53","333","110285.5","121754.4","105991","118258.4","166024.5","155645.6","155452.8","166686.6"
"M885.55T307.8","885.55","307.8","34914.5","23488.6","27663","22327.2","27907.1","21626.1","24530.6","21092.1"
"M733.55T264","733.55","264","18995.4","18835","20908.6","20215.6","41187.1","41403.7","39348.8","38908.6"
"M759.56T270.6","759.56","270.6","15934","16088.1","19726.3","19574.3","23152.3","24456.9","28739.8","29161.5"
"M817.64T388.8","817.64","388.8",NA,"2169","2980.6","2768.1","3896.1","3580","3676.8","3334.7"
"M857.67T408","857.67","408","3831.1","2110.1","4237.6","4020.4","9235.6","9744.8","9392.5","9179"
"M871.69T429","871.69","429","47799.5","45325.2","48216.5","46409.6","108991.5","112065","109693.5","106361.9"
"M697.61T502.8","697.61","502.8","4168.9","4919.8","5614.5","6827.9","6295.7","7413.1","8863.7","7280.2"
"M711.63T521.4","711.63","521.4","25042.5","33932.6","32038.9","36291.1","43240.5","54965.8","52185.3","55935.9"
"M709.61T480","709.61","480","11557.5","15722.1","15237.9","17520.7","24432","29263.5","26973","28000.9"
"M478.29T106.8","478.29","106.8","749.5","907.7","784.8","684.2","1340.6","633.6","966.9","922.2"
"M436.28T112.2","436.28","112.2","4952.7","4834.2","6258.2","6031.1","5225.3","3872.2","4994.7","4352.9"
