"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M301.2967T436.6","301.29666","436.56","606026.4849","17378830.93","4278338.779","1313874.344","2990855.699","349700.886","695887.7581","784394.8294","3629520.688","2673711.36","3440381.512","705780.8115","2231846.424","1246956.725","1049261.556","1985127.68","2998806.402","2972321.052","5035834.194","5401163.989","2496785.292","13009947.93","41456454.43","548091.2605","5594427.066","389742.7447","686493.1855","616845.1228","806851.7383","2693594.845","5702034.916","1270155.366","6185121.466","820878.4898","5836748.338","1891641.577","3041193.856","1004897.851","762817.6431","1728168.961","1422060.912","2914823.211","323899.192","2097197.308","1230559.276","4947505.949","1316014.01","673280.6896","503751.0848","381617.9922","4792561.38","2579008.488","6687820.104","1093614.399","377215.4122","526431.9392","3784095.865","1643241.468","2823205.965"
"M514.2346T284.3","514.23464","284.28","1613.459289","1831.190826","2380.365153","3939.17674","1919.633157","1667.285541","859.8994302","1929.917311","1083.115678","1027.307404","2186.014058","3557.802944","41154358.62","3834.391807","3552.079594","1666.249864","4335.817616","1624.142304","1876.271498","1465.454144","916.1486556","1661.272034","1737.070058","6919.294427","1710.056609","1967.542376","777.7489393","1124.32845","1189.520347","1878.615647","1217.144925","4053.623572","988.8569245","2169.331328","6869374.702","4237.977641","2072.408963","1365.326987","1923.294205","2559.620745","1960.621289","1507.49733","904.1331404","1832.920172","572.9764369","2445.59175","2035.179486","747.7623035","939.0048258","621.5931261","2306.12161","2099.383318","810.4323488","2061.199077","484.6450089","1839.040168","879.4823652","1505.443493","1106.752593"
"M387.2024T269","387.20243","268.98","681.5221477","1006.695136","868.9382845","4097.539098","821.6023263","2004.524037","354.42679","886.7107927","594.3124147","4171.266315","903.6325037","653.7642117","528.8365363","830.4573712","1152.179752","310671.9813","791.9049915","707.843563","1422.592664","838.228996","782.9153507","988.7450135","765.7662605","604.8585572","731.2059594","1417568.408","346.2340322","731.1478813","613.5346984","856.5563643","635.0038276","38283366.07","5337.814786","13667.02133","3793.680051","814.9693138","1472.651358","786.2051183","1863.308488","514832.7703","869.4386489","1119.370531","320.8267047","403.0120934","187.6634612","688.1054714","634.2634254","367.6676988","501.4315917","234.9254487","663.1411801","645.1414236","495.8008174","740.1520078","180.2929946","413.8591781","451.0469774","350.4907863","813.0025424"
"M356.2697T408.7","356.26969","408.66","133102.7132","33196.48931","31546516.92","12390192.77","224938.5158","13778184.51","122856.8048","17057488.51","82682.09817","5125775.315","13540782.1","36285239.13","17217748.54","1170348.718","57445.78331","9649263.668","17120076","6770108.565","24763003.91","20277.83204","16565148.8","20629.93586","71651.88332","2178279.255","15856939.76","6976875.575","4538906.836","8019783.224","12507039.45","12771522.68","13479039.08","10469899.06","20522.11642","17787958.35","9206851.548","1119504.397","18063221.09","9261580.105","11342863.16","13223943.53","17174461.91","16308076.2","7143107.929","403378.4585","10698253.59","424479.2005","12842468.6","5466960.726","2214549.131","3518435.93","15490.91763","6505381.911","3848110.241","11029894.15","885360.293","35512.40466","5992349.415","11883217.74","4390334.697"
"M304.1675T284.7","304.16753","284.7","821.3637184","881.7982327","1726.703026","1896.88537","896.1826544","780.7107706","414.079072","763.8971258","1314.285215","559.6688682","3695.458436","1850.652429","31409843.24","1846.426856","1574.843105","984.0128309","2087.885248","2095.200623","903.506542","666.3669491","501.6564447","799.974925","1838.957553","2596.660643","4564.823913","1150.623586","362.5536048","522.4644832","572.8059169","904.6353523","586.1083558","1951.99651","826.3137137","1030.841633","3214814.081","2001.518566","1529.88801","1821.183769","896.4851026","886.5218149","1067.938388","1266.709493","530.3912693","882.6309881","202.793523","1177.659069","1561.811948","360.0801557","1059.435979","577.0162505","1110.498115","744.3862471","390.2585153","992.5572355","288.6162011","885.578033","423.5091092","509.5195003","955.6492764"
"M373.187T253","373.18699","253.02","2385.837217","3249.981328","2445.57471","1925.181392","2352.139689","2419.849997","642.7800154","2072.873414","2974.484758","1087.611204","3593.83847","1460.564892","2106.849296","473.5389271","2772.324238","13981863.21","15458.59534","3822.453045","4011.339157","127371.3571","1843.763942","1612.026437","3193.596723","2344.743032","2490.127258","30534945.11","25544.96998","3704.734925","2297.791635","2526.180701","1173.875723","5610875.514","2607.659925","5035.722211","2507.673797","772.0091937","3201.513245","1547.748814","2778.775962","11353909.86","7797.917202","2690.392288","751.7430101","353.0779265","158.8253409","836.2885063","925.8497987","1505.083966","983.8589643","707.7051303","788.2910533","1094.002908","1006.228246","712.9990674","334.137044","468.016175","1138.645587","1075.10388","1294.900195"
"M372.2646T334.9","372.26459","334.86","199335.8476","1112183.152","19151522.81","20981713.24","193272.8722","25229.50639","64178.63473","140759.1748","48361.34974","4439201.717","18496.42943","29592260.59","221742.7502","8548725.154","63983.47868","56139.12968","30326645.92","332739.8699","55053.09092","8064.823574","85458.26691","43604.6489","70315.23934","3204.885316","447277.1811","89204.49796","318484.6588","69679.16722","206703.2934","59103.64841","405794.7104","27366939.78","1719567.733","50242.60346","5221049.83","10273106.86","369477.7748","37109.0471","1865835.254","1329795.767","18689.05583","87331.69428","10847424.37","9513114.83","4794848.613","9110059.399","1293221.802","121629.4997","45614.36003","21995.11752","13386826.53","153578.873","552681.1289","10083594.58","5538685.088","13260737.33","50771.14836","762545.7744","80957.34543"
"M627.3139T296.8","627.31386","296.82","1059093.155","2081.676196","1145.491815","1711.955566","1806.651596","1423.000703","1007.436696","1464.270643","1192.183043","879.7941321","111269.1202","1552.968885","1360.566628","799.958192","5031.728194","1752.0267","1625.859378","1779.661023","1838.543096","1294758.097","866460.7404","1948.14253","29872209.96","7810.331908","14924.04076","884821.7401","428389.2113","929.6232862","1277.082358","1778.567993","1223.862777","2331.372994","1404.426133","1910.076621","2410.083872","1045.194535","1350.611918","105432.1203","1426.540335","1189.761515","1269.096235","1600.006627","852.9275708","644.4092556","1188.340323","789.1415805","888.0522922","706.9721058","807.9736044","475.9311432","1268.13727","692.7337489","719.5652057","1078.127044","412.8258594","919.3365487","992.9877303","729.9720753","904.1240845"
"M534.2599T650","534.25991","650.04","1124846.886","1242882.109","792443.7442","22822849.74","394409.3775","150583.7459","9588843.774","1049212.703","2627560.208","327731.6257","7816843.539","1006306.406","2564361.179","296800.28","1027346.333","12275197","1768475.731","380986.7709","11165685.48","60101.08453","151593.5113","72287.35286","774128.2457","141639.8197","4123188.249","2666400.238","206118.1103","829353.1213","357480.1021","294101.3507","7249870.988","3066465.934","2246670.167","546714.5413","1901350.157","434447.3284","4370362.832","592686.2285","6472364.627","1315964.872","298650.3067","28157531.23","7600.617985","3120.952777","2571.783472","991.2551453","3833.558916","676.2233335","1150.809345","422.4325458","16694.30485","638.9607145","574.1804342","11428.96891","5741.171101","5223.16006","3593.762083","1433.240655","2204.029711"
"M267.1819T232.5","267.1819","232.5","517.9094704","4587.256412","822.4989056","393.3023926","1031.914738","1275.554789","476.2986212","12798.55919","477.2206377","514.7622016","36172.51156","382933.35","402.9010633","979.5100158","776.5402158","28571.20837","85251.80553","174080.2573","31107.20699","1031.389684","631.234309","1173.94814","847.4872175","687.362701","661.3238295","4165.304229","8007.314257","542.4542566","1128.632583","764.1653168","1384231.513","58279.29157","78341.60206","1437234.632","645.2022999","1397.403952","27561591.25","2216430.331","1617.853763","2027.783585","561.2760801","2002.170576","314.0328835","1864.912731","158.7997757","1155.455002","460.8577903","332.0036964","1375.893229","264.2105848","408.6779989","717.4388983","5633.519445","1131.28436","234.3343157","446.171977","438.9516086","377.902499","1869.772729"
