"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M99.0799T304.1","99.0799","304.10666","1010.633","392.5717","624.4981","717.7887","462.027","92.70744","129.0916","180.8437","171.7886","22976.47","27065.82","23967.59","19007.47","16700.8414","5099.97357","3926.19744","986.1173","7965.30667","4031.908"
"M103.0396T54.5","103.0396","54.53706","1360.48","1249.979","2060.935","2143.403","1672.13","310.8391","304.5395","250.1712","203.1127","8479.277","8988.127","7794.706","10735.13","8043.3646","7036.24939","4426.07194","5206.162","2484.12558","5644.502"
"M111.0798T328.4","111.0798","328.39405","482.5672","135.4606","223.353","394.1524","181.5711","66.0462","34.017","46.69","47.36173","10437.52","8924.306","9020.716","6488.726","6153.1635","1711.57846","1077.1944","252.4818","1513.89","796.0719"
"M113.0601T202.6","113.0601","202.59113","3371.783","1322.866","2691.55","2540.078","1075.624","209.4537","119.4109","177.7822","100.7321","91345.54","92117.94","81164.52","95035.01","85016.521","31276.25467","27184.68991","23026.75","26658.3096","30295.27"
"M113.0601T167.2","113.0601","167.18183","8424.174","1596.293","1381.733","939.7187","1726.674","180.7487","138.0913","133.088","130.077","21964.46","20207.56","15068.91","31635","26063.0935","5921.63989","6026.32303","3324.635","6524.80826","7823.379"
"M113.0954T378.9","113.0954","378.90165","1140.071","425.631","437.5898","699.4044","523.2057","106.6987","156.0657","173.4392","180.7941","10870.95","10891.18","11787.09","6508.583","9231.4514","1606.284","2273.93593","483.0045","4303.1304","2416.28"
"M115.0395T65.4","115.0395","65.36063","21345.74","12107.73","19581.46","22312.14","9984.573","1709.025","1664.665","1763.734","1705.365","201385.5","124188.3","134112.8","156771.2","117918.4165","79384.37637","42720.697","44539.93","45613.16189","50999.55"
"M115.0393T167.2","115.0393","167.17859","1366.14","872.83","1333.509","1520.881","1012.148","474.2528","490.3267","452.6349","476.3173","56882.41","53972.48","57773.97","60066.63","67906.174","15907.99644","15628.477","11782.5","15185.8644","20707.28"
"M116.0498T282.7","116.0498","282.66883","28874.14","26174.11","25723.39","28171.78","13153.45","4169.689","5297.108","4259.405","3101.559","13905.13","13184.92","11497.22","22323.58","14408.8133","10205.4335","7934.41571","8481.446","6890.80945","9908.587"
"M117.019T43.4","117.019","43.41989","95833.39","59155.77","68915.73","83852.4","60333.69","4122.332","2409.083","2361.797","2024.078","139061","141571.2","137845.1","153539.8","145663.3954","40712.74185","36024.32124","40869.51","28866.29299","34530.83"
"M117.0548T132.1","117.0548","132.10838","647.4035","753.3978","466.3985","684.5282","500.108","106.3737","136.1006","135.0837","139.0778","29846.13","33772.79","31922.03","31617.11","29089.85","12980.04264","13680.19036","10758.04","12447.79208","17741.84"
"M119.0497T258.1","119.0497","258.11771","8883.657","17657.27","13941.14","15342.26","19007.94","4611.984","5402.052","5116.653","3686.614","5332.805","5641.571","4440.664","440.5897","5280.1787","6103.0882","4053.24","6903.266","3164.248","7698.154"
"M119.0493T246.4","119.0493","246.41118","5200.783","7395.802","6326.97","6859.456","8235.143","2170.621","2141.737","1870.091","1860.821","12155.92","9820.358","9214.095","9596.284","10426.9183","8387.96147","7209.14287","11289.85","5644.42711","9263.072"
"M121.0286T251.6","121.0286","251.5677","3824.638","9080.751","9567.093","6737.238","11586.64","2725.028","1946.715","1922.352","2302.131","4750.359","2770.641","4963.842","4735.176","4951.3694","1381.65824","1746.396","1913.081","1242.66","1547.44"
"M121.0283T205.3","121.0283","205.2721","4969.886","6391.794","7760.961","4019.952","4005.391","3724.782","5568.403","5328.9","6218.04","31459.29","35308.35","32330.77","37440.3","38403.3971","19720.287","15512.87492","20026.41","11758.88996","22048.67"
"M122.026T37.8","122.026","37.78366","83721.2","122516.2","122604.4","103864.9","90596.39","18242.2","14441.55","13274.07","15442.82","11657.46","11615.83","14069.23","10742.22","18450.0295","4891.8582","4111.85267","3868.759","2394.24231","2007.573"
"M124.9789T452.2","124.9789","452.22434","14671.27","12495.61","11309.93","10286.28","10539","3281.676","3265.143","3097.911","3198.994","8865.143","8242.258","8838.18","9358.231","10142.496","3111.14918","1687.11535","3050.471","2444.26906","3746.743"
"M125.0585T545.1","125.0585","545.10907","500.5021","371.7025","263.191","324.8161","153.321","51.36729","43.02867","33.02412","59.70201","21335.9","24828.88","25374.44","18243.5","30454.7301","3885.54725","4802.17057","919.2898","8251.74293","3197.533"
"M125.0962T308.1","125.0962","308.08898","43257.16","12772.3","19392.06","30020.49","14203.33","5213.201","3426.526","3252.318","5597.954","19774.92","31177.53","20026.1","22199.96","22601.6365","13233.02946","10214.05469","4754.885","11796.36015","8189.495"
"M125.0951T429.9","125.0951","429.89087","1828.252","1019.589","1077.789","1443.341","1168.756","341.8841","317.4314","243.8198","372.2657","13157.13","13147.08","14242.29","7669.717","6324.1544","1542.53804","1574.43467","387.5038","2602.85786","1824.323"
"M127.0753T261.4","127.0753","261.44935","48757.24","18914.41","16553.33","24191.81","16460.83","1044.88","2144.045","1881.676","1793.666","18015.05","20926.35","11332.2","27928.14","9615.621","1669.525","1644.84071","1165.299","1076.76857","1497.402"
"M127.0746T276.8","127.0746","276.82206","1890.41","517.2797","760.817","1132.514","478.7349","227.4957","144.4228","135.7141","150.4401","26929.51","17949.62","23613.36","24450.65","25107.0672","9715.4328","7469.38594","6023.815","8984.45154","8570.117"
"M127.1104T411.5","127.1104","411.45806","580.7725","349.7541","336.875","614.9338","333.9174","134.3731","39.68983","57.7045","28.35192","53064.46","56717.56","39084.11","33116.18","14984.3864","10062.06573","6002.93534","1312.937","14689.35988","6686.159"
"M128.035T38.6","128.035","38.63701","9031.937","5529.824","9828.012","10163.91","6255.426","674.6721","610.7075","491.9136","589.0968","84502.34","72249.42","74949.16","72590.43","73800.304","5630.10298","4731.13528","3500.02","7074.83296","3727.267"
"M129.0186T76.3","129.0186","76.27673","17485.04","20115.35","19056.44","12987.71","13741.23","3425.616","2043.193","2666.11","2260.172","21366.31","23993.64","18460.61","19942.32","24098.0328","17101.69867","17368.4148","13750.54","18311.75053","20634.15"
"M129.0541T236.1","129.0541","236.14395","2177.24","643.9904","729.2877","1288.642","761.5414","93.06712","96.38778","94.37189","122.736","24147.79","18296.5","16593.3","19793.39","29072.7694","5785.0912","4800.46218","2857.761","4990.70777","6518.94"
"M129.0545T173.8","129.0545","173.76335","4871.937","3343.466","9400.553","4955.34","4641.43","588.0046","921.5814","956.8832","401.2531","59412.76","32684.12","35407.52","39088.95","21160.5975","31358.943","14441.92055","26494.86","19961.35038","20675.15"
"M130.086T231.6","130.086","231.60548","4056.806","3145.425","4549.03","4784.212","5592.034","952.7225","690.7775","985.4925","926.3241","11372.73","10832.35","13341.76","15827.87","16118.4765","5356.59196","5169.95455","7472.974","4448.91542","6659.28"
"M131.07T213.3","131.07","213.26613","5534.551","5354.968","5942.154","6125.986","5986.131","2324.161","2381.127","2281.015","2391.986","60788.26","67547.35","76029.62","65620.41","63197.9053","58604.04333","50793.50644","108741","39996.74475","76293.5"
"M132.0289T182","132.0289","181.99209","339.0891","406.085","665.4354","350.8864","409.1585","81.72383","104.0936","94.047","100.03","4968.385","4275.685","3776.506","7534.046","3399.8954","3410.7264","2665.3967","1032.516","1966.63348","2853.092"
"M135.0439T234","135.0439","234.00703","47293.57","93094.8","51312.25","65007.06","54727.26","2825.519","1941.568","1678.401","1753.782","89873.06","37728.32","61431.19","66989.61","37453.506","2330.5296","1968.9072","3421.145","1894.53818","3858.484"
"M137.0226T296.7","137.0226","296.71758","18908.57","12889.58","11430.27","32333.82","19065.23","1083.257","1096.877","1148.275","2108.63","8063.659","6348.207","8488.794","10047.31","6090.8151","5255.868","3915.7596","1831.658","4193.352","3426.674"
"M137.0234T167.5","137.0234","167.54093","3597.393","3920.972","4497.557","4518.971","1813.668","779.4308","1645.412","1564.359","1406.023","46886.14","15797.21","14510.27","13898.61","12365.1056","6631.08956","5811.39187","5722.595","4725.672","6977.82"
"M138.0183T304.8","138.0183","304.75881","6464.468","5025.344","2088.416","9588.265","4023.106","2137.863","795.5565","764.8197","1805.98","2529.224","3346.759","2613.435","4272.486","2982.6608","1833.0822","789.061","786.6479","613.5517","1443.28"
"M138.0537T172.6","138.0537","172.62918","1399.898","2162.449","1811.459","1865.632","2055.549","534.0936","485.0544","602.148","402.6069","7640.127","7182.481","8381.448","5199.768","6505.6867","1608.18112","1535.40737","671.3758","1940.303","444.889"
"M141.982T250.8","141.982","250.80254","4620.826","3136.306","5659.162","3900.897","4481.08","1909.573","2779.237","1756.239","1523.902","2383.096","1212.24","636.93","2421.203","2028.2666","1549.41717","954.89471","2630.982","805.644","771.1542"
"M142.0499T54.5","142.0499","54.5212","1688.302","1691.346","1627.32","1589.777","1767.141","423.543","263.1612","336.2455","281.1723","28901.79","26083.18","17492.21","23586.91","27083.8985","10760.11372","9939.4669","4909.252","7142.66732","8407.818"
"M144.044T286.5","144.044","286.50833","8453.12","13135.88","6546.45","7914.271","10631.68","5200.043","4320.178","5394.94","6006.902","68197.83","67804.96","65035","69886.94","59216.8784","26762.43696","24030.35887","23804.84","25800.7255","27934.13"
"M145.0492T124","145.0492","124.01535","29574.63","8351.414","10401.78","24083.51","8759.326","3364.017","1956.854","2126.29","2384.753","10844.88","10169.63","7551.049","23255.64","10144.0304","3188.97594","1878.20314","2844.091","2637.93934","4410.802"
"M145.0488T287.2","145.0488","287.17979","843.4526","805.3319","277.0962","402.041","861.035","537.2099","78.396","229.8186","325.8821","59282.07","61325.97","5091.396","4864.333","4259.5956","2223.52154","1580.31252","2028.258","2341.36308","2546.416"
"M145.0852T305.1","145.0852","305.13203","12024.83","1856.265","4982.066","10084.58","4167.532","1567.023","1255.557","1134.013","1210.761","64330.84","78571.63","59471.02","61353.97","38451.6018","19507.9272","16380.96529","8283.012","26346.86152","19668.68"
"M146.081T92.9","146.081","92.87479","1680.014","1569.907","1406.272","1440.806","1533.561","441.9103","443.3012","410.5385","226.4872","26938.6","30725.35","31722.81","23222.42","32739.5658","9672.42363","10787.35068","4521.406","14144.00252","8857.217"
"M147.0434T247.4","147.0434","247.44668","2680.498","3837.756","3825.18","3487.511","3761.594","2515.924","2091.359","2056.694","2079.507","46565.62","49345.61","49027.18","48634.35","55453.2093","29270.70785","27059.604","34845.14","22615.84823","37212.79"
"M147.043T279.8","147.043","279.81838","1844.527","4278.293","3573.835","1972.402","3692.761","2160.951","2086.954","2067.809","2236.213","8660.87","7713.808","8351.854","12448.93","12078.2019","8211.19401","7638.85521","38993.29","4555.57343","18124.06"
"M147.0655T59","147.0655","58.98732","22644.26","20229.27","19356.56","20935.81","22513.96","1145.774","972.8217","1271.288","1121.664","103894.2","138313.3","124015.2","92640.1","109710.2512","70393.91878","62486.92783","47737.52","49604.04733","67395.93"
"M147.0646T68.9","147.0646","68.88257","13273.57","14350.71","5101.365","6089.261","8654.624","380.8978","720.7707","886.3671","687.7948","126888.9","87657.21","88197.47","75899.63","67395.2159","35477.1186","32317.03091","17808.09","33576.36124","24522.24"
"M148.0466T248.1","148.0466","248.11269","272.943","401.4171","412.1253","422.8689","336.3365","189.1002","143.4208","147.3954","76.38717","4962.224","5209.753","4472.327","4499.834","5219.0102","1890.34929","2372.0441","3056.119","1880.34758","3594.023"
"M150.0554T38.5","150.0554","38.53316","139232","132004.9","128218.2","119969.9","114219.3","9590.846","9137.754","9296.912","9493.658","38886.69","47611.98","44559.15","46312.25","38370.2273","9385.2133","8904.45577","9743.684","7082.95722","10165.41"
"M152.0102T271.7","152.0102","271.69822","4510.377","3532.524","3195.427","4903.403","5427.885","1786.583","2689.085","1453.829","2019.232","1323.624","2450.848","2372.783","2690.44","1279.709","1558.2456","950.43938","2133.898","732.7671","2188.667"
"M153.126T466.8","153.126","466.75521","1024.393","475.7798","424.247","688.828","485.5515","101.3978","82.71927","81.03166","147.4271","11810.43","12793.51","7824.821","10296.02","6766.795","2525.6856","2643.91593","465.882","3455.4288","2447.223"
"M153.1246T439.2","153.1246","439.17098","916.5191","405.4017","372.065","784.8013","390.2371","53.70244","53.36889","40.02133","86.37938","31467.21","50842.25","43189.96","27646.76","17586.9756","2996.32956","3463.833","1228.152","8135.70768","2049.699"
"M154.0136T140.6","154.0136","140.62772","22127.26","21701.03","21370.47","19822.33","16387.26","9682.117","9452.391","8505.857","7970.862","15859.24","15770.74","14256.78","15108.12","16071.6442","12504.56193","12468.53246","12853.84","12093.16047","15307.18"
"M154.9879T282.7","154.9879","282.69701","7629.472","2081.574","3920.982","5222.066","1228.271","1437.21","1181.943","1295.491","1055.596","3461.211","5989.894","3542.116","7235.768","2840.292","1820.16503","1737.75829","1301.432","1931.04771","1821.412"
"M155.0687T189.7","155.0687","189.74822","2629.983","644.105","1051.777","1976.695","738.2574","182.758","200.4185","240.8592","228.8002","6910.837","5792.776","7298.772","6716.41","5560.5139","2461.12373","1806.16148","873.2391","2558.96767","1693.232"
"M156.0289T43","156.0289","42.96166","12945.28","15191.95","14424.65","16029.71","16054.01","1779.218","1659.428","2246.446","2046.387","5399.11","8504.131","5672.846","7378.358","7041.9311","504.51398","1719.75636","2035.943","1122.4411","2278.984"
"M157.0489T202.6","157.0489","202.59113","6577.682","3143.743","4920.2","4535.684","2103.916","405.5664","438.6182","429.2789","465.9694","161826.7","166365.3","155837.4","190374.3","166154.0432","57596.05869","50120.26627","41245.15","49299.84467","63074.94"
"M157.049T166.9","157.049","166.85826","48109.8","1228.674","1901.234","36183.2","1627.673","452.9661","397.2351","611.9866","569.4158","18580.83","20452.71","14955.12","34583.68","20116.1824","3652.66903","4177.38381","1649.562","4243.13848","4885.883"
"M158.055T202.4","158.055","202.37839","3127.288","3171.553","3458.001","3597.539","2647.36","1855.513","1163.407","1115.463","2059.608","11832.73","10792.38","11781.47","10581.87","13100.875","4516.60055","4006.93017","3737.481","4358.10491","5011.556"
"M158.9783T21.7","158.9783","21.68475","6760.22","8331.936","7618.903","8808.413","8408.771","6391.02","7223.5","6391.413","7449.879","8885.993","10279.33","12534.68","9868.884","12100.79","2274.00051","4923.60973","5704.354","5737.45089","4426.92"
"M159.0994T378.9","159.0994","378.90041","3200.377","1754.838","2086.19","2385.464","1285.1","564.6397","589.8857","381.6023","748.5343","74216.36","68076.55","64403.11","59997.03","44003.4787","16867.15089","11337.43248","2215.248","21075.2685","12317.06"
"M160.0387T282.2","160.0387","282.22369","19139.51","18831.04","15961","20532.6","9120.812","2211.344","2336.03","2395.904","1771.367","7926.144","9507.678","6548.325","11883.71","8961.8169","4658.868","3623.59368","3522.816","2554.4568","5077.291"
"M160.0385T304.3","160.0385","304.33677","55167.5","94272.72","77394.75","62147.6","74479.36","18373.74","18195.46","12800.47","15188.57","11128.24","17917.49","11019.38","20019.77","14268.3376","5965.97467","4225.38076","9646.427","4588.60545","7364.161"
"M160.9555T452.3","160.9555","452.25476","704045","716403.4","706814.7","673854.4","714163.5","172213.9","162223.9","159723","164101.2","450065.4","487123.9","528875.5","538627","556828.9471","145928.7872","133377.40509","153238.8","131090.8457","179789.7"
"M161.0443T70.4","161.0443","70.42455","50521.94","63099.44","57968.67","63275.33","65662.75","8459.974","13922.38","13337.42","14090.93","281742.6","474444.5","444857.5","371840.1","412632.5005","31832.34834","42785.5191","50529.58","66822.76372","48055.02"
"M161.0447T47.1","161.0447","47.10773","44516.69","30300.4","37663.22","45605.7","35581.2","3107.376","9800.967","9337.335","9947.747","281270.8","464091.9","920103.1","380817","375668.4835","28342.57065","35952.77474","30632.71","53812.5914","35777.01"
"M161.0801T132","161.0801","132.02945","2461.392","2673.053","40.77607","602.9618","1382.037","601.2404","608.7389","174.116","149.7664","450839.3","509547.4","496189.1","508055","463173.9607","185080.982","191638.75156","136074.8","190535.56988","201487.4"
"M161.9583T452.2","161.9583","452.21519","46175.14","49825.09","48921.95","45256.13","46111.61","11164.05","9917.957","9989.318","9984.46","29880.53","33239.84","35672.94","36577.34","38124.6653","9477.86518","8398.10938","7696.975","7390.95917","11046.91"
"M162.0322T300.4","162.0322","300.43671","860.5384","1330.377","1241.217","1405.112","1639.505","146.696","180.0792","289.4997","223.078","3974.763","3483.154","6038.933","4295.475","3723.0504","1656.6576","1769.58047","3945.994","574.93064","3053.951"
"M162.0832T132","162.0832","132.0365","805.43","579.5474","942.2305","764.7926","440.1722","158.0717","198.1447","182.1213","130.4202","33797.39","42877.19","36856","39533.53","35039.1465","13852.62814","16391.87696","11387.46","15184.5616","15764.35"
"M162.9523T452.2","162.9523","452.21519","437955.3","451999.5","451142.5","425316.6","450608.6","109545.4","104283.5","100336.6","104411.9","300819.9","323104.7","340637.2","347362.6","355619.3884","92454.55828","86183.82746","96467.76","81036.97041","113929.2"
"M162.9403T26.6","162.9403","26.56945","529.6876","447.8717","659.172","580.0606","430.9603","144.7291","876.3779","671.048","989.7064","36253.47","146393.5","98877.21","97802.42","77503.7303","1990.7314","14215.00838","6759.37","23248.5582","11760.4"
"M163.0392T258.2","163.0392","258.22336","7851.715","9986.983","9082.42","12278.48","12515.5","3128.856","3697.706","3692.955","2655.834","3308.547","3676.964","3375.756","4602.799","3885.5123","3175.29008","1765.53308","4333.22","991.48257","3539.557"
"M163.1096T356.3","163.1096","356.30346","1317.166","699.078","467.0699","1404.351","317.7739","141.7689","79.04465","83.0599","75.05413","66810.58","65874.85","59473.45","45557.99","42778.3625","9467.398","6363.27612","2197.611","13530.1488","6570.974"
"M163.1097T495.5","163.1097","495.53029","478.7534","157.345","238.2269","227.4443","192.7068","87.04917","25.3536","20.67982","26.68364","10411.22","10066.09","8725.043","7248.196","4640.6621","691.46067","866.0995","205.7639","3032.04613","1195.886"
"M163.9556T452.3","163.9556","452.27754","29033.01","27623.3","30872.55","30011.87","26644.23","5773.417","6378.598","5916.942","4795.717","18187.93","19532.81","21878.55","22434.13","22045.0391","5953.77932","5434.6776","5665.307","5115.408","7382.885"
"M164.0701T228.7","164.0701","228.66585","3238.164","3305.072","3870.307","3219.13","3758.424","478.5725","416.2392","794.4923","521.6163","2067.897","1486.136","1717.421","2303.951","2090.2804","333.9336","386.27223","466.2889","375.86043","464.3272"
"M164.9495T452.2","164.9495","452.207","74863.18","74708.23","74249.18","70475.12","75170.97","17443.62","15784.08","16380.76","17462.7","47589.34","51705.39","54836.87","58099.99","58116.627","14742.70754","13944.88542","15905.6","12386.56286","18366.14"
"M165.0521T223.9","165.0521","223.94137","58686.01","259159.2","81003.54","73248.83","133427.3","1290.408","2443.446","659.075","1227.869","69031.21","13712.13","29019.75","33115.06","12473.9222","2443.04227","1167.81","794.1512","2125.19185","509.6033"
"M165.0535T248.2","165.0535","248.16597","5025.817","6273.087","5271.923","6232.481","5778.695","678.1356","986.961","977.7953","977.1144","92130.04","98327.28","92475.74","104355.4","105252.0023","57902.94637","51905.16056","68713.69","44627.94437","74426.92"
"M165.0544T177.7","165.0544","177.71055","7113.132","14557.09","7377.436","8143.535","6832.597","1600.813","2407.548","2047.503","1029.638","4488.17","3148.166","3631.241","5387.368","2482.8171","1475.28203","1444.37504","1436.025","1172.32891","1982.763"
"M165.9524T452","165.9524","452.00396","4617.962","4072.5","4074.278","3169.555","4369.866","1037.741","444.6888","895.3092","973.674","2277.107","2029.4","1870.013","3590.126","3920.8907","321.79533","826.9944","831.9271","568.36145","758.6064"
"M166.0569T248.2","166.0569","248.16597","907.5141","897.2271","736.2201","910.6021","600.1792","206.7762","151.7607","164.0869","84.4008","8893.726","9966.096","9762.216","10332.39","11041.9929","5355.1956","5108.4168","6549.902","4103.20908","7488.986"
"M167.0331T271.2","167.0331","271.24799","17580.79","16356.59","28061.32","23760.03","23079.39","8178.44","12083.22","9939.592","10062.37","8549.83","8112.264","8951.443","11333.65","10225.225","6667.86543","6487.39163","10988.93","5282.48249","10469.69"
"M167.0336T198.9","167.0336","198.87199","5852.919","7205.739","9657.093","8072.248","10285.08","4460.107","5951.695","4194.75","5343.226","5412.838","7024.238","6034.216","6965.181","5511.0913","4497.03732","3850.5456","5536.71","2869.41745","5752.172"
"M167.0325T516.9","167.0325","516.89083","195.0973","296.1644","227.43","223.4163","182.293","50.36018","88.71396","43.69287","24.34631","13893.53","12927.67","17291.44","12465.32","12999.2429","2917.98906","1730.6055","314.5219","5877.89989","1346.956"
"M168.0659T38.9","168.0659","38.90854","459586.1","539171.2","516044.6","505246.1","507685.6","44726.53","35779.09","37412.7","35938.28","110519.1","148699.1","137854.8","154877.1","110032.185","35156.38156","30622.06778","35055.02","27118.73378","33266.28"
"M169.0379T344.5","169.0379","344.46768","442.069","438.385","365.9711","331.5686","560.6515","220.8243","287.2296","349.1895","208.4821","7890.855","13335.71","5191.853","11150.59","16889.2818","11220.98133","14730.695","10063.14","13059.21447","25567.13"
"M169.0687T38.5","169.0687","38.52097","44913.89","51276.38","48250.56","45154.65","46758.85","4189.14","2969.92","2767.627","3647.394","9235.25","10834.63","9758.89","11928.95","8953.781","3046.96741","2052.59046","3220.018","2338.8696","2830.642"
"M169.0832T429.9","169.0832","429.89373","2325.036","1091.021","2053.493","2896.206","2052.807","465.6657","482.5613","438.9458","538.0088","22314.4","27953.14","24463.78","12712.45","10833.0195","3066.4512","3577.45103","1416.047","7443.85007","1802.293"
"M169.0835T317","169.0835","316.95502","9200.1","1353.844","1746.145","5903.065","1232.2","264.1248","284.87","326.844","297.2121","47166.36","47944.07","45418.1","31757.52","30993.2828","6809.69772","7306.5072","1155.825","13597.91754","5378.609"
"M169.1199T328.2","169.1199","328.19924","5501.34","792.5002","1106.328","4175.006","1220.868","368.9616","264.1612","281.1716","316.163","16861.96","19613.71","14913.84","12524.32","9723.2631","3989.43417","3719.3064","1305.692","5070.531","3747.662"
"M171.0114T139.5","171.0114","139.54661","89651.19","94054.75","97183.57","83721.13","83446.22","9163.721","7944.637","6809.697","7110.975","1318.032","1524.392","2722.675","3166.823","3846.2658","7241.89046","3061.10306","8081.376","400.56352","955.6028"
"M171.0646T261.6","171.0646","261.57242","84732.39","23888.22","24213.65","41832.55","23384.57","2769.836","2348.322","2125.817","2161.803","33128.22","48246.16","22661.7","63593.43","19605.6069","1811.48536","3154.25143","2019.095","1913.36571","2137.526"
"M171.0633T276.8","171.0633","276.83196","4202.191","944.3035","1413.969","3097.122","981.0068","312.1934","226.4737","260.1095","223.8244","41934.52","30148.49","32271.1","44909.71","34048.4602","12013.2696","8818.04703","5224.062","12527.41569","11211.12"
"M171.1003T411.3","171.1003","411.26028","1859.959","599.4518","1022.118","1505.2","675.6048","189.0559","291.8394","204.4827","301.8453","178671.7","184398.2","119245.3","96345.94","51730.2727","30127.16732","17659.04839","2849.479","49590.38786","17078.08"
"M171.0993T364.1","171.0993","364.09436","5956.392","1930.444","2317.212","3875.599","2315.589","586.3","469.2401","423.2775","506.999","48001.14","50965.15","39403.82","27862.33","20282.7276","11657.50822","8149.72389","2422.603","19197.62138","8940.957"
"M172.1017T411.2","172.1017","411.24412","348.6225","143.1825","110.1554","303.5769","142.1577","36.0108","26.34442","33.02015","42.68463","15903.59","16340.73","10385.65","8992.115","5216.8147","2895.648","1635.33114","341.9724","4484.43309","1667.104"
"M173.0801T254.4","173.0801","254.37268","108088.8","16982.91","28376.58","74439.11","15103.36","7919.361","3403.934","3758.67","4580.152","13044.02","13219.45","9922.881","28916.93","9210.255","6444.92742","4578.6215","3602.382","5166.43938","4348.026"
"M173.1162T444.9","173.1162","444.89024","6045.748","2353.745","3025.747","2711.839","1781.045","942.8449","825.8836","749.3745","1100.213","21562.39","17292.7","14916.28","12236.26","9909.6004","2117.64546","2286.45409","1058.413","4950.60142","2738.513"
"M174.0544T399.3","174.0544","399.28029","14112.18","17830.62","18915.28","19666.63","22566.89","4702.645","8964.49","9810.497","5733.68","11134.68","13513.36","12235.17","18323","8023.1418","9696.99307","9178.3368","6414.086","8234.77735","9764.213"
"M174.9689T452.3","174.9689","452.25463","6564.723","6421.314","5256.651","4424.282","8013.495","1558.352","1221.31","1197.051","2076.83","6627.47","3315.796","6396.95","8122.907","5286.1117","1731.7176","1337.13513","1390.153","1291.5164","1958.841"
"M175.0596T167.1","175.0596","167.14591","1706.681","1654.67","2520.76","1219.603","879.7329","194.1035","158.1053","133.0887","265.1767","357076.4","321026.6","345143.8","368440.2","413535.9178","84084.89856","80013.98471","53134.93","83218.89708","104243.1"
"M175.0736T273","175.0736","273.03972","1028.994","438.3936","493.3192","1075.154","529.6592","194.8224","179.8104","155.4576","186.7765","8585.68","5528.345","9906.12","15571.08","12775.5459","2639.09156","1374.18381","817.4085","1278.6888","3338.79"
"M175.0953T259.3","175.0953","259.27544","8148.263","2378.952","2671.277","4047.008","1610.851","636.8486","566.5922","632.1179","625.956","141299.4","132714.3","115320.1","103995.8","69164.3677","23061.69417","20551.428","3963.598","56836.9919","16048.41"
"M175.095T232.5","175.095","232.46595","1961.247","844.3253","1084.155","1318.303","527.7169","141.0738","230.1681","155.7481","215.7645","168954.4","144386.7","130162.7","104068.5","84493.4073","17073.97839","14051.86464","3955.442","31599.12321","10069.07"
"M175.0955T208.4","175.0955","208.44098","1036.304","703.2241","971.8778","942.4619","490.903","166.7478","141.4132","134.7524","147.0935","76516.69","94060.39","95869.65","101987.2","94262.9355","30210.88702","31026.1539","16794.11","38469.01939","32587.17"
"M175.0938T282.9","175.0938","282.87109","4261.799","1310.597","1051.192","2621.186","878.896","347.2181","290.8245","302.2416","338.4656","171733.7","155189.6","152533.9","140345.3","125257.7675","19416.93237","22876.06104","3879.801","45438.51585","16786.11"
"M176.0102T265.7","176.0102","265.70228","43133.58","71239.29","84255.7","57416.67","75494.83","12538.81","15117.41","12907.32","10011.03","39593.84","53674.83","45212.94","63367","62227.2672","32017.8628","28246.75644","33383.74","18844.55467","39006.37"
"M176.099T208.3","176.099","208.32957","372.6114","258.0399","423.4414","233.4717","167.1024","39.0117","81.7075","137.3883","45.36507","6362.56","7386.146","5595.723","7971.091","8627.98","2045.86754","2896.04103","1447.49","3307.20157","2959.699"
"M176.0982T231.9","176.0982","231.91389","596.9016","262.2188","294.2102","422.0305","227.5034","103.0639","68.04796","92.71446","81.03411","14398.95","12496.65","11595.61","8441.134","7981.845","1421.66113","1411.3191","389.7938","2117.93148","967.179"
"M176.0626T167.2","176.0626","167.18921","537.2473","229.1541","326.8563","554.3507","250.3264","105.7264","51.03681","0","98.73788","30225.97","339.022","26161.22","31339.75","32062.854","6946.88885","6698.04565","4230.498","6980.28134","7851.728"
"M176.0968T281.5","176.0968","281.51434","277.7629","181.9849","190.7626","268.2592","130.7384","52.69587","73.38","58.38","64.36901","10677.37","14331.58","12429.78","12482.39","10313.1574","1577.55195","1645.893","537.5873","3643.86695","1222.426"
