"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M795.336T412.6","795.336","412.56464","850.9252","428.9161","531.5756","607.1539","505.4","77.36427","60.70307","68.388","60.012","7729.524","8964.105","8931.174","12787.63","9892.0578","1995.76611","2445.74571","198.7859","2542.76375","1545.235"
"M795.4152T200.7","795.4152","200.72605","1836.075","1022.828","1228.438","1374.705","0","141.7105","33.02046","0","62.03844","10072.99","8048.204","8889.386","5627.358","4247.1991","1107.39944","671.7381","328.4778","1456.17615","751.042"
"M795.4206T354.8","795.4206","354.83511","483.1415","289.7266","351.5552","562.6327","491.9991","143.7816","12.01126","136.7571","35.03285","22799.69","13686.57","23191.91","14608.08","9615.9812","1727.0356","873.66923","285.4515","5251.8648","1010.64"
"M795.498T559.3","795.498","559.30091","10948.94","23143.41","13774.56","14775.87","18646.54","3286.502","4710.611","3140.197","2326.099","22778.17","16960.69","20169.45","21172.54","23313.0392","3829.7621","3487.65689","2906.395","2224.4448","3158.209"
"M796.3786T199.6","796.3786","199.58208","509.881","1108.491","246.0365","500.2024","502.1435","160.7426","302.1428","231.833","283.2264","33828.58","32792.09","36303.33","37637.84","39438.2205","7588.38889","8054.025","8400.753","6809.81136","9503.283"
"M796.5013T559.3","796.5013","559.3083","4724.403","11791.27","7456.894","8396.176","9667.942","1576.552","2482.388","1502.392","944.6007","10096.99","7617.663","9942.628","10437.71","11371.9552","2049.12929","1596.276","1347.094","705.3525","1541.059"
"M797.3756T200.1","797.3756","200.10821","136.8423","558.9882","512.7443","664.3255","495.053","140.4336","189.8021","147.4386","225.8085","15190.57","13628.21","14598.89","13682.45","16072.204","3996.18571","6667.59912","3654.826","7881.67909","6138.813"
"M799.3808T383.9","799.3808","383.87231","3321.668","1681.789","756.2921","2215.822","635.2031","112.0608","148.0708","171.1258","172.1376","91098.47","88546.42","85561.27","74252.48","94052.9978","6259.93547","8758.19179","3122.228","11752.9866","8736.756"
"M799.38T138.3","799.38","138.25817","647.1369","356.454","258.1037","550.9541","892.6209","267.1509","151.0381","176.808","183.7849","10510.65","10392.86","2078.205","12832.45","7917.1196","3411.12459","2729.9096","680.6735","4260.63996","4086.389"
"M799.8824T383.8","799.8824","383.76742","608.3544","905.0374","226.1528","370.0176","278.3366","52.36795","53.69845","76.71208","75.72196","68080.41","65340.07","66232.35","55295.08","75682.7268","4188.0144","6512.41047","1859.357","8640.03772","6821.184"
"M799.8834T217.8","799.8834","217.75676","235.598","221.072","329.5371","362.949","130.39","67.367","71.05147","82.0287","123.7285","25873.17","36849.26","41674.22","30511.22","98759.4689","1511.29445","4653.29264","354.9238","6094.54255","4576.163"
"M800.3748T184","800.3748","184.02401","699.3505","242.9836","0","825.5386","616.7266","150.7518","164.4391","85.71509","164.7597","30416.59","32335.56","23279.17","29082.35","21052.9391","3485.5975","4336.3005","1110.468","7103.45648","3772.682"
"M800.8788T384.6","800.8788","384.61983","516.3521","661.531","547.0953","502.13","333.9365","64.70116","52.02773","85.05667","106.0848","12210.08","13254.19","12887.07","9361.412","13583.8685","985.99022","1226.70495","568.0073","1704.14344","961.8717"
"M800.8842T217.9","800.8842","217.91946","302.3177","277.3576","452.2003","469.1151","183.2932","87.71786","85.38388","92.38802","118.0699","10250.19","12698.34","16888.27","11962.15","36405.6891","803.74464","1948.0384","298.5513","2816.59109","1880.39"
"M801.8204T191.6","801.8204","191.62566","20507.12","21736.67","23341.06","20224.34","22595.7","2663.566","2052.579","2390.593","2486.31","5298.174","4932.366","5856.3","6289.625","6746.8365","874.50255","782.07882","1225.446","620.42625","1119.102"
"M803.4286T318.6","803.4286","318.56403","1107.423","335.7765","571.7829","757.2671","725.0895","139.7313","115.7202","60.04125","123.432","36039.41","38715.36","39074","35195.38","60877.4877","2555.56542","3920.784","466.4252","5745.2045","3124.849"
"M804.4268T318.6","804.4268","318.56403","371.7331","639.887","594.3974","567.9798","549.3426","27.34536","94.37484","106.3993","44.37678","13889.96","14520.55","15426.89","13524.34","21841.5639","1111.42224","1600.97347","194.8925","1801.36853","1572.388"
"M804.7309T37.1","804.7309","37.0889","285.6799","446.7117","441.2517","389.1079","340.5958","83.03495","39.01642","15.33839","47.6986","7625.357","2789.617","2537.476","2728.364","5766.744","249.74906","517.35404","364.911","505.9176","400.9702"
"M806.258T36.5","806.258","36.46132","315018.9","337066.4","283740.7","263043.6","305257.4","56001.75","27417.06","29673.34","28562.36","1700.861","3689.503","4234.725","3496.038","3992.7747","885.9271","790.42831","1950.308","448.98195","772.8122"
"M806.3294T172.9","806.3294","172.9067","54185.39","56602.5","56493.73","53058.73","59669.54","6703.263","5526.11","7216.79","6144.807","17467.11","16350.7","23657.07","17399.99","22954.5941","831.749","1108.27779","2098.49","1577.06516","1520.172"
"M806.3605T289.9","806.3605","289.91499","1013.38","1177.69","659.0183","1260.166","1383.824","117.7024","221.425","187.4471","172.1044","56249","57547.8","67004.42","72324.35","75513.612","9627.67935","11973.08538","2147.441","15003.1035","8776.094"
