"","mz","rt","apple_control_pos_102","apple_control_pos_202","apple_control_pos_302","apple_control_pos_402","apple_control_pos_502","apple_control_pos_602","apple_control_pos_702","apple_control_pos_802","apple_control_pos_902","apple_control_pos_1002","apple_group1_pos_102","apple_group1_pos_202","apple_group1_pos_302","apple_group1_pos_402","apple_group1_pos_502","apple_group1_pos_602","apple_group1_pos_702","apple_group1_pos_802","apple_group1_pos_902","apple_group1_pos_1002","apple_group2_pos_102","apple_group2_pos_202","apple_group2_pos_302","apple_group2_pos_402","apple_group2_pos_502","apple_group2_pos_602","apple_group2_pos_702","apple_group2_pos_802","apple_group2_pos_902","apple_group2_pos_1002","apple_group3_pos_102","apple_group3_pos_202","apple_group3_pos_302","apple_group3_pos_402","apple_group3_pos_502","apple_group3_pos_602","apple_group3_pos_702","apple_group3_pos_802","apple_group3_pos_902","apple_group3_pos_1002"
"group","mz","rt","control","control","control","control","control","control","control","control","control","control","group1","group1","group1","group1","group1","group1","group1","group1","group1","group1","group2","group2","group2","group2","group2","group2","group2","group2","group2","group2","group3","group3","group3","group3","group3","group3","group3","group3","group3","group3"
"M56.9509T728.1","56.9509055393761","728.137982019788","14.8836790250878","15.4339622434514","18.1480287891827","17.0473901882517","15.3913777109518","12.0172248498306","18.1491118383929","13.7922025579164","11.5824603751615","12.1337350848087","13.458100505809","12.1321760596855","14.3459181266456","14.3339490625417","13.7877532489946","13.7658701500787","15.4378885829096","14.8758160930844","15.3749206066712","14.8774466318806","15.9761207025959","15.4367724956103","17.5311701965667","17.0533565491496","17.7246397054452","17.6019189427503","18.1276841992242","17.5894972923998","14.8715221050049","16.4540892163378","18.6468236989529","14.7080838456505","14.8545413712144","16.4202243076357","14.2902481652553","13.1888520474067","14.8812626068105","15.39854736651","14.8324621297725","15.4222547706486"
"M60.081T684.7","60.0809754032729","684.715794264073","443.038420624238","403.458510930899","402.020368633093","348.845889931545","360.231576802471","328.150944541546","356.663003269289","341.640820999516","334.587285270918","353.04480761062","345.485378770532","395.852817623087","379.132597545609","399.250419036513","350.145193727017","367.852569779156","357.450786574627","352.333375223849","380.004264643617","411.572270124423","335.797369454754","380.657103331967","401.714420595193","367.525830557161","357.536913316862","367.977761011156","363.763038317924","341.274906888014","368.19976510401","348.724122779428","402.832165866757","405.063486277075","429.79820588891","383.071827692918","358.46697804386","370.495632332708","376.472634191135","361.582629919052","369.144932861673","387.040091196075"
"M60.0445T596.2","60.0445161323475","596.177018946864","62.783362207108","38.070017731955","445.81355663859","66.7753477390895","57.6966913808737","46.0298777600872","49.4008207742669","69.5559560000124","37.9327303220579","47.0892559092248","41.2078658924808","51.7332848203807","42.744451544537","71.5715782315143","44.6491236329022","49.5134563122489","48.3344409973069","52.8812425548549","58.4453777647577","313.733489709551","55.6920338833098","47.1199592498927","329.198023787612","44.6633493447672","297.352860789303","50.9162235212716","56.3799242023765","48.7018770605833","49.6209188772018","43.6195895654743","54.9282564000644","48.2994368928929","285.01524628613","285.205468931107","269.133667365046","52.0446663322218","48.8888934376355","259.769304785405","62.7457611364305","67.5999185119644"
"M65.0388T492.6","65.0388157932779","492.630051302623","118.478945010384","117.204642342846","130.546321937216","128.744942650566","128.335440494557","119.251985846377","139.926455426223","127.232824275594","113.516137890556","118.392298489571","121.67047933048","118.6493303274","109.481076856462","125.236823055775","127.388298418628","123.497908475474","117.837984231825","121.645859041317","116.609550437674","124.599692565662","117.426379449167","112.004538713897","131.403116926478","118.879872506572","130.675925790278","137.738845233588","128.001032407574","124.518936348742","125.637952330631","121.866399496553","155.015625890779","119.858973955046","121.092607613245","128.413306277535","122.552347072386","111.875383032893","106.767114610266","115.347510030042","127.232377059729","128.32526051726"
"M69.0124T12.2","69.0124135689282","12.2337632288519","71.1057517509184","83.142950224073","84.6662230565994","67.8843123762737","74.7878869572784","76.7602702776039","68.1082729979955","77.9662583145561","64.9880450459926","67.5267981843322","88.6534622883026","73.5576793821492","59.6544144404823","80.165459335712","73.6192589789233","67.717672012877","63.9128550485615","71.563493705868","64.3279130683183","65.4580162138795","63.2108666630913","39.8301416848953","80.9205762722016","84.4702061569068","78.469865378282","60.9907093622339","69.8685699316561","55.9731069771215","66.8568614634623","63.8688293429557","65.7078411390849","75.6620470671641","47.9777616853404","78.155140478066","70.9256474966715","71.6717745202914","60.0113618074856","65.0975610499729","76.9473923554586","63.5793771939602"
"M71.0837T603.4","71.0836764249553","603.393735633669","70.3847185741438","57.8651465106077","56.6098185043429","59.1645570662842","63.4759659802279","64.7896705228264","35.6524835283286","72.1617193453602","38.7065939761945","38.4827983280957","32.8070168893539","65.7503572460006","73.8346621793676","67.9857693063695","60.9878813141979","49.7052953541573","32.6098320846409","34.6254695574908","51.6645797151711","34.9173999805373","34.2597422459559","59.1731629468797","59.4159716569094","67.2102243740813","45.5911109584358","47.7316447112942","32.4394394320188","31.7469657193967","45.3658150581668","31.1717956720217","33.9953616584617","54.4782733922054","62.6406463482967","60.8207327128178","63.428895226623","46.0912822361158","66.8708207140943","33.6061698860412","51.6627237415935","37.385430479233"
"M77.0389T477.2","77.0389497980307","477.229488146882","338.014154647899","305.971024429433","317.500996196521","345.419359299361","304.354687107046","338.576806660313","336.772487754371","330.03998669007","310.339602228993","347.659249771735","301.103197055934","349.939624757298","334.508891300939","325.456563009081","324.432547682281","360.754894248558","363.724659943111","339.806911960011","356.331688916463","326.721344117894","337.531550628093","321.919889488818","367.934379222643","327.894085768843","339.878212661762","342.966079297683","345.122043473744","383.522580496496","372.92890516869","348.114492340406","336.292019381177","354.697759310079","353.307512079951","350.814587772262","389.744548196017","373.862302511773","331.251999078144","331.683675712972","328.88710684795","337.437677511164"
"M81.0343T16.2","81.034273396262","16.2243207521263","23.2580257166324","25.2445885779372","24.2672426291883","25.3433026855419","25.8521872075572","19.1908962821143","29.0619175542362","25.2384560209432","18.1227378012419","22.6872968151667","17.4734989903619","22.9883530390775","15.9640511928912","21.0332605780964","29.2840395455362","23.250967655537","22.8502892035022","27.5147927244928","35.1201417731169","21.9665793500008","16.3655992506366","26.878575099079","15.7781556669958","33.3175136695213","23.7002236213177","22.5489604167178","19.2833017605421","19.359335558747","28.0617693853824","26.6051349714979","27.6700287401605","14.6204727872938","19.4348189882603","20.4436032512764","22.7070760316107","23.0861773184909","25.0472091298624","24.9280535009529","26.295093726263","18.6968438792055"
"M84.96T727.5","84.9600371059198","727.546428477655","206.187551199917","174.502658527375","185.646882867901","211.188842533651","179.239397316735","187.008944249681","193.979496284093","169.712096988165","211.656772979404","185.337528674771","202.206549596719","188.672197550051","205.016169775634","202.793827723981","169.894045891328","196.939713828513","178.994043015602","191.427973319049","157.84249331398","193.615245604138","195.258685441276","172.38361034013","202.960485508476","176.268882675806","173.54222668671","196.85426447875","178.494907040944","180.831615305357","188.91577942235","204.248690119672","181.639816803669","206.695934944417","216.722955046524","173.873356152255","182.185064571473","175.095810011941","193.482628641465","166.476404506306","156.60388334086","211.873409559722"
